날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,292292,겨울
2020-01-02,non-holiday,258897,겨울
2020-01-03,non-holiday,297710,겨울
2020-01-04,holiday,357036,겨울
2020-01-05,holiday,286558,겨울
2020-01-06,non-holiday,259223,겨울
2020-01-07,non-holiday,261819,겨울
2020-01-08,non-holiday,287424,겨울
2020-01-09,non-holiday,295955,겨울
2020-01-10,non-holiday,319668,겨울
2020-01-11,holiday,385780,겨울
2020-01-12,holiday,306446,겨울
2020-01-13,non-holiday,282877,겨울
2020-01-14,non-holiday,294572,겨울
2020-01-15,non-holiday,310690,겨울
2020-01-16,non-holiday,309570,겨울
2020-01-17,non-holiday,342636,겨울
2020-01-18,holiday,407527,겨울
2020-01-19,holiday,307930,겨울
2020-01-20,non-holiday,307396,겨울
2020-01-21,non-holiday,321138,겨울
2020-01-22,non-holiday,324181,겨울
2020-01-23,non-holiday,318689,겨울
2020-01-24,holiday,286601,겨울
2020-01-25,holiday,337784,겨울
2020-01-26,holiday,297235,겨울
2020-01-27,holiday,260289,겨울
2020-01-28,non-holiday,264980,겨울
2020-01-29,non-holiday,281478,겨울
2020-01-30,non-holiday,289150,겨울
2020-01-31,non-holiday,300134,겨울
2020-02-01,holiday,281771,겨울
2020-02-02,holiday,222994,겨울
2020-02-03,non-holiday,226964,겨울
2020-02-04,non-holiday,235795,겨울
2020-02-05,non-holiday,236089,겨울
2020-02-06,non-holiday,240119,겨울
2020-02-07,non-holiday,264558,겨울
2020-02-08,holiday,285920,겨울
2020-02-09,holiday,234194,겨울
2020-02-10,non-holiday,235660,겨울
2020-02-11,non-holiday,255143,겨울
2020-02-12,non-holiday,246338,겨울
2020-02-13,non-holiday,268474,겨울
2020-02-14,non-holiday,301022,겨울
2020-02-15,holiday,341787,겨울
2020-02-16,holiday,254829,겨울
2020-02-17,non-holiday,244681,겨울
2020-02-18,non-holiday,267743,겨울
2020-02-19,non-holiday,275249,겨울
2020-02-20,non-holiday,275690,겨울
2020-02-21,non-holiday,279054,겨울
2020-02-22,holiday,289628,겨울
2020-02-23,holiday,222493,겨울
2020-02-24,non-holiday,222498,겨울
2020-02-25,non-holiday,211095,겨울
2020-02-26,non-holiday,217443,겨울
