날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,258720,겨울
2020-01-02,non-holiday,230182,겨울
2020-01-03,non-holiday,285133,겨울
2020-01-04,holiday,322827,겨울
2020-01-05,holiday,281379,겨울
2020-01-06,non-holiday,227660,겨울
2020-01-07,non-holiday,237125,겨울
2020-01-08,non-holiday,254470,겨울
2020-01-09,non-holiday,267262,겨울
2020-01-10,non-holiday,321084,겨울
2020-01-11,holiday,369494,겨울
2020-01-12,holiday,313421,겨울
2020-01-13,non-holiday,253981,겨울
2020-01-14,non-holiday,268360,겨울
2020-01-15,non-holiday,277418,겨울
2020-01-16,non-holiday,289322,겨울
2020-01-17,non-holiday,337942,겨울
2020-01-18,holiday,375457,겨울
2020-01-19,holiday,309834,겨울
2020-01-20,non-holiday,273128,겨울
2020-01-21,non-holiday,297336,겨울
2020-01-22,non-holiday,316285,겨울
2020-01-23,non-holiday,329650,겨울
2020-01-24,holiday,286683,겨울
2020-01-25,holiday,290301,겨울
2020-01-26,holiday,287864,겨울
2020-01-27,holiday,241796,겨울
2020-01-28,non-holiday,236170,겨울
2020-01-29,non-holiday,254539,겨울
2020-01-30,non-holiday,261908,겨울
2020-01-31,non-holiday,290820,겨울
2020-02-01,holiday,267034,겨울
2020-02-02,holiday,220933,겨울
2020-02-03,non-holiday,202596,겨울
2020-02-04,non-holiday,214065,겨울
2020-02-05,non-holiday,211200,겨울
2020-02-06,non-holiday,219442,겨울
2020-02-07,non-holiday,262887,겨울
2020-02-08,holiday,266531,겨울
2020-02-09,holiday,235203,겨울
2020-02-10,non-holiday,213740,겨울
2020-02-11,non-holiday,231326,겨울
2020-02-12,non-holiday,226421,겨울
2020-02-13,non-holiday,248754,겨울
2020-02-14,non-holiday,307729,겨울
2020-02-15,holiday,318558,겨울
2020-02-16,holiday,252812,겨울
2020-02-17,non-holiday,216626,겨울
2020-02-18,non-holiday,235369,겨울
2020-02-19,non-holiday,249912,겨울
2020-02-20,non-holiday,254109,겨울
2020-02-21,non-holiday,274910,겨울
2020-02-22,holiday,252394,겨울
2020-02-23,holiday,197913,겨울
2020-02-24,non-holiday,194672,겨울
2020-02-25,non-holiday,171389,겨울
2020-02-26,non-holiday,184413,겨울
2020-02-27,non-holiday,186509,겨울
2020-02-28,non-holiday,195337,겨울
2020-02-29,holiday,190324,겨울
2020-03-01,holiday,129250,봄
2020-03-02,non-holiday,148100,봄
2020-03-03,non-holiday,156115,봄
2020-03-04,non-holiday,152695,봄
2020-03-05,non-holiday,163811,봄
2020-03-06,non-holiday,196515,봄
2020-03-07,holiday,193520,봄
2020-03-08,holiday,166075,봄
2020-03-09,non-holiday,169573,봄
2020-03-10,non-holiday,160887,봄
2020-03-11,non-holiday,181402,봄
2020-03-12,non-holiday,182468,봄
2020-03-13,non-holiday,207137,봄
2020-03-14,holiday,211996,봄
2020-03-15,holiday,163145,봄
2020-03-16,non-holiday,169650,봄
2020-03-17,non-holiday,174600,봄
2020-03-18,non-holiday,192813,봄
2020-03-19,non-holiday,174734,봄
2020-03-20,non-holiday,227010,봄
2020-03-21,holiday,228655,봄
2020-03-22,holiday,187601,봄
2020-03-23,non-holiday,181997,봄
2020-03-24,non-holiday,191132,봄
2020-03-25,non-holiday,202467,봄
2020-03-26,non-holiday,197512,봄
2020-03-27,non-holiday,230998,봄
2020-03-28,holiday,231039,봄
2020-03-29,holiday,189735,봄
2020-03-30,non-holiday,193757,봄
2020-03-31,non-holiday,199533,봄
2020-04-01,non-holiday,174748,봄
2020-04-02,non-holiday,181180,봄
2020-04-03,non-holiday,218874,봄
2020-04-04,holiday,211652,봄
2020-04-05,holiday,170228,봄
2020-04-06,non-holiday,175674,봄
2020-04-07,non-holiday,184015,봄
2020-04-08,non-holiday,190320,봄
2020-04-09,non-holiday,195460,봄
2020-04-10,non-holiday,227975,봄
2020-04-11,holiday,221458,봄
2020-04-12,holiday,173553,봄
2020-04-13,non-holiday,190139,봄
2020-04-14,non-holiday,219044,봄
2020-04-15,holiday,184020,봄
2020-04-16,non-holiday,204666,봄
2020-04-17,non-holiday,217436,봄
2020-04-18,holiday,254966,봄
2020-04-19,holiday,173408,봄
2020-04-20,non-holiday,190217,봄
2020-04-21,non-holiday,205840,봄
2020-04-22,non-holiday,207239,봄
2020-04-23,non-holiday,221349,봄
2020-04-24,non-holiday,265536,봄
2020-04-25,holiday,269660,봄
2020-04-26,holiday,225816,봄
2020-04-27,non-holiday,216917,봄
2020-04-28,non-holiday,238058,봄
2020-04-29,non-holiday,296616,봄
2020-04-30,holiday,270918,봄
2020-05-01,non-holiday,237978,봄
2020-05-02,holiday,257404,봄
2020-05-03,holiday,230904,봄
2020-05-04,non-holiday,230206,봄
2020-05-05,holiday,213193,봄
2020-05-06,non-holiday,221595,봄
2020-05-07,non-holiday,238142,봄
2020-05-08,non-holiday,293421,봄
2020-05-09,holiday,216572,봄
2020-05-10,holiday,188940,봄
2020-05-11,non-holiday,198998,봄
2020-05-12,non-holiday,201076,봄
2020-05-13,non-holiday,208763,봄
2020-05-14,non-holiday,213887,봄
2020-05-15,non-holiday,228697,봄
2020-05-16,holiday,216612,봄
2020-05-17,holiday,192473,봄
2020-05-18,non-holiday,194439,봄
2020-05-19,non-holiday,198391,봄
2020-05-20,non-holiday,227505,봄
2020-05-21,non-holiday,234145,봄
2020-05-22,non-holiday,259392,봄
2020-05-23,holiday,255416,봄
2020-05-24,holiday,198675,봄
2020-05-25,non-holiday,212687,봄
2020-05-26,non-holiday,224946,봄
2020-05-27,non-holiday,239916,봄
2020-05-28,non-holiday,241225,봄
2020-05-29,non-holiday,272954,봄
2020-05-30,holiday,250778,봄
2020-05-31,holiday,204758,봄
2020-06-01,non-holiday,182440,여름
2020-06-02,non-holiday,177732,여름
2020-06-03,non-holiday,200480,여름
2020-06-04,non-holiday,208390,여름
2020-06-05,non-holiday,250146,여름
2020-06-06,holiday,230686,여름
2020-06-07,holiday,196663,여름
2020-06-08,non-holiday,196547,여름
2020-06-09,non-holiday,210107,여름
2020-06-10,non-holiday,213089,여름
2020-06-11,non-holiday,222334,여름
2020-06-12,non-holiday,257399,여름
2020-06-13,holiday,248958,여름
2020-06-14,holiday,206870,여름
2020-06-15,non-holiday,208977,여름
2020-06-16,non-holiday,221605,여름
2020-06-17,non-holiday,224190,여름
2020-06-18,non-holiday,227856,여름
2020-06-19,non-holiday,272052,여름
2020-06-20,holiday,268305,여름
2020-06-21,holiday,214593,여름
2020-06-22,non-holiday,211916,여름
2020-06-23,non-holiday,230206,여름
2020-06-24,non-holiday,212870,여름
2020-06-25,non-holiday,228199,여름
2020-06-26,non-holiday,278284,여름
2020-06-27,holiday,284694,여름
2020-06-28,holiday,231270,여름
2020-06-29,non-holiday,212287,여름
2020-06-30,non-holiday,208500,여름
2020-07-01,non-holiday,197582,여름
2020-07-02,non-holiday,207298,여름
2020-07-03,non-holiday,236938,여름
2020-07-04,holiday,257388,여름
2020-07-05,holiday,212884,여름
2020-07-06,non-holiday,182196,여름
2020-07-07,non-holiday,194142,여름
2020-07-08,non-holiday,203536,여름
2020-07-09,non-holiday,211057,여름
2020-07-10,non-holiday,248298,여름
2020-07-11,holiday,276481,여름
2020-07-12,holiday,217597,여름
2020-07-13,non-holiday,179907,여름
2020-07-14,non-holiday,205955,여름
2020-07-15,non-holiday,231580,여름
2020-07-16,non-holiday,233310,여름
2020-07-17,holiday,269880,여름
2020-07-18,holiday,282228,여름
2020-07-19,holiday,218724,여름
2020-07-20,non-holiday,198793,여름
2020-07-21,non-holiday,222747,여름
2020-07-22,non-holiday,216507,여름
2020-07-23,non-holiday,219973,여름
2020-07-24,non-holiday,262578,여름
2020-07-25,holiday,295052,여름
2020-07-26,holiday,248441,여름
2020-07-27,non-holiday,208936,여름
2020-07-28,non-holiday,226126,여름
2020-07-29,non-holiday,227628,여름
2020-07-30,non-holiday,248197,여름
2020-07-31,non-holiday,292932,여름
2020-08-01,holiday,251430,여름
2020-08-02,holiday,207301,여름
2020-08-03,non-holiday,177716,여름
2020-08-04,non-holiday,202658,여름
2020-08-05,non-holiday,214662,여름
2020-08-06,non-holiday,269018,여름
2020-08-07,non-holiday,272158,여름
2020-08-08,holiday,269969,여름
2020-08-09,holiday,217039,여름
2020-08-10,non-holiday,203533,여름
2020-08-11,non-holiday,210482,여름
2020-08-12,non-holiday,237111,여름
2020-08-13,non-holiday,251923,여름
2020-08-14,non-holiday,287012,여름
2020-08-15,holiday,273610,여름
2020-08-16,holiday,240967,여름
2020-08-17,holiday,212690,여름
2020-08-18,non-holiday,209327,여름
2020-08-19,non-holiday,200038,여름
2020-08-20,non-holiday,198357,여름
2020-08-21,non-holiday,215082,여름
2020-08-22,holiday,181854,여름
2020-08-23,holiday,156917,여름
2020-08-24,non-holiday,177816,여름
2020-08-25,non-holiday,183274,여름
2020-08-26,non-holiday,180891,여름
2020-08-27,non-holiday,158245,여름
2020-08-28,non-holiday,202596,여름
2020-08-29,holiday,174263,여름
2020-08-30,holiday,141419,여름
2020-08-31,non-holiday,172902,여름
2020-09-01,non-holiday,157339,가을
2020-09-02,non-holiday,147892,가을
2020-09-03,non-holiday,155553,가을
2020-09-04,non-holiday,201754,가을
2020-09-05,holiday,182357,가을
2020-09-06,holiday,139483,가을
2020-09-07,non-holiday,135762,가을
2020-09-08,non-holiday,178625,가을
2020-09-09,non-holiday,172159,가을
2020-09-10,non-holiday,186970,가을
2020-09-11,non-holiday,210961,가을
2020-09-12,holiday,189053,가을
2020-09-13,holiday,177364,가을
2020-09-14,non-holiday,182277,가을
2020-09-15,non-holiday,199117,가을
2020-09-16,non-holiday,193367,가을
2020-09-17,non-holiday,211528,가을
2020-09-18,non-holiday,250064,가을
2020-09-19,holiday,249287,가을
2020-09-20,holiday,203652,가을
2020-09-21,non-holiday,213519,가을
2020-09-22,non-holiday,223462,가을
2020-09-23,non-holiday,232165,가을
2020-09-24,non-holiday,236552,가을
2020-09-25,non-holiday,265974,가을
2020-09-26,holiday,266088,가을
2020-09-27,holiday,212656,가을
2020-09-28,non-holiday,241687,가을
2020-09-29,non-holiday,253197,가을
2020-09-30,holiday,201779,가을
2020-10-01,holiday,175626,가을
2020-10-02,holiday,183880,가을
2020-10-03,holiday,209436,가을
2020-10-04,holiday,184087,가을
2020-10-05,non-holiday,177971,가을
2020-10-06,non-holiday,192538,가을
2020-10-07,non-holiday,205546,가을
2020-10-08,non-holiday,254260,가을
2020-10-09,holiday,256014,가을
2020-10-10,holiday,254965,가을
2020-10-11,holiday,219447,가을
2020-10-12,non-holiday,200108,가을
2020-10-13,non-holiday,215628,가을
2020-10-14,non-holiday,219238,가을
2020-10-15,non-holiday,226164,가을
2020-10-16,non-holiday,264988,가을
2020-10-17,holiday,299379,가을
2020-10-18,holiday,250311,가을
2020-10-19,non-holiday,211601,가을
2020-10-20,non-holiday,225772,가을
2020-10-21,non-holiday,232048,가을
2020-10-22,non-holiday,236249,가을
2020-10-23,non-holiday,281195,가을
2020-10-24,holiday,307443,가을
2020-10-25,holiday,258666,가을
2020-10-26,non-holiday,218031,가을
2020-10-27,non-holiday,228773,가을
2020-10-28,non-holiday,242725,가을
2020-10-29,non-holiday,243860,가을
2020-10-30,non-holiday,288546,가을
2020-10-31,holiday,329987,가을
2020-11-01,holiday,232886,가을
2020-11-02,non-holiday,192729,가을
2020-11-03,non-holiday,203526,가을
2020-11-04,non-holiday,206054,가을
2020-11-05,non-holiday,219670,가을
2020-11-06,non-holiday,264866,가을
2020-11-07,holiday,301053,가을
2020-11-08,holiday,256159,가을
2020-11-09,non-holiday,200066,가을
2020-11-10,non-holiday,212273,가을
2020-11-11,non-holiday,227078,가을
2020-11-12,non-holiday,228922,가을
2020-11-13,non-holiday,280119,가을
2020-11-14,holiday,297112,가을
2020-11-15,holiday,247726,가을
2020-11-16,non-holiday,199371,가을
2020-11-17,non-holiday,210113,가을
2020-11-18,non-holiday,211946,가을
2020-11-19,non-holiday,208225,가을
2020-11-20,non-holiday,256367,가을
2020-11-21,holiday,261038,가을
2020-11-22,holiday,208857,가을
2020-11-23,non-holiday,191043,가을
2020-11-24,non-holiday,184697,가을
2020-11-25,non-holiday,190860,가을
2020-11-26,non-holiday,191281,가을
2020-11-27,non-holiday,214277,가을
2020-11-28,holiday,194539,가을
2020-11-29,holiday,164981,가을
2020-11-30,non-holiday,169886,가을
2020-12-01,non-holiday,144663,겨울
2020-12-02,non-holiday,152078,겨울
2020-12-03,non-holiday,157766,겨울
2020-12-04,non-holiday,186256,겨울
2020-12-05,holiday,183406,겨울
2020-12-06,holiday,153102,겨울
2020-12-07,non-holiday,147845,겨울
2020-12-08,non-holiday,150206,겨울
2020-12-09,non-holiday,152099,겨울
2020-12-10,non-holiday,156661,겨울
2020-12-11,non-holiday,182682,겨울
2020-12-12,holiday,173758,겨울
2020-12-13,holiday,121168,겨울
2020-12-14,non-holiday,139344,겨울
2020-12-15,non-holiday,144692,겨울
2020-12-16,non-holiday,148075,겨울
2020-12-17,non-holiday,155078,겨울
2020-12-18,non-holiday,181474,겨울
2020-12-19,holiday,162161,겨울
2020-12-20,holiday,129195,겨울
2020-12-21,non-holiday,154522,겨울
2020-12-22,non-holiday,163274,겨울
2020-12-23,non-holiday,173817,겨울
2020-12-24,non-holiday,206033,겨울
2020-12-25,holiday,151701,겨울
2020-12-26,holiday,151291,겨울
2020-12-27,holiday,128850,겨울
2020-12-28,non-holiday,158919,겨울
2020-12-29,non-holiday,162961,겨울
2020-12-30,non-holiday,168190,겨울
2020-12-31,non-holiday,188727,겨울
