날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,282690,겨울
2020-01-02,non-holiday,336177,겨울
2020-01-03,non-holiday,390649,겨울
2020-01-04,holiday,434801,겨울
2020-01-05,holiday,304024,겨울
2020-01-06,non-holiday,327019,겨울
2020-01-07,non-holiday,321495,겨울
2020-01-08,non-holiday,368090,겨울
2020-01-09,non-holiday,384873,겨울
2020-01-10,non-holiday,419033,겨울
2020-01-11,holiday,502043,겨울
2020-01-12,holiday,331260,겨울
2020-01-13,non-holiday,355869,겨울
2020-01-14,non-holiday,383116,겨울
2020-01-15,non-holiday,393312,겨울
2020-01-16,non-holiday,396493,겨울
2020-01-17,non-holiday,425412,겨울
2020-01-18,holiday,482188,겨울
2020-01-19,holiday,310290,겨울
2020-01-20,non-holiday,369507,겨울
2020-01-21,non-holiday,389477,겨울
2020-01-22,non-holiday,390297,겨울
2020-01-23,non-holiday,362265,겨울
2020-01-24,holiday,241020,겨울
2020-01-25,holiday,263099,겨울
2020-01-26,holiday,309675,겨울
2020-01-27,holiday,247769,겨울
2020-01-28,non-holiday,316199,겨울
2020-01-29,non-holiday,362195,겨울
2020-01-30,non-holiday,362402,겨울
2020-01-31,non-holiday,370252,겨울
2020-02-01,holiday,316442,겨울
2020-02-02,holiday,226353,겨울
2020-02-03,non-holiday,281693,겨울
2020-02-04,non-holiday,298029,겨울
2020-02-05,non-holiday,289705,겨울
2020-02-06,non-holiday,293363,겨울
2020-02-07,non-holiday,322644,겨울
2020-02-08,holiday,308182,겨울
2020-02-09,holiday,234711,겨울
2020-02-10,non-holiday,304987,겨울
2020-02-11,non-holiday,336852,겨울
2020-02-12,non-holiday,307063,겨울
2020-02-13,non-holiday,350285,겨울
2020-02-14,non-holiday,384543,겨울
2020-02-15,holiday,381720,겨울
2020-02-16,holiday,241938,겨울
2020-02-17,non-holiday,288334,겨울
2020-02-18,non-holiday,325415,겨울
2020-02-19,non-holiday,349722,겨울
2020-02-20,non-holiday,338235,겨울
2020-02-21,non-holiday,314057,겨울
2020-02-22,holiday,259009,겨울
2020-02-23,holiday,189535,겨울
2020-02-24,non-holiday,251590,겨울
2020-02-25,non-holiday,232723,겨울
2020-02-26,non-holiday,254675,겨울
2020-02-27,non-holiday,250880,겨울
2020-02-28,non-holiday,232696,겨울
2020-02-29,holiday,205220,겨울
2020-03-01,holiday,128971,봄
2020-03-02,non-holiday,194379,봄
2020-03-03,non-holiday,207114,봄
2020-03-04,non-holiday,203824,봄
2020-03-05,non-holiday,213249,봄
2020-03-06,non-holiday,234975,봄
2020-03-07,holiday,212178,봄
2020-03-08,holiday,171397,봄
2020-03-09,non-holiday,228069,봄
2020-03-10,non-holiday,208363,봄
2020-03-11,non-holiday,241745,봄
2020-03-12,non-holiday,238610,봄
2020-03-13,non-holiday,248978,봄
2020-03-14,holiday,229160,봄
2020-03-15,holiday,168698,봄
2020-03-16,non-holiday,228384,봄
2020-03-17,non-holiday,235976,봄
2020-03-18,non-holiday,258885,봄
2020-03-19,non-holiday,228233,봄
2020-03-20,non-holiday,278699,봄
2020-03-21,holiday,255457,봄
2020-03-22,holiday,198380,봄
2020-03-23,non-holiday,243345,봄
2020-03-24,non-holiday,262493,봄
2020-03-25,non-holiday,274602,봄
2020-03-26,non-holiday,258038,봄
2020-03-27,non-holiday,282696,봄
2020-03-28,holiday,258642,봄
2020-03-29,holiday,201997,봄
2020-03-30,non-holiday,256211,봄
2020-03-31,non-holiday,272504,봄
2020-04-01,non-holiday,245308,봄
2020-04-02,non-holiday,247080,봄
2020-04-03,non-holiday,268869,봄
2020-04-04,holiday,242992,봄
2020-04-05,holiday,181696,봄
2020-04-06,non-holiday,240429,봄
2020-04-07,non-holiday,258094,봄
2020-04-08,non-holiday,263411,봄
2020-04-09,non-holiday,264248,봄
2020-04-10,non-holiday,287963,봄
2020-04-11,holiday,266195,봄
2020-04-12,holiday,194632,봄
2020-04-13,non-holiday,263154,봄
2020-04-14,non-holiday,300374,봄
2020-04-15,holiday,235220,봄
2020-04-16,non-holiday,283916,봄
2020-04-17,non-holiday,273384,봄
2020-04-18,holiday,309464,봄
2020-04-19,holiday,189072,봄
2020-04-20,non-holiday,265750,봄
2020-04-21,non-holiday,289305,봄
2020-04-22,non-holiday,287624,봄
2020-04-23,non-holiday,305313,봄
2020-04-24,non-holiday,334738,봄
2020-04-25,holiday,327042,봄
2020-04-26,holiday,260946,봄
2020-04-27,non-holiday,303088,봄
2020-04-28,non-holiday,334465,봄
2020-04-29,non-holiday,365475,봄
2020-04-30,holiday,335608,봄
2020-05-01,non-holiday,293605,봄
2020-05-02,holiday,302886,봄
2020-05-03,holiday,246048,봄
2020-05-04,non-holiday,302128,봄
2020-05-05,holiday,267915,봄
2020-05-06,non-holiday,305187,봄
2020-05-07,non-holiday,319964,봄
2020-05-08,non-holiday,337631,봄
2020-05-09,holiday,251357,봄
2020-05-10,holiday,240601,봄
2020-05-11,non-holiday,284118,봄
2020-05-12,non-holiday,299139,봄
2020-05-13,non-holiday,314914,봄
2020-05-14,non-holiday,311464,봄
2020-05-15,non-holiday,288567,봄
2020-05-16,holiday,301774,봄
2020-05-17,holiday,252140,봄
2020-05-18,non-holiday,270303,봄
2020-05-19,non-holiday,289900,봄
2020-05-20,non-holiday,339372,봄
2020-05-21,non-holiday,341726,봄
2020-05-22,non-holiday,353496,봄
2020-05-23,holiday,361548,봄
2020-05-24,holiday,250321,봄
2020-05-25,non-holiday,312519,봄
2020-05-26,non-holiday,321319,봄
2020-05-27,non-holiday,354359,봄
2020-05-28,non-holiday,343995,봄
2020-05-29,non-holiday,367780,봄
2020-05-30,holiday,346608,봄
2020-05-31,holiday,249435,봄
2020-06-01,non-holiday,268283,여름
2020-06-02,non-holiday,262191,여름
2020-06-03,non-holiday,299246,여름
2020-06-04,non-holiday,299340,여름
2020-06-05,non-holiday,329466,여름
2020-06-06,holiday,301715,여름
2020-06-07,holiday,228596,여름
2020-06-08,non-holiday,278718,여름
2020-06-09,non-holiday,297613,여름
2020-06-10,non-holiday,297825,여름
2020-06-11,non-holiday,304153,여름
2020-06-12,non-holiday,329716,여름
2020-06-13,holiday,303305,여름
2020-06-14,holiday,234675,여름
2020-06-15,non-holiday,289203,여름
2020-06-16,non-holiday,309482,여름
2020-06-17,non-holiday,316421,여름
2020-06-18,non-holiday,316628,여름
2020-06-19,non-holiday,342023,여름
2020-06-20,holiday,327782,여름
2020-06-21,holiday,236789,여름
2020-06-22,non-holiday,285520,여름
2020-06-23,non-holiday,313109,여름
2020-06-24,non-holiday,282264,여름
2020-06-25,non-holiday,310870,여름
2020-06-26,non-holiday,355298,여름
2020-06-27,holiday,342372,여름
2020-06-28,holiday,255774,여름
2020-06-29,non-holiday,301897,여름
2020-06-30,non-holiday,307908,여름
2020-07-01,non-holiday,293611,여름
2020-07-02,non-holiday,296886,여름
2020-07-03,non-holiday,311538,여름
2020-07-04,holiday,336039,여름
2020-07-05,holiday,245947,여름
2020-07-06,non-holiday,275229,여름
2020-07-07,non-holiday,297857,여름
2020-07-08,non-holiday,306370,여름
2020-07-09,non-holiday,309097,여름
2020-07-10,non-holiday,338795,여름
2020-07-11,holiday,358403,여름
2020-07-12,holiday,262931,여름
2020-07-13,non-holiday,266472,여름
2020-07-14,non-holiday,329999,여름
2020-07-15,non-holiday,348192,여름
2020-07-16,non-holiday,344161,여름
2020-07-17,holiday,359066,여름
2020-07-18,holiday,358514,여름
2020-07-19,holiday,225544,여름
2020-07-20,non-holiday,294586,여름
2020-07-21,non-holiday,342318,여름
2020-07-22,non-holiday,327741,여름
2020-07-23,non-holiday,304202,여름
2020-07-24,non-holiday,352252,여름
2020-07-25,holiday,383602,여름
2020-07-26,holiday,290188,여름
2020-07-27,non-holiday,299958,여름
2020-07-28,non-holiday,334001,여름
2020-07-29,non-holiday,320476,여름
2020-07-30,non-holiday,356448,여름
2020-07-31,non-holiday,380067,여름
2020-08-01,holiday,283211,여름
2020-08-02,holiday,193485,여름
2020-08-03,non-holiday,212879,여름
2020-08-04,non-holiday,274261,여름
2020-08-05,non-holiday,280316,여름
2020-08-06,non-holiday,311576,여름
2020-08-07,non-holiday,357208,여름
2020-08-08,holiday,334076,여름
2020-08-09,holiday,189159,여름
2020-08-10,non-holiday,271552,여름
2020-08-11,non-holiday,303345,여름
2020-08-12,non-holiday,350907,여름
2020-08-13,non-holiday,334164,여름
2020-08-14,non-holiday,334539,여름
2020-08-15,holiday,358473,여름
2020-08-16,holiday,260373,여름
2020-08-17,holiday,235925,여름
2020-08-18,non-holiday,276872,여름
2020-08-19,non-holiday,262197,여름
2020-08-20,non-holiday,249693,여름
2020-08-21,non-holiday,241174,여름
2020-08-22,holiday,189754,여름
2020-08-23,holiday,162347,여름
2020-08-24,non-holiday,224630,여름
2020-08-25,non-holiday,236770,여름
2020-08-26,non-holiday,225513,여름
2020-08-27,non-holiday,198683,여름
2020-08-28,non-holiday,233817,여름
2020-08-29,holiday,181251,여름
2020-08-30,holiday,137036,여름
2020-08-31,non-holiday,213225,여름
2020-09-01,non-holiday,210464,가을
2020-09-02,non-holiday,191410,가을
2020-09-03,non-holiday,202757,가을
2020-09-04,non-holiday,250525,가을
2020-09-05,holiday,206850,가을
2020-09-06,holiday,143014,가을
2020-09-07,non-holiday,174670,가을
2020-09-08,non-holiday,250941,가을
2020-09-09,non-holiday,237494,가을
2020-09-10,non-holiday,255813,가을
2020-09-11,non-holiday,265110,가을
2020-09-12,holiday,220099,가을
2020-09-13,holiday,202259,가을
2020-09-14,non-holiday,261150,가을
2020-09-15,non-holiday,289224,가을
2020-09-16,non-holiday,276889,가을
2020-09-17,non-holiday,298063,가을
2020-09-18,non-holiday,328731,가을
2020-09-19,holiday,310101,가을
2020-09-20,holiday,234522,가을
2020-09-21,non-holiday,301640,가을
2020-09-22,non-holiday,326846,가을
2020-09-23,non-holiday,332025,가을
2020-09-24,non-holiday,337080,가을
2020-09-25,non-holiday,354160,가을
2020-09-26,holiday,332192,가을
2020-09-27,holiday,255885,가을
2020-09-28,non-holiday,331448,가을
2020-09-29,non-holiday,336921,가을
2020-09-30,holiday,210189,가을
2020-10-01,holiday,179932,가을
2020-10-02,holiday,214382,가을
2020-10-03,holiday,234819,가을
2020-10-04,holiday,207568,가을
2020-10-05,non-holiday,270767,가을
2020-10-06,non-holiday,302425,가을
2020-10-07,non-holiday,315192,가을
2020-10-08,non-holiday,347411,가을
2020-10-09,holiday,310119,가을
2020-10-10,holiday,329134,가을
2020-10-11,holiday,253789,가을
2020-10-12,non-holiday,304675,가을
2020-10-13,non-holiday,337782,가을
2020-10-14,non-holiday,340030,가을
2020-10-15,non-holiday,327297,가을
2020-10-16,non-holiday,367613,가을
2020-10-17,holiday,388039,가을
2020-10-18,holiday,286489,가을
2020-10-19,non-holiday,327342,가을
2020-10-20,non-holiday,351191,가을
2020-10-21,non-holiday,354994,가을
2020-10-22,non-holiday,355656,가을
2020-10-23,non-holiday,388198,가을
2020-10-24,holiday,401680,가을
2020-10-25,holiday,313894,가을
2020-10-26,non-holiday,337803,가을
2020-10-27,non-holiday,357028,가을
2020-10-28,non-holiday,373950,가을
2020-10-29,non-holiday,371670,가을
2020-10-30,non-holiday,395414,가을
2020-10-31,holiday,421230,가을
2020-11-01,holiday,235241,가을
2020-11-02,non-holiday,286556,가을
2020-11-03,non-holiday,300512,가을
2020-11-04,non-holiday,311362,가을
2020-11-05,non-holiday,325318,가을
2020-11-06,non-holiday,350890,가을
2020-11-07,holiday,395270,가을
2020-11-08,holiday,311565,가을
2020-11-09,non-holiday,291555,가을
2020-11-10,non-holiday,324926,가을
2020-11-11,non-holiday,343746,가을
2020-11-12,non-holiday,337573,가을
2020-11-13,non-holiday,367353,가을
2020-11-14,holiday,386033,가을
2020-11-15,holiday,295111,가을
2020-11-16,non-holiday,303499,가을
2020-11-17,non-holiday,317360,가을
2020-11-18,non-holiday,308293,가을
2020-11-19,non-holiday,278861,가을
2020-11-20,non-holiday,336164,가을
2020-11-21,holiday,329655,가을
2020-11-22,holiday,231165,가을
2020-11-23,non-holiday,278014,가을
2020-11-24,non-holiday,272815,가을
2020-11-25,non-holiday,284591,가을
2020-11-26,non-holiday,270919,가을
2020-11-27,non-holiday,271508,가을
2020-11-28,holiday,234324,가을
2020-11-29,holiday,176287,가을
2020-11-30,non-holiday,239356,가을
2020-12-01,non-holiday,219515,겨울
2020-12-02,non-holiday,228805,겨울
2020-12-03,non-holiday,232056,겨울
2020-12-04,non-holiday,237525,겨울
2020-12-05,holiday,234042,겨울
2020-12-06,holiday,180083,겨울
2020-12-07,non-holiday,207502,겨울
2020-12-08,non-holiday,214769,겨울
2020-12-09,non-holiday,215985,겨울
2020-12-10,non-holiday,219571,겨울
2020-12-11,non-holiday,232572,겨울
2020-12-12,holiday,201856,겨울
2020-12-13,holiday,123708,겨울
2020-12-14,non-holiday,180936,겨울
2020-12-15,non-holiday,192836,겨울
2020-12-16,non-holiday,196336,겨울
2020-12-17,non-holiday,206334,겨울
2020-12-18,non-holiday,226570,겨울
2020-12-19,holiday,184042,겨울
2020-12-20,holiday,138600,겨울
2020-12-21,non-holiday,213499,겨울
2020-12-22,non-holiday,224918,겨울
2020-12-23,non-holiday,229802,겨울
2020-12-24,non-holiday,241955,겨울
2020-12-25,holiday,170419,겨울
2020-12-26,holiday,177612,겨울
2020-12-27,holiday,143140,겨울
2020-12-28,non-holiday,216334,겨울
2020-12-29,non-holiday,218761,겨울
2020-12-30,non-holiday,209367,겨울
2020-12-31,non-holiday,217752,겨울
