날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,103350,겨울
2020-01-02,non-holiday,106211,겨울
2020-01-03,non-holiday,114943,겨울
2020-01-04,holiday,124573,겨울
2020-01-05,holiday,105586,겨울
2020-01-06,non-holiday,96790,겨울
2020-01-07,non-holiday,100653,겨울
2020-01-08,non-holiday,108419,겨울
2020-01-09,non-holiday,111844,겨울
2020-01-10,non-holiday,119332,겨울
2020-01-11,holiday,131787,겨울
2020-01-12,holiday,110383,겨울
2020-01-13,non-holiday,108174,겨울
2020-01-14,non-holiday,114409,겨울
2020-01-15,non-holiday,113593,겨울
2020-01-16,non-holiday,115016,겨울
2020-01-17,non-holiday,123123,겨울
2020-01-18,holiday,130942,겨울
2020-01-19,holiday,111647,겨울
2020-01-20,non-holiday,114671,겨울
2020-01-21,non-holiday,121477,겨울
2020-01-22,non-holiday,123906,겨울
2020-01-23,non-holiday,134839,겨울
2020-01-24,holiday,137392,겨울
2020-01-25,holiday,160171,겨울
2020-01-26,holiday,144669,겨울
2020-01-27,holiday,108718,겨울
2020-01-28,non-holiday,118218,겨울
2020-01-29,non-holiday,114971,겨울
2020-01-30,non-holiday,115035,겨울
2020-01-31,non-holiday,123351,겨울
2020-02-01,holiday,113887,겨울
2020-02-02,holiday,91001,겨울
2020-02-03,non-holiday,94833,겨울
2020-02-04,non-holiday,99670,겨울
2020-02-05,non-holiday,101287,겨울
2020-02-06,non-holiday,101653,겨울
2020-02-07,non-holiday,112658,겨울
2020-02-08,holiday,117201,겨울
2020-02-09,holiday,98658,겨울
2020-02-10,non-holiday,105426,겨울
2020-02-11,non-holiday,114404,겨울
2020-02-12,non-holiday,105380,겨울
2020-02-13,non-holiday,116554,겨울
2020-02-14,non-holiday,125318,겨울
2020-02-15,holiday,134687,겨울
2020-02-16,holiday,107719,겨울
2020-02-17,non-holiday,106705,겨울
2020-02-18,non-holiday,111888,겨울
2020-02-19,non-holiday,114972,겨울
2020-02-20,non-holiday,111319,겨울
2020-02-21,non-holiday,111810,겨울
2020-02-22,holiday,104249,겨울
2020-02-23,holiday,74902,겨울
2020-02-24,non-holiday,81949,겨울
2020-02-25,non-holiday,72030,겨울
2020-02-26,non-holiday,78039,겨울
2020-02-27,non-holiday,78577,겨울
2020-02-28,non-holiday,79665,겨울
2020-02-29,holiday,74289,겨울
2020-03-01,holiday,46323,봄
2020-03-02,non-holiday,63168,봄
2020-03-03,non-holiday,65799,봄
2020-03-04,non-holiday,67826,봄
2020-03-05,non-holiday,68607,봄
2020-03-06,non-holiday,76473,봄
2020-03-07,holiday,72866,봄
2020-03-08,holiday,63910,봄
2020-03-09,non-holiday,72705,봄
2020-03-10,non-holiday,72523,봄
2020-03-11,non-holiday,80260,봄
2020-03-12,non-holiday,81485,봄
2020-03-13,non-holiday,87217,봄
2020-03-14,holiday,87908,봄
2020-03-15,holiday,68561,봄
2020-03-16,non-holiday,82645,봄
2020-03-17,non-holiday,85299,봄
2020-03-18,non-holiday,87589,봄
2020-03-19,non-holiday,84701,봄
2020-03-20,non-holiday,93284,봄
2020-03-21,holiday,93902,봄
2020-03-22,holiday,76595,봄
2020-03-23,non-holiday,89070,봄
2020-03-24,non-holiday,89018,봄
2020-03-25,non-holiday,94560,봄
2020-03-26,non-holiday,87870,봄
2020-03-27,non-holiday,91163,봄
2020-03-28,holiday,95885,봄
2020-03-29,holiday,81470,봄
2020-03-30,non-holiday,93323,봄
2020-03-31,non-holiday,96055,봄
2020-04-01,non-holiday,75632,봄
2020-04-02,non-holiday,78433,봄
2020-04-03,non-holiday,87311,봄
2020-04-04,holiday,90568,봄
2020-04-05,holiday,74284,봄
2020-04-06,non-holiday,79264,봄
2020-04-07,non-holiday,82638,봄
2020-04-08,non-holiday,86314,봄
2020-04-09,non-holiday,86237,봄
2020-04-10,non-holiday,93435,봄
2020-04-11,holiday,97230,봄
2020-04-12,holiday,72703,봄
2020-04-13,non-holiday,86219,봄
2020-04-14,non-holiday,98405,봄
2020-04-15,holiday,88235,봄
2020-04-16,non-holiday,91521,봄
2020-04-17,non-holiday,93535,봄
2020-04-18,holiday,104811,봄
2020-04-19,holiday,79813,봄
2020-04-20,non-holiday,92905,봄
2020-04-21,non-holiday,97191,봄
2020-04-22,non-holiday,98390,봄
2020-04-23,non-holiday,99933,봄
2020-04-24,non-holiday,108484,봄
2020-04-25,holiday,114518,봄
2020-04-26,holiday,95039,봄
2020-04-27,non-holiday,99715,봄
2020-04-28,non-holiday,104485,봄
2020-04-29,non-holiday,116212,봄
2020-04-30,holiday,113757,봄
2020-05-01,non-holiday,108656,봄
2020-05-02,holiday,115275,봄
2020-05-03,holiday,92231,봄
2020-05-04,non-holiday,107190,봄
2020-05-05,holiday,96271,봄
2020-05-06,non-holiday,93858,봄
2020-05-07,non-holiday,98705,봄
2020-05-08,non-holiday,111713,봄
2020-05-09,holiday,106549,봄
2020-05-10,holiday,98938,봄
2020-05-11,non-holiday,98786,봄
2020-05-12,non-holiday,101954,봄
2020-05-13,non-holiday,104903,봄
2020-05-14,non-holiday,106335,봄
2020-05-15,non-holiday,106481,봄
2020-05-16,holiday,123867,봄
2020-05-17,holiday,104054,봄
2020-05-18,non-holiday,99724,봄
2020-05-19,non-holiday,106294,봄
2020-05-20,non-holiday,111535,봄
2020-05-21,non-holiday,110441,봄
2020-05-22,non-holiday,120225,봄
2020-05-23,holiday,131915,봄
2020-05-24,holiday,108588,봄
2020-05-25,non-holiday,107744,봄
2020-05-26,non-holiday,112158,봄
2020-05-27,non-holiday,114572,봄
2020-05-28,non-holiday,115697,봄
2020-05-29,non-holiday,122824,봄
2020-05-30,holiday,131395,봄
2020-05-31,holiday,107114,봄
2020-06-01,non-holiday,88087,여름
2020-06-02,non-holiday,91567,여름
2020-06-03,non-holiday,92942,여름
2020-06-04,non-holiday,94759,여름
2020-06-05,non-holiday,108176,여름
2020-06-06,holiday,113524,여름
2020-06-07,holiday,94487,여름
2020-06-08,non-holiday,96840,여름
2020-06-09,non-holiday,99688,여름
2020-06-10,non-holiday,102679,여름
2020-06-11,non-holiday,100924,여름
2020-06-12,non-holiday,112613,여름
2020-06-13,holiday,119921,여름
2020-06-14,holiday,95315,여름
2020-06-15,non-holiday,100478,여름
2020-06-16,non-holiday,105091,여름
2020-06-17,non-holiday,107480,여름
2020-06-18,non-holiday,101016,여름
2020-06-19,non-holiday,117767,여름
2020-06-20,holiday,125304,여름
2020-06-21,holiday,102848,여름
2020-06-22,non-holiday,105692,여름
2020-06-23,non-holiday,110466,여름
2020-06-24,non-holiday,109485,여름
2020-06-25,non-holiday,107831,여름
2020-06-26,non-holiday,123157,여름
2020-06-27,holiday,133216,여름
2020-06-28,holiday,110392,여름
2020-06-29,non-holiday,106120,여름
2020-06-30,non-holiday,109518,여름
2020-07-01,non-holiday,91841,여름
2020-07-02,non-holiday,95079,여름
2020-07-03,non-holiday,102759,여름
2020-07-04,holiday,118266,여름
2020-07-05,holiday,98069,여름
2020-07-06,non-holiday,91821,여름
2020-07-07,non-holiday,97932,여름
2020-07-08,non-holiday,103469,여름
2020-07-09,non-holiday,101685,여름
2020-07-10,non-holiday,100495,여름
2020-07-11,holiday,124134,여름
2020-07-12,holiday,98479,여름
2020-07-13,non-holiday,87114,여름
2020-07-14,non-holiday,101524,여름
2020-07-15,non-holiday,107507,여름
2020-07-16,non-holiday,109662,여름
2020-07-17,holiday,118571,여름
2020-07-18,holiday,127749,여름
2020-07-19,holiday,101357,여름
2020-07-20,non-holiday,101860,여름
2020-07-21,non-holiday,108548,여름
2020-07-22,non-holiday,101515,여름
2020-07-23,non-holiday,101016,여름
2020-07-24,non-holiday,115614,여름
2020-07-25,holiday,128493,여름
2020-07-26,holiday,113188,여름
2020-07-27,non-holiday,103371,여름
2020-07-28,non-holiday,104471,여름
2020-07-29,non-holiday,111401,여름
2020-07-30,non-holiday,112837,여름
2020-07-31,non-holiday,127913,여름
2020-08-01,holiday,116253,여름
2020-08-02,holiday,97376,여름
2020-08-03,non-holiday,104942,여름
2020-08-04,non-holiday,107021,여름
2020-08-05,non-holiday,106445,여름
2020-08-06,non-holiday,103828,여름
2020-08-07,non-holiday,108791,여름
2020-08-08,holiday,110005,여름
2020-08-09,holiday,99732,여름
2020-08-10,non-holiday,88486,여름
2020-08-11,non-holiday,104088,여름
2020-08-12,non-holiday,105926,여름
2020-08-13,non-holiday,109200,여름
2020-08-14,non-holiday,121999,여름
2020-08-15,holiday,124735,여름
2020-08-16,holiday,110988,여름
2020-08-17,holiday,104119,여름
2020-08-18,non-holiday,104209,여름
2020-08-19,non-holiday,103615,여름
2020-08-20,non-holiday,102688,여름
2020-08-21,non-holiday,111652,여름
2020-08-22,holiday,109553,여름
2020-08-23,holiday,87436,여름
2020-08-24,non-holiday,97748,여름
2020-08-25,non-holiday,99229,여름
2020-08-26,non-holiday,90033,여름
2020-08-27,non-holiday,91334,여름
2020-08-28,non-holiday,104434,여름
2020-08-29,holiday,106118,여름
2020-08-30,holiday,81960,여름
2020-08-31,non-holiday,93892,여름
2020-09-01,non-holiday,85315,가을
2020-09-02,non-holiday,72595,가을
2020-09-03,non-holiday,93399,가을
2020-09-04,non-holiday,98628,가을
2020-09-05,holiday,89438,가을
2020-09-06,holiday,69357,가을
2020-09-07,non-holiday,68009,가을
2020-09-08,non-holiday,94520,가을
2020-09-09,non-holiday,97005,가을
2020-09-10,non-holiday,97722,가을
2020-09-11,non-holiday,102295,가을
2020-09-12,holiday,97645,가을
2020-09-13,holiday,80259,가을
2020-09-14,non-holiday,96532,가을
2020-09-15,non-holiday,101496,가을
2020-09-16,non-holiday,101014,가을
2020-09-17,non-holiday,100814,가을
2020-09-18,non-holiday,111900,가을
2020-09-19,holiday,114359,가을
2020-09-20,holiday,92559,가을
2020-09-21,non-holiday,108061,가을
2020-09-22,non-holiday,111342,가을
2020-09-23,non-holiday,112912,가을
2020-09-24,non-holiday,113744,가을
2020-09-25,non-holiday,125478,가을
2020-09-26,holiday,121837,가을
2020-09-27,holiday,102174,가을
2020-09-28,non-holiday,123754,가을
2020-09-29,non-holiday,131962,가을
2020-09-30,holiday,118474,가을
2020-10-01,holiday,117070,가을
2020-10-02,holiday,121304,가을
2020-10-03,holiday,116798,가을
2020-10-04,holiday,91425,가을
2020-10-05,non-holiday,95029,가을
2020-10-06,non-holiday,96750,가을
2020-10-07,non-holiday,99796,가을
2020-10-08,non-holiday,107361,가을
2020-10-09,holiday,108459,가을
2020-10-10,holiday,118095,가을
2020-10-11,holiday,98469,가을
2020-10-12,non-holiday,100609,가을
2020-10-13,non-holiday,105066,가을
2020-10-14,non-holiday,108342,가을
2020-10-15,non-holiday,109101,가을
2020-10-16,non-holiday,116848,가을
2020-10-17,holiday,129977,가을
2020-10-18,holiday,112297,가을
2020-10-19,non-holiday,107092,가을
2020-10-20,non-holiday,112246,가을
2020-10-21,non-holiday,113694,가을
2020-10-22,non-holiday,115398,가을
2020-10-23,non-holiday,131046,가을
2020-10-24,holiday,142668,가을
2020-10-25,holiday,124808,가을
2020-10-26,non-holiday,118981,가을
2020-10-27,non-holiday,121685,가을
2020-10-28,non-holiday,122139,가을
2020-10-29,non-holiday,121659,가을
2020-10-30,non-holiday,136779,가을
2020-10-31,holiday,150371,가을
2020-11-01,holiday,109289,가을
2020-11-02,non-holiday,97505,가을
2020-11-03,non-holiday,102293,가을
2020-11-04,non-holiday,104708,가을
2020-11-05,non-holiday,105419,가을
2020-11-06,non-holiday,116848,가을
2020-11-07,holiday,136990,가을
2020-11-08,holiday,115112,가을
2020-11-09,non-holiday,105136,가을
2020-11-10,non-holiday,108721,가을
2020-11-11,non-holiday,111819,가을
2020-11-12,non-holiday,110296,가을
2020-11-13,non-holiday,123930,가을
2020-11-14,holiday,144779,가을
2020-11-15,holiday,112684,가을
2020-11-16,non-holiday,108794,가을
2020-11-17,non-holiday,112400,가을
2020-11-18,non-holiday,113340,가을
2020-11-19,non-holiday,104590,가을
2020-11-20,non-holiday,130089,가을
2020-11-21,holiday,135714,가을
2020-11-22,holiday,107498,가을
2020-11-23,non-holiday,110751,가을
2020-11-24,non-holiday,112469,가을
2020-11-25,non-holiday,114696,가을
2020-11-26,non-holiday,110804,가을
2020-11-27,non-holiday,117085,가을
2020-11-28,holiday,118424,가을
2020-11-29,holiday,100412,가을
2020-11-30,non-holiday,107352,가을
2020-12-01,non-holiday,83259,겨울
2020-12-02,non-holiday,86291,겨울
2020-12-03,non-holiday,89121,겨울
2020-12-04,non-holiday,97880,겨울
2020-12-05,holiday,106089,겨울
2020-12-06,holiday,88006,겨울
2020-12-07,non-holiday,83591,겨울
2020-12-08,non-holiday,82803,겨울
2020-12-09,non-holiday,82457,겨울
2020-12-10,non-holiday,82765,겨울
2020-12-11,non-holiday,87148,겨울
2020-12-12,holiday,87806,겨울
2020-12-13,holiday,72333,겨울
2020-12-14,non-holiday,80921,겨울
2020-12-15,non-holiday,82858,겨울
2020-12-16,non-holiday,84874,겨울
2020-12-17,non-holiday,87603,겨울
2020-12-18,non-holiday,93584,겨울
2020-12-19,holiday,93944,겨울
2020-12-20,holiday,76103,겨울
2020-12-21,non-holiday,90793,겨울
2020-12-22,non-holiday,92344,겨울
2020-12-23,non-holiday,95414,겨울
2020-12-24,non-holiday,102530,겨울
2020-12-25,holiday,87746,겨울
2020-12-26,holiday,98018,겨울
2020-12-27,holiday,77583,겨울
2020-12-28,non-holiday,97391,겨울
2020-12-29,non-holiday,99572,겨울
2020-12-30,non-holiday,97872,겨울
2020-12-31,non-holiday,108573,겨울
