날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,49044,겨울
2020-01-02,non-holiday,26753,겨울
2020-01-03,non-holiday,29506,겨울
2020-01-04,holiday,33357,겨울
2020-01-05,holiday,31862,겨울
2020-01-06,non-holiday,25022,겨울
2020-01-07,non-holiday,25326,겨울
2020-01-08,non-holiday,28616,겨울
2020-01-09,non-holiday,28785,겨울
2020-01-10,non-holiday,29846,겨울
2020-01-11,holiday,35350,겨울
2020-01-12,holiday,32612,겨울
2020-01-13,non-holiday,27726,겨울
2020-01-14,non-holiday,28705,겨울
2020-01-15,non-holiday,29007,겨울
2020-01-16,non-holiday,29687,겨울
2020-01-17,non-holiday,30884,겨울
2020-01-18,holiday,31934,겨울
2020-01-19,holiday,31821,겨울
2020-01-20,non-holiday,29818,겨울
2020-01-21,non-holiday,31338,겨울
2020-01-22,non-holiday,31358,겨울
2020-01-23,non-holiday,33784,겨울
2020-01-24,holiday,47648,겨울
2020-01-25,holiday,65728,겨울
2020-01-26,holiday,50078,겨울
2020-01-27,holiday,29153,겨울
2020-01-28,non-holiday,29091,겨울
2020-01-29,non-holiday,30950,겨울
2020-01-30,non-holiday,31366,겨울
2020-01-31,non-holiday,32016,겨울
2020-02-01,holiday,30178,겨울
2020-02-02,holiday,28310,겨울
2020-02-03,non-holiday,26424,겨울
2020-02-04,non-holiday,27586,겨울
2020-02-05,non-holiday,27645,겨울
2020-02-06,non-holiday,27627,겨울
2020-02-07,non-holiday,30093,겨울
2020-02-08,holiday,32766,겨울
2020-02-09,holiday,31756,겨울
2020-02-10,non-holiday,30298,겨울
2020-02-11,non-holiday,30418,겨울
2020-02-12,non-holiday,28142,겨울
2020-02-13,non-holiday,32787,겨울
2020-02-14,non-holiday,34532,겨울
2020-02-15,holiday,38410,겨울
2020-02-16,holiday,32924,겨울
2020-02-17,non-holiday,30071,겨울
2020-02-18,non-holiday,30489,겨울
2020-02-19,non-holiday,31451,겨울
2020-02-20,non-holiday,31364,겨울
2020-02-21,non-holiday,30983,겨울
2020-02-22,holiday,30054,겨울
2020-02-23,holiday,26460,겨울
2020-02-24,non-holiday,25698,겨울
2020-02-25,non-holiday,22733,겨울
2020-02-26,non-holiday,24509,겨울
2020-02-27,non-holiday,24947,겨울
2020-02-28,non-holiday,24759,겨울
2020-02-29,holiday,25801,겨울
2020-03-01,holiday,18481,봄
2020-03-02,non-holiday,17813,봄
2020-03-03,non-holiday,18925,봄
2020-03-04,non-holiday,20215,봄
2020-03-05,non-holiday,20671,봄
2020-03-06,non-holiday,22751,봄
2020-03-07,holiday,22256,봄
2020-03-08,holiday,26878,봄
2020-03-09,non-holiday,20452,봄
2020-03-10,non-holiday,19840,봄
2020-03-11,non-holiday,23757,봄
2020-03-12,non-holiday,24087,봄
2020-03-13,non-holiday,25131,봄
2020-03-14,holiday,28964,봄
2020-03-15,holiday,27456,봄
2020-03-16,non-holiday,23384,봄
2020-03-17,non-holiday,25343,봄
2020-03-18,non-holiday,26468,봄
2020-03-19,non-holiday,23958,봄
2020-03-20,non-holiday,26985,봄
2020-03-21,holiday,32520,봄
2020-03-22,holiday,31255,봄
2020-03-23,non-holiday,25604,봄
2020-03-24,non-holiday,27424,봄
2020-03-25,non-holiday,28311,봄
2020-03-26,non-holiday,25415,봄
2020-03-27,non-holiday,25970,봄
2020-03-28,holiday,30316,봄
2020-03-29,holiday,33518,봄
2020-03-30,non-holiday,29194,봄
2020-03-31,non-holiday,30565,봄
2020-04-01,non-holiday,21679,봄
2020-04-02,non-holiday,24162,봄
2020-04-03,non-holiday,26237,봄
2020-04-04,holiday,31210,봄
2020-04-05,holiday,30016,봄
2020-04-06,non-holiday,23451,봄
2020-04-07,non-holiday,25226,봄
2020-04-08,non-holiday,26192,봄
2020-04-09,non-holiday,25510,봄
2020-04-10,non-holiday,26966,봄
2020-04-11,holiday,29622,봄
2020-04-12,holiday,24338,봄
2020-04-13,non-holiday,23391,봄
2020-04-14,non-holiday,29119,봄
2020-04-15,holiday,31483,봄
2020-04-16,non-holiday,26233,봄
2020-04-17,non-holiday,24872,봄
2020-04-18,holiday,33873,봄
2020-04-19,holiday,27174,봄
2020-04-20,non-holiday,26181,봄
2020-04-21,non-holiday,28275,봄
2020-04-22,non-holiday,27063,봄
2020-04-23,non-holiday,27718,봄
2020-04-24,non-holiday,29522,봄
2020-04-25,holiday,33975,봄
2020-04-26,holiday,36425,봄
2020-04-27,non-holiday,27540,봄
2020-04-28,non-holiday,30355,봄
2020-04-29,non-holiday,32427,봄
2020-04-30,holiday,43920,봄
2020-05-01,non-holiday,42156,봄
2020-05-02,holiday,45167,봄
2020-05-03,holiday,33592,봄
2020-05-04,non-holiday,32024,봄
2020-05-05,holiday,34870,봄
2020-05-06,non-holiday,25598,봄
2020-05-07,non-holiday,27823,봄
2020-05-08,non-holiday,32507,봄
2020-05-09,holiday,29562,봄
2020-05-10,holiday,37903,봄
2020-05-11,non-holiday,28819,봄
2020-05-12,non-holiday,29064,봄
2020-05-13,non-holiday,30191,봄
2020-05-14,non-holiday,30307,봄
2020-05-15,non-holiday,28359,봄
2020-05-16,holiday,37803,봄
2020-05-17,holiday,39971,봄
2020-05-18,non-holiday,27811,봄
2020-05-19,non-holiday,29781,봄
2020-05-20,non-holiday,30983,봄
2020-05-21,non-holiday,30792,봄
2020-05-22,non-holiday,33385,봄
2020-05-23,holiday,41465,봄
2020-05-24,holiday,41470,봄
2020-05-25,non-holiday,31053,봄
2020-05-26,non-holiday,32810,봄
2020-05-27,non-holiday,33793,봄
2020-05-28,non-holiday,33248,봄
2020-05-29,non-holiday,35503,봄
2020-05-30,holiday,42925,봄
2020-05-31,holiday,41010,봄
2020-06-01,non-holiday,24780,여름
2020-06-02,non-holiday,26894,여름
2020-06-03,non-holiday,27787,여름
2020-06-04,non-holiday,28085,여름
2020-06-05,non-holiday,31495,여름
2020-06-06,holiday,40030,여름
2020-06-07,holiday,38703,여름
2020-06-08,non-holiday,29055,여름
2020-06-09,non-holiday,29152,여름
2020-06-10,non-holiday,30180,여름
2020-06-11,non-holiday,29276,여름
2020-06-12,non-holiday,31994,여름
2020-06-13,holiday,35926,여름
2020-06-14,holiday,33626,여름
2020-06-15,non-holiday,30264,여름
2020-06-16,non-holiday,31139,여름
2020-06-17,non-holiday,31651,여름
2020-06-18,non-holiday,27993,여름
2020-06-19,non-holiday,33272,여름
2020-06-20,holiday,43319,여름
2020-06-21,holiday,42906,여름
2020-06-22,non-holiday,31625,여름
2020-06-23,non-holiday,33315,여름
2020-06-24,non-holiday,31072,여름
2020-06-25,non-holiday,30363,여름
2020-06-26,non-holiday,36536,여름
2020-06-27,holiday,44570,여름
2020-06-28,holiday,44238,여름
2020-06-29,non-holiday,29668,여름
