날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,79394,겨울
2020-01-02,non-holiday,53444,겨울
2020-01-03,non-holiday,53228,겨울
2020-01-04,holiday,72062,겨울
2020-01-05,holiday,68165,겨울
2020-01-06,non-holiday,45277,겨울
2020-01-07,non-holiday,46723,겨울
2020-01-08,non-holiday,48795,겨울
2020-01-09,non-holiday,54534,겨울
2020-01-10,non-holiday,57806,겨울
2020-01-11,holiday,79043,겨울
2020-01-12,holiday,71642,겨울
2020-01-13,non-holiday,52465,겨울
2020-01-14,non-holiday,53957,겨울
2020-01-15,non-holiday,55772,겨울
2020-01-16,non-holiday,56896,겨울
2020-01-17,non-holiday,60377,겨울
2020-01-18,holiday,74205,겨울
2020-01-19,holiday,71479,겨울
2020-01-20,non-holiday,55285,겨울
2020-01-21,non-holiday,60694,겨울
2020-01-22,non-holiday,61505,겨울
2020-01-23,non-holiday,68825,겨울
2020-01-24,holiday,81597,겨울
2020-01-25,holiday,96403,겨울
2020-01-26,holiday,82242,겨울
2020-01-27,holiday,61364,겨울
2020-01-28,non-holiday,53955,겨울
2020-01-29,non-holiday,55275,겨울
2020-01-30,non-holiday,56449,겨울
2020-01-31,non-holiday,59598,겨울
2020-02-01,holiday,64731,겨울
2020-02-02,holiday,62599,겨울
2020-02-03,non-holiday,47027,겨울
2020-02-04,non-holiday,48281,겨울
2020-02-05,non-holiday,48670,겨울
2020-02-06,non-holiday,50124,겨울
2020-02-07,non-holiday,53161,겨울
2020-02-08,holiday,66642,겨울
2020-02-09,holiday,66955,겨울
2020-02-10,non-holiday,49130,겨울
2020-02-11,non-holiday,53476,겨울
2020-02-12,non-holiday,45412,겨울
2020-02-13,non-holiday,59143,겨울
2020-02-14,non-holiday,60736,겨울
2020-02-15,holiday,77724,겨울
2020-02-16,holiday,72544,겨울
2020-02-17,non-holiday,51186,겨울
2020-02-18,non-holiday,55136,겨울
2020-02-19,non-holiday,55925,겨울
2020-02-20,non-holiday,56134,겨울
2020-02-21,non-holiday,58273,겨울
2020-02-22,holiday,64758,겨울
2020-02-23,holiday,51025,겨울
2020-02-24,non-holiday,49456,겨울
2020-02-25,non-holiday,41124,겨울
2020-02-26,non-holiday,45835,겨울
2020-02-27,non-holiday,46434,겨울
2020-02-28,non-holiday,46784,겨울
2020-02-29,holiday,54116,겨울
2020-03-01,holiday,41597,봄
2020-03-02,non-holiday,39259,봄
2020-03-03,non-holiday,40271,봄
2020-03-04,non-holiday,42258,봄
2020-03-05,non-holiday,42067,봄
2020-03-06,non-holiday,47075,봄
2020-03-07,holiday,52225,봄
2020-03-08,holiday,56616,봄
2020-03-09,non-holiday,41672,봄
2020-03-10,non-holiday,40248,봄
2020-03-11,non-holiday,43282,봄
2020-03-12,non-holiday,48088,봄
2020-03-13,non-holiday,49187,봄
2020-03-14,holiday,61236,봄
2020-03-15,holiday,56421,봄
2020-03-16,non-holiday,45564,봄
2020-03-17,non-holiday,48686,봄
2020-03-18,non-holiday,50290,봄
2020-03-19,non-holiday,47110,봄
2020-03-20,non-holiday,52436,봄
2020-03-21,holiday,69580,봄
2020-03-22,holiday,54790,봄
2020-03-23,non-holiday,51417,봄
2020-03-24,non-holiday,50213,봄
2020-03-25,non-holiday,52994,봄
2020-03-26,non-holiday,48453,봄
2020-03-27,non-holiday,51390,봄
2020-03-28,holiday,65055,봄
2020-03-29,holiday,61523,봄
2020-03-30,non-holiday,52424,봄
2020-03-31,non-holiday,55224,봄
2020-04-01,non-holiday,38668,봄
2020-04-02,non-holiday,41404,봄
2020-04-03,non-holiday,46580,봄
2020-04-04,holiday,61893,봄
2020-04-05,holiday,60217,봄
2020-04-06,non-holiday,41401,봄
2020-04-07,non-holiday,42897,봄
2020-04-08,non-holiday,40646,봄
2020-04-09,non-holiday,45957,봄
2020-04-10,non-holiday,47385,봄
2020-04-11,holiday,63454,봄
2020-04-12,holiday,54896,봄
2020-04-13,non-holiday,42394,봄
2020-04-14,non-holiday,50357,봄
2020-04-15,holiday,59607,봄
2020-04-16,non-holiday,47377,봄
2020-04-17,non-holiday,45217,봄
2020-04-18,holiday,67018,봄
2020-04-19,holiday,57444,봄
2020-04-20,non-holiday,45517,봄
2020-04-21,non-holiday,49738,봄
2020-04-22,non-holiday,48584,봄
2020-04-23,non-holiday,50269,봄
2020-04-24,non-holiday,53577,봄
2020-04-25,holiday,72040,봄
2020-04-26,holiday,65693,봄
2020-04-27,non-holiday,50814,봄
2020-04-28,non-holiday,53696,봄
2020-04-29,non-holiday,58812,봄
2020-04-30,holiday,79895,봄
2020-05-01,non-holiday,72851,봄
2020-05-02,holiday,80322,봄
2020-05-03,holiday,67145,봄
2020-05-04,non-holiday,56603,봄
2020-05-05,holiday,64813,봄
2020-05-06,non-holiday,46440,봄
2020-05-07,non-holiday,50378,봄
2020-05-08,non-holiday,57067,봄
2020-05-09,holiday,62248,봄
2020-05-10,holiday,70886,봄
2020-05-11,non-holiday,49963,봄
2020-05-12,non-holiday,50339,봄
2020-05-13,non-holiday,49211,봄
2020-05-14,non-holiday,54754,봄
2020-05-15,non-holiday,55569,봄
2020-05-16,holiday,79984,봄
2020-05-17,holiday,79020,봄
2020-05-18,non-holiday,52179,봄
2020-05-19,non-holiday,53311,봄
2020-05-20,non-holiday,55391,봄
2020-05-21,non-holiday,57359,봄
2020-05-22,non-holiday,61397,봄
2020-05-23,holiday,83238,봄
2020-05-24,holiday,73959,봄
2020-05-25,non-holiday,56382,봄
2020-05-26,non-holiday,59273,봄
2020-05-27,non-holiday,58827,봄
2020-05-28,non-holiday,58365,봄
2020-05-29,non-holiday,63807,봄
2020-05-30,holiday,84397,봄
2020-05-31,holiday,81305,봄
2020-06-01,non-holiday,47757,여름
2020-06-02,non-holiday,50261,여름
2020-06-03,non-holiday,50506,여름
2020-06-04,non-holiday,53547,여름
2020-06-05,non-holiday,57953,여름
2020-06-06,holiday,80373,여름
2020-06-07,holiday,73511,여름
2020-06-08,non-holiday,50335,여름
2020-06-09,non-holiday,52845,여름
2020-06-10,non-holiday,51880,여름
2020-06-11,non-holiday,55533,여름
2020-06-12,non-holiday,57927,여름
2020-06-13,holiday,73849,여름
2020-06-14,holiday,68424,여름
2020-06-15,non-holiday,52688,여름
2020-06-16,non-holiday,54583,여름
2020-06-17,non-holiday,55602,여름
2020-06-18,non-holiday,53254,여름
2020-06-19,non-holiday,60583,여름
2020-06-20,holiday,81399,여름
2020-06-21,holiday,78273,여름
2020-06-22,non-holiday,54775,여름
2020-06-23,non-holiday,56943,여름
2020-06-24,non-holiday,55889,여름
2020-06-25,non-holiday,55203,여름
2020-06-26,non-holiday,64513,여름
2020-06-27,holiday,87006,여름
2020-06-28,holiday,73881,여름
2020-06-29,non-holiday,54588,여름
2020-06-30,non-holiday,56746,여름
2020-07-01,non-holiday,46331,여름
2020-07-02,non-holiday,48474,여름
2020-07-03,non-holiday,51612,여름
2020-07-04,holiday,76365,여름
2020-07-05,holiday,74727,여름
2020-07-06,non-holiday,46154,여름
2020-07-07,non-holiday,48118,여름
2020-07-08,non-holiday,47374,여름
2020-07-09,non-holiday,51734,여름
2020-07-10,non-holiday,52240,여름
2020-07-11,holiday,81122,여름
2020-07-12,holiday,72186,여름
2020-07-13,non-holiday,44075,여름
2020-07-14,non-holiday,49929,여름
2020-07-15,non-holiday,53225,여름
2020-07-16,non-holiday,56603,여름
2020-07-17,holiday,60138,여름
2020-07-18,holiday,82139,여름
2020-07-19,holiday,74621,여름
2020-07-20,non-holiday,51175,여름
2020-07-21,non-holiday,56139,여름
2020-07-22,non-holiday,50241,여름
2020-07-23,non-holiday,51026,여름
2020-07-24,non-holiday,57977,여름
2020-07-25,holiday,81233,여름
2020-07-26,holiday,75929,여름
2020-07-27,non-holiday,52011,여름
2020-07-28,non-holiday,54079,여름
2020-07-29,non-holiday,54889,여름
2020-07-30,non-holiday,58073,여름
2020-07-31,non-holiday,69431,여름
2020-08-01,holiday,86107,여름
2020-08-02,holiday,80500,여름
2020-08-03,non-holiday,64907,여름
2020-08-04,non-holiday,63710,여름
2020-08-05,non-holiday,61080,여름
2020-08-06,non-holiday,58536,여름
2020-08-07,non-holiday,59830,여름
2020-08-08,holiday,70072,여름
