날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,69760,겨울
2020-01-02,non-holiday,62137,겨울
2020-01-03,non-holiday,66507,겨울
2020-01-04,holiday,75115,겨울
2020-01-05,holiday,74929,겨울
2020-01-06,non-holiday,56505,겨울
2020-01-07,non-holiday,59035,겨울
2020-01-08,non-holiday,61022,겨울
2020-01-09,non-holiday,62680,겨울
2020-01-10,non-holiday,71756,겨울
2020-01-11,holiday,81717,겨울
2020-01-12,holiday,73724,겨울
2020-01-13,non-holiday,62157,겨울
2020-01-14,non-holiday,67548,겨울
2020-01-15,non-holiday,71410,겨울
2020-01-16,non-holiday,67546,겨울
2020-01-17,non-holiday,68470,겨울
2020-01-18,holiday,77149,겨울
2020-01-19,holiday,72576,겨울
2020-01-20,non-holiday,72365,겨울
2020-01-21,non-holiday,69172,겨울
2020-01-22,non-holiday,70699,겨울
2020-01-23,non-holiday,81158,겨울
2020-01-24,holiday,96910,겨울
2020-01-25,holiday,126126,겨울
2020-01-26,holiday,98799,겨울
2020-01-27,holiday,65145,겨울
2020-01-28,non-holiday,71052,겨울
2020-01-29,non-holiday,68291,겨울
2020-01-30,non-holiday,69709,겨울
2020-01-31,non-holiday,72676,겨울
2020-02-01,holiday,70382,겨울
2020-02-02,holiday,61799,겨울
2020-02-03,non-holiday,54802,겨울
2020-02-04,non-holiday,57987,겨울
2020-02-05,non-holiday,59833,겨울
2020-02-06,non-holiday,58174,겨울
2020-02-07,non-holiday,64187,겨울
2020-02-08,holiday,72533,겨울
2020-02-09,holiday,65514,겨울
2020-02-10,non-holiday,65014,겨울
2020-02-11,non-holiday,64638,겨울
2020-02-12,non-holiday,60633,겨울
2020-02-13,non-holiday,67423,겨울
2020-02-14,non-holiday,70714,겨울
2020-02-15,holiday,86337,겨울
2020-02-16,holiday,71055,겨울
2020-02-17,non-holiday,60805,겨울
2020-02-18,non-holiday,63242,겨울
2020-02-19,non-holiday,65414,겨울
2020-02-20,non-holiday,67510,겨울
2020-02-21,non-holiday,63321,겨울
2020-02-22,holiday,62996,겨울
2020-02-23,holiday,48066,겨울
2020-02-24,non-holiday,46763,겨울
2020-02-25,non-holiday,39815,겨울
2020-02-26,non-holiday,44422,겨울
2020-02-27,non-holiday,44178,겨울
2020-02-28,non-holiday,44174,겨울
2020-02-29,holiday,48007,겨울
2020-03-01,holiday,33223,봄
2020-03-02,non-holiday,38107,봄
2020-03-03,non-holiday,39186,봄
2020-03-04,non-holiday,39771,봄
2020-03-05,non-holiday,41726,봄
2020-03-06,non-holiday,44421,봄
2020-03-07,holiday,45998,봄
2020-03-08,holiday,45383,봄
2020-03-09,non-holiday,43147,봄
2020-03-10,non-holiday,42807,봄
2020-03-11,non-holiday,47836,봄
2020-03-12,non-holiday,49608,봄
2020-03-13,non-holiday,51959,봄
2020-03-14,holiday,56535,봄
