날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,80996,겨울
2020-01-02,non-holiday,24811,겨울
2020-01-03,non-holiday,26290,겨울
2020-01-04,holiday,53429,겨울
2020-01-05,holiday,48170,겨울
2020-01-06,non-holiday,18312,겨울
2020-01-07,non-holiday,15597,겨울
2020-01-08,non-holiday,17386,겨울
2020-01-09,non-holiday,21811,겨울
2020-01-10,non-holiday,27268,겨울
2020-01-11,holiday,54280,겨울
2020-01-12,holiday,56256,겨울
2020-01-13,non-holiday,23062,겨울
2020-01-14,non-holiday,21722,겨울
2020-01-15,non-holiday,21900,겨울
2020-01-16,non-holiday,24320,겨울
2020-01-17,non-holiday,29716,겨울
2020-01-18,holiday,55510,겨울
2020-01-19,holiday,48650,겨울
2020-01-20,non-holiday,22959,겨울
2020-01-21,non-holiday,22633,겨울
2020-01-22,non-holiday,22779,겨울
2020-01-23,non-holiday,27313,겨울
2020-01-24,holiday,79293,겨울
2020-01-25,holiday,129835,겨울
2020-01-26,holiday,99149,겨울
2020-01-27,holiday,54343,겨울
2020-01-28,non-holiday,23181,겨울
2020-01-29,non-holiday,21855,겨울
2020-01-30,non-holiday,23689,겨울
2020-01-31,non-holiday,27658,겨울
2020-02-01,holiday,44140,겨울
2020-02-02,holiday,41923,겨울
2020-02-03,non-holiday,17989,겨울
2020-02-04,non-holiday,17564,겨울
2020-02-05,non-holiday,14688,겨울
2020-02-06,non-holiday,17314,겨울
2020-02-07,non-holiday,21631,겨울
2020-02-08,holiday,45390,겨울
2020-02-09,holiday,46959,겨울
2020-02-10,non-holiday,22208,겨울
2020-02-11,non-holiday,23231,겨울
2020-02-12,non-holiday,17413,겨울
2020-02-13,non-holiday,20607,겨울
2020-02-14,non-holiday,27952,겨울
2020-02-15,holiday,54185,겨울
2020-02-16,holiday,39352,겨울
2020-02-17,non-holiday,19157,겨울
2020-02-18,non-holiday,20831,겨울
2020-02-19,non-holiday,21796,겨울
2020-02-20,non-holiday,23911,겨울
2020-02-21,non-holiday,25459,겨울
2020-02-22,holiday,44287,겨울
2020-02-23,holiday,50488,겨울
2020-02-24,non-holiday,22426,겨울
2020-02-25,non-holiday,17456,겨울
2020-02-26,non-holiday,24251,겨울
2020-02-27,non-holiday,28391,겨울
2020-02-28,non-holiday,22363,겨울
2020-02-29,holiday,56082,겨울
2020-03-01,holiday,50147,봄
2020-03-02,non-holiday,23768,봄
2020-03-03,non-holiday,23058,봄
2020-03-04,non-holiday,22460,봄
2020-03-05,non-holiday,24195,봄
2020-03-06,non-holiday,28721,봄
2020-03-07,holiday,65235,봄
2020-03-08,holiday,73185,봄
2020-03-09,non-holiday,26713,봄
2020-03-10,non-holiday,18768,봄
2020-03-11,non-holiday,27451,봄
2020-03-12,non-holiday,28138,봄
2020-03-13,non-holiday,31062,봄
2020-03-14,holiday,49293,봄
2020-03-15,holiday,50019,봄
2020-03-16,non-holiday,26271,봄
2020-03-17,non-holiday,24543,봄
2020-03-18,non-holiday,27676,봄
2020-03-19,non-holiday,20446,봄
2020-03-20,non-holiday,31709,봄
2020-03-21,holiday,53590,봄
2020-03-22,holiday,60832,봄
2020-03-23,non-holiday,28403,봄
