날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,114699,겨울
2020-01-02,non-holiday,82151,겨울
2020-01-03,non-holiday,95619,겨울
2020-01-04,holiday,128038,겨울
2020-01-05,holiday,107199,겨울
2020-01-06,non-holiday,81224,겨울
2020-01-07,non-holiday,80654,겨울
2020-01-08,non-holiday,86957,겨울
2020-01-09,non-holiday,96037,겨울
2020-01-10,non-holiday,105120,겨울
2020-01-11,holiday,141618,겨울
2020-01-12,holiday,110958,겨울
2020-01-13,non-holiday,90953,겨울
2020-01-14,non-holiday,96139,겨울
2020-01-15,non-holiday,100814,겨울
2020-01-16,non-holiday,102505,겨울
2020-01-17,non-holiday,110267,겨울
2020-01-18,holiday,143834,겨울
2020-01-19,holiday,115832,겨울
2020-01-20,non-holiday,97263,겨울
2020-01-21,non-holiday,104657,겨울
2020-01-22,non-holiday,105922,겨울
2020-01-23,non-holiday,107935,겨울
2020-01-24,holiday,130115,겨울
2020-01-25,holiday,167107,겨울
2020-01-26,holiday,141466,겨울
2020-01-27,holiday,112654,겨울
2020-01-28,non-holiday,89933,겨울
2020-01-29,non-holiday,95102,겨울
2020-01-30,non-holiday,98452,겨울
2020-01-31,non-holiday,104043,겨울
2020-02-01,holiday,110085,겨울
2020-02-02,holiday,87759,겨울
2020-02-03,non-holiday,74175,겨울
2020-02-04,non-holiday,78656,겨울
2020-02-05,non-holiday,77460,겨울
2020-02-06,non-holiday,79603,겨울
2020-02-07,non-holiday,82073,겨울
2020-02-08,holiday,103310,겨울
2020-02-09,holiday,81699,겨울
2020-02-10,non-holiday,78759,겨울
2020-02-11,non-holiday,84795,겨울
2020-02-12,non-holiday,80687,겨울
2020-02-13,non-holiday,87037,겨울
2020-02-14,non-holiday,102830,겨울
2020-02-15,holiday,126777,겨울
2020-02-16,holiday,94704,겨울
2020-02-17,non-holiday,81641,겨울
2020-02-18,non-holiday,88412,겨울
2020-02-19,non-holiday,92065,겨울
2020-02-20,non-holiday,95247,겨울
2020-02-21,non-holiday,100632,겨울
2020-02-22,holiday,119531,겨울
2020-02-23,holiday,89111,겨울
2020-02-24,non-holiday,83959,겨울
2020-02-25,non-holiday,79320,겨울
2020-02-26,non-holiday,86375,겨울
2020-02-27,non-holiday,88034,겨울
2020-02-28,non-holiday,87243,겨울
2020-02-29,holiday,98090,겨울
2020-03-01,holiday,66496,봄
2020-03-02,non-holiday,67450,봄
2020-03-03,non-holiday,69453,봄
2020-03-04,non-holiday,71367,봄
2020-03-05,non-holiday,73844,봄
2020-03-06,non-holiday,82656,봄
2020-03-07,holiday,101521,봄
2020-03-08,holiday,86744,봄
2020-03-09,non-holiday,75644,봄
2020-03-10,non-holiday,71579,봄
2020-03-11,non-holiday,79163,봄
2020-03-12,non-holiday,81070,봄
2020-03-13,non-holiday,89277,봄
2020-03-14,holiday,110638,봄
2020-03-15,holiday,88130,봄
2020-03-16,non-holiday,78574,봄
2020-03-17,non-holiday,80625,봄
2020-03-18,non-holiday,86477,봄
2020-03-19,non-holiday,80377,봄
2020-03-20,non-holiday,94428,봄
2020-03-21,holiday,115714,봄
2020-03-22,holiday,99344,봄
2020-03-23,non-holiday,84442,봄
2020-03-24,non-holiday,87481,봄
2020-03-25,non-holiday,91757,봄
2020-03-26,non-holiday,88406,봄
2020-03-27,non-holiday,96129,봄
2020-03-28,holiday,116112,봄
2020-03-29,holiday,101080,봄
2020-03-30,non-holiday,88575,봄
2020-03-31,non-holiday,90906,봄
2020-04-01,non-holiday,69211,봄
2020-04-02,non-holiday,71345,봄
2020-04-03,non-holiday,79797,봄
2020-04-04,holiday,104438,봄
2020-04-05,holiday,86504,봄
2020-04-06,non-holiday,73474,봄
2020-04-07,non-holiday,76113,봄
2020-04-08,non-holiday,78571,봄
2020-04-09,non-holiday,78957,봄
2020-04-10,non-holiday,89715,봄
2020-04-11,holiday,115120,봄
2020-04-12,holiday,93403,봄
2020-04-13,non-holiday,79559,봄
2020-04-14,non-holiday,88678,봄
2020-04-15,holiday,96187,봄
2020-04-16,non-holiday,85926,봄
2020-04-17,non-holiday,86030,봄
2020-04-18,holiday,124722,봄
2020-04-19,holiday,94291,봄
2020-04-20,non-holiday,80686,봄
2020-04-21,non-holiday,86434,봄
2020-04-22,non-holiday,86319,봄
2020-04-23,non-holiday,89950,봄
2020-04-24,non-holiday,100625,봄
2020-04-25,holiday,126926,봄
2020-04-26,holiday,108950,봄
2020-04-27,non-holiday,89032,봄
2020-04-28,non-holiday,96409,봄
2020-04-29,non-holiday,108356,봄
2020-04-30,holiday,128806,봄
2020-05-01,non-holiday,107621,봄
2020-05-02,holiday,122701,봄
2020-05-03,holiday,112538,봄
2020-05-04,non-holiday,96668,봄
2020-05-05,holiday,111816,봄
2020-05-06,non-holiday,82432,봄
2020-05-07,non-holiday,88301,봄
2020-05-08,non-holiday,105080,봄
2020-05-09,holiday,123984,봄
2020-05-10,holiday,110435,봄
2020-05-11,non-holiday,83987,봄
2020-05-12,non-holiday,85588,봄
2020-05-13,non-holiday,84959,봄
2020-05-14,non-holiday,85295,봄
2020-05-15,non-holiday,85189,봄
2020-05-16,holiday,119712,봄
2020-05-17,holiday,105838,봄
2020-05-18,non-holiday,78872,봄
2020-05-19,non-holiday,82985,봄
2020-05-20,non-holiday,89739,봄
2020-05-21,non-holiday,89828,봄
2020-05-22,non-holiday,96955,봄
2020-05-23,holiday,129545,봄
2020-05-24,holiday,103358,봄
2020-05-25,non-holiday,88821,봄
2020-05-26,non-holiday,90538,봄
2020-05-27,non-holiday,94746,봄
2020-05-28,non-holiday,94221,봄
2020-05-29,non-holiday,103974,봄
2020-05-30,holiday,129667,봄
2020-05-31,holiday,109557,봄
2020-06-01,non-holiday,70563,여름
2020-06-02,non-holiday,71422,여름
2020-06-03,non-holiday,76493,여름
2020-06-04,non-holiday,77635,여름
2020-06-05,non-holiday,89481,여름
2020-06-06,holiday,113746,여름
2020-06-07,holiday,95949,여름
2020-06-08,non-holiday,80088,여름
2020-06-09,non-holiday,84321,여름
2020-06-10,non-holiday,85341,여름
2020-06-11,non-holiday,86696,여름
2020-06-12,non-holiday,94435,여름
2020-06-13,holiday,125698,여름
2020-06-14,holiday,102482,여름
2020-06-15,non-holiday,86438,여름
2020-06-16,non-holiday,88926,여름
2020-06-17,non-holiday,91268,여름
2020-06-18,non-holiday,93501,여름
2020-06-19,non-holiday,102921,여름
2020-06-20,holiday,133081,여름
2020-06-21,holiday,112161,여름
2020-06-22,non-holiday,91881,여름
2020-06-23,non-holiday,94937,여름
2020-06-24,non-holiday,89179,여름
2020-06-25,non-holiday,92203,여름
2020-06-26,non-holiday,106588,여름
2020-06-27,holiday,139115,여름
2020-06-28,holiday,115748,여름
2020-06-29,non-holiday,94945,여름
2020-06-30,non-holiday,94073,여름
2020-07-01,non-holiday,77850,여름
2020-07-02,non-holiday,81594,여름
2020-07-03,non-holiday,92639,여름
2020-07-04,holiday,130738,여름
2020-07-05,holiday,110427,여름
2020-07-06,non-holiday,79519,여름
2020-07-07,non-holiday,85499,여름
2020-07-08,non-holiday,87697,여름
2020-07-09,non-holiday,90210,여름
2020-07-10,non-holiday,104563,여름
2020-07-11,holiday,145259,여름
2020-07-12,holiday,116115,여름
2020-07-13,non-holiday,82509,여름
2020-07-14,non-holiday,91260,여름
