날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,273082,겨울
2020-01-02,non-holiday,173976,겨울
2020-01-03,non-holiday,187028,겨울
2020-01-04,holiday,232135,겨울
2020-01-05,holiday,228969,겨울
2020-01-06,non-holiday,179492,겨울
2020-01-07,non-holiday,167825,겨울
2020-01-08,non-holiday,181000,겨울
2020-01-09,non-holiday,190664,겨울
2020-01-10,non-holiday,206459,겨울
2020-01-11,holiday,250187,겨울
2020-01-12,holiday,237929,겨울
2020-01-13,non-holiday,198009,겨울
2020-01-14,non-holiday,190254,겨울
2020-01-15,non-holiday,194450,겨울
2020-01-16,non-holiday,195078,겨울
2020-01-17,non-holiday,210350,겨울
2020-01-18,holiday,248353,겨울
2020-01-19,holiday,218354,겨울
2020-01-20,non-holiday,183614,겨울
2020-01-21,non-holiday,184664,겨울
2020-01-22,non-holiday,200526,겨울
2020-01-23,non-holiday,215811,겨울
2020-01-24,holiday,256471,겨울
2020-01-25,holiday,258078,겨울
2020-01-26,holiday,266844,겨울
2020-01-27,holiday,198547,겨울
2020-01-28,non-holiday,167424,겨울
2020-01-29,non-holiday,165576,겨울
2020-01-30,non-holiday,165383,겨울
2020-01-31,non-holiday,169702,겨울
2020-02-01,holiday,173601,겨울
2020-02-02,holiday,161556,겨울
2020-02-03,non-holiday,138911,겨울
2020-02-04,non-holiday,132458,겨울
2020-02-05,non-holiday,128858,겨울
2020-02-06,non-holiday,127769,겨울
2020-02-07,non-holiday,136103,겨울
2020-02-08,holiday,162067,겨울
2020-02-09,holiday,155652,겨울
2020-02-10,non-holiday,132805,겨울
2020-02-11,non-holiday,129917,겨울
2020-02-12,non-holiday,119986,겨울
2020-02-13,non-holiday,127040,겨울
2020-02-14,non-holiday,146374,겨울
2020-02-15,holiday,177956,겨울
2020-02-16,holiday,145446,겨울
2020-02-17,non-holiday,117474,겨울
2020-02-18,non-holiday,117344,겨울
2020-02-19,non-holiday,125919,겨울
2020-02-20,non-holiday,128165,겨울
2020-02-21,non-holiday,132032,겨울
2020-02-22,holiday,147396,겨울
2020-02-23,holiday,144896,겨울
2020-02-24,non-holiday,119320,겨울
2020-02-25,non-holiday,106546,겨울
2020-02-26,non-holiday,115774,겨울
2020-02-27,non-holiday,115720,겨울
2020-02-28,non-holiday,110001,겨울
2020-02-29,holiday,145084,겨울
2020-03-01,holiday,115532,봄
2020-03-02,non-holiday,93574,봄
2020-03-03,non-holiday,90891,봄
2020-03-04,non-holiday,86942,봄
2020-03-05,non-holiday,91258,봄
2020-03-06,non-holiday,102049,봄
2020-03-07,holiday,135669,봄
2020-03-08,holiday,149444,봄
2020-03-09,non-holiday,93288,봄
2020-03-10,non-holiday,78845,봄
2020-03-11,non-holiday,93981,봄
2020-03-12,non-holiday,91984,봄
2020-03-13,non-holiday,99552,봄
2020-03-14,holiday,147546,봄
2020-03-15,holiday,127998,봄
2020-03-16,non-holiday,88868,봄
2020-03-17,non-holiday,89485,봄
2020-03-18,non-holiday,99784,봄
2020-03-19,non-holiday,86679,봄
2020-03-20,non-holiday,106692,봄
2020-03-21,holiday,160150,봄
2020-03-22,holiday,161800,봄
2020-03-23,non-holiday,99358,봄
2020-03-24,non-holiday,101233,봄
2020-03-25,non-holiday,104933,봄
2020-03-26,non-holiday,97718,봄
2020-03-27,non-holiday,106311,봄
2020-03-28,holiday,152829,봄
2020-03-29,holiday,151829,봄
2020-03-30,non-holiday,98384,봄
2020-03-31,non-holiday,101784,봄
2020-04-01,non-holiday,83223,봄
2020-04-02,non-holiday,84372,봄
2020-04-03,non-holiday,93405,봄
2020-04-04,holiday,133356,봄
2020-04-05,holiday,125833,봄
2020-04-06,non-holiday,78315,봄
2020-04-07,non-holiday,82185,봄
2020-04-08,non-holiday,85444,봄
2020-04-09,non-holiday,85337,봄
2020-04-10,non-holiday,94353,봄
2020-04-11,holiday,149053,봄
2020-04-12,holiday,133032,봄
2020-04-13,non-holiday,86207,봄
2020-04-14,non-holiday,96925,봄
2020-04-15,holiday,131878,봄
2020-04-16,non-holiday,92306,봄
2020-04-17,non-holiday,87100,봄
2020-04-18,holiday,167952,봄
2020-04-19,holiday,118115,봄
2020-04-20,non-holiday,82315,봄
2020-04-21,non-holiday,85873,봄
2020-04-22,non-holiday,85574,봄
2020-04-23,non-holiday,90552,봄
2020-04-24,non-holiday,101704,봄
2020-04-25,holiday,149688,봄
2020-04-26,holiday,158245,봄
2020-04-27,non-holiday,94487,봄
2020-04-28,non-holiday,100499,봄
2020-04-29,non-holiday,110577,봄
2020-04-30,holiday,199592,봄
2020-05-01,non-holiday,182298,봄
2020-05-02,holiday,186550,봄
2020-05-03,holiday,172541,봄
2020-05-04,non-holiday,126243,봄
2020-05-05,holiday,165738,봄
2020-05-06,non-holiday,89260,봄
2020-05-07,non-holiday,93522,봄
2020-05-08,non-holiday,99357,봄
2020-05-09,holiday,106072,봄
2020-05-10,holiday,130663,봄
2020-05-11,non-holiday,84400,봄
2020-05-12,non-holiday,86634,봄
2020-05-13,non-holiday,92082,봄
2020-05-14,non-holiday,91913,봄
2020-05-15,non-holiday,84426,봄
2020-05-16,holiday,139360,봄
2020-05-17,holiday,145113,봄
2020-05-18,non-holiday,78321,봄
2020-05-19,non-holiday,84015,봄
2020-05-20,non-holiday,98405,봄
2020-05-21,non-holiday,97565,봄
2020-05-22,non-holiday,106808,봄
2020-05-23,holiday,172916,봄
2020-05-24,holiday,139833,봄
2020-05-25,non-holiday,97129,봄
2020-05-26,non-holiday,94901,봄
2020-05-27,non-holiday,101501,봄
2020-05-28,non-holiday,101209,봄
2020-05-29,non-holiday,113774,봄
2020-05-30,holiday,170989,봄
2020-05-31,holiday,151021,봄
2020-06-01,non-holiday,85297,여름
2020-06-02,non-holiday,76276,여름
2020-06-03,non-holiday,87497,여름
2020-06-04,non-holiday,85854,여름
2020-06-05,non-holiday,104351,여름
2020-06-06,holiday,173352,여름
2020-06-07,holiday,144663,여름
2020-06-08,non-holiday,90015,여름
2020-06-09,non-holiday,91011,여름
2020-06-10,non-holiday,90939,여름
2020-06-11,non-holiday,92023,여름
2020-06-12,non-holiday,105604,여름
2020-06-13,holiday,154215,여름
2020-06-14,holiday,144235,여름
2020-06-15,non-holiday,94775,여름
2020-06-16,non-holiday,95750,여름
2020-06-17,non-holiday,95538,여름
2020-06-18,non-holiday,96360,여름
2020-06-19,non-holiday,113230,여름
2020-06-20,holiday,171877,여름
2020-06-21,holiday,154589,여름
2020-06-22,non-holiday,96482,여름
2020-06-23,non-holiday,102056,여름
2020-06-24,non-holiday,84351,여름
2020-06-25,non-holiday,90089,여름
2020-06-26,non-holiday,116044,여름
2020-06-27,holiday,178597,여름
2020-06-28,holiday,166225,여름
2020-06-29,non-holiday,99568,여름
2020-06-30,non-holiday,90555,여름
2020-07-01,non-holiday,87762,여름
2020-07-02,non-holiday,94178,여름
2020-07-03,non-holiday,106076,여름
2020-07-04,holiday,177536,여름
2020-07-05,holiday,163562,여름
2020-07-06,non-holiday,91709,여름
2020-07-07,non-holiday,94664,여름
2020-07-08,non-holiday,97004,여름
2020-07-09,non-holiday,96675,여름
2020-07-10,non-holiday,111273,여름
2020-07-11,holiday,189562,여름
2020-07-12,holiday,159556,여름
2020-07-13,non-holiday,82580,여름
2020-07-14,non-holiday,96608,여름
2020-07-15,non-holiday,108741,여름
2020-07-16,non-holiday,108915,여름
2020-07-17,holiday,122900,여름
2020-07-18,holiday,187272,여름
2020-07-19,holiday,133641,여름
2020-07-20,non-holiday,92391,여름
2020-07-21,non-holiday,107547,여름
2020-07-22,non-holiday,98342,여름
2020-07-23,non-holiday,88991,여름
2020-07-24,non-holiday,110833,여름
2020-07-25,holiday,191539,여름
2020-07-26,holiday,182121,여름
2020-07-27,non-holiday,100760,여름
2020-07-28,non-holiday,108084,여름
2020-07-29,non-holiday,102333,여름
2020-07-30,non-holiday,116964,여름
2020-07-31,non-holiday,139967,여름
2020-08-01,holiday,142484,여름
2020-08-02,holiday,113990,여름
2020-08-03,non-holiday,89128,여름
2020-08-04,non-holiday,105849,여름
2020-08-05,non-holiday,99844,여름
