날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,16959,겨울
2020-01-02,non-holiday,9558,겨울
2020-01-03,non-holiday,10220,겨울
2020-01-04,holiday,13726,겨울
2020-01-05,holiday,13233,겨울
2020-01-06,non-holiday,8011,겨울
2020-01-07,non-holiday,7993,겨울
2020-01-08,non-holiday,8516,겨울
2020-01-09,non-holiday,10120,겨울
2020-01-10,non-holiday,11048,겨울
2020-01-11,holiday,14218,겨울
2020-01-12,holiday,12503,겨울
2020-01-13,non-holiday,9998,겨울
2020-01-14,non-holiday,10375,겨울
2020-01-15,non-holiday,10203,겨울
2020-01-16,non-holiday,10897,겨울
2020-01-17,non-holiday,10947,겨울
2020-01-18,holiday,14514,겨울
2020-01-19,holiday,13350,겨울
2020-01-20,non-holiday,10130,겨울
2020-01-21,non-holiday,10905,겨울
2020-01-22,non-holiday,10284,겨울
2020-01-23,non-holiday,15895,겨울
2020-01-24,holiday,38172,겨울
2020-01-25,holiday,60561,겨울
2020-01-26,holiday,36706,겨울
2020-01-27,holiday,14590,겨울
2020-01-28,non-holiday,10171,겨울
2020-01-29,non-holiday,10535,겨울
2020-01-30,non-holiday,10963,겨울
2020-01-31,non-holiday,11412,겨울
2020-02-01,holiday,12525,겨울
2020-02-02,holiday,11706,겨울
2020-02-03,non-holiday,8597,겨울
2020-02-04,non-holiday,9804,겨울
2020-02-05,non-holiday,9200,겨울
2020-02-06,non-holiday,9338,겨울
2020-02-07,non-holiday,9638,겨울
2020-02-08,holiday,11827,겨울
2020-02-09,holiday,12516,겨울
2020-02-10,non-holiday,9471,겨울
2020-02-11,non-holiday,10115,겨울
2020-02-12,non-holiday,8828,겨울
2020-02-13,non-holiday,10215,겨울
2020-02-14,non-holiday,12020,겨울
2020-02-15,holiday,14146,겨울
2020-02-16,holiday,10299,겨울
2020-02-17,non-holiday,7526,겨울
2020-02-18,non-holiday,9131,겨울
2020-02-19,non-holiday,11409,겨울
2020-02-20,non-holiday,11033,겨울
2020-02-21,non-holiday,11388,겨울
2020-02-22,holiday,13277,겨울
2020-02-23,holiday,12528,겨울
2020-02-24,non-holiday,11156,겨울
2020-02-25,non-holiday,8799,겨울
2020-02-26,non-holiday,10115,겨울
2020-02-27,non-holiday,10795,겨울
2020-02-28,non-holiday,9888,겨울
2020-02-29,holiday,12719,겨울
2020-03-01,holiday,10347,봄
2020-03-02,non-holiday,8125,봄
