날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,23662,겨울
2020-01-02,non-holiday,9551,겨울
2020-01-03,non-holiday,10634,겨울
2020-01-04,holiday,14927,겨울
2020-01-05,holiday,14206,겨울
2020-01-06,non-holiday,8175,겨울
2020-01-07,non-holiday,7623,겨울
2020-01-08,non-holiday,8226,겨울
2020-01-09,non-holiday,10439,겨울
2020-01-10,non-holiday,11415,겨울
2020-01-11,holiday,15024,겨울
2020-01-12,holiday,14127,겨울
2020-01-13,non-holiday,10033,겨울
2020-01-14,non-holiday,10531,겨울
2020-01-15,non-holiday,10401,겨울
2020-01-16,non-holiday,11068,겨울
2020-01-17,non-holiday,11992,겨울
2020-01-18,holiday,15932,겨울
2020-01-19,holiday,14404,겨울
2020-01-20,non-holiday,10181,겨울
2020-01-21,non-holiday,11481,겨울
2020-01-22,non-holiday,11614,겨울
2020-01-23,non-holiday,22582,겨울
2020-01-24,holiday,69836,겨울
2020-01-25,holiday,97658,겨울
2020-01-26,holiday,63046,겨울
2020-01-27,holiday,23416,겨울
2020-01-28,non-holiday,12605,겨울
2020-01-29,non-holiday,10204,겨울
2020-01-30,non-holiday,10001,겨울
2020-01-31,non-holiday,10762,겨울
2020-02-01,holiday,12102,겨울
2020-02-02,holiday,11346,겨울
2020-02-03,non-holiday,8578,겨울
2020-02-04,non-holiday,9058,겨울
2020-02-05,non-holiday,8126,겨울
2020-02-06,non-holiday,9332,겨울
2020-02-07,non-holiday,9564,겨울
2020-02-08,holiday,12288,겨울
2020-02-09,holiday,11619,겨울
2020-02-10,non-holiday,9074,겨울
2020-02-11,non-holiday,10522,겨울
2020-02-12,non-holiday,8409,겨울
2020-02-13,non-holiday,10048,겨울
2020-02-14,non-holiday,10837,겨울
2020-02-15,holiday,14479,겨울
2020-02-16,holiday,11328,겨울
2020-02-17,non-holiday,7558,겨울
2020-02-18,non-holiday,9460,겨울
2020-02-19,non-holiday,11332,겨울
2020-02-20,non-holiday,11656,겨울
2020-02-21,non-holiday,11308,겨울
2020-02-22,holiday,12372,겨울
2020-02-23,holiday,12390,겨울
2020-02-24,non-holiday,10462,겨울
2020-02-25,non-holiday,8320,겨울
2020-02-26,non-holiday,10254,겨울
2020-02-27,non-holiday,10643,겨울
2020-02-28,non-holiday,10862,겨울
2020-02-29,holiday,15639,겨울
2020-03-01,holiday,14933,봄
2020-03-02,non-holiday,8683,봄
2020-03-03,non-holiday,9889,봄
2020-03-04,non-holiday,9590,봄
2020-03-05,non-holiday,9665,봄
2020-03-06,non-holiday,11444,봄
2020-03-07,holiday,13373,봄
2020-03-08,holiday,19120,봄
2020-03-09,non-holiday,9905,봄
2020-03-10,non-holiday,9424,봄
2020-03-11,non-holiday,11478,봄
2020-03-12,non-holiday,12582,봄
2020-03-13,non-holiday,13055,봄
2020-03-14,holiday,18674,봄
2020-03-15,holiday,18929,봄
2020-03-16,non-holiday,11043,봄
2020-03-17,non-holiday,11459,봄
2020-03-18,non-holiday,12378,봄
2020-03-19,non-holiday,11478,봄
2020-03-20,non-holiday,13056,봄
2020-03-21,holiday,21907,봄
2020-03-22,holiday,22839,봄
2020-03-23,non-holiday,12470,봄
2020-03-24,non-holiday,13121,봄
2020-03-25,non-holiday,13376,봄
2020-03-26,non-holiday,9996,봄
2020-03-27,non-holiday,11662,봄
2020-03-28,holiday,20022,봄
2020-03-29,holiday,22023,봄
2020-03-30,non-holiday,12967,봄
2020-03-31,non-holiday,13616,봄
2020-04-01,non-holiday,9125,봄
2020-04-02,non-holiday,10382,봄
2020-04-03,non-holiday,12645,봄
2020-04-04,holiday,21449,봄
2020-04-05,holiday,20941,봄
2020-04-06,non-holiday,10460,봄
2020-04-07,non-holiday,11008,봄
2020-04-08,non-holiday,12029,봄
2020-04-09,non-holiday,11858,봄
