날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,33460,겨울
2020-01-02,non-holiday,24102,겨울
2020-01-03,non-holiday,27010,겨울
2020-01-04,holiday,32123,겨울
2020-01-05,holiday,28863,겨울
2020-01-06,non-holiday,23870,겨울
2020-01-07,non-holiday,23987,겨울
2020-01-08,non-holiday,25053,겨울
2020-01-09,non-holiday,26596,겨울
2020-01-10,non-holiday,28990,겨울
2020-01-11,holiday,34259,겨울
2020-01-12,holiday,30849,겨울
2020-01-13,non-holiday,25978,겨울
2020-01-14,non-holiday,27010,겨울
2020-01-15,non-holiday,28292,겨울
2020-01-16,non-holiday,28854,겨울
2020-01-17,non-holiday,30548,겨울
2020-01-18,holiday,34515,겨울
2020-01-19,holiday,30494,겨울
2020-01-20,non-holiday,27332,겨울
2020-01-21,non-holiday,30076,겨울
2020-01-22,non-holiday,27966,겨울
2020-01-23,non-holiday,35649,겨울
2020-01-24,holiday,58435,겨울
2020-01-25,holiday,76038,겨울
2020-01-26,holiday,61478,겨울
2020-01-27,holiday,38149,겨울
2020-01-28,non-holiday,28501,겨울
2020-01-29,non-holiday,29495,겨울
2020-01-30,non-holiday,30405,겨울
2020-01-31,non-holiday,31096,겨울
2020-02-01,holiday,29293,겨울
2020-02-02,holiday,25965,겨울
2020-02-03,non-holiday,24921,겨울
2020-02-04,non-holiday,25699,겨울
2020-02-05,non-holiday,24207,겨울
2020-02-06,non-holiday,26289,겨울
2020-02-07,non-holiday,25473,겨울
2020-02-08,holiday,27033,겨울
2020-02-09,holiday,25715,겨울
2020-02-10,non-holiday,25848,겨울
2020-02-11,non-holiday,27657,겨울
2020-02-12,non-holiday,26328,겨울
2020-02-13,non-holiday,28415,겨울
2020-02-14,non-holiday,31800,겨울
2020-02-15,holiday,36026,겨울
2020-02-16,holiday,30853,겨울
2020-02-17,non-holiday,26438,겨울
2020-02-18,non-holiday,29122,겨울
2020-02-19,non-holiday,30332,겨울
2020-02-20,non-holiday,30832,겨울
2020-02-21,non-holiday,30865,겨울
2020-02-22,holiday,31510,겨울
2020-02-23,holiday,29640,겨울
2020-02-24,non-holiday,29932,겨울
2020-02-25,non-holiday,25815,겨울
2020-02-26,non-holiday,29431,겨울
2020-02-27,non-holiday,30224,겨울
2020-02-28,non-holiday,28923,겨울
2020-02-29,holiday,31349,겨울
2020-03-01,holiday,25553,봄
2020-03-02,non-holiday,22470,봄
2020-03-03,non-holiday,24577,봄
2020-03-04,non-holiday,24694,봄
2020-03-05,non-holiday,26685,봄
2020-03-06,non-holiday,30931,봄
2020-03-07,holiday,33104,봄
2020-03-08,holiday,48495,봄
2020-03-09,non-holiday,29520,봄
2020-03-10,non-holiday,24729,봄
2020-03-11,non-holiday,26645,봄
