날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,17132,겨울
2020-01-02,non-holiday,8504,겨울
2020-01-03,non-holiday,10437,겨울
2020-01-04,holiday,14377,겨울
2020-01-05,holiday,14308,겨울
2020-01-06,non-holiday,6401,겨울
2020-01-07,non-holiday,6676,겨울
2020-01-08,non-holiday,7724,겨울
2020-01-09,non-holiday,8230,겨울
2020-01-10,non-holiday,9927,겨울
2020-01-11,holiday,14352,겨울
2020-01-12,holiday,14843,겨울
2020-01-13,non-holiday,8615,겨울
2020-01-14,non-holiday,8720,겨울
2020-01-15,non-holiday,8268,겨울
2020-01-16,non-holiday,8154,겨울
2020-01-17,non-holiday,9355,겨울
2020-01-18,holiday,15539,겨울
2020-01-19,holiday,14502,겨울
2020-01-20,non-holiday,7845,겨울
2020-01-21,non-holiday,7514,겨울
2020-01-22,non-holiday,7656,겨울
2020-01-23,non-holiday,12840,겨울
2020-01-24,holiday,30961,겨울
2020-01-25,holiday,48079,겨울
2020-01-26,holiday,34137,겨울
2020-01-27,holiday,14925,겨울
2020-01-28,non-holiday,7785,겨울
2020-01-29,non-holiday,6767,겨울
2020-01-30,non-holiday,7808,겨울
2020-01-31,non-holiday,8685,겨울
2020-02-01,holiday,12174,겨울
2020-02-02,holiday,11973,겨울
2020-02-03,non-holiday,6563,겨울
2020-02-04,non-holiday,6257,겨울
2020-02-05,non-holiday,6270,겨울
2020-02-06,non-holiday,6280,겨울
2020-02-07,non-holiday,7469,겨울
2020-02-08,holiday,11571,겨울
2020-02-09,holiday,11909,겨울
2020-02-10,non-holiday,6726,겨울
2020-02-11,non-holiday,7075,겨울
2020-02-12,non-holiday,6508,겨울
2020-02-13,non-holiday,7574,겨울
2020-02-14,non-holiday,8490,겨울
2020-02-15,holiday,12698,겨울
2020-02-16,holiday,10816,겨울
2020-02-17,non-holiday,5715,겨울
2020-02-18,non-holiday,6903,겨울
2020-02-19,non-holiday,6850,겨울
2020-02-20,non-holiday,7792,겨울
2020-02-21,non-holiday,8481,겨울
2020-02-22,holiday,11120,겨울
2020-02-23,holiday,12464,겨울
2020-02-24,non-holiday,6898,겨울
2020-02-25,non-holiday,5863,겨울
2020-02-26,non-holiday,7096,겨울
2020-02-27,non-holiday,7964,겨울
2020-02-28,non-holiday,7351,겨울
2020-02-29,holiday,11571,겨울
2020-03-01,holiday,12295,봄
2020-03-02,non-holiday,6745,봄
2020-03-03,non-holiday,7928,봄
2020-03-04,non-holiday,7477,봄
2020-03-05,non-holiday,8113,봄
2020-03-06,non-holiday,10786,봄
2020-03-07,holiday,15797,봄
