날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,35928,겨울
2020-01-02,non-holiday,29143,겨울
2020-01-03,non-holiday,32084,겨울
2020-01-04,holiday,38104,겨울
2020-01-05,holiday,35057,겨울
2020-01-06,non-holiday,27750,겨울
2020-01-07,non-holiday,26954,겨울
2020-01-08,non-holiday,29309,겨울
2020-01-09,non-holiday,32698,겨울
2020-01-10,non-holiday,35167,겨울
2020-01-11,holiday,41509,겨울
2020-01-12,holiday,34537,겨울
2020-01-13,non-holiday,31891,겨울
2020-01-14,non-holiday,33509,겨울
2020-01-15,non-holiday,33855,겨울
2020-01-16,non-holiday,36592,겨울
2020-01-17,non-holiday,37005,겨울
2020-01-18,holiday,41650,겨울
2020-01-19,holiday,37553,겨울
2020-01-20,non-holiday,34782,겨울
2020-01-21,non-holiday,36927,겨울
2020-01-22,non-holiday,34274,겨울
2020-01-23,non-holiday,43255,겨울
2020-01-24,holiday,85869,겨울
2020-01-25,holiday,130240,겨울
2020-01-26,holiday,72157,겨울
2020-01-27,holiday,38699,겨울
2020-01-28,non-holiday,35679,겨울
2020-01-29,non-holiday,33914,겨울
2020-01-30,non-holiday,36000,겨울
2020-01-31,non-holiday,36870,겨울
2020-02-01,holiday,36931,겨울
2020-02-02,holiday,31319,겨울
2020-02-03,non-holiday,29368,겨울
2020-02-04,non-holiday,31166,겨울
2020-02-05,non-holiday,29634,겨울
2020-02-06,non-holiday,31426,겨울
2020-02-07,non-holiday,29625,겨울
2020-02-08,holiday,30007,겨울
2020-02-09,holiday,27546,겨울
2020-02-10,non-holiday,29923,겨울
2020-02-11,non-holiday,32350,겨울
2020-02-12,non-holiday,28752,겨울
2020-02-13,non-holiday,32106,겨울
2020-02-14,non-holiday,37130,겨울
2020-02-15,holiday,38572,겨울
2020-02-16,holiday,29961,겨울
2020-02-17,non-holiday,25438,겨울
2020-02-18,non-holiday,30383,겨울
2020-02-19,non-holiday,34696,겨울
2020-02-20,non-holiday,36907,겨울
2020-02-21,non-holiday,38176,겨울
2020-02-22,holiday,34815,겨울
2020-02-23,holiday,35285,겨울
2020-02-24,non-holiday,35808,겨울
2020-02-25,non-holiday,29371,겨울
2020-02-26,non-holiday,32598,겨울
2020-02-27,non-holiday,35609,겨울
2020-02-28,non-holiday,32899,겨울
2020-02-29,holiday,37517,겨울
2020-03-01,holiday,31057,봄
2020-03-02,non-holiday,28660,봄
2020-03-03,non-holiday,29523,봄
2020-03-04,non-holiday,29414,봄
2020-03-05,non-holiday,30096,봄
2020-03-06,non-holiday,33977,봄
2020-03-07,holiday,31433,봄
2020-03-08,holiday,40284,봄
2020-03-09,non-holiday,29995,봄
2020-03-10,non-holiday,27447,봄
2020-03-11,non-holiday,33354,봄
2020-03-12,non-holiday,34775,봄
2020-03-13,non-holiday,37764,봄
2020-03-14,holiday,43351,봄
2020-03-15,holiday,40420,봄
2020-03-16,non-holiday,33961,봄
2020-03-17,non-holiday,34290,봄
2020-03-18,non-holiday,37123,봄
2020-03-19,non-holiday,34771,봄
2020-03-20,non-holiday,39631,봄
2020-03-21,holiday,50585,봄
2020-03-22,holiday,48458,봄
2020-03-23,non-holiday,35174,봄
2020-03-24,non-holiday,37144,봄
2020-03-25,non-holiday,40986,봄
2020-03-26,non-holiday,31352,봄
2020-03-27,non-holiday,35313,봄
2020-03-28,holiday,45162,봄
2020-03-29,holiday,50853,봄
2020-03-30,non-holiday,38974,봄
2020-03-31,non-holiday,40449,봄
2020-04-01,non-holiday,30465,봄
2020-04-02,non-holiday,31150,봄
2020-04-03,non-holiday,34955,봄
2020-04-04,holiday,50478,봄
2020-04-05,holiday,51501,봄
2020-04-06,non-holiday,31472,봄
2020-04-07,non-holiday,33344,봄
2020-04-08,non-holiday,33066,봄
2020-04-09,non-holiday,33296,봄
2020-04-10,non-holiday,35147,봄
2020-04-11,holiday,40359,봄
2020-04-12,holiday,41620,봄
2020-04-13,non-holiday,32529,봄
2020-04-14,non-holiday,36987,봄
2020-04-15,holiday,43565,봄
2020-04-16,non-holiday,34724,봄
2020-04-17,non-holiday,31889,봄
2020-04-18,holiday,47410,봄
2020-04-19,holiday,34657,봄
2020-04-20,non-holiday,33094,봄
2020-04-21,non-holiday,35521,봄
2020-04-22,non-holiday,35447,봄
2020-04-23,non-holiday,35239,봄
2020-04-24,non-holiday,41559,봄
2020-04-25,holiday,50179,봄
2020-04-26,holiday,47837,봄
2020-04-27,non-holiday,35869,봄
2020-04-28,non-holiday,38392,봄
2020-04-29,non-holiday,41818,봄
2020-04-30,holiday,61015,봄
2020-05-01,non-holiday,55500,봄
2020-05-02,holiday,58577,봄
2020-05-03,holiday,47120,봄
2020-05-04,non-holiday,40404,봄
2020-05-05,holiday,48401,봄
2020-05-06,non-holiday,34252,봄
2020-05-07,non-holiday,36674,봄
2020-05-08,non-holiday,42072,봄
2020-05-09,holiday,40859,봄
2020-05-10,holiday,43649,봄
2020-05-11,non-holiday,34489,봄
2020-05-12,non-holiday,35811,봄
2020-05-13,non-holiday,36439,봄
2020-05-14,non-holiday,37346,봄
2020-05-15,non-holiday,33173,봄
2020-05-16,holiday,47341,봄
2020-05-17,holiday,47906,봄
2020-05-18,non-holiday,33811,봄
2020-05-19,non-holiday,34286,봄
2020-05-20,non-holiday,41158,봄
2020-05-21,non-holiday,39923,봄
2020-05-22,non-holiday,42550,봄
2020-05-23,holiday,52122,봄
2020-05-24,holiday,44508,봄
2020-05-25,non-holiday,37805,봄
2020-05-26,non-holiday,40955,봄
2020-05-27,non-holiday,40398,봄
2020-05-28,non-holiday,40801,봄
2020-05-29,non-holiday,43377,봄
2020-05-30,holiday,55706,봄
2020-05-31,holiday,49607,봄
2020-06-01,non-holiday,31208,여름
2020-06-02,non-holiday,33500,여름
2020-06-03,non-holiday,33923,여름
2020-06-04,non-holiday,35587,여름
2020-06-05,non-holiday,39437,여름
2020-06-06,holiday,49294,여름
2020-06-07,holiday,44620,여름
2020-06-08,non-holiday,37831,여름
2020-06-09,non-holiday,38230,여름
2020-06-10,non-holiday,35828,여름
2020-06-11,non-holiday,36001,여름
2020-06-12,non-holiday,39049,여름
2020-06-13,holiday,43376,여름
2020-06-14,holiday,39011,여름
2020-06-15,non-holiday,36335,여름
2020-06-16,non-holiday,38056,여름
2020-06-17,non-holiday,37034,여름
2020-06-18,non-holiday,31572,여름
2020-06-19,non-holiday,41884,여름
2020-06-20,holiday,50945,여름
2020-06-21,holiday,46090,여름
2020-06-22,non-holiday,38613,여름
2020-06-23,non-holiday,42435,여름
2020-06-24,non-holiday,36101,여름
2020-06-25,non-holiday,41381,여름
2020-06-26,non-holiday,43066,여름
2020-06-27,holiday,51391,여름
2020-06-28,holiday,46082,여름
2020-06-29,non-holiday,33877,여름
2020-06-30,non-holiday,34748,여름
2020-07-01,non-holiday,31485,여름
2020-07-02,non-holiday,36058,여름
2020-07-03,non-holiday,34296,여름
2020-07-04,holiday,43979,여름
2020-07-05,holiday,42213,여름
2020-07-06,non-holiday,31012,여름
2020-07-07,non-holiday,33513,여름
2020-07-08,non-holiday,34197,여름
2020-07-09,non-holiday,36145,여름
2020-07-10,non-holiday,35058,여름
2020-07-11,holiday,43821,여름
2020-07-12,holiday,34447,여름
2020-07-13,non-holiday,28993,여름
2020-07-14,non-holiday,31867,여름
2020-07-15,non-holiday,36102,여름
2020-07-16,non-holiday,38518,여름
2020-07-17,holiday,38847,여름
2020-07-18,holiday,48694,여름
2020-07-19,holiday,40045,여름
2020-07-20,non-holiday,35468,여름
2020-07-21,non-holiday,37055,여름
2020-07-22,non-holiday,32405,여름
2020-07-23,non-holiday,31046,여름
2020-07-24,non-holiday,36023,여름
2020-07-25,holiday,44758,여름
2020-07-26,holiday,48741,여름
2020-07-27,non-holiday,37856,여름
2020-07-28,non-holiday,36378,여름
2020-07-29,non-holiday,33797,여름
2020-07-30,non-holiday,38435,여름
2020-07-31,non-holiday,45441,여름
2020-08-01,holiday,49851,여름
2020-08-02,holiday,47923,여름
2020-08-03,non-holiday,41741,여름
2020-08-04,non-holiday,41758,여름
2020-08-05,non-holiday,39394,여름
2020-08-06,non-holiday,33814,여름
2020-08-07,non-holiday,33008,여름
2020-08-08,holiday,31798,여름
2020-08-09,holiday,40252,여름
2020-08-10,non-holiday,30846,여름
2020-08-11,non-holiday,33858,여름
