날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,47218,겨울
2020-01-02,non-holiday,23229,겨울
2020-01-03,non-holiday,24561,겨울
2020-01-04,holiday,39665,겨울
2020-01-05,holiday,44388,겨울
2020-01-06,non-holiday,18330,겨울
2020-01-07,non-holiday,18065,겨울
2020-01-08,non-holiday,18357,겨울
2020-01-09,non-holiday,22419,겨울
2020-01-10,non-holiday,25533,겨울
2020-01-11,holiday,41061,겨울
2020-01-12,holiday,43413,겨울
2020-01-13,non-holiday,21998,겨울
2020-01-14,non-holiday,22753,겨울
2020-01-15,non-holiday,22984,겨울
2020-01-16,non-holiday,23405,겨울
2020-01-17,non-holiday,25723,겨울
2020-01-18,holiday,41548,겨울
2020-01-19,holiday,41288,겨울
2020-01-20,non-holiday,22616,겨울
2020-01-21,non-holiday,25255,겨울
2020-01-22,non-holiday,22516,겨울
2020-01-23,non-holiday,28610,겨울
2020-01-24,holiday,63550,겨울
2020-01-25,holiday,100744,겨울
2020-01-26,holiday,71703,겨울
2020-01-27,holiday,35236,겨울
2020-01-28,non-holiday,23173,겨울
2020-01-29,non-holiday,21846,겨울
2020-01-30,non-holiday,24689,겨울
2020-01-31,non-holiday,24660,겨울
2020-02-01,holiday,37536,겨울
2020-02-02,holiday,41345,겨울
2020-02-03,non-holiday,20342,겨울
2020-02-04,non-holiday,21976,겨울
2020-02-05,non-holiday,19172,겨울
2020-02-06,non-holiday,19859,겨울
2020-02-07,non-holiday,22746,겨울
2020-02-08,holiday,33581,겨울
2020-02-09,holiday,40094,겨울
2020-02-10,non-holiday,24427,겨울
2020-02-11,non-holiday,25359,겨울
2020-02-12,non-holiday,20171,겨울
2020-02-13,non-holiday,23819,겨울
2020-02-14,non-holiday,29452,겨울
2020-02-15,holiday,45385,겨울
2020-02-16,holiday,36543,겨울
2020-02-17,non-holiday,17056,겨울
2020-02-18,non-holiday,20319,겨울
2020-02-19,non-holiday,23483,겨울
2020-02-20,non-holiday,26474,겨울
2020-02-21,non-holiday,24014,겨울
2020-02-22,holiday,31624,겨울
2020-02-23,holiday,35950,겨울
2020-02-24,non-holiday,21839,겨울
2020-02-25,non-holiday,17143,겨울
2020-02-26,non-holiday,21498,겨울
2020-02-27,non-holiday,25463,겨울
2020-02-28,non-holiday,20592,겨울
2020-02-29,holiday,34069,겨울
2020-03-01,holiday,34496,봄
2020-03-02,non-holiday,20533,봄
2020-03-03,non-holiday,21921,봄
2020-03-04,non-holiday,22039,봄
2020-03-05,non-holiday,23140,봄
2020-03-06,non-holiday,25989,봄
2020-03-07,holiday,30979,봄
2020-03-08,holiday,55774,봄
2020-03-09,non-holiday,22518,봄
2020-03-10,non-holiday,19831,봄
2020-03-11,non-holiday,25415,봄
2020-03-12,non-holiday,29102,봄
2020-03-13,non-holiday,30201,봄
2020-03-14,holiday,48084,봄
2020-03-15,holiday,53329,봄
2020-03-16,non-holiday,26218,봄
2020-03-17,non-holiday,28501,봄
2020-03-18,non-holiday,30085,봄
2020-03-19,non-holiday,25331,봄
2020-03-20,non-holiday,30987,봄
2020-03-21,holiday,56393,봄
2020-03-22,holiday,64147,봄
2020-03-23,non-holiday,28396,봄
2020-03-24,non-holiday,29771,봄
2020-03-25,non-holiday,31449,봄
2020-03-26,non-holiday,21971,봄
2020-03-27,non-holiday,26633,봄
2020-03-28,holiday,45202,봄
2020-03-29,holiday,54585,봄
2020-03-30,non-holiday,29035,봄
2020-03-31,non-holiday,31449,봄
2020-04-01,non-holiday,24837,봄
2020-04-02,non-holiday,26920,봄
2020-04-03,non-holiday,29082,봄
2020-04-04,holiday,50599,봄
2020-04-05,holiday,58884,봄
2020-04-06,non-holiday,23797,봄
2020-04-07,non-holiday,27337,봄
2020-04-08,non-holiday,25435,봄
2020-04-09,non-holiday,26486,봄
2020-04-10,non-holiday,27506,봄
2020-04-11,holiday,42432,봄
2020-04-12,holiday,52014,봄
2020-04-13,non-holiday,25207,봄
2020-04-14,non-holiday,29718,봄
2020-04-15,holiday,52841,봄
2020-04-16,non-holiday,27225,봄
2020-04-17,non-holiday,24854,봄
2020-04-18,holiday,53955,봄
2020-04-19,holiday,40098,봄
2020-04-20,non-holiday,24407,봄
2020-04-21,non-holiday,26889,봄
2020-04-22,non-holiday,27326,봄
2020-04-23,non-holiday,28013,봄
2020-04-24,non-holiday,31914,봄
2020-04-25,holiday,58500,봄
2020-04-26,holiday,66146,봄
2020-04-27,non-holiday,28541,봄
2020-04-28,non-holiday,30724,봄
2020-04-29,non-holiday,33240,봄
2020-04-30,holiday,79892,봄
2020-05-01,non-holiday,73732,봄
2020-05-02,holiday,77536,봄
2020-05-03,holiday,62724,봄
2020-05-04,non-holiday,41442,봄
2020-05-05,holiday,68460,봄
2020-05-06,non-holiday,27268,봄
2020-05-07,non-holiday,30896,봄
2020-05-08,non-holiday,37314,봄
2020-05-09,holiday,45148,봄
2020-05-10,holiday,60150,봄
2020-05-11,non-holiday,27896,봄
2020-05-12,non-holiday,30240,봄
2020-05-13,non-holiday,30157,봄
2020-05-14,non-holiday,29713,봄
2020-05-15,non-holiday,26401,봄
2020-05-16,holiday,56721,봄
2020-05-17,holiday,69085,봄
2020-05-18,non-holiday,27785,봄
2020-05-19,non-holiday,25392,봄
2020-05-20,non-holiday,32430,봄
2020-05-21,non-holiday,32542,봄
2020-05-22,non-holiday,35702,봄
2020-05-23,holiday,62783,봄
2020-05-24,holiday,55471,봄
2020-05-25,non-holiday,30635,봄
2020-05-26,non-holiday,31327,봄
2020-05-27,non-holiday,32932,봄
2020-05-28,non-holiday,32831,봄
2020-05-29,non-holiday,35237,봄
2020-05-30,holiday,63568,봄
2020-05-31,holiday,64745,봄
2020-06-01,non-holiday,27488,여름
2020-06-02,non-holiday,28964,여름
2020-06-03,non-holiday,27553,여름
2020-06-04,non-holiday,28962,여름
2020-06-05,non-holiday,32992,여름
2020-06-06,holiday,65080,여름
2020-06-07,holiday,63401,여름
2020-06-08,non-holiday,28038,여름
