날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,76606,겨울
2020-01-02,non-holiday,55542,겨울
2020-01-03,non-holiday,59125,겨울
2020-01-04,holiday,70916,겨울
2020-01-05,holiday,60389,겨울
2020-01-06,non-holiday,49048,겨울
2020-01-07,non-holiday,49948,겨울
2020-01-08,non-holiday,49627,겨울
2020-01-09,non-holiday,54051,겨울
2020-01-10,non-holiday,59505,겨울
2020-01-11,holiday,72125,겨울
2020-01-12,holiday,62350,겨울
2020-01-13,non-holiday,51756,겨울
2020-01-14,non-holiday,52725,겨울
2020-01-15,non-holiday,53948,겨울
2020-01-16,non-holiday,55035,겨울
2020-01-17,non-holiday,60197,겨울
2020-01-18,holiday,72026,겨울
2020-01-19,holiday,60901,겨울
2020-01-20,non-holiday,56009,겨울
2020-01-21,non-holiday,59105,겨울
2020-01-22,non-holiday,61531,겨울
2020-01-23,non-holiday,82112,겨울
2020-01-24,holiday,119909,겨울
2020-01-25,holiday,143333,겨울
2020-01-26,holiday,125445,겨울
2020-01-27,holiday,81010,겨울
2020-01-28,non-holiday,63138,겨울
2020-01-29,non-holiday,56523,겨울
2020-01-30,non-holiday,57560,겨울
2020-01-31,non-holiday,60930,겨울
2020-02-01,holiday,64417,겨울
2020-02-02,holiday,53173,겨울
2020-02-03,non-holiday,45147,겨울
2020-02-04,non-holiday,46139,겨울
2020-02-05,non-holiday,43973,겨울
2020-02-06,non-holiday,50779,겨울
2020-02-07,non-holiday,51476,겨울
2020-02-08,holiday,58746,겨울
2020-02-09,holiday,52158,겨울
2020-02-10,non-holiday,48195,겨울
2020-02-11,non-holiday,49245,겨울
2020-02-12,non-holiday,49187,겨울
2020-02-13,non-holiday,52188,겨울
2020-02-14,non-holiday,60666,겨울
2020-02-15,holiday,70045,겨울
2020-02-16,holiday,55946,겨울
2020-02-17,non-holiday,44909,겨울
2020-02-18,non-holiday,51430,겨울
2020-02-19,non-holiday,53321,겨울
2020-02-20,non-holiday,53797,겨울
2020-02-21,non-holiday,56791,겨울
2020-02-22,holiday,64203,겨울
2020-02-23,holiday,53902,겨울
2020-02-24,non-holiday,54397,겨울
2020-02-25,non-holiday,48290,겨울
2020-02-26,non-holiday,48020,겨울
2020-02-27,non-holiday,49562,겨울
2020-02-28,non-holiday,50324,겨울
2020-02-29,holiday,56342,겨울
