날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,41568,겨울
2020-01-02,non-holiday,27385,겨울
2020-01-03,non-holiday,29384,겨울
2020-01-04,holiday,40701,겨울
2020-01-05,holiday,34243,겨울
2020-01-06,non-holiday,23090,겨울
2020-01-07,non-holiday,24528,겨울
2020-01-08,non-holiday,26726,겨울
2020-01-09,non-holiday,29450,겨울
2020-01-10,non-holiday,30819,겨울
2020-01-11,holiday,40458,겨울
2020-01-12,holiday,31616,겨울
2020-01-13,non-holiday,27284,겨울
2020-01-14,non-holiday,28732,겨울
2020-01-15,non-holiday,30284,겨울
2020-01-16,non-holiday,30902,겨울
2020-01-17,non-holiday,32149,겨울
2020-01-18,holiday,39672,겨울
2020-01-19,holiday,32959,겨울
2020-01-20,non-holiday,28985,겨울
2020-01-21,non-holiday,32899,겨울
2020-01-22,non-holiday,30531,겨울
2020-01-23,non-holiday,37948,겨울
2020-01-24,holiday,66592,겨울
2020-01-25,holiday,95707,겨울
2020-01-26,holiday,66222,겨울
2020-01-27,holiday,37646,겨울
2020-01-28,non-holiday,29580,겨울
2020-01-29,non-holiday,29132,겨울
2020-01-30,non-holiday,30284,겨울
2020-01-31,non-holiday,31417,겨울
2020-02-01,holiday,35266,겨울
2020-02-02,holiday,30123,겨울
2020-02-03,non-holiday,24023,겨울
2020-02-04,non-holiday,27133,겨울
2020-02-05,non-holiday,25032,겨울
2020-02-06,non-holiday,26297,겨울
2020-02-07,non-holiday,27378,겨울
2020-02-08,holiday,34600,겨울
2020-02-09,holiday,28663,겨울
2020-02-10,non-holiday,27205,겨울
2020-02-11,non-holiday,28785,겨울
2020-02-12,non-holiday,25941,겨울
2020-02-13,non-holiday,28578,겨울
2020-02-14,non-holiday,32233,겨울
2020-02-15,holiday,39527,겨울
2020-02-16,holiday,28188,겨울
2020-02-17,non-holiday,21163,겨울
2020-02-18,non-holiday,25948,겨울
2020-02-19,non-holiday,29354,겨울
2020-02-20,non-holiday,31338,겨울
2020-02-21,non-holiday,33263,겨울
2020-02-22,holiday,38257,겨울
2020-02-23,holiday,30706,겨울
2020-02-24,non-holiday,29118,겨울
2020-02-25,non-holiday,24612,겨울
2020-02-26,non-holiday,27387,겨울
2020-02-27,non-holiday,29681,겨울
2020-02-28,non-holiday,27312,겨울
2020-02-29,holiday,33819,겨울
2020-03-01,holiday,26526,봄
2020-03-02,non-holiday,21926,봄
2020-03-03,non-holiday,23443,봄
2020-03-04,non-holiday,23402,봄
2020-03-05,non-holiday,24024,봄
2020-03-06,non-holiday,26190,봄
2020-03-07,holiday,30317,봄
2020-03-08,holiday,33851,봄
2020-03-09,non-holiday,24688,봄
2020-03-10,non-holiday,22720,봄
2020-03-11,non-holiday,26549,봄
2020-03-12,non-holiday,29040,봄
2020-03-13,non-holiday,30819,봄
2020-03-14,holiday,38747,봄
2020-03-15,holiday,34434,봄
2020-03-16,non-holiday,27472,봄
2020-03-17,non-holiday,29280,봄
2020-03-18,non-holiday,30239,봄
2020-03-19,non-holiday,28164,봄
2020-03-20,non-holiday,31718,봄
2020-03-21,holiday,43000,봄
2020-03-22,holiday,35588,봄
2020-03-23,non-holiday,27131,봄
2020-03-24,non-holiday,28291,봄
2020-03-25,non-holiday,29896,봄
2020-03-26,non-holiday,24742,봄
2020-03-27,non-holiday,26951,봄
2020-03-28,holiday,35212,봄
2020-03-29,holiday,34950,봄
2020-03-30,non-holiday,28057,봄
2020-03-31,non-holiday,28929,봄
2020-04-01,non-holiday,21467,봄
2020-04-02,non-holiday,21860,봄
2020-04-03,non-holiday,25491,봄
2020-04-04,holiday,34777,봄
2020-04-05,holiday,33136,봄
2020-04-06,non-holiday,23332,봄
2020-04-07,non-holiday,25216,봄
2020-04-08,non-holiday,24337,봄
2020-04-09,non-holiday,25667,봄
2020-04-10,non-holiday,27693,봄
2020-04-11,holiday,34053,봄
2020-04-12,holiday,32017,봄
2020-04-13,non-holiday,24631,봄
2020-04-14,non-holiday,28537,봄
2020-04-15,holiday,35230,봄
2020-04-16,non-holiday,27732,봄
2020-04-17,non-holiday,26214,봄
2020-04-18,holiday,41075,봄
2020-04-19,holiday,29494,봄
2020-04-20,non-holiday,25633,봄
2020-04-21,non-holiday,28828,봄
2020-04-22,non-holiday,28854,봄
2020-04-23,non-holiday,29590,봄
2020-04-24,non-holiday,34403,봄
2020-04-25,holiday,44634,봄
2020-04-26,holiday,41025,봄
2020-04-27,non-holiday,29467,봄
2020-04-28,non-holiday,31202,봄
2020-04-29,non-holiday,34772,봄
2020-04-30,holiday,54504,봄
2020-05-01,non-holiday,50652,봄
2020-05-02,holiday,55671,봄
2020-05-03,holiday,42056,봄
2020-05-04,non-holiday,35023,봄
2020-05-05,holiday,44675,봄
2020-05-06,non-holiday,28646,봄
2020-05-07,non-holiday,30524,봄
2020-05-08,non-holiday,34650,봄
2020-05-09,holiday,39296,봄
2020-05-10,holiday,37019,봄
2020-05-11,non-holiday,28882,봄
2020-05-12,non-holiday,30051,봄
2020-05-13,non-holiday,30388,봄
2020-05-14,non-holiday,31626,봄
2020-05-15,non-holiday,28198,봄
2020-05-16,holiday,43962,봄
2020-05-17,holiday,42241,봄
2020-05-18,non-holiday,28494,봄
2020-05-19,non-holiday,28562,봄
2020-05-20,non-holiday,34344,봄
2020-05-21,non-holiday,34603,봄
2020-05-22,non-holiday,36236,봄
2020-05-23,holiday,49611,봄
2020-05-24,holiday,40480,봄
2020-05-25,non-holiday,32237,봄
2020-05-26,non-holiday,33693,봄
2020-05-27,non-holiday,33714,봄
2020-05-28,non-holiday,33839,봄
2020-05-29,non-holiday,36836,봄
2020-05-30,holiday,52367,봄
2020-05-31,holiday,41938,봄
2020-06-01,non-holiday,26269,여름
2020-06-02,non-holiday,27320,여름
2020-06-03,non-holiday,27367,여름
2020-06-04,non-holiday,30669,여름
2020-06-05,non-holiday,32617,여름
2020-06-06,holiday,47893,여름
2020-06-07,holiday,41789,여름
2020-06-08,non-holiday,31627,여름
2020-06-09,non-holiday,30545,여름
2020-06-10,non-holiday,30279,여름
2020-06-11,non-holiday,29541,여름
2020-06-12,non-holiday,33681,여름
2020-06-13,holiday,41061,여름
2020-06-14,holiday,34981,여름
2020-06-15,non-holiday,30623,여름
