날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,52308,겨울
2020-01-02,non-holiday,12926,겨울
2020-01-03,non-holiday,14430,겨울
2020-01-04,holiday,24556,겨울
2020-01-05,holiday,20460,겨울
2020-01-06,non-holiday,9425,겨울
2020-01-07,non-holiday,10420,겨울
2020-01-08,non-holiday,10803,겨울
2020-01-09,non-holiday,12508,겨울
2020-01-10,non-holiday,13672,겨울
2020-01-11,holiday,19787,겨울
2020-01-12,holiday,18734,겨울
2020-01-13,non-holiday,11405,겨울
2020-01-14,non-holiday,12588,겨울
2020-01-15,non-holiday,11435,겨울
2020-01-16,non-holiday,12171,겨울
2020-01-17,non-holiday,13831,겨울
2020-01-18,holiday,18934,겨울
2020-01-19,holiday,16970,겨울
2020-01-20,non-holiday,11246,겨울
2020-01-21,non-holiday,13074,겨울
2020-01-22,non-holiday,11728,겨울
2020-01-23,non-holiday,18547,겨울
2020-01-24,holiday,56051,겨울
2020-01-25,holiday,86010,겨울
2020-01-26,holiday,50637,겨울
2020-01-27,holiday,20489,겨울
2020-01-28,non-holiday,12080,겨울
2020-01-29,non-holiday,12087,겨울
2020-01-30,non-holiday,11631,겨울
2020-01-31,non-holiday,12449,겨울
2020-02-01,holiday,14965,겨울
2020-02-02,holiday,14843,겨울
2020-02-03,non-holiday,10017,겨울
2020-02-04,non-holiday,10974,겨울
2020-02-05,non-holiday,9833,겨울
2020-02-06,non-holiday,10306,겨울
2020-02-07,non-holiday,11261,겨울
2020-02-08,holiday,14424,겨울
2020-02-09,holiday,15124,겨울
2020-02-10,non-holiday,10351,겨울
2020-02-11,non-holiday,11647,겨울
2020-02-12,non-holiday,9999,겨울
2020-02-13,non-holiday,11623,겨울
2020-02-14,non-holiday,12738,겨울
2020-02-15,holiday,18747,겨울
2020-02-16,holiday,14093,겨울
2020-02-17,non-holiday,8310,겨울
2020-02-18,non-holiday,10347,겨울
2020-02-19,non-holiday,11998,겨울
2020-02-20,non-holiday,12227,겨울
2020-02-21,non-holiday,12235,겨울
2020-02-22,holiday,15219,겨울
2020-02-23,holiday,15079,겨울
2020-02-24,non-holiday,11478,겨울
2020-02-25,non-holiday,9076,겨울
2020-02-26,non-holiday,10400,겨울
2020-02-27,non-holiday,11409,겨울
2020-02-28,non-holiday,10089,겨울
2020-02-29,holiday,14476,겨울
2020-03-01,holiday,13933,봄
2020-03-02,non-holiday,8990,봄
2020-03-03,non-holiday,9677,봄
2020-03-04,non-holiday,10387,봄
2020-03-05,non-holiday,9774,봄
2020-03-06,non-holiday,11325,봄
2020-03-07,holiday,12648,봄
2020-03-08,holiday,18524,봄
2020-03-09,non-holiday,9988,봄
2020-03-10,non-holiday,8800,봄
2020-03-11,non-holiday,10828,봄
2020-03-12,non-holiday,12244,봄
2020-03-13,non-holiday,12909,봄
2020-03-14,holiday,19164,봄
2020-03-15,holiday,18832,봄
2020-03-16,non-holiday,11226,봄
2020-03-17,non-holiday,11793,봄
2020-03-18,non-holiday,12476,봄
2020-03-19,non-holiday,11674,봄
2020-03-20,non-holiday,13301,봄
2020-03-21,holiday,22329,봄
2020-03-22,holiday,22952,봄
2020-03-23,non-holiday,12039,봄
2020-03-24,non-holiday,13149,봄
2020-03-25,non-holiday,13686,봄
2020-03-26,non-holiday,9878,봄
2020-03-27,non-holiday,12108,봄
2020-03-28,holiday,20258,봄
2020-03-29,holiday,25046,봄
2020-03-30,non-holiday,14757,봄
2020-03-31,non-holiday,15628,봄
2020-04-01,non-holiday,12740,봄
2020-04-02,non-holiday,14177,봄
2020-04-03,non-holiday,16366,봄
2020-04-04,holiday,25976,봄
2020-04-05,holiday,25709,봄
2020-04-06,non-holiday,11991,봄
2020-04-07,non-holiday,12634,봄
2020-04-08,non-holiday,12409,봄
2020-04-09,non-holiday,12655,봄
2020-04-10,non-holiday,13579,봄
2020-04-11,holiday,17841,봄
2020-04-12,holiday,19072,봄
2020-04-13,non-holiday,12310,봄
2020-04-14,non-holiday,13319,봄
2020-04-15,holiday,19254,봄
2020-04-16,non-holiday,12425,봄
2020-04-17,non-holiday,11210,봄
2020-04-18,holiday,22295,봄
2020-04-19,holiday,15954,봄
2020-04-20,non-holiday,11236,봄
2020-04-21,non-holiday,13073,봄
2020-04-22,non-holiday,12610,봄
2020-04-23,non-holiday,13247,봄
2020-04-24,non-holiday,15241,봄
2020-04-25,holiday,24855,봄
2020-04-26,holiday,25514,봄
2020-04-27,non-holiday,13294,봄
2020-04-28,non-holiday,14124,봄
2020-04-29,non-holiday,16257,봄
2020-04-30,holiday,38903,봄
2020-05-01,non-holiday,43212,봄
2020-05-02,holiday,44227,봄
2020-05-03,holiday,27537,봄
2020-05-04,non-holiday,20575,봄
2020-05-05,holiday,27014,봄
2020-05-06,non-holiday,12548,봄
2020-05-07,non-holiday,13806,봄
2020-05-08,non-holiday,16872,봄
2020-05-09,holiday,19520,봄
