날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,68623,겨울
2020-01-02,non-holiday,45504,겨울
2020-01-03,non-holiday,49279,겨울
2020-01-04,holiday,67969,겨울
2020-01-05,holiday,57178,겨울
2020-01-06,non-holiday,39835,겨울
2020-01-07,non-holiday,40545,겨울
2020-01-08,non-holiday,42204,겨울
2020-01-09,non-holiday,44987,겨울
2020-01-10,non-holiday,50449,겨울
2020-01-11,holiday,67756,겨울
2020-01-12,holiday,60239,겨울
2020-01-13,non-holiday,44532,겨울
2020-01-14,non-holiday,47103,겨울
2020-01-15,non-holiday,48558,겨울
2020-01-16,non-holiday,47977,겨울
2020-01-17,non-holiday,53826,겨울
2020-01-18,holiday,67331,겨울
2020-01-19,holiday,57560,겨울
2020-01-20,non-holiday,47055,겨울
2020-01-21,non-holiday,50507,겨울
2020-01-22,non-holiday,50508,겨울
2020-01-23,non-holiday,68530,겨울
2020-01-24,holiday,122840,겨울
2020-01-25,holiday,166745,겨울
2020-01-26,holiday,129871,겨울
2020-01-27,holiday,75516,겨울
2020-01-28,non-holiday,52134,겨울
2020-01-29,non-holiday,47717,겨울
2020-01-30,non-holiday,48719,겨울
2020-01-31,non-holiday,51663,겨울
2020-02-01,holiday,59946,겨울
2020-02-02,holiday,51359,겨울
2020-02-03,non-holiday,40167,겨울
2020-02-04,non-holiday,41708,겨울
2020-02-05,non-holiday,38753,겨울
2020-02-06,non-holiday,44404,겨울
2020-02-07,non-holiday,45064,겨울
2020-02-08,holiday,56359,겨울
2020-02-09,holiday,50039,겨울
2020-02-10,non-holiday,43033,겨울
2020-02-11,non-holiday,45603,겨울
2020-02-12,non-holiday,42058,겨울
2020-02-13,non-holiday,45637,겨울
2020-02-14,non-holiday,52090,겨울
2020-02-15,holiday,68548,겨울
2020-02-16,holiday,53736,겨울
2020-02-17,non-holiday,40575,겨울
2020-02-18,non-holiday,43766,겨울
2020-02-19,non-holiday,46076,겨울
2020-02-20,non-holiday,49176,겨울
2020-02-21,non-holiday,50756,겨울
2020-02-22,holiday,60426,겨울
2020-02-23,holiday,48702,겨울
2020-02-24,non-holiday,46255,겨울
2020-02-25,non-holiday,39299,겨울
2020-02-26,non-holiday,41255,겨울
2020-02-27,non-holiday,42423,겨울
2020-02-28,non-holiday,41855,겨울
2020-02-29,holiday,42235,겨울
2020-03-01,holiday,30032,봄
2020-03-02,non-holiday,29161,봄
2020-03-03,non-holiday,31619,봄
2020-03-04,non-holiday,32238,봄
2020-03-05,non-holiday,33589,봄
2020-03-06,non-holiday,38138,봄
2020-03-07,holiday,41937,봄
2020-03-08,holiday,45747,봄
2020-03-09,non-holiday,35027,봄
2020-03-10,non-holiday,34830,봄
2020-03-11,non-holiday,38581,봄
2020-03-12,non-holiday,40957,봄
2020-03-13,non-holiday,49068,봄
2020-03-14,holiday,57396,봄
2020-03-15,holiday,52056,봄
2020-03-16,non-holiday,40492,봄
2020-03-17,non-holiday,43363,봄
2020-03-18,non-holiday,42715,봄
2020-03-19,non-holiday,41093,봄
2020-03-20,non-holiday,47980,봄
2020-03-21,holiday,64078,봄
2020-03-22,holiday,57717,봄
2020-03-23,non-holiday,43870,봄
2020-03-24,non-holiday,45485,봄
2020-03-25,non-holiday,51820,봄
2020-03-26,non-holiday,42481,봄
2020-03-27,non-holiday,48386,봄
2020-03-28,holiday,63059,봄
2020-03-29,holiday,63088,봄
2020-03-30,non-holiday,48110,봄
2020-03-31,non-holiday,48187,봄
2020-04-01,non-holiday,37065,봄
2020-04-02,non-holiday,40100,봄
2020-04-03,non-holiday,45350,봄
2020-04-04,holiday,61151,봄
2020-04-05,holiday,57225,봄
2020-04-06,non-holiday,43516,봄
2020-04-07,non-holiday,46096,봄
2020-04-08,non-holiday,43761,봄
2020-04-09,non-holiday,44576,봄
2020-04-10,non-holiday,50027,봄
2020-04-11,holiday,60365,봄
2020-04-12,holiday,54414,봄
2020-04-13,non-holiday,45169,봄
2020-04-14,non-holiday,49812,봄
2020-04-15,holiday,54970,봄
2020-04-16,non-holiday,47021,봄
2020-04-17,non-holiday,50494,봄
2020-04-18,holiday,68927,봄
2020-04-19,holiday,52774,봄
2020-04-20,non-holiday,47963,봄
2020-04-21,non-holiday,49580,봄
2020-04-22,non-holiday,50343,봄
2020-04-23,non-holiday,50711,봄
2020-04-24,non-holiday,62153,봄
2020-04-25,holiday,75977,봄
2020-04-26,holiday,68280,봄
2020-04-27,non-holiday,52043,봄
2020-04-28,non-holiday,53362,봄
2020-04-29,non-holiday,60451,봄
2020-04-30,holiday,105362,봄
2020-05-01,non-holiday,114180,봄
2020-05-02,holiday,121688,봄
2020-05-03,holiday,83879,봄
2020-05-04,non-holiday,69319,봄
2020-05-05,holiday,68746,봄
2020-05-06,non-holiday,47787,봄
2020-05-07,non-holiday,51991,봄
2020-05-08,non-holiday,60440,봄
2020-05-09,holiday,68220,봄
2020-05-10,holiday,69242,봄
2020-05-11,non-holiday,51022,봄
2020-05-12,non-holiday,50770,봄
2020-05-13,non-holiday,50315,봄
2020-05-14,non-holiday,52659,봄
2020-05-15,non-holiday,52638,봄
2020-05-16,holiday,75415,봄
2020-05-17,holiday,69142,봄
2020-05-18,non-holiday,50018,봄
2020-05-19,non-holiday,49785,봄
2020-05-20,non-holiday,57573,봄
2020-05-21,non-holiday,54340,봄
2020-05-22,non-holiday,63020,봄
2020-05-23,holiday,80889,봄
2020-05-24,holiday,68980,봄
2020-05-25,non-holiday,54192,봄
2020-05-26,non-holiday,54390,봄
2020-05-27,non-holiday,55381,봄
2020-05-28,non-holiday,55730,봄
2020-05-29,non-holiday,62352,봄
2020-05-30,holiday,80351,봄
2020-05-31,holiday,72148,봄
2020-06-01,non-holiday,45558,여름
2020-06-02,non-holiday,46707,여름
2020-06-03,non-holiday,47460,여름
2020-06-04,non-holiday,49796,여름
2020-06-05,non-holiday,58473,여름
2020-06-06,holiday,79219,여름
2020-06-07,holiday,73400,여름
2020-06-08,non-holiday,54366,여름
2020-06-09,non-holiday,50787,여름
2020-06-10,non-holiday,50337,여름
2020-06-11,non-holiday,49784,여름
2020-06-12,non-holiday,59822,여름
2020-06-13,holiday,76695,여름
2020-06-14,holiday,62099,여름
2020-06-15,non-holiday,51797,여름
2020-06-16,non-holiday,52021,여름
2020-06-17,non-holiday,51884,여름
2020-06-18,non-holiday,48194,여름
2020-06-19,non-holiday,60833,여름
2020-06-20,holiday,85209,여름
2020-06-21,holiday,70833,여름
2020-06-22,non-holiday,53711,여름
2020-06-23,non-holiday,58680,여름
2020-06-24,non-holiday,50826,여름
2020-06-25,non-holiday,57771,여름
2020-06-26,non-holiday,62190,여름
2020-06-27,holiday,82988,여름
2020-06-28,holiday,71628,여름
2020-06-29,non-holiday,50308,여름
2020-06-30,non-holiday,50782,여름
2020-07-01,non-holiday,44798,여름
2020-07-02,non-holiday,57509,여름
2020-07-03,non-holiday,59069,여름
2020-07-04,holiday,74219,여름
2020-07-05,holiday,66496,여름
2020-07-06,non-holiday,50009,여름
2020-07-07,non-holiday,51388,여름
2020-07-08,non-holiday,51878,여름
2020-07-09,non-holiday,56525,여름
2020-07-10,non-holiday,59001,여름
2020-07-11,holiday,72310,여름
2020-07-12,holiday,62007,여름
2020-07-13,non-holiday,46892,여름
2020-07-14,non-holiday,51742,여름
2020-07-15,non-holiday,57193,여름
2020-07-16,non-holiday,57732,여름
2020-07-17,holiday,65423,여름
2020-07-18,holiday,77767,여름
2020-07-19,holiday,64662,여름
2020-07-20,non-holiday,58351,여름
2020-07-21,non-holiday,55781,여름
2020-07-22,non-holiday,53710,여름
2020-07-23,non-holiday,51100,여름
2020-07-24,non-holiday,61584,여름
2020-07-25,holiday,78271,여름
2020-07-26,holiday,73762,여름
2020-07-27,non-holiday,62215,여름
2020-07-28,non-holiday,58908,여름
2020-07-29,non-holiday,58294,여름
2020-07-30,non-holiday,62479,여름
2020-07-31,non-holiday,78318,여름
2020-08-01,holiday,95713,여름
2020-08-02,holiday,97535,여름
2020-08-03,non-holiday,81918,여름
2020-08-04,non-holiday,75149,여름
2020-08-05,non-holiday,67046,여름
2020-08-06,non-holiday,60788,여름
2020-08-07,non-holiday,66669,여름
