날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,17415,겨울
2020-01-02,non-holiday,10003,겨울
2020-01-03,non-holiday,11166,겨울
2020-01-04,holiday,15606,겨울
2020-01-05,holiday,14796,겨울
2020-01-06,non-holiday,8321,겨울
2020-01-07,non-holiday,7590,겨울
2020-01-08,non-holiday,7875,겨울
2020-01-09,non-holiday,10771,겨울
2020-01-10,non-holiday,11870,겨울
2020-01-11,holiday,16127,겨울
2020-01-12,holiday,15216,겨울
2020-01-13,non-holiday,11072,겨울
2020-01-14,non-holiday,11981,겨울
2020-01-15,non-holiday,11241,겨울
2020-01-16,non-holiday,11376,겨울
2020-01-17,non-holiday,10927,겨울
2020-01-18,holiday,14293,겨울
2020-01-19,holiday,12580,겨울
2020-01-20,non-holiday,9728,겨울
2020-01-21,non-holiday,10660,겨울
2020-01-22,non-holiday,8653,겨울
2020-01-23,non-holiday,12912,겨울
2020-01-24,holiday,31713,겨울
2020-01-25,holiday,47181,겨울
2020-01-26,holiday,33312,겨울
2020-01-27,holiday,13654,겨울
2020-01-28,non-holiday,9612,겨울
2020-01-29,non-holiday,9959,겨울
2020-01-30,non-holiday,10348,겨울
2020-01-31,non-holiday,10735,겨울
2020-02-01,holiday,12935,겨울
2020-02-02,holiday,13158,겨울
2020-02-03,non-holiday,9268,겨울
2020-02-04,non-holiday,10624,겨울
2020-02-05,non-holiday,8262,겨울
2020-02-06,non-holiday,10397,겨울
2020-02-07,non-holiday,10893,겨울
2020-02-08,holiday,12037,겨울
2020-02-09,holiday,12574,겨울
2020-02-10,non-holiday,11062,겨울
2020-02-11,non-holiday,11395,겨울
2020-02-12,non-holiday,9584,겨울
2020-02-13,non-holiday,11707,겨울
2020-02-14,non-holiday,13420,겨울
2020-02-15,holiday,15234,겨울
2020-02-16,holiday,8516,겨울
2020-02-17,non-holiday,6229,겨울
2020-02-18,non-holiday,8713,겨울
2020-02-19,non-holiday,12526,겨울
2020-02-20,non-holiday,13979,겨울
2020-02-21,non-holiday,12896,겨울
2020-02-22,holiday,13755,겨울
2020-02-23,holiday,14997,겨울
2020-02-24,non-holiday,11647,겨울
2020-02-25,non-holiday,9111,겨울
2020-02-26,non-holiday,10632,겨울
2020-02-27,non-holiday,12898,겨울
2020-02-28,non-holiday,12274,겨울
2020-02-29,holiday,15487,겨울
2020-03-01,holiday,12182,봄
2020-03-02,non-holiday,8121,봄
2020-03-03,non-holiday,9977,봄
2020-03-04,non-holiday,8766,봄
2020-03-05,non-holiday,9721,봄
2020-03-06,non-holiday,12734,봄
2020-03-07,holiday,12219,봄
2020-03-08,holiday,15899,봄
2020-03-09,non-holiday,9562,봄
2020-03-10,non-holiday,7468,봄
2020-03-11,non-holiday,9961,봄
