날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,89898,겨울
2020-01-02,non-holiday,57113,겨울
2020-01-03,non-holiday,60929,겨울
2020-01-04,holiday,76243,겨울
2020-01-05,holiday,65434,겨울
2020-01-06,non-holiday,44121,겨울
2020-01-07,non-holiday,42887,겨울
2020-01-08,non-holiday,42595,겨울
2020-01-09,non-holiday,49158,겨울
2020-01-10,non-holiday,56526,겨울
2020-01-11,holiday,79339,겨울
2020-01-12,holiday,71085,겨울
2020-01-13,non-holiday,51401,겨울
2020-01-14,non-holiday,53850,겨울
2020-01-15,non-holiday,54012,겨울
2020-01-16,non-holiday,54414,겨울
2020-01-17,non-holiday,59718,겨울
2020-01-18,holiday,72801,겨울
2020-01-19,holiday,63693,겨울
2020-01-20,non-holiday,51758,겨울
2020-01-21,non-holiday,55119,겨울
2020-01-22,non-holiday,51548,겨울
2020-01-23,non-holiday,63550,겨울
2020-01-24,holiday,121716,겨울
2020-01-25,holiday,167092,겨울
2020-01-26,holiday,142362,겨울
2020-01-27,holiday,79424,겨울
2020-01-28,non-holiday,58342,겨울
2020-01-29,non-holiday,55485,겨울
2020-01-30,non-holiday,56505,겨울
2020-01-31,non-holiday,60296,겨울
2020-02-01,holiday,65406,겨울
2020-02-02,holiday,58586,겨울
2020-02-03,non-holiday,46139,겨울
2020-02-04,non-holiday,48079,겨울
2020-02-05,non-holiday,45738,겨울
2020-02-06,non-holiday,50215,겨울
2020-02-07,non-holiday,51447,겨울
2020-02-08,holiday,59019,겨울
2020-02-09,holiday,54270,겨울
2020-02-10,non-holiday,48435,겨울
2020-02-11,non-holiday,50370,겨울
2020-02-12,non-holiday,42833,겨울
2020-02-13,non-holiday,51703,겨울
2020-02-14,non-holiday,59276,겨울
2020-02-15,holiday,74754,겨울
2020-02-16,holiday,58447,겨울
2020-02-17,non-holiday,45914,겨울
2020-02-18,non-holiday,50211,겨울
2020-02-19,non-holiday,53416,겨울
2020-02-20,non-holiday,56734,겨울
2020-02-21,non-holiday,60297,겨울
2020-02-22,holiday,66556,겨울
2020-02-23,holiday,58811,겨울
2020-02-24,non-holiday,53429,겨울
2020-02-25,non-holiday,41927,겨울
2020-02-26,non-holiday,45102,겨울
2020-02-27,non-holiday,48206,겨울
2020-02-28,non-holiday,49394,겨울
2020-02-29,holiday,53494,겨울
2020-03-01,holiday,40547,봄
2020-03-02,non-holiday,35205,봄
2020-03-03,non-holiday,37231,봄
2020-03-04,non-holiday,37175,봄
2020-03-05,non-holiday,39257,봄
2020-03-06,non-holiday,44725,봄
2020-03-07,holiday,47241,봄
2020-03-08,holiday,52557,봄
2020-03-09,non-holiday,39243,봄
2020-03-10,non-holiday,37162,봄
2020-03-11,non-holiday,43417,봄
2020-03-12,non-holiday,46765,봄
2020-03-13,non-holiday,56413,봄
2020-03-14,holiday,62502,봄
2020-03-15,holiday,55412,봄
2020-03-16,non-holiday,46486,봄
2020-03-17,non-holiday,48389,봄
2020-03-18,non-holiday,52414,봄
2020-03-19,non-holiday,47784,봄
2020-03-20,non-holiday,55295,봄
2020-03-21,holiday,73096,봄
2020-03-22,holiday,68851,봄
2020-03-23,non-holiday,51054,봄
2020-03-24,non-holiday,52153,봄
2020-03-25,non-holiday,58134,봄
2020-03-26,non-holiday,45556,봄
2020-03-27,non-holiday,50495,봄
2020-03-28,holiday,66973,봄
2020-03-29,holiday,64811,봄
2020-03-30,non-holiday,53412,봄
2020-03-31,non-holiday,52816,봄
2020-04-01,non-holiday,37632,봄
2020-04-02,non-holiday,41689,봄
2020-04-03,non-holiday,48623,봄
2020-04-04,holiday,61560,봄
2020-04-05,holiday,56033,봄
2020-04-06,non-holiday,42710,봄
2020-04-07,non-holiday,43666,봄
2020-04-08,non-holiday,43139,봄
2020-04-09,non-holiday,44873,봄
2020-04-10,non-holiday,49179,봄
2020-04-11,holiday,58179,봄
2020-04-12,holiday,52224,봄
2020-04-13,non-holiday,46236,봄
2020-04-14,non-holiday,52671,봄
2020-04-15,holiday,55936,봄
2020-04-16,non-holiday,48335,봄
2020-04-17,non-holiday,47230,봄
2020-04-18,holiday,66906,봄
2020-04-19,holiday,52341,봄
2020-04-20,non-holiday,47940,봄
2020-04-21,non-holiday,48470,봄
2020-04-22,non-holiday,48508,봄
2020-04-23,non-holiday,49359,봄
2020-04-24,non-holiday,60026,봄
2020-04-25,holiday,73799,봄
2020-04-26,holiday,70440,봄
2020-04-27,non-holiday,53889,봄
2020-04-28,non-holiday,55058,봄
2020-04-29,non-holiday,64137,봄
2020-04-30,holiday,118242,봄
2020-05-01,non-holiday,136121,봄
2020-05-02,holiday,135713,봄
2020-05-03,holiday,94517,봄
2020-05-04,non-holiday,76442,봄
