날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,26022,겨울
2020-01-02,non-holiday,12496,겨울
2020-01-03,non-holiday,13749,겨울
2020-01-04,holiday,19234,겨울
2020-01-05,holiday,19297,겨울
2020-01-06,non-holiday,11066,겨울
2020-01-07,non-holiday,10849,겨울
2020-01-08,non-holiday,11398,겨울
2020-01-09,non-holiday,12954,겨울
2020-01-10,non-holiday,14794,겨울
2020-01-11,holiday,19537,겨울
2020-01-12,holiday,18068,겨울
2020-01-13,non-holiday,13169,겨울
2020-01-14,non-holiday,13766,겨울
2020-01-15,non-holiday,13724,겨울
2020-01-16,non-holiday,14771,겨울
2020-01-17,non-holiday,14780,겨울
2020-01-18,holiday,20267,겨울
2020-01-19,holiday,17922,겨울
2020-01-20,non-holiday,13946,겨울
2020-01-21,non-holiday,14725,겨울
2020-01-22,non-holiday,13929,겨울
2020-01-23,non-holiday,20478,겨울
2020-01-24,holiday,48749,겨울
2020-01-25,holiday,71397,겨울
2020-01-26,holiday,46780,겨울
2020-01-27,holiday,20807,겨울
2020-01-28,non-holiday,14162,겨울
2020-01-29,non-holiday,13049,겨울
2020-01-30,non-holiday,13560,겨울
2020-01-31,non-holiday,13709,겨울
2020-02-01,holiday,16464,겨울
2020-02-02,holiday,16250,겨울
2020-02-03,non-holiday,11420,겨울
2020-02-04,non-holiday,11980,겨울
2020-02-05,non-holiday,11059,겨울
2020-02-06,non-holiday,12535,겨울
2020-02-07,non-holiday,12771,겨울
2020-02-08,holiday,16217,겨울
2020-02-09,holiday,17633,겨울
2020-02-10,non-holiday,13100,겨울
2020-02-11,non-holiday,14244,겨울
2020-02-12,non-holiday,12199,겨울
2020-02-13,non-holiday,13805,겨울
2020-02-14,non-holiday,15095,겨울
2020-02-15,holiday,18124,겨울
2020-02-16,holiday,14825,겨울
2020-02-17,non-holiday,9390,겨울
2020-02-18,non-holiday,11488,겨울
2020-02-19,non-holiday,13648,겨울
2020-02-20,non-holiday,14870,겨울
2020-02-21,non-holiday,14810,겨울
2020-02-22,holiday,17554,겨울
2020-02-23,holiday,19201,겨울
2020-02-24,non-holiday,14003,겨울
2020-02-25,non-holiday,11382,겨울
2020-02-26,non-holiday,13326,겨울
2020-02-27,non-holiday,14760,겨울
2020-02-28,non-holiday,13226,겨울
2020-02-29,holiday,19159,겨울
2020-03-01,holiday,16706,봄
2020-03-02,non-holiday,10897,봄
2020-03-03,non-holiday,11377,봄
2020-03-04,non-holiday,11411,봄
2020-03-05,non-holiday,11865,봄
2020-03-06,non-holiday,13743,봄
2020-03-07,holiday,15844,봄
2020-03-08,holiday,22887,봄
2020-03-09,non-holiday,12051,봄
2020-03-10,non-holiday,10250,봄
2020-03-11,non-holiday,12844,봄
2020-03-12,non-holiday,13931,봄
2020-03-13,non-holiday,14470,봄
2020-03-14,holiday,21772,봄
2020-03-15,holiday,20726,봄
2020-03-16,non-holiday,12875,봄
2020-03-17,non-holiday,13234,봄
2020-03-18,non-holiday,14342,봄
2020-03-19,non-holiday,12885,봄
2020-03-20,non-holiday,15746,봄
2020-03-21,holiday,24477,봄
2020-03-22,holiday,25900,봄
2020-03-23,non-holiday,14565,봄
2020-03-24,non-holiday,15501,봄
2020-03-25,non-holiday,15909,봄
2020-03-26,non-holiday,13044,봄
2020-03-27,non-holiday,14304,봄
2020-03-28,holiday,20920,봄
2020-03-29,holiday,25172,봄
2020-03-30,non-holiday,15610,봄
2020-03-31,non-holiday,15944,봄
2020-04-01,non-holiday,12391,봄
2020-04-02,non-holiday,13011,봄
2020-04-03,non-holiday,14395,봄
2020-04-04,holiday,23326,봄
2020-04-05,holiday,25615,봄
2020-04-06,non-holiday,13634,봄
2020-04-07,non-holiday,13611,봄
2020-04-08,non-holiday,13523,봄
2020-04-09,non-holiday,14030,봄
2020-04-10,non-holiday,15765,봄
2020-04-11,holiday,22318,봄
2020-04-12,holiday,24425,봄
2020-04-13,non-holiday,13875,봄
2020-04-14,non-holiday,15674,봄
2020-04-15,holiday,23261,봄
2020-04-16,non-holiday,15436,봄
2020-04-17,non-holiday,14529,봄
2020-04-18,holiday,25198,봄
2020-04-19,holiday,19160,봄
2020-04-20,non-holiday,14120,봄
2020-04-21,non-holiday,15372,봄
2020-04-22,non-holiday,14769,봄
2020-04-23,non-holiday,15595,봄
2020-04-24,non-holiday,17126,봄
2020-04-25,holiday,25988,봄
2020-04-26,holiday,28311,봄
2020-04-27,non-holiday,15810,봄
2020-04-28,non-holiday,16990,봄
2020-04-29,non-holiday,19379,봄
2020-04-30,holiday,39210,봄
2020-05-01,non-holiday,37478,봄
2020-05-02,holiday,37420,봄
2020-05-03,holiday,28629,봄
2020-05-04,non-holiday,20160,봄
2020-05-05,holiday,25937,봄
2020-05-06,non-holiday,15137,봄
2020-05-07,non-holiday,16817,봄
2020-05-08,non-holiday,18353,봄
2020-05-09,holiday,20918,봄
2020-05-10,holiday,24048,봄
2020-05-11,non-holiday,14981,봄
2020-05-12,non-holiday,15027,봄
2020-05-13,non-holiday,15786,봄
2020-05-14,non-holiday,15649,봄
2020-05-15,non-holiday,13350,봄
2020-05-16,holiday,24888,봄
2020-05-17,holiday,25833,봄
2020-05-18,non-holiday,14297,봄
2020-05-19,non-holiday,13800,봄
2020-05-20,non-holiday,17523,봄
2020-05-21,non-holiday,18352,봄
2020-05-22,non-holiday,19328,봄
2020-05-23,holiday,28039,봄
2020-05-24,holiday,23821,봄
2020-05-25,non-holiday,16524,봄
2020-05-26,non-holiday,16835,봄
2020-05-27,non-holiday,17250,봄
2020-05-28,non-holiday,17376,봄
2020-05-29,non-holiday,18669,봄
2020-05-30,holiday,28996,봄
2020-05-31,holiday,26875,봄
2020-06-01,non-holiday,13358,여름
2020-06-02,non-holiday,14058,여름
2020-06-03,non-holiday,14054,여름
2020-06-04,non-holiday,14819,여름
2020-06-05,non-holiday,17062,여름
2020-06-06,holiday,28926,여름
2020-06-07,holiday,26015,여름
2020-06-08,non-holiday,16175,여름
2020-06-09,non-holiday,16804,여름
2020-06-10,non-holiday,16479,여름
2020-06-11,non-holiday,16031,여름
2020-06-12,non-holiday,16354,여름
2020-06-13,holiday,20621,여름
2020-06-14,holiday,20781,여름
2020-06-15,non-holiday,15930,여름
2020-06-16,non-holiday,16770,여름
2020-06-17,non-holiday,16854,여름
2020-06-18,non-holiday,14949,여름
2020-06-19,non-holiday,18823,여름
2020-06-20,holiday,27367,여름
2020-06-21,holiday,26955,여름
2020-06-22,non-holiday,16480,여름
2020-06-23,non-holiday,17753,여름
2020-06-24,non-holiday,14221,여름
2020-06-25,non-holiday,16363,여름
2020-06-26,non-holiday,19481,여름
2020-06-27,holiday,26652,여름
2020-06-28,holiday,26222,여름
2020-06-29,non-holiday,14029,여름
2020-06-30,non-holiday,14589,여름
2020-07-01,non-holiday,13238,여름
