날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,20971,겨울
2020-01-02,non-holiday,18047,겨울
2020-01-03,non-holiday,19449,겨울
2020-01-04,holiday,21574,겨울
2020-01-05,holiday,19594,겨울
2020-01-06,non-holiday,16073,겨울
2020-01-07,non-holiday,16168,겨울
2020-01-08,non-holiday,17601,겨울
2020-01-09,non-holiday,19924,겨울
2020-01-10,non-holiday,20662,겨울
2020-01-11,holiday,23476,겨울
2020-01-12,holiday,20430,겨울
2020-01-13,non-holiday,19656,겨울
2020-01-14,non-holiday,20740,겨울
2020-01-15,non-holiday,20812,겨울
2020-01-16,non-holiday,21506,겨울
2020-01-17,non-holiday,22392,겨울
2020-01-18,holiday,22698,겨울
2020-01-19,holiday,20280,겨울
2020-01-20,non-holiday,21013,겨울
2020-01-21,non-holiday,22376,겨울
2020-01-22,non-holiday,20530,겨울
2020-01-23,non-holiday,26435,겨울
2020-01-24,holiday,50238,겨울
2020-01-25,holiday,78642,겨울
2020-01-26,holiday,45434,겨울
2020-01-27,holiday,21902,겨울
2020-01-28,non-holiday,20097,겨울
2020-01-29,non-holiday,20658,겨울
2020-01-30,non-holiday,22097,겨울
2020-01-31,non-holiday,22618,겨울
2020-02-01,holiday,21973,겨울
2020-02-02,holiday,18526,겨울
2020-02-03,non-holiday,17757,겨울
2020-02-04,non-holiday,19546,겨울
2020-02-05,non-holiday,18782,겨울
2020-02-06,non-holiday,19884,겨울
2020-02-07,non-holiday,20470,겨울
2020-02-08,holiday,20123,겨울
2020-02-09,holiday,18809,겨울
2020-02-10,non-holiday,20651,겨울
2020-02-11,non-holiday,21985,겨울
2020-02-12,non-holiday,18773,겨울
2020-02-13,non-holiday,20740,겨울
2020-02-14,non-holiday,23361,겨울
2020-02-15,holiday,23967,겨울
2020-02-16,holiday,17338,겨울
2020-02-17,non-holiday,16801,겨울
2020-02-18,non-holiday,20306,겨울
2020-02-19,non-holiday,21929,겨울
2020-02-20,non-holiday,23395,겨울
2020-02-21,non-holiday,24059,겨울
2020-02-22,holiday,23785,겨울
2020-02-23,holiday,21658,겨울
2020-02-24,non-holiday,23113,겨울
2020-02-25,non-holiday,20224,겨울
2020-02-26,non-holiday,22269,겨울
2020-02-27,non-holiday,23872,겨울
2020-02-28,non-holiday,21452,겨울
2020-02-29,holiday,23136,겨울
2020-03-01,holiday,17439,봄
2020-03-02,non-holiday,17262,봄
2020-03-03,non-holiday,18874,봄
2020-03-04,non-holiday,18286,봄
2020-03-05,non-holiday,19423,봄
2020-03-06,non-holiday,20886,봄
2020-03-07,holiday,19264,봄
2020-03-08,holiday,22735,봄
2020-03-09,non-holiday,18986,봄
2020-03-10,non-holiday,17049,봄
2020-03-11,non-holiday,20593,봄
2020-03-12,non-holiday,22058,봄
2020-03-13,non-holiday,23545,봄
2020-03-14,holiday,25430,봄
2020-03-15,holiday,23147,봄
2020-03-16,non-holiday,21197,봄
2020-03-17,non-holiday,22659,봄
2020-03-18,non-holiday,23705,봄
2020-03-19,non-holiday,21847,봄
2020-03-20,non-holiday,24666,봄
2020-03-21,holiday,29840,봄
2020-03-22,holiday,27079,봄
2020-03-23,non-holiday,23152,봄
2020-03-24,non-holiday,23890,봄
2020-03-25,non-holiday,25656,봄
2020-03-26,non-holiday,19758,봄
2020-03-27,non-holiday,21610,봄
2020-03-28,holiday,28243,봄
2020-03-29,holiday,31311,봄
2020-03-30,non-holiday,26208,봄
2020-03-31,non-holiday,27606,봄
2020-04-01,non-holiday,21056,봄
2020-04-02,non-holiday,21815,봄
2020-04-03,non-holiday,23579,봄
2020-04-04,holiday,33253,봄
2020-04-05,holiday,32750,봄
2020-04-06,non-holiday,21279,봄
2020-04-07,non-holiday,22150,봄
2020-04-08,non-holiday,21828,봄
2020-04-09,non-holiday,21836,봄
2020-04-10,non-holiday,23366,봄
2020-04-11,holiday,24194,봄
2020-04-12,holiday,24671,봄
2020-04-13,non-holiday,21478,봄
2020-04-14,non-holiday,23799,봄
2020-04-15,holiday,26817,봄
2020-04-16,non-holiday,22990,봄
2020-04-17,non-holiday,20150,봄
2020-04-18,holiday,27606,봄
2020-04-19,holiday,19604,봄
