날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,17688,겨울
2020-01-02,non-holiday,10833,겨울
2020-01-03,non-holiday,11496,겨울
2020-01-04,holiday,14148,겨울
2020-01-05,holiday,14536,겨울
2020-01-06,non-holiday,10054,겨울
2020-01-07,non-holiday,9175,겨울
2020-01-08,non-holiday,8031,겨울
2020-01-09,non-holiday,10969,겨울
2020-01-10,non-holiday,11700,겨울
2020-01-11,holiday,13204,겨울
2020-01-12,holiday,11630,겨울
2020-01-13,non-holiday,10500,겨울
2020-01-14,non-holiday,11276,겨울
2020-01-15,non-holiday,11495,겨울
2020-01-16,non-holiday,12793,겨울
2020-01-17,non-holiday,12077,겨울
2020-01-18,holiday,13902,겨울
2020-01-19,holiday,13219,겨울
2020-01-20,non-holiday,11120,겨울
2020-01-21,non-holiday,12618,겨울
2020-01-22,non-holiday,12044,겨울
2020-01-23,non-holiday,19870,겨울
2020-01-24,holiday,43677,겨울
2020-01-25,holiday,55502,겨울
2020-01-26,holiday,41002,겨울
2020-01-27,holiday,16119,겨울
2020-01-28,non-holiday,12449,겨울
2020-01-29,non-holiday,10987,겨울
2020-01-30,non-holiday,10821,겨울
2020-01-31,non-holiday,10749,겨울
2020-02-01,holiday,11979,겨울
2020-02-02,holiday,11792,겨울
2020-02-03,non-holiday,9309,겨울
2020-02-04,non-holiday,10799,겨울
2020-02-05,non-holiday,10093,겨울
2020-02-06,non-holiday,10063,겨울
2020-02-07,non-holiday,10595,겨울
2020-02-08,holiday,10624,겨울
2020-02-09,holiday,11104,겨울
2020-02-10,non-holiday,9911,겨울
2020-02-11,non-holiday,10889,겨울
2020-02-12,non-holiday,8834,겨울
2020-02-13,non-holiday,10907,겨울
2020-02-14,non-holiday,12194,겨울
2020-02-15,holiday,14605,겨울
2020-02-16,holiday,10120,겨울
2020-02-17,non-holiday,7852,겨울
2020-02-18,non-holiday,10623,겨울
2020-02-19,non-holiday,12515,겨울
2020-02-20,non-holiday,12931,겨울
2020-02-21,non-holiday,12063,겨울
2020-02-22,holiday,12995,겨울
2020-02-23,holiday,13628,겨울
2020-02-24,non-holiday,10942,겨울
2020-02-25,non-holiday,9806,겨울
2020-02-26,non-holiday,10560,겨울
2020-02-27,non-holiday,11582,겨울
2020-02-28,non-holiday,10932,겨울
2020-02-29,holiday,13940,겨울
2020-03-01,holiday,11805,봄
2020-03-02,non-holiday,8729,봄
