날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,21607,겨울
2020-01-02,non-holiday,9213,겨울
2020-01-03,non-holiday,10131,겨울
2020-01-04,holiday,14926,겨울
2020-01-05,holiday,12464,겨울
2020-01-06,non-holiday,7560,겨울
2020-01-07,non-holiday,8068,겨울
2020-01-08,non-holiday,8198,겨울
2020-01-09,non-holiday,9153,겨울
2020-01-10,non-holiday,10828,겨울
2020-01-11,holiday,14807,겨울
2020-01-12,holiday,13089,겨울
2020-01-13,non-holiday,9121,겨울
2020-01-14,non-holiday,8943,겨울
2020-01-15,non-holiday,9359,겨울
2020-01-16,non-holiday,9633,겨울
2020-01-17,non-holiday,10609,겨울
2020-01-18,holiday,14227,겨울
2020-01-19,holiday,11801,겨울
2020-01-20,non-holiday,9188,겨울
2020-01-21,non-holiday,9882,겨울
2020-01-22,non-holiday,10098,겨울
2020-01-23,non-holiday,16263,겨울
2020-01-24,holiday,42095,겨울
2020-01-25,holiday,63093,겨울
2020-01-26,holiday,38133,겨울
2020-01-27,holiday,15978,겨울
2020-01-28,non-holiday,9976,겨울
2020-01-29,non-holiday,9194,겨울
2020-01-30,non-holiday,9553,겨울
2020-01-31,non-holiday,9376,겨울
2020-02-01,holiday,11813,겨울
2020-02-02,holiday,10775,겨울
2020-02-03,non-holiday,7514,겨울
2020-02-04,non-holiday,8360,겨울
2020-02-05,non-holiday,7937,겨울
2020-02-06,non-holiday,8685,겨울
2020-02-07,non-holiday,9259,겨울
2020-02-08,holiday,11232,겨울
2020-02-09,holiday,10629,겨울
2020-02-10,non-holiday,9187,겨울
2020-02-11,non-holiday,9248,겨울
2020-02-12,non-holiday,8152,겨울
2020-02-13,non-holiday,8945,겨울
2020-02-14,non-holiday,10526,겨울
2020-02-15,holiday,13826,겨울
2020-02-16,holiday,10544,겨울
2020-02-17,non-holiday,7008,겨울
2020-02-18,non-holiday,8108,겨울
2020-02-19,non-holiday,9667,겨울
2020-02-20,non-holiday,10507,겨울
2020-02-21,non-holiday,10485,겨울
2020-02-22,holiday,12388,겨울
2020-02-23,holiday,10793,겨울
2020-02-24,non-holiday,9192,겨울
2020-02-25,non-holiday,8124,겨울
2020-02-26,non-holiday,9356,겨울
2020-02-27,non-holiday,9967,겨울
2020-02-28,non-holiday,9395,겨울
2020-02-29,holiday,11464,겨울
2020-03-01,holiday,8661,봄
2020-03-02,non-holiday,7459,봄
2020-03-03,non-holiday,7667,봄
2020-03-04,non-holiday,7578,봄
2020-03-05,non-holiday,7822,봄
2020-03-06,non-holiday,9489,봄
2020-03-07,holiday,10584,봄
2020-03-08,holiday,11130,봄
2020-03-09,non-holiday,7925,봄
2020-03-10,non-holiday,7448,봄
2020-03-11,non-holiday,9278,봄
2020-03-12,non-holiday,9455,봄
2020-03-13,non-holiday,9965,봄
2020-03-14,holiday,13780,봄
2020-03-15,holiday,11828,봄
2020-03-16,non-holiday,8816,봄
2020-03-17,non-holiday,9531,봄
2020-03-18,non-holiday,9803,봄
2020-03-19,non-holiday,9267,봄
2020-03-20,non-holiday,10962,봄
2020-03-21,holiday,15672,봄
2020-03-22,holiday,14231,봄
2020-03-23,non-holiday,9363,봄
2020-03-24,non-holiday,10308,봄
2020-03-25,non-holiday,10541,봄
2020-03-26,non-holiday,8760,봄
2020-03-27,non-holiday,10252,봄
2020-03-28,holiday,14815,봄
2020-03-29,holiday,14026,봄
2020-03-30,non-holiday,10128,봄
2020-03-31,non-holiday,10847,봄
2020-04-01,non-holiday,7960,봄
2020-04-02,non-holiday,8603,봄
