날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,15404,겨울
2020-01-02,non-holiday,10247,겨울
2020-01-03,non-holiday,10597,겨울
2020-01-04,holiday,12806,겨울
2020-01-05,holiday,12690,겨울
2020-01-06,non-holiday,8655,겨울
2020-01-07,non-holiday,8287,겨울
2020-01-08,non-holiday,7555,겨울
2020-01-09,non-holiday,11236,겨울
2020-01-10,non-holiday,10974,겨울
2020-01-11,holiday,12632,겨울
2020-01-12,holiday,12797,겨울
2020-01-13,non-holiday,9440,겨울
2020-01-14,non-holiday,9424,겨울
2020-01-15,non-holiday,9656,겨울
2020-01-16,non-holiday,10223,겨울
2020-01-17,non-holiday,10241,겨울
2020-01-18,holiday,12086,겨울
2020-01-19,holiday,12216,겨울
2020-01-20,non-holiday,9197,겨울
2020-01-21,non-holiday,9624,겨울
2020-01-22,non-holiday,8413,겨울
2020-01-23,non-holiday,12767,겨울
2020-01-24,holiday,30354,겨울
2020-01-25,holiday,41482,겨울
2020-01-26,holiday,29959,겨울
2020-01-27,holiday,14684,겨울
2020-01-28,non-holiday,10037,겨울
2020-01-29,non-holiday,9202,겨울
2020-01-30,non-holiday,9741,겨울
2020-01-31,non-holiday,9446,겨울
2020-02-01,holiday,11150,겨울
2020-02-02,holiday,11147,겨울
2020-02-03,non-holiday,7607,겨울
2020-02-04,non-holiday,9202,겨울
2020-02-05,non-holiday,8256,겨울
2020-02-06,non-holiday,9172,겨울
2020-02-07,non-holiday,9395,겨울
2020-02-08,holiday,10611,겨울
2020-02-09,holiday,10994,겨울
2020-02-10,non-holiday,8975,겨울
2020-02-11,non-holiday,9209,겨울
2020-02-12,non-holiday,8138,겨울
2020-02-13,non-holiday,9077,겨울
2020-02-14,non-holiday,11151,겨울
2020-02-15,holiday,13136,겨울
2020-02-16,holiday,10378,겨울
2020-02-17,non-holiday,7363,겨울
2020-02-18,non-holiday,9337,겨울
2020-02-19,non-holiday,10113,겨울
2020-02-20,non-holiday,10460,겨울
