날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,25769,겨울
2020-01-02,non-holiday,16011,겨울
2020-01-03,non-holiday,17120,겨울
2020-01-04,holiday,20497,겨울
2020-01-05,holiday,18493,겨울
2020-01-06,non-holiday,13124,겨울
2020-01-07,non-holiday,12234,겨울
2020-01-08,non-holiday,12909,겨울
2020-01-09,non-holiday,16039,겨울
2020-01-10,non-holiday,16594,겨울
2020-01-11,holiday,20489,겨울
2020-01-12,holiday,18375,겨울
2020-01-13,non-holiday,15586,겨울
2020-01-14,non-holiday,15856,겨울
2020-01-15,non-holiday,15992,겨울
2020-01-16,non-holiday,16571,겨울
2020-01-17,non-holiday,16448,겨울
2020-01-18,holiday,20601,겨울
2020-01-19,holiday,18332,겨울
2020-01-20,non-holiday,15948,겨울
2020-01-21,non-holiday,16595,겨울
2020-01-22,non-holiday,15613,겨울
2020-01-23,non-holiday,25216,겨울
2020-01-24,holiday,62836,겨울
2020-01-25,holiday,93464,겨울
2020-01-26,holiday,58786,겨울
2020-01-27,holiday,23854,겨울
2020-01-28,non-holiday,17410,겨울
2020-01-29,non-holiday,15809,겨울
2020-01-30,non-holiday,16234,겨울
2020-01-31,non-holiday,16664,겨울
2020-02-01,holiday,17615,겨울
2020-02-02,holiday,16086,겨울
2020-02-03,non-holiday,13868,겨울
2020-02-04,non-holiday,14920,겨울
2020-02-05,non-holiday,13814,겨울
2020-02-06,non-holiday,14693,겨울
2020-02-07,non-holiday,15357,겨울
2020-02-08,holiday,17155,겨울
2020-02-09,holiday,16531,겨울
2020-02-10,non-holiday,15469,겨울
2020-02-11,non-holiday,17115,겨울
2020-02-12,non-holiday,14469,겨울
2020-02-13,non-holiday,15927,겨울
2020-02-14,non-holiday,18018,겨울
2020-02-15,holiday,21026,겨울
2020-02-16,holiday,15275,겨울
2020-02-17,non-holiday,11221,겨울
2020-02-18,non-holiday,14412,겨울
2020-02-19,non-holiday,17390,겨울
2020-02-20,non-holiday,18154,겨울
2020-02-21,non-holiday,18732,겨울
2020-02-22,holiday,19674,겨울
2020-02-23,holiday,18469,겨울
2020-02-24,non-holiday,17156,겨울
2020-02-25,non-holiday,13666,겨울
2020-02-26,non-holiday,15817,겨울
2020-02-27,non-holiday,16929,겨울
2020-02-28,non-holiday,15686,겨울
2020-02-29,holiday,18643,겨울
2020-03-01,holiday,15475,봄
2020-03-02,non-holiday,12513,봄
2020-03-03,non-holiday,13618,봄
2020-03-04,non-holiday,13552,봄
2020-03-05,non-holiday,14640,봄
2020-03-06,non-holiday,16428,봄
2020-03-07,holiday,16879,봄
2020-03-08,holiday,20311,봄
2020-03-09,non-holiday,14794,봄
2020-03-10,non-holiday,12907,봄
2020-03-11,non-holiday,16130,봄
2020-03-12,non-holiday,16193,봄
2020-03-13,non-holiday,18204,봄
2020-03-14,holiday,21835,봄
2020-03-15,holiday,19691,봄
2020-03-16,non-holiday,16219,봄
2020-03-17,non-holiday,16435,봄
2020-03-18,non-holiday,16941,봄
2020-03-19,non-holiday,15755,봄
2020-03-20,non-holiday,18550,봄
2020-03-21,holiday,24665,봄
2020-03-22,holiday,22207,봄
2020-03-23,non-holiday,17224,봄
2020-03-24,non-holiday,17919,봄
2020-03-25,non-holiday,18615,봄
2020-03-26,non-holiday,14938,봄
2020-03-27,non-holiday,15523,봄
