날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,35857,겨울
2020-01-02,non-holiday,21107,겨울
2020-01-03,non-holiday,22460,겨울
2020-01-04,holiday,30651,겨울
2020-01-05,holiday,32488,겨울
2020-01-06,non-holiday,18806,겨울
2020-01-07,non-holiday,19636,겨울
2020-01-08,non-holiday,19891,겨울
2020-01-09,non-holiday,22364,겨울
2020-01-10,non-holiday,23445,겨울
2020-01-11,holiday,32940,겨울
2020-01-12,holiday,31891,겨울
2020-01-13,non-holiday,22033,겨울
2020-01-14,non-holiday,23605,겨울
2020-01-15,non-holiday,23767,겨울
2020-01-16,non-holiday,24028,겨울
2020-01-17,non-holiday,26585,겨울
2020-01-18,holiday,36399,겨울
2020-01-19,holiday,33925,겨울
2020-01-20,non-holiday,24004,겨울
2020-01-21,non-holiday,26141,겨울
2020-01-22,non-holiday,24354,겨울
2020-01-23,non-holiday,31684,겨울
2020-01-24,holiday,66137,겨울
2020-01-25,holiday,108597,겨울
2020-01-26,holiday,60514,겨울
2020-01-27,holiday,31048,겨울
2020-01-28,non-holiday,25499,겨울
2020-01-29,non-holiday,23546,겨울
2020-01-30,non-holiday,25227,겨울
2020-01-31,non-holiday,25822,겨울
2020-02-01,holiday,29621,겨울
2020-02-02,holiday,28538,겨울
2020-02-03,non-holiday,20233,겨울
2020-02-04,non-holiday,21686,겨울
2020-02-05,non-holiday,19750,겨울
2020-02-06,non-holiday,21320,겨울
2020-02-07,non-holiday,21823,겨울
2020-02-08,holiday,28116,겨울
2020-02-09,holiday,28900,겨울
2020-02-10,non-holiday,22544,겨울
2020-02-11,non-holiday,24754,겨울
2020-02-12,non-holiday,19690,겨울
2020-02-13,non-holiday,23967,겨울
2020-02-14,non-holiday,25483,겨울
2020-02-15,holiday,32706,겨울
2020-02-16,holiday,26229,겨울
2020-02-17,non-holiday,16682,겨울
2020-02-18,non-holiday,21890,겨울
2020-02-19,non-holiday,25484,겨울
2020-02-20,non-holiday,26695,겨울
2020-02-21,non-holiday,24726,겨울
2020-02-22,holiday,28485,겨울
2020-02-23,holiday,31466,겨울
2020-02-24,non-holiday,24630,겨울
2020-02-25,non-holiday,19744,겨울
2020-02-26,non-holiday,23114,겨울
2020-02-27,non-holiday,26045,겨울
2020-02-28,non-holiday,22408,겨울
2020-02-29,holiday,30081,겨울
2020-03-01,holiday,27319,봄
2020-03-02,non-holiday,19433,봄
2020-03-03,non-holiday,22002,봄
2020-03-04,non-holiday,20630,봄
2020-03-05,non-holiday,21663,봄
2020-03-06,non-holiday,23547,봄
2020-03-07,holiday,24016,봄
2020-03-08,holiday,38843,봄
2020-03-09,non-holiday,21008,봄
2020-03-10,non-holiday,19154,봄
2020-03-11,non-holiday,24201,봄
2020-03-12,non-holiday,25586,봄
2020-03-13,non-holiday,27039,봄
2020-03-14,holiday,35072,봄
2020-03-15,holiday,35400,봄
2020-03-16,non-holiday,24538,봄
2020-03-17,non-holiday,25567,봄
2020-03-18,non-holiday,26944,봄
2020-03-19,non-holiday,23377,봄
2020-03-20,non-holiday,26682,봄
2020-03-21,holiday,39794,봄
2020-03-22,holiday,43016,봄
2020-03-23,non-holiday,27413,봄
2020-03-24,non-holiday,27362,봄
2020-03-25,non-holiday,29786,봄
2020-03-26,non-holiday,21839,봄
2020-03-27,non-holiday,24250,봄
2020-03-28,holiday,41232,봄
2020-03-29,holiday,47431,봄
2020-03-30,non-holiday,29749,봄
2020-03-31,non-holiday,31797,봄
2020-04-01,non-holiday,24685,봄
2020-04-02,non-holiday,27193,봄
2020-04-03,non-holiday,29790,봄
2020-04-04,holiday,44303,봄
2020-04-05,holiday,48007,봄
2020-04-06,non-holiday,24826,봄
2020-04-07,non-holiday,26389,봄
2020-04-08,non-holiday,26532,봄
2020-04-09,non-holiday,26293,봄
2020-04-10,non-holiday,26231,봄
2020-04-11,holiday,32529,봄
2020-04-12,holiday,37868,봄
2020-04-13,non-holiday,26417,봄
2020-04-14,non-holiday,28674,봄
2020-04-15,holiday,40131,봄
2020-04-16,non-holiday,27628,봄
2020-04-17,non-holiday,23415,봄
2020-04-18,holiday,45840,봄
2020-04-19,holiday,30398,봄
2020-04-20,non-holiday,25881,봄
2020-04-21,non-holiday,27964,봄
2020-04-22,non-holiday,27879,봄
2020-04-23,non-holiday,29448,봄
2020-04-24,non-holiday,32228,봄
2020-04-25,holiday,45522,봄
2020-04-26,holiday,51972,봄
2020-04-27,non-holiday,29440,봄
2020-04-28,non-holiday,32894,봄
2020-04-29,non-holiday,33378,봄
2020-04-30,holiday,58504,봄
2020-05-01,non-holiday,49336,봄
2020-05-02,holiday,52449,봄
2020-05-03,holiday,45199,봄
2020-05-04,non-holiday,32988,봄
2020-05-05,holiday,47365,봄
2020-05-06,non-holiday,26551,봄
2020-05-07,non-holiday,28773,봄
2020-05-08,non-holiday,34037,봄
2020-05-09,holiday,34589,봄
2020-05-10,holiday,43232,봄
2020-05-11,non-holiday,26488,봄
2020-05-12,non-holiday,27163,봄
2020-05-13,non-holiday,28622,봄
2020-05-14,non-holiday,28725,봄
2020-05-15,non-holiday,22650,봄
2020-05-16,holiday,39931,봄
2020-05-17,holiday,42920,봄
2020-05-18,non-holiday,26158,봄
2020-05-19,non-holiday,25040,봄
2020-05-20,non-holiday,29581,봄
2020-05-21,non-holiday,29591,봄
2020-05-22,non-holiday,30130,봄
2020-05-23,holiday,44824,봄
2020-05-24,holiday,38382,봄
2020-05-25,non-holiday,27733,봄
2020-05-26,non-holiday,29183,봄
2020-05-27,non-holiday,29536,봄
2020-05-28,non-holiday,30586,봄
2020-05-29,non-holiday,31418,봄
2020-05-30,holiday,45746,봄
2020-05-31,holiday,42440,봄
2020-06-01,non-holiday,22981,여름
2020-06-02,non-holiday,24896,여름
2020-06-03,non-holiday,25315,여름
2020-06-04,non-holiday,25581,여름
2020-06-05,non-holiday,27414,여름
2020-06-06,holiday,41691,여름
2020-06-07,holiday,39900,여름
2020-06-08,non-holiday,27806,여름
2020-06-09,non-holiday,27227,여름
2020-06-10,non-holiday,26347,여름
2020-06-11,non-holiday,25819,여름
2020-06-12,non-holiday,28257,여름
2020-06-13,holiday,34054,여름
2020-06-14,holiday,34277,여름
2020-06-15,non-holiday,26893,여름
2020-06-16,non-holiday,27618,여름
2020-06-17,non-holiday,27389,여름
2020-06-18,non-holiday,23329,여름
2020-06-19,non-holiday,28783,여름
2020-06-20,holiday,41898,여름
2020-06-21,holiday,41312,여름
2020-06-22,non-holiday,26849,여름
2020-06-23,non-holiday,31268,여름
2020-06-24,non-holiday,23905,여름
2020-06-25,non-holiday,28251,여름
2020-06-26,non-holiday,30597,여름
2020-06-27,holiday,41842,여름
2020-06-28,holiday,43397,여름
2020-06-29,non-holiday,23921,여름
2020-06-30,non-holiday,24873,여름
2020-07-01,non-holiday,23001,여름
2020-07-02,non-holiday,25865,여름
2020-07-03,non-holiday,24888,여름
2020-07-04,holiday,35321,여름
2020-07-05,holiday,36688,여름
2020-07-06,non-holiday,22695,여름
2020-07-07,non-holiday,24284,여름
2020-07-08,non-holiday,26740,여름
2020-07-09,non-holiday,27249,여름
2020-07-10,non-holiday,25756,여름
2020-07-11,holiday,38904,여름
2020-07-12,holiday,31201,여름
2020-07-13,non-holiday,20665,여름
2020-07-14,non-holiday,23286,여름
2020-07-15,non-holiday,25502,여름
2020-07-16,non-holiday,29604,여름
2020-07-17,holiday,29570,여름
2020-07-18,holiday,43552,여름
2020-07-19,holiday,37149,여름
2020-07-20,non-holiday,26163,여름
2020-07-21,non-holiday,27239,여름
2020-07-22,non-holiday,24364,여름
2020-07-23,non-holiday,23154,여름
2020-07-24,non-holiday,25213,여름
2020-07-25,holiday,38768,여름
2020-07-26,holiday,45096,여름
2020-07-27,non-holiday,27695,여름
2020-07-28,non-holiday,27652,여름
2020-07-29,non-holiday,24216,여름
2020-07-30,non-holiday,29533,여름
2020-07-31,non-holiday,35171,여름
2020-08-01,holiday,45739,여름
2020-08-02,holiday,47185,여름
2020-08-03,non-holiday,36265,여름
2020-08-04,non-holiday,35214,여름
2020-08-05,non-holiday,31740,여름
2020-08-06,non-holiday,26675,여름
2020-08-07,non-holiday,25980,여름
2020-08-08,holiday,23973,여름
2020-08-09,holiday,38705,여름
2020-08-10,non-holiday,22326,여름
2020-08-11,non-holiday,27147,여름
2020-08-12,non-holiday,27868,여름
2020-08-13,non-holiday,31675,여름
2020-08-14,non-holiday,33874,여름
2020-08-15,holiday,51421,여름
2020-08-16,holiday,52055,여름
2020-08-17,holiday,38438,여름
2020-08-18,non-holiday,29946,여름
2020-08-19,non-holiday,29025,여름
2020-08-20,non-holiday,28617,여름
2020-08-21,non-holiday,30126,여름
2020-08-22,holiday,36834,여름
2020-08-23,holiday,37678,여름
2020-08-24,non-holiday,26693,여름
2020-08-25,non-holiday,27047,여름
2020-08-26,non-holiday,19272,여름
2020-08-27,non-holiday,24885,여름
2020-08-28,non-holiday,28048,여름
2020-08-29,holiday,31254,여름
2020-08-30,holiday,33806,여름
2020-08-31,non-holiday,24373,여름
2020-09-01,non-holiday,22194,가을
2020-09-02,non-holiday,18469,가을
2020-09-03,non-holiday,22821,가을
2020-09-04,non-holiday,25271,가을
2020-09-05,holiday,33394,가을
2020-09-06,holiday,29073,가을
2020-09-07,non-holiday,17735,가을
2020-09-08,non-holiday,26086,가을
2020-09-09,non-holiday,23623,가을
2020-09-10,non-holiday,26406,가을
2020-09-11,non-holiday,23104,가을
2020-09-12,holiday,34490,가을
2020-09-13,holiday,34669,가을
2020-09-14,non-holiday,24859,가을
2020-09-15,non-holiday,26314,가을
2020-09-16,non-holiday,24406,가을
2020-09-17,non-holiday,25329,가을
2020-09-18,non-holiday,29419,가을
2020-09-19,holiday,39266,가을
2020-09-20,holiday,41926,가을
2020-09-21,non-holiday,26464,가을
2020-09-22,non-holiday,27517,가을
2020-09-23,non-holiday,28440,가을
2020-09-24,non-holiday,29211,가을
2020-09-25,non-holiday,29320,가을
2020-09-26,holiday,36740,가을
2020-09-27,holiday,38238,가을
2020-09-28,non-holiday,29723,가을
2020-09-29,non-holiday,31364,가을
2020-09-30,holiday,51831,가을
2020-10-01,holiday,78024,가을
2020-10-02,holiday,54281,가을
2020-10-03,holiday,42351,가을
2020-10-04,holiday,29139,가을
2020-10-05,non-holiday,21888,가을
2020-10-06,non-holiday,23006,가을
2020-10-07,non-holiday,24454,가을
2020-10-08,non-holiday,27038,가을
2020-10-09,holiday,37785,가을
2020-10-10,holiday,37127,가을
2020-10-11,holiday,38073,가을
2020-10-12,non-holiday,24362,가을
2020-10-13,non-holiday,27452,가을
2020-10-14,non-holiday,25377,가을
2020-10-15,non-holiday,26437,가을
2020-10-16,non-holiday,26425,가을
2020-10-17,holiday,37604,가을
2020-10-18,holiday,41824,가을
2020-10-19,non-holiday,26204,가을
2020-10-20,non-holiday,29124,가을
2020-10-21,non-holiday,25922,가을
2020-10-22,non-holiday,26207,가을
2020-10-23,non-holiday,32293,가을
2020-10-24,holiday,44559,가을
2020-10-25,holiday,48562,가을
2020-10-26,non-holiday,25550,가을
2020-10-27,non-holiday,26638,가을
2020-10-28,non-holiday,27110,가을
2020-10-29,non-holiday,26922,가을
2020-10-30,non-holiday,27961,가을
2020-10-31,holiday,39388,가을
2020-11-01,holiday,29627,가을
2020-11-02,non-holiday,20674,가을
2020-11-03,non-holiday,22351,가을
2020-11-04,non-holiday,21750,가을
2020-11-05,non-holiday,22574,가을
2020-11-06,non-holiday,23850,가을
2020-11-07,holiday,36270,가을
2020-11-08,holiday,38858,가을
2020-11-09,non-holiday,22279,가을
2020-11-10,non-holiday,23379,가을
2020-11-11,non-holiday,22948,가을
2020-11-12,non-holiday,23889,가을
2020-11-13,non-holiday,26865,가을
2020-11-14,holiday,35506,가을
2020-11-15,holiday,36578,가을
2020-11-16,non-holiday,23776,가을
2020-11-17,non-holiday,24235,가을
2020-11-18,non-holiday,23790,가을
2020-11-19,non-holiday,19566,가을
2020-11-20,non-holiday,23273,가을
2020-11-21,holiday,33308,가을
2020-11-22,holiday,29122,가을
2020-11-23,non-holiday,22546,가을
2020-11-24,non-holiday,23079,가을
2020-11-25,non-holiday,23619,가을
2020-11-26,non-holiday,24187,가을
2020-11-27,non-holiday,25197,가을
2020-11-28,holiday,33290,가을
2020-11-29,holiday,30986,가을
2020-11-30,non-holiday,26276,가을
2020-12-01,non-holiday,20720,겨울
2020-12-02,non-holiday,21206,겨울
2020-12-03,non-holiday,24363,겨울
2020-12-04,non-holiday,25373,겨울
2020-12-05,holiday,36266,겨울
2020-12-06,holiday,35939,겨울
2020-12-07,non-holiday,21610,겨울
2020-12-08,non-holiday,22807,겨울
2020-12-09,non-holiday,23082,겨울
2020-12-10,non-holiday,23265,겨울
2020-12-11,non-holiday,24392,겨울
2020-12-12,holiday,33870,겨울
2020-12-13,holiday,31064,겨울
2020-12-14,non-holiday,20515,겨울
2020-12-15,non-holiday,20724,겨울
2020-12-16,non-holiday,21529,겨울
2020-12-17,non-holiday,22803,겨울
2020-12-18,non-holiday,25099,겨울
2020-12-19,holiday,30900,겨울
2020-12-20,holiday,30062,겨울
2020-12-21,non-holiday,23781,겨울
2020-12-22,non-holiday,23780,겨울
2020-12-23,non-holiday,24356,겨울
2020-12-24,non-holiday,25292,겨울
2020-12-25,holiday,29599,겨울
2020-12-26,holiday,33088,겨울
2020-12-27,holiday,25571,겨울
2020-12-28,non-holiday,24593,겨울
2020-12-29,non-holiday,24372,겨울
2020-12-30,non-holiday,14299,겨울
2020-12-31,non-holiday,19643,겨울
