날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,25445,겨울
2020-01-02,non-holiday,15805,겨울
2020-01-03,non-holiday,18059,겨울
2020-01-04,holiday,25214,겨울
2020-01-05,holiday,25097,겨울
2020-01-06,non-holiday,14147,겨울
2020-01-07,non-holiday,13071,겨울
2020-01-08,non-holiday,13121,겨울
2020-01-09,non-holiday,15673,겨울
2020-01-10,non-holiday,18031,겨울
2020-01-11,holiday,25814,겨울
2020-01-12,holiday,24360,겨울
2020-01-13,non-holiday,16381,겨울
2020-01-14,non-holiday,15974,겨울
2020-01-15,non-holiday,16146,겨울
2020-01-16,non-holiday,16238,겨울
2020-01-17,non-holiday,17340,겨울
2020-01-18,holiday,23924,겨울
2020-01-19,holiday,21285,겨울
2020-01-20,non-holiday,15530,겨울
2020-01-21,non-holiday,16613,겨울
2020-01-22,non-holiday,16046,겨울
2020-01-23,non-holiday,28828,겨울
2020-01-24,holiday,66573,겨울
2020-01-25,holiday,98266,겨울
2020-01-26,holiday,69174,겨울
2020-01-27,holiday,32188,겨울
2020-01-28,non-holiday,18332,겨울
2020-01-29,non-holiday,15532,겨울
2020-01-30,non-holiday,16797,겨울
2020-01-31,non-holiday,17294,겨울
2020-02-01,holiday,20883,겨울
2020-02-02,holiday,19691,겨울
2020-02-03,non-holiday,13709,겨울
2020-02-04,non-holiday,14180,겨울
2020-02-05,non-holiday,13553,겨울
2020-02-06,non-holiday,13590,겨울
2020-02-07,non-holiday,15064,겨울
2020-02-08,holiday,19669,겨울
2020-02-09,holiday,20589,겨울
2020-02-10,non-holiday,15599,겨울
2020-02-11,non-holiday,16220,겨울
2020-02-12,non-holiday,13398,겨울
2020-02-13,non-holiday,15635,겨울
2020-02-14,non-holiday,18363,겨울
2020-02-15,holiday,25262,겨울
2020-02-16,holiday,19969,겨울
2020-02-17,non-holiday,11500,겨울
2020-02-18,non-holiday,13657,겨울
2020-02-19,non-holiday,16746,겨울
2020-02-20,non-holiday,18109,겨울
2020-02-21,non-holiday,17532,겨울
2020-02-22,holiday,21776,겨울
2020-02-23,holiday,21516,겨울
2020-02-24,non-holiday,16257,겨울
2020-02-25,non-holiday,12642,겨울
2020-02-26,non-holiday,15225,겨울
2020-02-27,non-holiday,16378,겨울
2020-02-28,non-holiday,14885,겨울
2020-02-29,holiday,20049,겨울
2020-03-01,holiday,18018,봄
2020-03-02,non-holiday,13296,봄
2020-03-03,non-holiday,13924,봄
2020-03-04,non-holiday,13052,봄
2020-03-05,non-holiday,14383,봄
2020-03-06,non-holiday,17190,봄
2020-03-07,holiday,19965,봄
2020-03-08,holiday,24712,봄
2020-03-09,non-holiday,14966,봄
2020-03-10,non-holiday,12104,봄
2020-03-11,non-holiday,15650,봄
2020-03-12,non-holiday,16989,봄
2020-03-13,non-holiday,18807,봄
2020-03-14,holiday,25641,봄
2020-03-15,holiday,25215,봄
2020-03-16,non-holiday,16127,봄
2020-03-17,non-holiday,16820,봄
2020-03-18,non-holiday,18251,봄
2020-03-19,non-holiday,16002,봄
2020-03-20,non-holiday,19679,봄
2020-03-21,holiday,30081,봄
2020-03-22,holiday,31261,봄
2020-03-23,non-holiday,18801,봄
2020-03-24,non-holiday,19261,봄
2020-03-25,non-holiday,20249,봄
2020-03-26,non-holiday,15804,봄
2020-03-27,non-holiday,17788,봄
2020-03-28,holiday,27954,봄
2020-03-29,holiday,30791,봄
2020-03-30,non-holiday,19178,봄
2020-03-31,non-holiday,19192,봄
2020-04-01,non-holiday,14626,봄
2020-04-02,non-holiday,15930,봄
2020-04-03,non-holiday,19493,봄
2020-04-04,holiday,30189,봄
2020-04-05,holiday,31521,봄
2020-04-06,non-holiday,15740,봄
2020-04-07,non-holiday,16469,봄
2020-04-08,non-holiday,16897,봄
2020-04-09,non-holiday,17076,봄
2020-04-10,non-holiday,20188,봄
2020-04-11,holiday,29545,봄
2020-04-12,holiday,30015,봄
2020-04-13,non-holiday,17696,봄
2020-04-14,non-holiday,19776,봄
2020-04-15,holiday,27846,봄
2020-04-16,non-holiday,18388,봄
2020-04-17,non-holiday,17470,봄
2020-04-18,holiday,32461,봄
2020-04-19,holiday,26449,봄
2020-04-20,non-holiday,16648,봄
2020-04-21,non-holiday,18099,봄
2020-04-22,non-holiday,18220,봄
2020-04-23,non-holiday,19677,봄
2020-04-24,non-holiday,21999,봄
2020-04-25,holiday,34812,봄
2020-04-26,holiday,37147,봄
2020-04-27,non-holiday,19590,봄
2020-04-28,non-holiday,20949,봄
2020-04-29,non-holiday,23820,봄
2020-04-30,holiday,57379,봄
2020-05-01,non-holiday,58057,봄
2020-05-02,holiday,64041,봄
2020-05-03,holiday,46542,봄
2020-05-04,non-holiday,30419,봄
2020-05-05,holiday,36924,봄
2020-05-06,non-holiday,18674,봄
2020-05-07,non-holiday,20226,봄
2020-05-08,non-holiday,25005,봄
2020-05-09,holiday,28985,봄
2020-05-10,holiday,35215,봄
2020-05-11,non-holiday,19612,봄
2020-05-12,non-holiday,19462,봄
2020-05-13,non-holiday,20591,봄
2020-05-14,non-holiday,19995,봄
2020-05-15,non-holiday,17245,봄
2020-05-16,holiday,32996,봄
2020-05-17,holiday,36118,봄
2020-05-18,non-holiday,18136,봄
2020-05-19,non-holiday,16668,봄
2020-05-20,non-holiday,20602,봄
2020-05-21,non-holiday,20861,봄
2020-05-22,non-holiday,23841,봄
2020-05-23,holiday,38599,봄
2020-05-24,holiday,33547,봄
2020-05-25,non-holiday,21024,봄
2020-05-26,non-holiday,21544,봄
2020-05-27,non-holiday,21179,봄
2020-05-28,non-holiday,22132,봄
2020-05-29,non-holiday,25298,봄
2020-05-30,holiday,39897,봄
2020-05-31,holiday,37492,봄
2020-06-01,non-holiday,17711,여름
2020-06-02,non-holiday,17838,여름
2020-06-03,non-holiday,17967,여름
2020-06-04,non-holiday,18470,여름
2020-06-05,non-holiday,22853,여름
2020-06-06,holiday,40856,여름
2020-06-07,holiday,37303,여름
2020-06-08,non-holiday,20162,여름
2020-06-09,non-holiday,20251,여름
2020-06-10,non-holiday,18502,여름
2020-06-11,non-holiday,18904,여름
2020-06-12,non-holiday,21813,여름
2020-06-13,holiday,28668,여름
2020-06-14,holiday,28358,여름
2020-06-15,non-holiday,20081,여름
2020-06-16,non-holiday,20601,여름
2020-06-17,non-holiday,20685,여름
2020-06-18,non-holiday,17393,여름
2020-06-19,non-holiday,24114,여름
2020-06-20,holiday,39704,여름
2020-06-21,holiday,37832,여름
2020-06-22,non-holiday,21691,여름
2020-06-23,non-holiday,22880,여름
2020-06-24,non-holiday,17134,여름
2020-06-25,non-holiday,19892,여름
2020-06-26,non-holiday,24903,여름
2020-06-27,holiday,36966,여름
2020-06-28,holiday,36623,여름
2020-06-29,non-holiday,18052,여름
2020-06-30,non-holiday,17300,여름
2020-07-01,non-holiday,16487,여름
2020-07-02,non-holiday,18581,여름
2020-07-03,non-holiday,21424,여름
2020-07-04,holiday,30259,여름
2020-07-05,holiday,29735,여름
2020-07-06,non-holiday,17049,여름
2020-07-07,non-holiday,18026,여름
2020-07-08,non-holiday,18293,여름
2020-07-09,non-holiday,19170,여름
2020-07-10,non-holiday,20300,여름
2020-07-11,holiday,31735,여름
2020-07-12,holiday,27050,여름
2020-07-13,non-holiday,14961,여름
2020-07-14,non-holiday,16769,여름
2020-07-15,non-holiday,18998,여름
2020-07-16,non-holiday,21450,여름
2020-07-17,holiday,23903,여름
2020-07-18,holiday,37582,여름
2020-07-19,holiday,31335,여름
2020-07-20,non-holiday,17089,여름
2020-07-21,non-holiday,21173,여름
2020-07-22,non-holiday,17023,여름
2020-07-23,non-holiday,15841,여름
2020-07-24,non-holiday,19425,여름
2020-07-25,holiday,32208,여름
2020-07-26,holiday,36908,여름
2020-07-27,non-holiday,20828,여름
2020-07-28,non-holiday,19958,여름
2020-07-29,non-holiday,18454,여름
2020-07-30,non-holiday,21264,여름
2020-07-31,non-holiday,28055,여름
2020-08-01,holiday,46208,여름
2020-08-02,holiday,48165,여름
2020-08-03,non-holiday,35610,여름
2020-08-04,non-holiday,33008,여름
2020-08-05,non-holiday,28366,여름
2020-08-06,non-holiday,21924,여름
2020-08-07,non-holiday,22412,여름
2020-08-08,holiday,23582,여름
2020-08-09,holiday,29093,여름
