날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,79914,겨울
2020-01-02,non-holiday,43451,겨울
2020-01-03,non-holiday,48465,겨울
2020-01-04,holiday,68648,겨울
2020-01-05,holiday,60934,겨울
2020-01-06,non-holiday,38369,겨울
2020-01-07,non-holiday,37180,겨울
2020-01-08,non-holiday,38778,겨울
2020-01-09,non-holiday,44252,겨울
2020-01-10,non-holiday,49816,겨울
2020-01-11,holiday,70584,겨울
2020-01-12,holiday,61526,겨울
2020-01-13,non-holiday,45388,겨울
2020-01-14,non-holiday,46820,겨울
2020-01-15,non-holiday,47587,겨울
2020-01-16,non-holiday,48137,겨울
2020-01-17,non-holiday,50786,겨울
2020-01-18,holiday,70684,겨울
2020-01-19,holiday,59846,겨울
2020-01-20,non-holiday,46889,겨울
2020-01-21,non-holiday,50838,겨울
2020-01-22,non-holiday,50230,겨울
2020-01-23,non-holiday,70429,겨울
2020-01-24,holiday,125934,겨울
2020-01-25,holiday,165051,겨울
2020-01-26,holiday,135785,겨울
2020-01-27,holiday,80654,겨울
2020-01-28,non-holiday,52088,겨울
2020-01-29,non-holiday,48340,겨울
2020-01-30,non-holiday,50077,겨울
2020-01-31,non-holiday,49425,겨울
2020-02-01,holiday,47901,겨울
2020-02-02,holiday,38541,겨울
2020-02-03,non-holiday,32934,겨울
2020-02-04,non-holiday,33654,겨울
2020-02-05,non-holiday,32929,겨울
2020-02-06,non-holiday,38901,겨울
2020-02-07,non-holiday,37523,겨울
2020-02-08,holiday,44749,겨울
2020-02-09,holiday,43427,겨울
2020-02-10,non-holiday,38755,겨울
2020-02-11,non-holiday,41299,겨울
2020-02-12,non-holiday,37988,겨울
2020-02-13,non-holiday,41696,겨울
2020-02-14,non-holiday,49551,겨울
2020-02-15,holiday,63655,겨울
2020-02-16,holiday,49378,겨울
2020-02-17,non-holiday,35698,겨울
2020-02-18,non-holiday,42312,겨울
2020-02-19,non-holiday,45614,겨울
2020-02-20,non-holiday,47988,겨울
2020-02-21,non-holiday,49439,겨울
2020-02-22,holiday,52497,겨울
2020-02-23,holiday,49368,겨울
2020-02-24,non-holiday,47430,겨울
2020-02-25,non-holiday,38686,겨울
2020-02-26,non-holiday,43378,겨울
2020-02-27,non-holiday,42339,겨울
2020-02-28,non-holiday,41901,겨울
2020-02-29,holiday,49888,겨울
2020-03-01,holiday,38826,봄
2020-03-02,non-holiday,32249,봄
2020-03-03,non-holiday,35051,봄
2020-03-04,non-holiday,34749,봄
2020-03-05,non-holiday,36286,봄
2020-03-06,non-holiday,42687,봄
2020-03-07,holiday,51440,봄
2020-03-08,holiday,54664,봄
2020-03-09,non-holiday,39685,봄
2020-03-10,non-holiday,36128,봄
2020-03-11,non-holiday,43486,봄
2020-03-12,non-holiday,44959,봄
2020-03-13,non-holiday,51377,봄
2020-03-14,holiday,63545,봄
2020-03-15,holiday,56197,봄
2020-03-16,non-holiday,44178,봄
2020-03-17,non-holiday,42574,봄
2020-03-18,non-holiday,46038,봄
2020-03-19,non-holiday,41563,봄
2020-03-20,non-holiday,50231,봄
2020-03-21,holiday,71560,봄
2020-03-22,holiday,66944,봄
2020-03-23,non-holiday,47217,봄
2020-03-24,non-holiday,48085,봄
2020-03-25,non-holiday,56085,봄
2020-03-26,non-holiday,47568,봄
2020-03-27,non-holiday,49916,봄
2020-03-28,holiday,67000,봄
2020-03-29,holiday,68915,봄
2020-03-30,non-holiday,50788,봄
2020-03-31,non-holiday,50776,봄
2020-04-01,non-holiday,35636,봄
2020-04-02,non-holiday,38129,봄
2020-04-03,non-holiday,43359,봄
2020-04-04,holiday,60637,봄
2020-04-05,holiday,58312,봄
2020-04-06,non-holiday,39610,봄
2020-04-07,non-holiday,40530,봄
2020-04-08,non-holiday,40516,봄
2020-04-09,non-holiday,41851,봄
2020-04-10,non-holiday,47208,봄
2020-04-11,holiday,68640,봄
2020-04-12,holiday,60749,봄
2020-04-13,non-holiday,42102,봄
2020-04-14,non-holiday,47714,봄
2020-04-15,holiday,57537,봄
2020-04-16,non-holiday,45302,봄
2020-04-17,non-holiday,46936,봄
2020-04-18,holiday,70329,봄
2020-04-19,holiday,59294,봄
2020-04-20,non-holiday,43626,봄
2020-04-21,non-holiday,45872,봄
2020-04-22,non-holiday,44646,봄
2020-04-23,non-holiday,45720,봄
2020-04-24,non-holiday,57182,봄
2020-04-25,holiday,73157,봄
2020-04-26,holiday,74580,봄
2020-04-27,non-holiday,49066,봄
2020-04-28,non-holiday,51053,봄
2020-04-29,non-holiday,57333,봄
2020-04-30,holiday,104945,봄
2020-05-01,non-holiday,108438,봄
2020-05-02,holiday,118895,봄
2020-05-03,holiday,93005,봄
2020-05-04,non-holiday,67664,봄
2020-05-05,holiday,70401,봄
2020-05-06,non-holiday,46013,봄
2020-05-07,non-holiday,48378,봄
2020-05-08,non-holiday,56324,봄
2020-05-09,holiday,69456,봄
2020-05-10,holiday,70020,봄
2020-05-11,non-holiday,50083,봄
2020-05-12,non-holiday,48635,봄
2020-05-13,non-holiday,50117,봄
2020-05-14,non-holiday,51111,봄
2020-05-15,non-holiday,49701,봄
2020-05-16,holiday,77473,봄
2020-05-17,holiday,75261,봄
2020-05-18,non-holiday,46845,봄
2020-05-19,non-holiday,46090,봄
2020-05-20,non-holiday,59101,봄
2020-05-21,non-holiday,57079,봄
2020-05-22,non-holiday,61083,봄
2020-05-23,holiday,87656,봄
2020-05-24,holiday,73146,봄
2020-05-25,non-holiday,53788,봄
2020-05-26,non-holiday,53510,봄
2020-05-27,non-holiday,52814,봄
2020-05-28,non-holiday,54006,봄
2020-05-29,non-holiday,60631,봄
2020-05-30,holiday,88958,봄
2020-05-31,holiday,82177,봄
2020-06-01,non-holiday,43020,여름
2020-06-02,non-holiday,42364,여름
2020-06-03,non-holiday,43888,여름
2020-06-04,non-holiday,46524,여름
2020-06-05,non-holiday,56039,여름
2020-06-06,holiday,88789,여름
2020-06-07,holiday,75784,여름
2020-06-08,non-holiday,52997,여름
2020-06-09,non-holiday,48939,여름
2020-06-10,non-holiday,47087,여름
2020-06-11,non-holiday,49756,여름
2020-06-12,non-holiday,55119,여름
2020-06-13,holiday,73004,여름
2020-06-14,holiday,69116,여름
2020-06-15,non-holiday,50265,여름
2020-06-16,non-holiday,51887,여름
2020-06-17,non-holiday,50575,여름
2020-06-18,non-holiday,49285,여름
2020-06-19,non-holiday,59891,여름
2020-06-20,holiday,87456,여름
2020-06-21,holiday,80066,여름
2020-06-22,non-holiday,54293,여름
2020-06-23,non-holiday,61264,여름
2020-06-24,non-holiday,50092,여름
2020-06-25,non-holiday,58902,여름
2020-06-26,non-holiday,61715,여름
2020-06-27,holiday,88035,여름
2020-06-28,holiday,77983,여름
2020-06-29,non-holiday,48679,여름
2020-06-30,non-holiday,47877,여름
2020-07-01,non-holiday,42549,여름
2020-07-02,non-holiday,55742,여름
2020-07-03,non-holiday,57675,여름
2020-07-04,holiday,84944,여름
2020-07-05,holiday,78892,여름
2020-07-06,non-holiday,51983,여름
2020-07-07,non-holiday,49836,여름
2020-07-08,non-holiday,50738,여름
2020-07-09,non-holiday,56377,여름
2020-07-10,non-holiday,60871,여름
2020-07-11,holiday,87540,여름
2020-07-12,holiday,73071,여름
2020-07-13,non-holiday,46328,여름
2020-07-14,non-holiday,47036,여름
2020-07-15,non-holiday,55700,여름
2020-07-16,non-holiday,56524,여름
2020-07-17,holiday,62890,여름
2020-07-18,holiday,86186,여름
2020-07-19,holiday,72753,여름
2020-07-20,non-holiday,56508,여름
2020-07-21,non-holiday,56631,여름
2020-07-22,non-holiday,53495,여름
2020-07-23,non-holiday,52380,여름
2020-07-24,non-holiday,60761,여름
2020-07-25,holiday,88174,여름
2020-07-26,holiday,83814,여름
2020-07-27,non-holiday,63518,여름
2020-07-28,non-holiday,58758,여름
2020-07-29,non-holiday,56080,여름
2020-07-30,non-holiday,60687,여름
2020-07-31,non-holiday,76619,여름
2020-08-01,holiday,91416,여름
2020-08-02,holiday,90230,여름
2020-08-03,non-holiday,73720,여름
2020-08-04,non-holiday,72101,여름
2020-08-05,non-holiday,64542,여름
2020-08-06,non-holiday,58148,여름
2020-08-07,non-holiday,57699,여름
2020-08-08,holiday,68248,여름
2020-08-09,holiday,66944,여름
2020-08-10,non-holiday,52114,여름
2020-08-11,non-holiday,51343,여름
2020-08-12,non-holiday,57113,여름
2020-08-13,non-holiday,61955,여름
2020-08-14,non-holiday,73769,여름
2020-08-15,holiday,110562,여름
2020-08-16,holiday,109787,여름
2020-08-17,holiday,81998,여름
2020-08-18,non-holiday,60076,여름
2020-08-19,non-holiday,56861,여름
2020-08-20,non-holiday,58269,여름
2020-08-21,non-holiday,61604,여름
2020-08-22,holiday,73487,여름
2020-08-23,holiday,70302,여름
2020-08-24,non-holiday,55139,여름
2020-08-25,non-holiday,56890,여름
2020-08-26,non-holiday,46987,여름
2020-08-27,non-holiday,52754,여름
2020-08-28,non-holiday,60406,여름
2020-08-29,holiday,69855,여름
2020-08-30,holiday,70678,여름
2020-08-31,non-holiday,53915,여름
2020-09-01,non-holiday,45249,가을
2020-09-02,non-holiday,41358,가을
2020-09-03,non-holiday,42873,가을
2020-09-04,non-holiday,51289,가을
2020-09-05,holiday,72418,가을
2020-09-06,holiday,69557,가을
2020-09-07,non-holiday,38100,가을
2020-09-08,non-holiday,48242,가을
2020-09-09,non-holiday,48331,가을
2020-09-10,non-holiday,57467,가을
2020-09-11,non-holiday,57355,가을
2020-09-12,holiday,75941,가을
2020-09-13,holiday,77073,가을
2020-09-14,non-holiday,59214,가을
2020-09-15,non-holiday,58584,가을
2020-09-16,non-holiday,55552,가을
2020-09-17,non-holiday,54461,가을
2020-09-18,non-holiday,64595,가을
2020-09-19,holiday,85670,가을
2020-09-20,holiday,80838,가을
2020-09-21,non-holiday,58616,가을
2020-09-22,non-holiday,59488,가을
2020-09-23,non-holiday,59064,가을
2020-09-24,non-holiday,66395,가을
2020-09-25,non-holiday,66082,가을
2020-09-26,holiday,82820,가을
2020-09-27,holiday,78206,가을
2020-09-28,non-holiday,63651,가을
2020-09-29,non-holiday,73373,가을
2020-09-30,holiday,103256,가을
2020-10-01,holiday,130950,가을
2020-10-02,holiday,135671,가을
2020-10-03,holiday,108654,가을
2020-10-04,holiday,70572,가을
2020-10-05,non-holiday,44027,가을
2020-10-06,non-holiday,48342,가을
2020-10-07,non-holiday,49534,가을
2020-10-08,non-holiday,55256,가을
2020-10-09,holiday,85782,가을
2020-10-10,holiday,93791,가을
2020-10-11,holiday,81251,가을
2020-10-12,non-holiday,52205,가을
2020-10-13,non-holiday,51375,가을
2020-10-14,non-holiday,52351,가을
2020-10-15,non-holiday,54440,가을
2020-10-16,non-holiday,61327,가을
2020-10-17,holiday,90035,가을
2020-10-18,holiday,83338,가을
2020-10-19,non-holiday,53265,가을
2020-10-20,non-holiday,63911,가을
2020-10-21,non-holiday,59001,가을
2020-10-22,non-holiday,56080,가을
2020-10-23,non-holiday,61567,가을
2020-10-24,holiday,111857,가을
2020-10-25,holiday,111628,가을
2020-10-26,non-holiday,67178,가을
2020-10-27,non-holiday,65965,가을
2020-10-28,non-holiday,64109,가을
2020-10-29,non-holiday,68269,가을
2020-10-30,non-holiday,76583,가을
2020-10-31,holiday,98914,가을
2020-11-01,holiday,68337,가을
2020-11-02,non-holiday,47900,가을
2020-11-03,non-holiday,46679,가을
2020-11-04,non-holiday,47689,가을
2020-11-05,non-holiday,53234,가을
2020-11-06,non-holiday,60243,가을
2020-11-07,holiday,84097,가을
2020-11-08,holiday,73616,가을
2020-11-09,non-holiday,51362,가을
2020-11-10,non-holiday,53594,가을
2020-11-11,non-holiday,55794,가을
2020-11-12,non-holiday,59449,가을
2020-11-13,non-holiday,65327,가을
2020-11-14,holiday,87640,가을
2020-11-15,holiday,80486,가을
2020-11-16,non-holiday,55220,가을
2020-11-17,non-holiday,56146,가을
2020-11-18,non-holiday,51966,가을
2020-11-19,non-holiday,46867,가을
2020-11-20,non-holiday,56506,가을
2020-11-21,holiday,78773,가을
2020-11-22,holiday,65555,가을
2020-11-23,non-holiday,47812,가을
2020-11-24,non-holiday,50743,가을
2020-11-25,non-holiday,50880,가을
2020-11-26,non-holiday,49927,가을
2020-11-27,non-holiday,49225,가을
2020-11-28,holiday,59291,가을
2020-11-29,holiday,54850,가을
2020-11-30,non-holiday,55688,가을
2020-12-01,non-holiday,35940,겨울
2020-12-02,non-holiday,34737,겨울
2020-12-03,non-holiday,36192,겨울
2020-12-04,non-holiday,45056,겨울
2020-12-05,holiday,62339,겨울
2020-12-06,holiday,60680,겨울
2020-12-07,non-holiday,39208,겨울
2020-12-08,non-holiday,39237,겨울
2020-12-09,non-holiday,41057,겨울
2020-12-10,non-holiday,43293,겨울
2020-12-11,non-holiday,48467,겨울
2020-12-12,holiday,66185,겨울
2020-12-13,holiday,49119,겨울
2020-12-14,non-holiday,38878,겨울
2020-12-15,non-holiday,38645,겨울
2020-12-16,non-holiday,40014,겨울
2020-12-17,non-holiday,42506,겨울
2020-12-18,non-holiday,46819,겨울
2020-12-19,holiday,60580,겨울
2020-12-20,holiday,57933,겨울
2020-12-21,non-holiday,45500,겨울
2020-12-22,non-holiday,46459,겨울
2020-12-23,non-holiday,46610,겨울
2020-12-24,non-holiday,51492,겨울
2020-12-25,holiday,69552,겨울
2020-12-26,holiday,72010,겨울
2020-12-27,holiday,58681,겨울
2020-12-28,non-holiday,49068,겨울
2020-12-29,non-holiday,47627,겨울
2020-12-30,non-holiday,40914,겨울
2020-12-31,non-holiday,53942,겨울
