날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,22500,겨울
2020-01-02,non-holiday,16812,겨울
2020-01-03,non-holiday,18219,겨울
2020-01-04,holiday,26874,겨울
2020-01-05,holiday,24823,겨울
2020-01-06,non-holiday,13987,겨울
2020-01-07,non-holiday,14642,겨울
2020-01-08,non-holiday,14342,겨울
2020-01-09,non-holiday,16994,겨울
2020-01-10,non-holiday,19175,겨울
2020-01-11,holiday,26269,겨울
2020-01-12,holiday,25000,겨울
2020-01-13,non-holiday,16185,겨울
2020-01-14,non-holiday,17418,겨울
2020-01-15,non-holiday,17049,겨울
2020-01-16,non-holiday,17490,겨울
2020-01-17,non-holiday,18810,겨울
2020-01-18,holiday,25660,겨울
2020-01-19,holiday,24799,겨울
2020-01-20,non-holiday,17102,겨울
2020-01-21,non-holiday,17183,겨울
2020-01-22,non-holiday,18310,겨울
2020-01-23,non-holiday,27694,겨울
2020-01-24,holiday,66973,겨울
2020-01-25,holiday,95161,겨울
2020-01-26,holiday,62036,겨울
2020-01-27,holiday,28466,겨울
2020-01-28,non-holiday,18574,겨울
2020-01-29,non-holiday,16909,겨울
2020-01-30,non-holiday,17258,겨울
2020-01-31,non-holiday,19239,겨울
2020-02-01,holiday,20919,겨울
2020-02-02,holiday,19460,겨울
2020-02-03,non-holiday,14648,겨울
2020-02-04,non-holiday,15307,겨울
2020-02-05,non-holiday,14673,겨울
2020-02-06,non-holiday,16192,겨울
2020-02-07,non-holiday,17128,겨울
2020-02-08,holiday,21140,겨울
2020-02-09,holiday,20519,겨울
2020-02-10,non-holiday,16311,겨울
2020-02-11,non-holiday,17091,겨울
2020-02-12,non-holiday,15386,겨울
2020-02-13,non-holiday,17159,겨울
2020-02-14,non-holiday,19885,겨울
2020-02-15,holiday,24781,겨울
2020-02-16,holiday,19607,겨울
2020-02-17,non-holiday,15071,겨울
2020-02-18,non-holiday,15344,겨울
2020-02-19,non-holiday,17396,겨울
2020-02-20,non-holiday,18062,겨울
2020-02-21,non-holiday,18790,겨울
2020-02-22,holiday,20938,겨울
2020-02-23,holiday,18792,겨울
2020-02-24,non-holiday,18122,겨울
2020-02-25,non-holiday,14991,겨울
2020-02-26,non-holiday,16325,겨울
2020-02-27,non-holiday,17204,겨울
2020-02-28,non-holiday,16272,겨울
2020-02-29,holiday,19840,겨울
2020-03-01,holiday,14942,봄
2020-03-02,non-holiday,13223,봄
2020-03-03,non-holiday,13948,봄
2020-03-04,non-holiday,14501,봄
2020-03-05,non-holiday,14297,봄
2020-03-06,non-holiday,16420,봄
2020-03-07,holiday,18766,봄
2020-03-08,holiday,21498,봄
2020-03-09,non-holiday,15325,봄
2020-03-10,non-holiday,13850,봄
2020-03-11,non-holiday,16307,봄
2020-03-12,non-holiday,17103,봄
2020-03-13,non-holiday,19363,봄
2020-03-14,holiday,26690,봄
2020-03-15,holiday,22172,봄
2020-03-16,non-holiday,16342,봄
2020-03-17,non-holiday,16560,봄
2020-03-18,non-holiday,17941,봄
2020-03-19,non-holiday,16546,봄
2020-03-20,non-holiday,19177,봄
2020-03-21,holiday,28890,봄
2020-03-22,holiday,27226,봄
2020-03-23,non-holiday,18016,봄
2020-03-24,non-holiday,18401,봄
2020-03-25,non-holiday,19512,봄
2020-03-26,non-holiday,16875,봄
2020-03-27,non-holiday,18181,봄
2020-03-28,holiday,28007,봄
2020-03-29,holiday,28812,봄
2020-03-30,non-holiday,19766,봄
2020-03-31,non-holiday,19728,봄
2020-04-01,non-holiday,15954,봄
2020-04-02,non-holiday,16389,봄
2020-04-03,non-holiday,18695,봄
2020-04-04,holiday,30293,봄
2020-04-05,holiday,27162,봄
2020-04-06,non-holiday,16347,봄
2020-04-07,non-holiday,15646,봄
2020-04-08,non-holiday,16660,봄
2020-04-09,non-holiday,17114,봄
2020-04-10,non-holiday,18310,봄
2020-04-11,holiday,25169,봄
2020-04-12,holiday,22402,봄
2020-04-13,non-holiday,16915,봄
2020-04-14,non-holiday,18532,봄
2020-04-15,holiday,21303,봄
2020-04-16,non-holiday,17098,봄
2020-04-17,non-holiday,17370,봄
2020-04-18,holiday,28350,봄
2020-04-19,holiday,22746,봄
2020-04-20,non-holiday,16392,봄
2020-04-21,non-holiday,17183,봄
2020-04-22,non-holiday,17303,봄
2020-04-23,non-holiday,17555,봄
2020-04-24,non-holiday,22090,봄
2020-04-25,holiday,31328,봄
2020-04-26,holiday,29818,봄
2020-04-27,non-holiday,18659,봄
2020-04-28,non-holiday,19111,봄
2020-04-29,non-holiday,22802,봄
2020-04-30,holiday,46877,봄
2020-05-01,non-holiday,50819,봄
2020-05-02,holiday,55237,봄
2020-05-03,holiday,39383,봄
2020-05-04,non-holiday,27206,봄
2020-05-05,holiday,29299,봄
2020-05-06,non-holiday,17016,봄
2020-05-07,non-holiday,19525,봄
2020-05-08,non-holiday,23830,봄
2020-05-09,holiday,29842,봄
2020-05-10,holiday,33301,봄
2020-05-11,non-holiday,18624,봄
2020-05-12,non-holiday,19295,봄
2020-05-13,non-holiday,18813,봄
2020-05-14,non-holiday,20023,봄
2020-05-15,non-holiday,18616,봄
2020-05-16,holiday,32213,봄
2020-05-17,holiday,34350,봄
2020-05-18,non-holiday,17910,봄
2020-05-19,non-holiday,17745,봄
2020-05-20,non-holiday,20936,봄
2020-05-21,non-holiday,21128,봄
2020-05-22,non-holiday,22547,봄
2020-05-23,holiday,36640,봄
2020-05-24,holiday,32126,봄
2020-05-25,non-holiday,19740,봄
2020-05-26,non-holiday,20035,봄
2020-05-27,non-holiday,20717,봄
2020-05-28,non-holiday,20974,봄
2020-05-29,non-holiday,24854,봄
2020-05-30,holiday,36729,봄
2020-05-31,holiday,31539,봄
2020-06-01,non-holiday,16703,여름
2020-06-02,non-holiday,17229,여름
2020-06-03,non-holiday,17215,여름
2020-06-04,non-holiday,18729,여름
2020-06-05,non-holiday,22245,여름
2020-06-06,holiday,36871,여름
2020-06-07,holiday,33453,여름
2020-06-08,non-holiday,19665,여름
2020-06-09,non-holiday,19677,여름
2020-06-10,non-holiday,18546,여름
2020-06-11,non-holiday,18211,여름
2020-06-12,non-holiday,20601,여름
2020-06-13,holiday,26390,여름
2020-06-14,holiday,26179,여름
2020-06-15,non-holiday,19104,여름
2020-06-16,non-holiday,19232,여름
2020-06-17,non-holiday,18621,여름
2020-06-18,non-holiday,17565,여름
2020-06-19,non-holiday,23367,여름
2020-06-20,holiday,35588,여름
2020-06-21,holiday,34363,여름
2020-06-22,non-holiday,20415,여름
2020-06-23,non-holiday,21599,여름
2020-06-24,non-holiday,18025,여름
2020-06-25,non-holiday,20011,여름
2020-06-26,non-holiday,22803,여름
2020-06-27,holiday,35725,여름
2020-06-28,holiday,34713,여름
2020-06-29,non-holiday,18373,여름
2020-06-30,non-holiday,17720,여름
2020-07-01,non-holiday,16377,여름
2020-07-02,non-holiday,20301,여름
2020-07-03,non-holiday,21583,여름
2020-07-04,holiday,34817,여름
2020-07-05,holiday,32423,여름
2020-07-06,non-holiday,18135,여름
2020-07-07,non-holiday,19007,여름
2020-07-08,non-holiday,19896,여름
2020-07-09,non-holiday,21945,여름
2020-07-10,non-holiday,21491,여름
2020-07-11,holiday,32719,여름
2020-07-12,holiday,28995,여름
2020-07-13,non-holiday,16029,여름
2020-07-14,non-holiday,18440,여름
2020-07-15,non-holiday,20543,여름
2020-07-16,non-holiday,21713,여름
2020-07-17,holiday,24958,여름
2020-07-18,holiday,37858,여름
2020-07-19,holiday,33215,여름
2020-07-20,non-holiday,20555,여름
2020-07-21,non-holiday,21255,여름
2020-07-22,non-holiday,18906,여름
2020-07-23,non-holiday,18250,여름
2020-07-24,non-holiday,22347,여름
2020-07-25,holiday,33854,여름
2020-07-26,holiday,37397,여름
2020-07-27,non-holiday,23390,여름
2020-07-28,non-holiday,21801,여름
2020-07-29,non-holiday,21472,여름
2020-07-30,non-holiday,23203,여름
2020-07-31,non-holiday,32187,여름
2020-08-01,holiday,51880,여름
2020-08-02,holiday,55356,여름
2020-08-03,non-holiday,41663,여름
2020-08-04,non-holiday,37348,여름
2020-08-05,non-holiday,31153,여름
2020-08-06,non-holiday,24825,여름
2020-08-07,non-holiday,24545,여름
2020-08-08,holiday,27577,여름
2020-08-09,holiday,26603,여름
2020-08-10,non-holiday,17456,여름
2020-08-11,non-holiday,19260,여름
2020-08-12,non-holiday,22004,여름
2020-08-13,non-holiday,25690,여름
2020-08-14,non-holiday,33233,여름
2020-08-15,holiday,55027,여름
2020-08-16,holiday,57135,여름
2020-08-17,holiday,38315,여름
2020-08-18,non-holiday,26843,여름
2020-08-19,non-holiday,24624,여름
2020-08-20,non-holiday,24089,여름
2020-08-21,non-holiday,26579,여름
2020-08-22,holiday,34406,여름
2020-08-23,holiday,32771,여름
2020-08-24,non-holiday,21953,여름
2020-08-25,non-holiday,20919,여름
2020-08-26,non-holiday,16002,여름
2020-08-27,non-holiday,17740,여름
2020-08-28,non-holiday,21960,여름
2020-08-29,holiday,29861,여름
2020-08-30,holiday,28887,여름
2020-08-31,non-holiday,19237,여름
2020-09-01,non-holiday,15959,가을
2020-09-02,non-holiday,13983,가을
2020-09-03,non-holiday,14685,가을
2020-09-04,non-holiday,20125,가을
2020-09-05,holiday,26240,가을
2020-09-06,holiday,22418,가을
2020-09-07,non-holiday,13310,가을
2020-09-08,non-holiday,16827,가을
2020-09-09,non-holiday,17282,가을
2020-09-10,non-holiday,19368,가을
2020-09-11,non-holiday,20460,가을
2020-09-12,holiday,29839,가을
2020-09-13,holiday,25955,가을
2020-09-14,non-holiday,18623,가을
2020-09-15,non-holiday,18674,가을
2020-09-16,non-holiday,17963,가을
