날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,36162,겨울
2020-01-02,non-holiday,21099,겨울
2020-01-03,non-holiday,23472,겨울
2020-01-04,holiday,38586,겨울
2020-01-05,holiday,38248,겨울
2020-01-06,non-holiday,13606,겨울
2020-01-07,non-holiday,11909,겨울
2020-01-08,non-holiday,11494,겨울
2020-01-09,non-holiday,17216,겨울
2020-01-10,non-holiday,22976,겨울
2020-01-11,holiday,45101,겨울
2020-01-12,holiday,45393,겨울
2020-01-13,non-holiday,18997,겨울
2020-01-14,non-holiday,18582,겨울
2020-01-15,non-holiday,17609,겨울
2020-01-16,non-holiday,18828,겨울
2020-01-17,non-holiday,24162,겨울
2020-01-18,holiday,43566,겨울
2020-01-19,holiday,41720,겨울
2020-01-20,non-holiday,16534,겨울
2020-01-21,non-holiday,17228,겨울
2020-01-22,non-holiday,14256,겨울
2020-01-23,non-holiday,24398,겨울
2020-01-24,holiday,62212,겨울
2020-01-25,holiday,75333,겨울
2020-01-26,holiday,66055,겨울
2020-01-27,holiday,32632,겨울
2020-01-28,non-holiday,17728,겨울
2020-01-29,non-holiday,15234,겨울
2020-01-30,non-holiday,17142,겨울
2020-01-31,non-holiday,19625,겨울
2020-02-01,holiday,35025,겨울
2020-02-02,holiday,33100,겨울
2020-02-03,non-holiday,13081,겨울
2020-02-04,non-holiday,12301,겨울
2020-02-05,non-holiday,12704,겨울
2020-02-06,non-holiday,12615,겨울
2020-02-07,non-holiday,15850,겨울
2020-02-08,holiday,28732,겨울
2020-02-09,holiday,29555,겨울
2020-02-10,non-holiday,13705,겨울
2020-02-11,non-holiday,12809,겨울
2020-02-12,non-holiday,8069,겨울
2020-02-13,non-holiday,10546,겨울
2020-02-14,non-holiday,15012,겨울
2020-02-15,holiday,26265,겨울
2020-02-16,holiday,25883,겨울
2020-02-17,non-holiday,13086,겨울
2020-02-18,non-holiday,17212,겨울
2020-02-19,non-holiday,16849,겨울
2020-02-20,non-holiday,14908,겨울
2020-02-21,non-holiday,14339,겨울
2020-02-22,holiday,17964,겨울
2020-02-23,holiday,17712,겨울
2020-02-24,non-holiday,9793,겨울
2020-02-25,non-holiday,6742,겨울
2020-02-26,non-holiday,8367,겨울
2020-02-27,non-holiday,8693,겨울
2020-02-28,non-holiday,8455,겨울
2020-02-29,holiday,11943,겨울
2020-03-01,holiday,10730,봄
2020-03-02,non-holiday,7000,봄
2020-03-03,non-holiday,7350,봄
2020-03-04,non-holiday,7026,봄
2020-03-05,non-holiday,8009,봄
2020-03-06,non-holiday,9376,봄
2020-03-07,holiday,11189,봄
2020-03-08,holiday,13844,봄
2020-03-09,non-holiday,8487,봄
2020-03-10,non-holiday,6687,봄
2020-03-11,non-holiday,8779,봄
2020-03-12,non-holiday,8715,봄
2020-03-13,non-holiday,9804,봄
2020-03-14,holiday,12853,봄
2020-03-15,holiday,11998,봄
2020-03-16,non-holiday,8180,봄
2020-03-17,non-holiday,8394,봄
2020-03-18,non-holiday,8870,봄
2020-03-19,non-holiday,7550,봄
2020-03-20,non-holiday,10736,봄
2020-03-21,holiday,15508,봄
2020-03-22,holiday,15991,봄
2020-03-23,non-holiday,9062,봄
2020-03-24,non-holiday,9322,봄
2020-03-25,non-holiday,9753,봄
2020-03-26,non-holiday,8519,봄
2020-03-27,non-holiday,9923,봄
2020-03-28,holiday,14577,봄
2020-03-29,holiday,15676,봄
2020-03-30,non-holiday,9586,봄
2020-03-31,non-holiday,9613,봄
2020-04-01,non-holiday,8023,봄
2020-04-02,non-holiday,8387,봄
2020-04-03,non-holiday,10479,봄
