날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,39931,겨울
2020-01-02,non-holiday,16121,겨울
2020-01-03,non-holiday,17405,겨울
2020-01-04,holiday,26367,겨울
2020-01-05,holiday,24863,겨울
2020-01-06,non-holiday,12219,겨울
2020-01-07,non-holiday,11758,겨울
2020-01-08,non-holiday,11902,겨울
2020-01-09,non-holiday,13567,겨울
2020-01-10,non-holiday,19362,겨울
2020-01-11,holiday,28575,겨울
2020-01-12,holiday,24872,겨울
2020-01-13,non-holiday,14767,겨울
2020-01-14,non-holiday,15077,겨울
2020-01-15,non-holiday,14083,겨울
2020-01-16,non-holiday,14355,겨울
2020-01-17,non-holiday,16324,겨울
2020-01-18,holiday,24816,겨울
2020-01-19,holiday,22199,겨울
2020-01-20,non-holiday,13481,겨울
2020-01-21,non-holiday,13750,겨울
2020-01-22,non-holiday,12905,겨울
2020-01-23,non-holiday,21419,겨울
2020-01-24,holiday,56879,겨울
2020-01-25,holiday,83459,겨울
2020-01-26,holiday,62198,겨울
2020-01-27,holiday,29478,겨울
2020-01-28,non-holiday,16219,겨울
2020-01-29,non-holiday,15378,겨울
2020-01-30,non-holiday,16621,겨울
2020-01-31,non-holiday,15270,겨울
2020-02-01,holiday,20613,겨울
2020-02-02,holiday,19440,겨울
2020-02-03,non-holiday,11745,겨울
2020-02-04,non-holiday,12139,겨울
2020-02-05,non-holiday,11507,겨울
2020-02-06,non-holiday,12871,겨울
2020-02-07,non-holiday,13836,겨울
2020-02-08,holiday,20170,겨울
2020-02-09,holiday,20939,겨울
2020-02-10,non-holiday,13954,겨울
2020-02-11,non-holiday,14907,겨울
2020-02-12,non-holiday,12348,겨울
2020-02-13,non-holiday,13324,겨울
2020-02-14,non-holiday,16933,겨울
2020-02-15,holiday,26134,겨울
2020-02-16,holiday,20536,겨울
2020-02-17,non-holiday,10122,겨울
2020-02-18,non-holiday,11800,겨울
2020-02-19,non-holiday,14098,겨울
2020-02-20,non-holiday,15235,겨울
2020-02-21,non-holiday,16460,겨울
2020-02-22,holiday,21740,겨울
2020-02-23,holiday,22493,겨울
2020-02-24,non-holiday,15173,겨울
2020-02-25,non-holiday,11259,겨울
2020-02-26,non-holiday,13811,겨울
2020-02-27,non-holiday,14648,겨울
2020-02-28,non-holiday,13856,겨울
2020-02-29,holiday,22564,겨울
2020-03-01,holiday,19568,봄
2020-03-02,non-holiday,11868,봄
2020-03-03,non-holiday,12843,봄
2020-03-04,non-holiday,11761,봄
2020-03-05,non-holiday,12170,봄
2020-03-06,non-holiday,15132,봄
2020-03-07,holiday,23037,봄
2020-03-08,holiday,29577,봄
2020-03-09,non-holiday,13387,봄
2020-03-10,non-holiday,11006,봄
2020-03-11,non-holiday,14449,봄
2020-03-12,non-holiday,15986,봄
2020-03-13,non-holiday,17249,봄
2020-03-14,holiday,28511,봄
2020-03-15,holiday,27007,봄
2020-03-16,non-holiday,14355,봄
2020-03-17,non-holiday,14565,봄
2020-03-18,non-holiday,16359,봄
2020-03-19,non-holiday,12856,봄
2020-03-20,non-holiday,17786,봄
2020-03-21,holiday,33984,봄
2020-03-22,holiday,35975,봄
2020-03-23,non-holiday,16490,봄
2020-03-24,non-holiday,17110,봄
2020-03-25,non-holiday,18689,봄
2020-03-26,non-holiday,14472,봄
2020-03-27,non-holiday,16307,봄
2020-03-28,holiday,29687,봄
2020-03-29,holiday,33000,봄
2020-03-30,non-holiday,17295,봄
2020-03-31,non-holiday,17189,봄
2020-04-01,non-holiday,12267,봄
2020-04-02,non-holiday,13347,봄
2020-04-03,non-holiday,16812,봄
2020-04-04,holiday,29678,봄
2020-04-05,holiday,30420,봄
2020-04-06,non-holiday,14392,봄
2020-04-07,non-holiday,14391,봄
2020-04-08,non-holiday,15161,봄
2020-04-09,non-holiday,16090,봄
2020-04-10,non-holiday,18074,봄
2020-04-11,holiday,31335,봄
2020-04-12,holiday,30977,봄
2020-04-13,non-holiday,14165,봄
2020-04-14,non-holiday,16445,봄
2020-04-15,holiday,27081,봄
2020-04-16,non-holiday,15540,봄
2020-04-17,non-holiday,14850,봄
2020-04-18,holiday,33450,봄
2020-04-19,holiday,26651,봄
2020-04-20,non-holiday,14707,봄
2020-04-21,non-holiday,14620,봄
2020-04-22,non-holiday,14149,봄
2020-04-23,non-holiday,14617,봄
2020-04-24,non-holiday,18506,봄
2020-04-25,holiday,34489,봄
2020-04-26,holiday,37669,봄
2020-04-27,non-holiday,17240,봄
2020-04-28,non-holiday,17668,봄
2020-04-29,non-holiday,21014,봄
2020-04-30,holiday,59882,봄
2020-05-01,non-holiday,64068,봄
2020-05-02,holiday,65494,봄
2020-05-03,holiday,46248,봄
2020-05-04,non-holiday,29916,봄
2020-05-05,holiday,34817,봄
2020-05-06,non-holiday,15842,봄
2020-05-07,non-holiday,17958,봄
2020-05-08,non-holiday,21352,봄
2020-05-09,holiday,28542,봄
2020-05-10,holiday,32435,봄
2020-05-11,non-holiday,16540,봄
2020-05-12,non-holiday,15984,봄
2020-05-13,non-holiday,16871,봄
2020-05-14,non-holiday,17039,봄
2020-05-15,non-holiday,15671,봄
2020-05-16,holiday,33244,봄
2020-05-17,holiday,37941,봄
2020-05-18,non-holiday,14846,봄
2020-05-19,non-holiday,13266,봄
2020-05-20,non-holiday,17684,봄
2020-05-21,non-holiday,18587,봄
2020-05-22,non-holiday,23395,봄
2020-05-23,holiday,43777,봄
2020-05-24,holiday,36877,봄
2020-05-25,non-holiday,18998,봄
2020-05-26,non-holiday,18612,봄
2020-05-27,non-holiday,18205,봄
2020-05-28,non-holiday,18496,봄
2020-05-29,non-holiday,23171,봄
2020-05-30,holiday,42832,봄
2020-05-31,holiday,40614,봄
2020-06-01,non-holiday,16197,여름
2020-06-02,non-holiday,15523,여름
2020-06-03,non-holiday,16316,여름
2020-06-04,non-holiday,17004,여름
2020-06-05,non-holiday,23113,여름
2020-06-06,holiday,49476,여름
2020-06-07,holiday,43038,여름
2020-06-08,non-holiday,17993,여름
2020-06-09,non-holiday,17674,여름
2020-06-10,non-holiday,16357,여름
2020-06-11,non-holiday,15988,여름
2020-06-12,non-holiday,20002,여름
2020-06-13,holiday,31776,여름
2020-06-14,holiday,32118,여름
2020-06-15,non-holiday,17490,여름
2020-06-16,non-holiday,17398,여름
2020-06-17,non-holiday,17456,여름
2020-06-18,non-holiday,15555,여름
2020-06-19,non-holiday,23654,여름
2020-06-20,holiday,45594,여름
2020-06-21,holiday,42033,여름
2020-06-22,non-holiday,19676,여름
2020-06-23,non-holiday,20201,여름
2020-06-24,non-holiday,15087,여름
2020-06-25,non-holiday,17004,여름
2020-06-26,non-holiday,23159,여름
2020-06-27,holiday,44372,여름
2020-06-28,holiday,42066,여름
2020-06-29,non-holiday,16597,여름
2020-06-30,non-holiday,14640,여름
2020-07-01,non-holiday,15098,여름
2020-07-02,non-holiday,18543,여름
2020-07-03,non-holiday,21248,여름
2020-07-04,holiday,40368,여름
2020-07-05,holiday,40952,여름
2020-07-06,non-holiday,18271,여름
2020-07-07,non-holiday,17388,여름
2020-07-08,non-holiday,18133,여름
2020-07-09,non-holiday,19654,여름
2020-07-10,non-holiday,22437,여름
2020-07-11,holiday,42627,여름
2020-07-12,holiday,36003,여름
2020-07-13,non-holiday,15156,여름
2020-07-14,non-holiday,15496,여름
2020-07-15,non-holiday,18370,여름
2020-07-16,non-holiday,21187,여름
2020-07-17,holiday,27131,여름
2020-07-18,holiday,46053,여름
2020-07-19,holiday,38810,여름
2020-07-20,non-holiday,18744,여름
2020-07-21,non-holiday,22283,여름
2020-07-22,non-holiday,17868,여름
2020-07-23,non-holiday,16888,여름
2020-07-24,non-holiday,21898,여름
2020-07-25,holiday,42000,여름
2020-07-26,holiday,44890,여름
2020-07-27,non-holiday,24512,여름
2020-07-28,non-holiday,22326,여름
2020-07-29,non-holiday,19992,여름
2020-07-30,non-holiday,23800,여름
2020-07-31,non-holiday,33342,여름
2020-08-01,holiday,56178,여름
2020-08-02,holiday,61216,여름
2020-08-03,non-holiday,43923,여름
2020-08-04,non-holiday,39453,여름
2020-08-05,non-holiday,31916,여름
2020-08-06,non-holiday,25073,여름
2020-08-07,non-holiday,25761,여름
2020-08-08,holiday,28705,여름
2020-08-09,holiday,35214,여름
2020-08-10,non-holiday,21917,여름
2020-08-11,non-holiday,20724,여름
2020-08-12,non-holiday,24061,여름
2020-08-13,non-holiday,28294,여름
2020-08-14,non-holiday,36780,여름
2020-08-15,holiday,66620,여름
2020-08-16,holiday,68589,여름
2020-08-17,holiday,46631,여름
2020-08-18,non-holiday,28992,여름
2020-08-19,non-holiday,26975,여름
2020-08-20,non-holiday,27047,여름
2020-08-21,non-holiday,30583,여름
2020-08-22,holiday,41505,여름
2020-08-23,holiday,41250,여름
2020-08-24,non-holiday,25826,여름
2020-08-25,non-holiday,23640,여름
2020-08-26,non-holiday,15583,여름
2020-08-27,non-holiday,17010,여름
2020-08-28,non-holiday,23142,여름
2020-08-29,holiday,34099,여름
2020-08-30,holiday,37205,여름
2020-08-31,non-holiday,21568,여름
2020-09-01,non-holiday,17528,가을
2020-09-02,non-holiday,12885,가을
2020-09-03,non-holiday,14059,가을
2020-09-04,non-holiday,21203,가을
2020-09-05,holiday,38636,가을
2020-09-06,holiday,31777,가을
2020-09-07,non-holiday,10768,가을
2020-09-08,non-holiday,15585,가을
2020-09-09,non-holiday,15616,가을
2020-09-10,non-holiday,19409,가을
2020-09-11,non-holiday,20301,가을
2020-09-12,holiday,37260,가을
2020-09-13,holiday,39402,가을
2020-09-14,non-holiday,19007,가을
2020-09-15,non-holiday,19189,가을
2020-09-16,non-holiday,17935,가을
2020-09-17,non-holiday,19265,가을
2020-09-18,non-holiday,26228,가을
2020-09-19,holiday,47404,가을
2020-09-20,holiday,43546,가을
2020-09-21,non-holiday,21033,가을
2020-09-22,non-holiday,19568,가을
2020-09-23,non-holiday,19027,가을
2020-09-24,non-holiday,20148,가을
2020-09-25,non-holiday,22163,가을
2020-09-26,holiday,35351,가을
2020-09-27,holiday,34939,가을
2020-09-28,non-holiday,19763,가을
2020-09-29,non-holiday,24519,가을
2020-09-30,holiday,52189,가을
2020-10-01,holiday,88195,가을
2020-10-02,holiday,87551,가을
2020-10-03,holiday,60352,가을
2020-10-04,holiday,32662,가을
2020-10-05,non-holiday,14471,가을
2020-10-06,non-holiday,15581,가을
2020-10-07,non-holiday,15832,가을
2020-10-08,non-holiday,19120,가을
2020-10-09,holiday,44893,가을
2020-10-10,holiday,48157,가을
2020-10-11,holiday,39767,가을
2020-10-12,non-holiday,17147,가을
2020-10-13,non-holiday,16667,가을
2020-10-14,non-holiday,16328,가을
2020-10-15,non-holiday,18475,가을
2020-10-16,non-holiday,21987,가을
2020-10-17,holiday,40041,가을
2020-10-18,holiday,39575,가을
2020-10-19,non-holiday,18209,가을
2020-10-20,non-holiday,20221,가을
2020-10-21,non-holiday,18406,가을
2020-10-22,non-holiday,18767,가을
2020-10-23,non-holiday,22492,가을
2020-10-24,holiday,43866,가을
2020-10-25,holiday,46009,가을
2020-10-26,non-holiday,17893,가을
2020-10-27,non-holiday,17448,가을
2020-10-28,non-holiday,17609,가을
2020-10-29,non-holiday,18931,가을
2020-10-30,non-holiday,23046,가을
2020-10-31,holiday,40851,가을
2020-11-01,holiday,30042,가을
2020-11-02,non-holiday,15208,가을
2020-11-03,non-holiday,15247,가을
2020-11-04,non-holiday,14886,가을
2020-11-05,non-holiday,17515,가을
2020-11-06,non-holiday,20872,가을
2020-11-07,holiday,37837,가을
2020-11-08,holiday,38057,가을
2020-11-09,non-holiday,16344,가을
2020-11-10,non-holiday,16371,가을
2020-11-11,non-holiday,16370,가을
2020-11-12,non-holiday,18281,가을
2020-11-13,non-holiday,21624,가을
2020-11-14,holiday,37132,가을
2020-11-15,holiday,35333,가을
2020-11-16,non-holiday,17253,가을
2020-11-17,non-holiday,17152,가을
2020-11-18,non-holiday,15232,가을
2020-11-19,non-holiday,12771,가을
2020-11-20,non-holiday,19097,가을
2020-11-21,holiday,33899,가을
2020-11-22,holiday,28027,가을
2020-11-23,non-holiday,14100,가을
2020-11-24,non-holiday,15427,가을
2020-11-25,non-holiday,15953,가을
2020-11-26,non-holiday,16473,가을
2020-11-27,non-holiday,19072,가을
2020-11-28,holiday,29974,가을
2020-11-29,holiday,27191,가을
2020-11-30,non-holiday,17340,가을
2020-12-01,non-holiday,13227,겨울
2020-12-02,non-holiday,13303,겨울
2020-12-03,non-holiday,15125,겨울
2020-12-04,non-holiday,19526,겨울
2020-12-05,holiday,34511,겨울
2020-12-06,holiday,32917,겨울
2020-12-07,non-holiday,14190,겨울
2020-12-08,non-holiday,13421,겨울
2020-12-09,non-holiday,13425,겨울
2020-12-10,non-holiday,14130,겨울
2020-12-11,non-holiday,16799,겨울
2020-12-12,holiday,29658,겨울
2020-12-13,holiday,23675,겨울
2020-12-14,non-holiday,13004,겨울
2020-12-15,non-holiday,12248,겨울
2020-12-16,non-holiday,12487,겨울
2020-12-17,non-holiday,13470,겨울
2020-12-18,non-holiday,16026,겨울
2020-12-19,holiday,25341,겨울
2020-12-20,holiday,25790,겨울
2020-12-21,non-holiday,14490,겨울
2020-12-22,non-holiday,14716,겨울
2020-12-23,non-holiday,14985,겨울
2020-12-24,non-holiday,18129,겨울
2020-12-25,holiday,35197,겨울
2020-12-26,holiday,33123,겨울
2020-12-27,holiday,27489,겨울
2020-12-28,non-holiday,16698,겨울
2020-12-29,non-holiday,15675,겨울
2020-12-30,non-holiday,13168,겨울
2020-12-31,non-holiday,18732,겨울
