날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,46607,겨울
2020-01-02,non-holiday,31410,겨울
2020-01-03,non-holiday,34973,겨울
2020-01-04,holiday,43682,겨울
2020-01-05,holiday,44090,겨울
2020-01-06,non-holiday,28880,겨울
2020-01-07,non-holiday,30572,겨울
2020-01-08,non-holiday,32124,겨울
2020-01-09,non-holiday,35188,겨울
2020-01-10,non-holiday,37178,겨울
2020-01-11,holiday,48877,겨울
2020-01-12,holiday,43522,겨울
2020-01-13,non-holiday,33457,겨울
2020-01-14,non-holiday,36947,겨울
2020-01-15,non-holiday,35994,겨울
2020-01-16,non-holiday,37865,겨울
2020-01-17,non-holiday,39456,겨울
2020-01-18,holiday,49329,겨울
2020-01-19,holiday,42425,겨울
2020-01-20,non-holiday,35007,겨울
2020-01-21,non-holiday,36701,겨울
2020-01-22,non-holiday,36349,겨울
2020-01-23,non-holiday,43345,겨울
2020-01-24,holiday,82614,겨울
2020-01-25,holiday,114316,겨울
2020-01-26,holiday,75695,겨울
2020-01-27,holiday,43052,겨울
2020-01-28,non-holiday,34389,겨울
2020-01-29,non-holiday,34253,겨울
2020-01-30,non-holiday,37221,겨울
2020-01-31,non-holiday,37708,겨울
2020-02-01,holiday,39983,겨울
2020-02-02,holiday,38461,겨울
2020-02-03,non-holiday,31389,겨울
2020-02-04,non-holiday,34074,겨울
2020-02-05,non-holiday,33406,겨울
2020-02-06,non-holiday,34111,겨울
2020-02-07,non-holiday,36779,겨울
2020-02-08,holiday,41767,겨울
2020-02-09,holiday,40996,겨울
2020-02-10,non-holiday,33727,겨울
2020-02-11,non-holiday,37532,겨울
2020-02-12,non-holiday,32831,겨울
2020-02-13,non-holiday,35038,겨울
2020-02-14,non-holiday,40220,겨울
2020-02-15,holiday,48698,겨울
2020-02-16,holiday,37124,겨울
2020-02-17,non-holiday,25737,겨울
2020-02-18,non-holiday,34904,겨울
2020-02-19,non-holiday,36852,겨울
2020-02-20,non-holiday,39364,겨울
2020-02-21,non-holiday,37847,겨울
2020-02-22,holiday,37656,겨울
2020-02-23,holiday,38409,겨울
2020-02-24,non-holiday,36858,겨울
2020-02-25,non-holiday,28956,겨울
2020-02-26,non-holiday,36282,겨울
2020-02-27,non-holiday,37564,겨울
2020-02-28,non-holiday,33101,겨울
2020-02-29,holiday,43053,겨울
2020-03-01,holiday,34492,봄
2020-03-02,non-holiday,29633,봄
2020-03-03,non-holiday,32306,봄
2020-03-04,non-holiday,30225,봄
2020-03-05,non-holiday,32521,봄
2020-03-06,non-holiday,35723,봄
2020-03-07,holiday,40455,봄
2020-03-08,holiday,51473,봄
2020-03-09,non-holiday,32815,봄
2020-03-10,non-holiday,27999,봄
2020-03-11,non-holiday,35816,봄
2020-03-12,non-holiday,39061,봄
2020-03-13,non-holiday,40004,봄
2020-03-14,holiday,51996,봄
2020-03-15,holiday,46012,봄
2020-03-16,non-holiday,34972,봄
