날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,52825,겨울
2020-01-02,non-holiday,44004,겨울
2020-01-03,non-holiday,48747,겨울
2020-01-04,holiday,59748,겨울
2020-01-05,holiday,51809,겨울
2020-01-06,non-holiday,42464,겨울
2020-01-07,non-holiday,42651,겨울
2020-01-08,non-holiday,43689,겨울
2020-01-09,non-holiday,47372,겨울
2020-01-10,non-holiday,53151,겨울
2020-01-11,holiday,66840,겨울
2020-01-12,holiday,56031,겨울
2020-01-13,non-holiday,48412,겨울
2020-01-14,non-holiday,49785,겨울
2020-01-15,non-holiday,49356,겨울
2020-01-16,non-holiday,50142,겨울
2020-01-17,non-holiday,54083,겨울
2020-01-18,holiday,64214,겨울
2020-01-19,holiday,57111,겨울
2020-01-20,non-holiday,50560,겨울
2020-01-21,non-holiday,52432,겨울
2020-01-22,non-holiday,57210,겨울
2020-01-23,non-holiday,78083,겨울
2020-01-24,holiday,142166,겨울
2020-01-25,holiday,192251,겨울
2020-01-26,holiday,129358,겨울
2020-01-27,holiday,73859,겨울
2020-01-28,non-holiday,56156,겨울
2020-01-29,non-holiday,52426,겨울
2020-01-30,non-holiday,52984,겨울
2020-01-31,non-holiday,54015,겨울
2020-02-01,holiday,53054,겨울
2020-02-02,holiday,43188,겨울
2020-02-03,non-holiday,41959,겨울
2020-02-04,non-holiday,43770,겨울
2020-02-05,non-holiday,42620,겨울
2020-02-06,non-holiday,49713,겨울
2020-02-07,non-holiday,50321,겨울
2020-02-08,holiday,55595,겨울
2020-02-09,holiday,48297,겨울
2020-02-10,non-holiday,47181,겨울
2020-02-11,non-holiday,49116,겨울
2020-02-12,non-holiday,46345,겨울
2020-02-13,non-holiday,51388,겨울
2020-02-14,non-holiday,57663,겨울
2020-02-15,holiday,64448,겨울
2020-02-16,holiday,51218,겨울
2020-02-17,non-holiday,42923,겨울
2020-02-18,non-holiday,49993,겨울
2020-02-19,non-holiday,52715,겨울
2020-02-20,non-holiday,55248,겨울
2020-02-21,non-holiday,55984,겨울
2020-02-22,holiday,58649,겨울
2020-02-23,holiday,49709,겨울
2020-02-24,non-holiday,55268,겨울
2020-02-25,non-holiday,46795,겨울
2020-02-26,non-holiday,50768,겨울
2020-02-27,non-holiday,51597,겨울
2020-02-28,non-holiday,51255,겨울
2020-02-29,holiday,55582,겨울
2020-03-01,holiday,40651,봄
2020-03-02,non-holiday,39651,봄
2020-03-03,non-holiday,40306,봄
2020-03-04,non-holiday,40411,봄
2020-03-05,non-holiday,42208,봄
2020-03-06,non-holiday,46859,봄
2020-03-07,holiday,51861,봄
2020-03-08,holiday,48903,봄
2020-03-09,non-holiday,43827,봄
2020-03-10,non-holiday,40547,봄
2020-03-11,non-holiday,47574,봄
2020-03-12,non-holiday,47340,봄
2020-03-13,non-holiday,55832,봄
2020-03-14,holiday,63306,봄
2020-03-15,holiday,54300,봄
2020-03-16,non-holiday,49184,봄
2020-03-17,non-holiday,49319,봄
2020-03-18,non-holiday,50576,봄
2020-03-19,non-holiday,47923,봄
2020-03-20,non-holiday,56168,봄
2020-03-21,holiday,67392,봄
2020-03-22,holiday,59567,봄
2020-03-23,non-holiday,52001,봄
2020-03-24,non-holiday,53045,봄
2020-03-25,non-holiday,60709,봄
2020-03-26,non-holiday,52344,봄
2020-03-27,non-holiday,57619,봄
2020-03-28,holiday,67722,봄
2020-03-29,holiday,62561,봄
2020-03-30,non-holiday,55368,봄
2020-03-31,non-holiday,55300,봄
2020-04-01,non-holiday,37928,봄
2020-04-02,non-holiday,41570,봄
2020-04-03,non-holiday,46178,봄
2020-04-04,holiday,58780,봄
2020-04-05,holiday,54411,봄
2020-04-06,non-holiday,43335,봄
2020-04-07,non-holiday,43934,봄
2020-04-08,non-holiday,43439,봄
2020-04-09,non-holiday,44407,봄
2020-04-10,non-holiday,49983,봄
2020-04-11,holiday,60719,봄
2020-04-12,holiday,52253,봄
2020-04-13,non-holiday,45474,봄
2020-04-14,non-holiday,48725,봄
2020-04-15,holiday,49286,봄
2020-04-16,non-holiday,47886,봄
2020-04-17,non-holiday,50629,봄
2020-04-18,holiday,62167,봄
2020-04-19,holiday,51430,봄
2020-04-20,non-holiday,46154,봄
2020-04-21,non-holiday,47731,봄
2020-04-22,non-holiday,50250,봄
2020-04-23,non-holiday,49324,봄
2020-04-24,non-holiday,62087,봄
2020-04-25,holiday,67675,봄
2020-04-26,holiday,60488,봄
2020-04-27,non-holiday,51287,봄
2020-04-28,non-holiday,53315,봄
2020-04-29,non-holiday,59988,봄
2020-04-30,holiday,83814,봄
2020-05-01,non-holiday,77933,봄
2020-05-02,holiday,89710,봄
2020-05-03,holiday,73938,봄
2020-05-04,non-holiday,58124,봄
2020-05-05,holiday,56406,봄
2020-05-06,non-holiday,47023,봄
2020-05-07,non-holiday,51207,봄
2020-05-08,non-holiday,61647,봄
2020-05-09,holiday,70726,봄
2020-05-10,holiday,65962,봄
2020-05-11,non-holiday,52586,봄
2020-05-12,non-holiday,52499,봄
2020-05-13,non-holiday,51515,봄
2020-05-14,non-holiday,53150,봄
2020-05-15,non-holiday,52557,봄
2020-05-16,holiday,67701,봄
2020-05-17,holiday,61928,봄
2020-05-18,non-holiday,49758,봄
2020-05-19,non-holiday,48030,봄
2020-05-20,non-holiday,59705,봄
2020-05-21,non-holiday,55745,봄
2020-05-22,non-holiday,60148,봄
2020-05-23,holiday,73203,봄
2020-05-24,holiday,62510,봄
2020-05-25,non-holiday,54538,봄
2020-05-26,non-holiday,54691,봄
2020-05-27,non-holiday,55852,봄
2020-05-28,non-holiday,56225,봄
2020-05-29,non-holiday,63036,봄
2020-05-30,holiday,74231,봄
2020-05-31,holiday,66531,봄
2020-06-01,non-holiday,43638,여름
2020-06-02,non-holiday,45714,여름
2020-06-03,non-holiday,46814,여름
2020-06-04,non-holiday,49155,여름
2020-06-05,non-holiday,55652,여름
2020-06-06,holiday,67400,여름
2020-06-07,holiday,59691,여름
2020-06-08,non-holiday,56802,여름
2020-06-09,non-holiday,52436,여름
2020-06-10,non-holiday,50497,여름
2020-06-11,non-holiday,50596,여름
2020-06-12,non-holiday,56167,여름
2020-06-13,holiday,64402,여름
2020-06-14,holiday,57273,여름
2020-06-15,non-holiday,51538,여름
2020-06-16,non-holiday,53133,여름
2020-06-17,non-holiday,52558,여름
2020-06-18,non-holiday,50954,여름
2020-06-19,non-holiday,60662,여름
2020-06-20,holiday,74357,여름
2020-06-21,holiday,62499,여름
2020-06-22,non-holiday,54591,여름
2020-06-23,non-holiday,63306,여름
2020-06-24,non-holiday,54621,여름
2020-06-25,non-holiday,63586,여름
2020-06-26,non-holiday,60952,여름
2020-06-27,holiday,67520,여름
2020-06-28,holiday,58538,여름
2020-06-29,non-holiday,51746,여름
2020-06-30,non-holiday,51249,여름
2020-07-01,non-holiday,41225,여름
2020-07-02,non-holiday,56538,여름
2020-07-03,non-holiday,54986,여름
2020-07-04,holiday,68834,여름
2020-07-05,holiday,59121,여름
2020-07-06,non-holiday,50080,여름
2020-07-07,non-holiday,51279,여름
2020-07-08,non-holiday,51783,여름
2020-07-09,non-holiday,58117,여름
2020-07-10,non-holiday,60421,여름
2020-07-11,holiday,73741,여름
2020-07-12,holiday,60950,여름
2020-07-13,non-holiday,48812,여름
2020-07-14,non-holiday,51260,여름
2020-07-15,non-holiday,58986,여름
2020-07-16,non-holiday,56192,여름
2020-07-17,holiday,61523,여름
2020-07-18,holiday,74045,여름
2020-07-19,holiday,63615,여름
2020-07-20,non-holiday,58451,여름
2020-07-21,non-holiday,57563,여름
2020-07-22,non-holiday,53779,여름
2020-07-23,non-holiday,53179,여름
2020-07-24,non-holiday,59351,여름
2020-07-25,holiday,74004,여름
2020-07-26,holiday,68620,여름
2020-07-27,non-holiday,62483,여름
2020-07-28,non-holiday,58300,여름
2020-07-29,non-holiday,57807,여름
2020-07-30,non-holiday,57433,여름
2020-07-31,non-holiday,68226,여름
2020-08-01,holiday,69693,여름
2020-08-02,holiday,64926,여름
2020-08-03,non-holiday,54467,여름
2020-08-04,non-holiday,55571,여름
2020-08-05,non-holiday,52926,여름
2020-08-06,non-holiday,48233,여름
2020-08-07,non-holiday,51343,여름
2020-08-08,holiday,62909,여름
2020-08-09,holiday,55532,여름
2020-08-10,non-holiday,49031,여름
2020-08-11,non-holiday,48561,여름
2020-08-12,non-holiday,52574,여름
2020-08-13,non-holiday,55316,여름
2020-08-14,non-holiday,64010,여름
2020-08-15,holiday,80741,여름
2020-08-16,holiday,73161,여름
2020-08-17,holiday,61285,여름
2020-08-18,non-holiday,53781,여름
2020-08-19,non-holiday,52937,여름
2020-08-20,non-holiday,51926,여름
2020-08-21,non-holiday,55324,여름
2020-08-22,holiday,60647,여름
2020-08-23,holiday,53763,여름
2020-08-24,non-holiday,50952,여름
2020-08-25,non-holiday,51688,여름
2020-08-26,non-holiday,47573,여름
2020-08-27,non-holiday,53379,여름
2020-08-28,non-holiday,59266,여름
2020-08-29,holiday,59881,여름
2020-08-30,holiday,53973,여름
2020-08-31,non-holiday,50601,여름
2020-09-01,non-holiday,42473,가을
2020-09-02,non-holiday,41398,가을
2020-09-03,non-holiday,42197,가을
2020-09-04,non-holiday,50736,가을
2020-09-05,holiday,56583,가을
2020-09-06,holiday,54877,가을
2020-09-07,non-holiday,41758,가을
2020-09-08,non-holiday,48341,가을
2020-09-09,non-holiday,47619,가을
2020-09-10,non-holiday,56120,가을
2020-09-11,non-holiday,53754,가을
2020-09-12,holiday,63592,가을
2020-09-13,holiday,57803,가을
2020-09-14,non-holiday,52216,가을
2020-09-15,non-holiday,52357,가을
2020-09-16,non-holiday,50976,가을
2020-09-17,non-holiday,51909,가을
2020-09-18,non-holiday,57005,가을
2020-09-19,holiday,66684,가을
2020-09-20,holiday,58258,가을
2020-09-21,non-holiday,52930,가을
2020-09-22,non-holiday,54653,가을
2020-09-23,non-holiday,55680,가을
2020-09-24,non-holiday,63648,가을
2020-09-25,non-holiday,61008,가을
2020-09-26,holiday,66981,가을
2020-09-27,holiday,59468,가을
2020-09-28,non-holiday,59009,가을
2020-09-29,non-holiday,68758,가을
2020-09-30,holiday,98082,가을
2020-10-01,holiday,121922,가을
2020-10-02,holiday,91560,가을
2020-10-03,holiday,69474,가을
2020-10-04,holiday,50996,가을
2020-10-05,non-holiday,44244,가을
2020-10-06,non-holiday,44766,가을
2020-10-07,non-holiday,46081,가을
2020-10-08,non-holiday,50865,가을
2020-10-09,holiday,61609,가을
2020-10-10,holiday,65235,가을
2020-10-11,holiday,56343,가을
2020-10-12,non-holiday,47612,가을
2020-10-13,non-holiday,48661,가을
2020-10-14,non-holiday,49205,가을
2020-10-15,non-holiday,51397,가을
2020-10-16,non-holiday,55362,가을
2020-10-17,holiday,71320,가을
2020-10-18,holiday,65591,가을
2020-10-19,non-holiday,53282,가을
2020-10-20,non-holiday,62684,가을
2020-10-21,non-holiday,56967,가을
2020-10-22,non-holiday,56480,가을
2020-10-23,non-holiday,66331,가을
2020-10-24,holiday,103417,가을
2020-10-25,holiday,96107,가을
2020-10-26,non-holiday,68249,가을
2020-10-27,non-holiday,69471,가을
2020-10-28,non-holiday,69179,가을
2020-10-29,non-holiday,73060,가을
2020-10-30,non-holiday,76893,가을
2020-10-31,holiday,88191,가을
2020-11-01,holiday,57118,가을
2020-11-02,non-holiday,51617,가을
2020-11-03,non-holiday,53257,가을
2020-11-04,non-holiday,53807,가을
2020-11-05,non-holiday,55789,가을
2020-11-06,non-holiday,58483,가을
2020-11-07,holiday,72835,가을
2020-11-08,holiday,65595,가을
2020-11-09,non-holiday,54866,가을
2020-11-10,non-holiday,55600,가을
2020-11-11,non-holiday,55945,가을
2020-11-12,non-holiday,59489,가을
2020-11-13,non-holiday,64988,가을
2020-11-14,holiday,76601,가을
2020-11-15,holiday,68305,가을
2020-11-16,non-holiday,56587,가을
2020-11-17,non-holiday,60037,가을
2020-11-18,non-holiday,57480,가을
2020-11-19,non-holiday,52257,가을
2020-11-20,non-holiday,58357,가을
2020-11-21,holiday,67306,가을
2020-11-22,holiday,56250,가을
2020-11-23,non-holiday,47637,가을
2020-11-24,non-holiday,48905,가을
2020-11-25,non-holiday,49484,가을
2020-11-26,non-holiday,50320,가을
2020-11-27,non-holiday,57236,가을
2020-11-28,holiday,64904,가을
2020-11-29,holiday,56349,가을
2020-11-30,non-holiday,58465,가을
2020-12-01,non-holiday,36748,겨울
2020-12-02,non-holiday,37822,겨울
2020-12-03,non-holiday,39625,겨울
2020-12-04,non-holiday,46324,겨울
2020-12-05,holiday,55742,겨울
2020-12-06,holiday,48509,겨울
2020-12-07,non-holiday,41393,겨울
2020-12-08,non-holiday,41411,겨울
2020-12-09,non-holiday,43476,겨울
