날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,70202,겨울
2020-01-02,non-holiday,74370,겨울
2020-01-03,non-holiday,82535,겨울
2020-01-04,holiday,92794,겨울
2020-01-05,holiday,76498,겨울
2020-01-06,non-holiday,75003,겨울
2020-01-07,non-holiday,75684,겨울
2020-01-08,non-holiday,77810,겨울
2020-01-09,non-holiday,81884,겨울
2020-01-10,non-holiday,87590,겨울
2020-01-11,holiday,101247,겨울
2020-01-12,holiday,81085,겨울
2020-01-13,non-holiday,80273,겨울
2020-01-14,non-holiday,85087,겨울
2020-01-15,non-holiday,84975,겨울
2020-01-16,non-holiday,86885,겨울
2020-01-17,non-holiday,90302,겨울
2020-01-18,holiday,98180,겨울
2020-01-19,holiday,81494,겨울
2020-01-20,non-holiday,87535,겨울
2020-01-21,non-holiday,91886,겨울
2020-01-22,non-holiday,90015,겨울
2020-01-23,non-holiday,106588,겨울
2020-01-24,holiday,137294,겨울
2020-01-25,holiday,172048,겨울
2020-01-26,holiday,133585,겨울
2020-01-27,holiday,93226,겨울
2020-01-28,non-holiday,88559,겨울
2020-01-29,non-holiday,85545,겨울
2020-01-30,non-holiday,86909,겨울
2020-01-31,non-holiday,90853,겨울
2020-02-01,holiday,87452,겨울
2020-02-02,holiday,68442,겨울
2020-02-03,non-holiday,73362,겨울
2020-02-04,non-holiday,74909,겨울
2020-02-05,non-holiday,74374,겨울
2020-02-06,non-holiday,81219,겨울
2020-02-07,non-holiday,84296,겨울
2020-02-08,holiday,86841,겨울
2020-02-09,holiday,71850,겨울
2020-02-10,non-holiday,78903,겨울
2020-02-11,non-holiday,82151,겨울
2020-02-12,non-holiday,81681,겨울
2020-02-13,non-holiday,83220,겨울
2020-02-14,non-holiday,92833,겨울
2020-02-15,holiday,102110,겨울
2020-02-16,holiday,76965,겨울
2020-02-17,non-holiday,70449,겨울
2020-02-18,non-holiday,82046,겨울
2020-02-19,non-holiday,87018,겨울
2020-02-20,non-holiday,89633,겨울
2020-02-21,non-holiday,82070,겨울
2020-02-22,holiday,74661,겨울
2020-02-23,holiday,58648,겨울
2020-02-24,non-holiday,75256,겨울
2020-02-25,non-holiday,65191,겨울
2020-02-26,non-holiday,70765,겨울
2020-02-27,non-holiday,72420,겨울
2020-02-28,non-holiday,72393,겨울
2020-02-29,holiday,73161,겨울
2020-03-01,holiday,46791,봄
2020-03-02,non-holiday,55887,봄
2020-03-03,non-holiday,57903,봄
2020-03-04,non-holiday,57588,봄
2020-03-05,non-holiday,60024,봄
2020-03-06,non-holiday,66744,봄
2020-03-07,holiday,68445,봄
2020-03-08,holiday,58762,봄
2020-03-09,non-holiday,62107,봄
2020-03-10,non-holiday,62061,봄
2020-03-11,non-holiday,66390,봄
2020-03-12,non-holiday,68286,봄
2020-03-13,non-holiday,79888,봄
2020-03-14,holiday,80807,봄
2020-03-15,holiday,64599,봄
2020-03-16,non-holiday,69442,봄
2020-03-17,non-holiday,70553,봄
2020-03-18,non-holiday,74293,봄
2020-03-19,non-holiday,69025,봄
2020-03-20,non-holiday,76485,봄
2020-03-21,holiday,83193,봄
2020-03-22,holiday,70103,봄
2020-03-23,non-holiday,71881,봄
2020-03-24,non-holiday,72341,봄
2020-03-25,non-holiday,83097,봄
2020-03-26,non-holiday,72827,봄
2020-03-27,non-holiday,78938,봄
2020-03-28,holiday,84441,봄
2020-03-29,holiday,71611,봄
2020-03-30,non-holiday,75447,봄
2020-03-31,non-holiday,76683,봄
2020-04-01,non-holiday,58210,봄
2020-04-02,non-holiday,59870,봄
2020-04-03,non-holiday,66971,봄
2020-04-04,holiday,72527,봄
2020-04-05,holiday,61256,봄
2020-04-06,non-holiday,61724,봄
2020-04-07,non-holiday,64459,봄
2020-04-08,non-holiday,64954,봄
2020-04-09,non-holiday,65958,봄
2020-04-10,non-holiday,72467,봄
2020-04-11,holiday,78656,봄
2020-04-12,holiday,64330,봄
2020-04-13,non-holiday,66967,봄
2020-04-14,non-holiday,74931,봄
2020-04-15,holiday,64889,봄
2020-04-16,non-holiday,70211,봄
2020-04-17,non-holiday,76249,봄
2020-04-18,holiday,83928,봄
2020-04-19,holiday,65581,봄
2020-04-20,non-holiday,70531,봄
2020-04-21,non-holiday,73477,봄
2020-04-22,non-holiday,75751,봄
2020-04-23,non-holiday,75672,봄
2020-04-24,non-holiday,90707,봄
2020-04-25,holiday,93462,봄
2020-04-26,holiday,78373,봄
2020-04-27,non-holiday,77617,봄
2020-04-28,non-holiday,80067,봄
2020-04-29,non-holiday,89093,봄
2020-04-30,holiday,97151,봄
2020-05-01,non-holiday,95963,봄
2020-05-02,holiday,108213,봄
2020-05-03,holiday,88465,봄
2020-05-04,non-holiday,83159,봄
2020-05-05,holiday,71489,봄
2020-05-06,non-holiday,71624,봄
2020-05-07,non-holiday,76068,봄
2020-05-08,non-holiday,86790,봄
2020-05-09,holiday,95425,봄
2020-05-10,holiday,82131,봄
2020-05-11,non-holiday,77683,봄
2020-05-12,non-holiday,77492,봄
