날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,101675,겨울
2020-01-02,non-holiday,85907,겨울
2020-01-03,non-holiday,96220,겨울
2020-01-04,holiday,124175,겨울
2020-01-05,holiday,101816,겨울
2020-01-06,non-holiday,79810,겨울
2020-01-07,non-holiday,79904,겨울
2020-01-08,non-holiday,81305,겨울
2020-01-09,non-holiday,87982,겨울
2020-01-10,non-holiday,99485,겨울
2020-01-11,holiday,136345,겨울
2020-01-12,holiday,102033,겨울
2020-01-13,non-holiday,89182,겨울
2020-01-14,non-holiday,91261,겨울
2020-01-15,non-holiday,91507,겨울
2020-01-16,non-holiday,96238,겨울
2020-01-17,non-holiday,102951,겨울
2020-01-18,holiday,132764,겨울
2020-01-19,holiday,105723,겨울
2020-01-20,non-holiday,93121,겨울
2020-01-21,non-holiday,96968,겨울
2020-01-22,non-holiday,98706,겨울
2020-01-23,non-holiday,121578,겨울
2020-01-24,holiday,171085,겨울
2020-01-25,holiday,209618,겨울
2020-01-26,holiday,176688,겨울
2020-01-27,holiday,123007,겨울
2020-01-28,non-holiday,99193,겨울
2020-01-29,non-holiday,94325,겨울
2020-01-30,non-holiday,96309,겨울
2020-01-31,non-holiday,102279,겨울
2020-02-01,holiday,112288,겨울
2020-02-02,holiday,83580,겨울
2020-02-03,non-holiday,75171,겨울
2020-02-04,non-holiday,77450,겨울
2020-02-05,non-holiday,76224,겨울
2020-02-06,non-holiday,85381,겨울
2020-02-07,non-holiday,90596,겨울
2020-02-08,holiday,111541,겨울
2020-02-09,holiday,88708,겨울
2020-02-10,non-holiday,82481,겨울
2020-02-11,non-holiday,86787,겨울
2020-02-12,non-holiday,83305,겨울
2020-02-13,non-holiday,90126,겨울
2020-02-14,non-holiday,102954,겨울
2020-02-15,holiday,132993,겨울
2020-02-16,holiday,95971,겨울
2020-02-17,non-holiday,70341,겨울
2020-02-18,non-holiday,88278,겨울
2020-02-19,non-holiday,94027,겨울
2020-02-20,non-holiday,94858,겨울
2020-02-21,non-holiday,83234,겨울
2020-02-22,holiday,84264,겨울
2020-02-23,holiday,64331,겨울
2020-02-24,non-holiday,76496,겨울
2020-02-25,non-holiday,66359,겨울
2020-02-26,non-holiday,72253,겨울
2020-02-27,non-holiday,71917,겨울
2020-02-28,non-holiday,75854,겨울
2020-02-29,holiday,83940,겨울
2020-03-01,holiday,55084,봄
2020-03-02,non-holiday,56969,봄
2020-03-03,non-holiday,58424,봄
2020-03-04,non-holiday,59295,봄
2020-03-05,non-holiday,62152,봄
2020-03-06,non-holiday,71111,봄
2020-03-07,holiday,81367,봄
2020-03-08,holiday,67029,봄
2020-03-09,non-holiday,65387,봄
2020-03-10,non-holiday,63612,봄
2020-03-11,non-holiday,69548,봄
2020-03-12,non-holiday,71264,봄
2020-03-13,non-holiday,86010,봄
2020-03-14,holiday,97344,봄
2020-03-15,holiday,76887,봄
2020-03-16,non-holiday,71453,봄
2020-03-17,non-holiday,73545,봄
2020-03-18,non-holiday,76885,봄
2020-03-19,non-holiday,69385,봄
2020-03-20,non-holiday,83765,봄
2020-03-21,holiday,100890,봄
2020-03-22,holiday,80600,봄
2020-03-23,non-holiday,75303,봄
