날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,30126,겨울
2020-01-02,non-holiday,21894,겨울
2020-01-03,non-holiday,25084,겨울
2020-01-04,holiday,33647,겨울
2020-01-05,holiday,29841,겨울
2020-01-06,non-holiday,20532,겨울
2020-01-07,non-holiday,20060,겨울
2020-01-08,non-holiday,20495,겨울
2020-01-09,non-holiday,23680,겨울
2020-01-10,non-holiday,25505,겨울
2020-01-11,holiday,35461,겨울
2020-01-12,holiday,29032,겨울
2020-01-13,non-holiday,22250,겨울
2020-01-14,non-holiday,23987,겨울
2020-01-15,non-holiday,23035,겨울
2020-01-16,non-holiday,24627,겨울
2020-01-17,non-holiday,26063,겨울
2020-01-18,holiday,33807,겨울
2020-01-19,holiday,28775,겨울
2020-01-20,non-holiday,24508,겨울
2020-01-21,non-holiday,26203,겨울
2020-01-22,non-holiday,26705,겨울
2020-01-23,non-holiday,42511,겨울
2020-01-24,holiday,95681,겨울
2020-01-25,holiday,126916,겨울
2020-01-26,holiday,80964,겨울
2020-01-27,holiday,39170,겨울
2020-01-28,non-holiday,26556,겨울
2020-01-29,non-holiday,24329,겨울
2020-01-30,non-holiday,26011,겨울
2020-01-31,non-holiday,26426,겨울
2020-02-01,holiday,27970,겨울
2020-02-02,holiday,24175,겨울
2020-02-03,non-holiday,20943,겨울
2020-02-04,non-holiday,22557,겨울
2020-02-05,non-holiday,21367,겨울
2020-02-06,non-holiday,22524,겨울
2020-02-07,non-holiday,24294,겨울
2020-02-08,holiday,27725,겨울
2020-02-09,holiday,24510,겨울
2020-02-10,non-holiday,22829,겨울
2020-02-11,non-holiday,23475,겨울
2020-02-12,non-holiday,21079,겨울
2020-02-13,non-holiday,23541,겨울
2020-02-14,non-holiday,26697,겨울
2020-02-15,holiday,32906,겨울
2020-02-16,holiday,25869,겨울
2020-02-17,non-holiday,18150,겨울
2020-02-18,non-holiday,21954,겨울
2020-02-19,non-holiday,24521,겨울
2020-02-20,non-holiday,25963,겨울
2020-02-21,non-holiday,25550,겨울
2020-02-22,holiday,27541,겨울
2020-02-23,holiday,24529,겨울
2020-02-24,non-holiday,24436,겨울
2020-02-25,non-holiday,20137,겨울
2020-02-26,non-holiday,22642,겨울
2020-02-27,non-holiday,23562,겨울
2020-02-28,non-holiday,22489,겨울
2020-02-29,holiday,27267,겨울
2020-03-01,holiday,20425,봄
2020-03-02,non-holiday,18755,봄
2020-03-03,non-holiday,19953,봄
2020-03-04,non-holiday,19538,봄
2020-03-05,non-holiday,20537,봄
2020-03-06,non-holiday,22833,봄
2020-03-07,holiday,26622,봄
2020-03-08,holiday,28102,봄
2020-03-09,non-holiday,19389,봄
2020-03-10,non-holiday,17521,봄
2020-03-11,non-holiday,20195,봄
2020-03-12,non-holiday,21965,봄
2020-03-13,non-holiday,23516,봄
2020-03-14,holiday,28265,봄
2020-03-15,holiday,25071,봄
2020-03-16,non-holiday,20880,봄
2020-03-17,non-holiday,21478,봄
2020-03-18,non-holiday,21854,봄
2020-03-19,non-holiday,20591,봄
2020-03-20,non-holiday,24135,봄
2020-03-21,holiday,31349,봄
2020-03-22,holiday,29159,봄
2020-03-23,non-holiday,22490,봄
2020-03-24,non-holiday,23407,봄
2020-03-25,non-holiday,25456,봄
2020-03-26,non-holiday,21630,봄
2020-03-27,non-holiday,23169,봄
2020-03-28,holiday,31149,봄
2020-03-29,holiday,31018,봄
2020-03-30,non-holiday,23791,봄
2020-03-31,non-holiday,24441,봄
2020-04-01,non-holiday,18822,봄
2020-04-02,non-holiday,20613,봄
2020-04-03,non-holiday,23640,봄
2020-04-04,holiday,36468,봄
2020-04-05,holiday,34403,봄
2020-04-06,non-holiday,20574,봄
2020-04-07,non-holiday,21023,봄
2020-04-08,non-holiday,20614,봄
2020-04-09,non-holiday,20741,봄
2020-04-10,non-holiday,22777,봄
2020-04-11,holiday,30853,봄
2020-04-12,holiday,27995,봄
2020-04-13,non-holiday,20437,봄
2020-04-14,non-holiday,23400,봄
2020-04-15,holiday,26284,봄
2020-04-16,non-holiday,21749,봄
2020-04-17,non-holiday,21812,봄
2020-04-18,holiday,31576,봄
2020-04-19,holiday,26003,봄
2020-04-20,non-holiday,20296,봄
2020-04-21,non-holiday,22442,봄
2020-04-22,non-holiday,22350,봄
2020-04-23,non-holiday,22671,봄
2020-04-24,non-holiday,26234,봄
2020-04-25,holiday,34040,봄
2020-04-26,holiday,32365,봄
2020-04-27,non-holiday,23680,봄
2020-04-28,non-holiday,24842,봄
2020-04-29,non-holiday,27166,봄
2020-04-30,holiday,44597,봄
2020-05-01,non-holiday,45334,봄
2020-05-02,holiday,50955,봄
2020-05-03,holiday,37977,봄
2020-05-04,non-holiday,28329,봄
2020-05-05,holiday,30170,봄
2020-05-06,non-holiday,20476,봄
2020-05-07,non-holiday,23121,봄
2020-05-08,non-holiday,28417,봄
2020-05-09,holiday,33171,봄
2020-05-10,holiday,31232,봄
2020-05-11,non-holiday,22058,봄
2020-05-12,non-holiday,23230,봄
2020-05-13,non-holiday,22605,봄
2020-05-14,non-holiday,23273,봄
2020-05-15,non-holiday,22590,봄
2020-05-16,holiday,31892,봄
2020-05-17,holiday,30914,봄
2020-05-18,non-holiday,22231,봄
2020-05-19,non-holiday,21265,봄
2020-05-20,non-holiday,24672,봄
2020-05-21,non-holiday,25010,봄
2020-05-22,non-holiday,27598,봄
2020-05-23,holiday,36083,봄
2020-05-24,holiday,31673,봄
2020-05-25,non-holiday,24033,봄
2020-05-26,non-holiday,25140,봄
2020-05-27,non-holiday,24559,봄
2020-05-28,non-holiday,26111,봄
2020-05-29,non-holiday,28580,봄
2020-05-30,holiday,38274,봄
2020-05-31,holiday,34383,봄
2020-06-01,non-holiday,20495,여름
2020-06-02,non-holiday,21348,여름
2020-06-03,non-holiday,20919,여름
2020-06-04,non-holiday,22532,여름
2020-06-05,non-holiday,25826,여름
2020-06-06,holiday,35540,여름
2020-06-07,holiday,31044,여름
2020-06-08,non-holiday,23595,여름
2020-06-09,non-holiday,22865,여름
2020-06-10,non-holiday,22278,여름
2020-06-11,non-holiday,22561,여름
2020-06-12,non-holiday,25188,여름
2020-06-13,holiday,29389,여름
2020-06-14,holiday,27377,여름
2020-06-15,non-holiday,23091,여름
2020-06-16,non-holiday,23874,여름
2020-06-17,non-holiday,23648,여름
2020-06-18,non-holiday,21820,여름
2020-06-19,non-holiday,27344,여름
2020-06-20,holiday,37125,여름
2020-06-21,holiday,33695,여름
2020-06-22,non-holiday,23815,여름
2020-06-23,non-holiday,26249,여름
2020-06-24,non-holiday,21798,여름
2020-06-25,non-holiday,24615,여름
2020-06-26,non-holiday,27571,여름
2020-06-27,holiday,37661,여름
2020-06-28,holiday,34002,여름
2020-06-29,non-holiday,22857,여름
2020-06-30,non-holiday,21099,여름
2020-07-01,non-holiday,18887,여름
2020-07-02,non-holiday,23992,여름
2020-07-03,non-holiday,24294,여름
2020-07-04,holiday,33103,여름
2020-07-05,holiday,31005,여름
2020-07-06,non-holiday,21325,여름
2020-07-07,non-holiday,22692,여름
2020-07-08,non-holiday,23312,여름
2020-07-09,non-holiday,24198,여름
2020-07-10,non-holiday,25551,여름
2020-07-11,holiday,34856,여름
2020-07-12,holiday,29599,여름
2020-07-13,non-holiday,19623,여름
2020-07-14,non-holiday,22038,여름
2020-07-15,non-holiday,23491,여름
2020-07-16,non-holiday,25231,여름
2020-07-17,holiday,28396,여름
2020-07-18,holiday,37922,여름
2020-07-19,holiday,31332,여름
2020-07-20,non-holiday,23108,여름
2020-07-21,non-holiday,24737,여름
2020-07-22,non-holiday,23152,여름
2020-07-23,non-holiday,21896,여름
2020-07-24,non-holiday,25591,여름
2020-07-25,holiday,35626,여름
2020-07-26,holiday,33847,여름
2020-07-27,non-holiday,26474,여름
2020-07-28,non-holiday,24498,여름
2020-07-29,non-holiday,23851,여름
2020-07-30,non-holiday,24686,여름
2020-07-31,non-holiday,31350,여름
2020-08-01,holiday,41964,여름
2020-08-02,holiday,40494,여름
2020-08-03,non-holiday,30540,여름
2020-08-04,non-holiday,29862,여름
2020-08-05,non-holiday,27144,여름
2020-08-06,non-holiday,22747,여름
