날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,0.0,겨울
2020-01-02,non-holiday,0.0,겨울
2020-01-03,non-holiday,0.0,겨울
2020-01-04,holiday,0.0,겨울
2020-01-05,holiday,0.0,겨울
2020-01-06,non-holiday,0.0,겨울
2020-01-07,non-holiday,0.0,겨울
2020-01-08,non-holiday,0.0,겨울
2020-01-09,non-holiday,0.0,겨울
2020-01-10,non-holiday,0.0,겨울
2020-01-11,holiday,0.0,겨울
2020-01-12,holiday,0.0,겨울
2020-01-13,non-holiday,0.0,겨울
2020-01-14,non-holiday,0.0,겨울
2020-01-15,non-holiday,0.0,겨울
2020-01-16,non-holiday,0.0,겨울
2020-01-17,non-holiday,0.0,겨울
2020-01-18,holiday,0.0,겨울
2020-01-19,holiday,0.0,겨울
2020-01-20,non-holiday,0.0,겨울
2020-01-21,non-holiday,0.0,겨울
2020-01-22,non-holiday,0.0,겨울
2020-01-23,non-holiday,0.0,겨울
2020-01-24,holiday,0.0,겨울
2020-01-25,holiday,0.0,겨울
2020-01-26,holiday,0.0,겨울
2020-01-27,holiday,0.0,겨울
2020-01-28,non-holiday,0.0,겨울
2020-01-29,non-holiday,0.0,겨울
2020-01-30,non-holiday,0.0,겨울
2020-01-31,non-holiday,0.0,겨울
2020-02-01,holiday,0.0,겨울
2020-02-02,holiday,0.0,겨울
2020-02-03,non-holiday,0.0,겨울
2020-02-04,non-holiday,0.0,겨울
2020-02-05,non-holiday,0.0,겨울
2020-02-06,non-holiday,0.0,겨울
2020-02-07,non-holiday,0.0,겨울
2020-02-08,holiday,0.0,겨울
2020-02-09,holiday,0.0,겨울
2020-02-10,non-holiday,0.0,겨울
2020-02-11,non-holiday,0.0,겨울
2020-02-12,non-holiday,0.0,겨울
2020-02-13,non-holiday,0.0,겨울
2020-02-14,non-holiday,0.0,겨울
2020-02-15,holiday,0.0,겨울
2020-02-16,holiday,0.0,겨울
2020-02-17,non-holiday,0.0,겨울
2020-02-18,non-holiday,0.0,겨울
2020-02-19,non-holiday,0.0,겨울
2020-02-20,non-holiday,0.0,겨울
2020-02-21,non-holiday,0.0,겨울
2020-02-22,holiday,0.0,겨울
2020-02-23,holiday,0.0,겨울
2020-02-24,non-holiday,0.0,겨울
2020-02-25,non-holiday,0.0,겨울
2020-02-26,non-holiday,0.0,겨울
2020-02-27,non-holiday,0.0,겨울
2020-02-28,non-holiday,0.0,겨울
2020-02-29,holiday,0.0,겨울
2020-03-01,holiday,0.0,봄
2020-03-02,non-holiday,0.0,봄
2020-03-03,non-holiday,0.0,봄
2020-03-04,non-holiday,0.0,봄
2020-03-05,non-holiday,0.0,봄
2020-03-06,non-holiday,0.0,봄
2020-03-07,holiday,0.0,봄
2020-03-08,holiday,0.0,봄
2020-03-09,non-holiday,55191.0,봄
2020-03-10,non-holiday,0.0,봄
2020-03-11,non-holiday,0.0,봄
2020-03-12,non-holiday,67775.0,봄
2020-03-13,non-holiday,0.0,봄
2020-03-14,holiday,0.0,봄
2020-03-15,holiday,82880.0,봄
2020-03-16,non-holiday,69907.0,봄
2020-03-17,non-holiday,0.0,봄
2020-03-18,non-holiday,71700.0,봄
2020-03-19,non-holiday,70133.0,봄
2020-03-20,non-holiday,0.0,봄
2020-03-21,holiday,0.0,봄
2020-03-22,holiday,0.0,봄
2020-03-23,non-holiday,0.0,봄
2020-03-24,non-holiday,0.0,봄
2020-03-25,non-holiday,0.0,봄
2020-03-26,non-holiday,55188.0,봄
2020-03-27,non-holiday,59647.0,봄
2020-03-28,holiday,0.0,봄
2020-03-29,holiday,0.0,봄
2020-03-30,non-holiday,0.0,봄
2020-03-31,non-holiday,0.0,봄
2020-04-01,non-holiday,51488.0,봄
2020-04-02,non-holiday,59101.0,봄
2020-04-03,non-holiday,0.0,봄
2020-04-04,holiday,0.0,봄
2020-04-05,holiday,0.0,봄
2020-04-06,non-holiday,54487.0,봄
2020-04-07,non-holiday,0.0,봄
2020-04-08,non-holiday,56070.0,봄
2020-04-09,non-holiday,58007.0,봄
2020-04-10,non-holiday,61028.0,봄
2020-04-11,holiday,70119.0,봄
2020-04-12,holiday,62821.0,봄
2020-04-13,non-holiday,58528.0,봄
2020-04-14,non-holiday,65975.0,봄
2020-04-15,holiday,0.0,봄
2020-04-16,non-holiday,0.0,봄
2020-04-17,non-holiday,0.0,봄
2020-04-18,holiday,0.0,봄
2020-04-19,holiday,0.0,봄
2020-04-20,non-holiday,0.0,봄
2020-04-21,non-holiday,0.0,봄
2020-04-22,non-holiday,0.0,봄
2020-04-23,non-holiday,66855.0,봄
2020-04-24,non-holiday,0.0,봄
2020-04-25,holiday,0.0,봄
2020-04-26,holiday,0.0,봄
2020-04-27,non-holiday,73645.0,봄
2020-04-28,non-holiday,78673.0,봄
2020-04-29,non-holiday,0.0,봄
2020-04-30,holiday,0.0,봄
2020-05-01,non-holiday,0.0,봄
2020-05-02,holiday,0.0,봄
2020-05-03,holiday,102210.0,봄
2020-05-04,non-holiday,84138.0,봄
2020-05-05,holiday,98358.0,봄
2020-05-06,non-holiday,65693.0,봄
2020-05-07,non-holiday,66838.0,봄
2020-05-08,non-holiday,71431.0,봄
2020-05-09,holiday,70051.0,봄
2020-05-10,holiday,84757.0,봄
2020-05-11,non-holiday,74869.0,봄
2020-05-12,non-holiday,79397.0,봄
2020-05-13,non-holiday,0.0,봄
2020-05-14,non-holiday,0.0,봄
2020-05-15,non-holiday,64564.0,봄
2020-05-16,holiday,83779.0,봄
2020-05-17,holiday,89134.0,봄
2020-05-18,non-holiday,0.0,봄
2020-05-19,non-holiday,0.0,봄
2020-05-20,non-holiday,0.0,봄
2020-05-21,non-holiday,0.0,봄
2020-05-22,non-holiday,0.0,봄
2020-05-23,holiday,0.0,봄
2020-05-24,holiday,0.0,봄
2020-05-25,non-holiday,0.0,봄
2020-05-26,non-holiday,0.0,봄
2020-05-27,non-holiday,0.0,봄
2020-05-28,non-holiday,0.0,봄
2020-05-29,non-holiday,0.0,봄
2020-05-30,holiday,0.0,봄
2020-05-31,holiday,0.0,봄
2020-06-01,non-holiday,0.0,여름
2020-06-02,non-holiday,0.0,여름
2020-06-03,non-holiday,0.0,여름
2020-06-04,non-holiday,0.0,여름
2020-06-05,non-holiday,0.0,여름
2020-06-06,holiday,0.0,여름
2020-06-07,holiday,0.0,여름
2020-06-08,non-holiday,0.0,여름
2020-06-09,non-holiday,0.0,여름
2020-06-10,non-holiday,0.0,여름
2020-06-11,non-holiday,0.0,여름
2020-06-12,non-holiday,0.0,여름
2020-06-13,holiday,0.0,여름
2020-06-14,holiday,0.0,여름
2020-06-15,non-holiday,80731.0,여름
2020-06-16,non-holiday,0.0,여름
2020-06-17,non-holiday,0.0,여름
2020-06-18,non-holiday,0.0,여름
2020-06-19,non-holiday,0.0,여름
2020-06-20,holiday,0.0,여름
2020-06-21,holiday,0.0,여름
2020-06-22,non-holiday,0.0,여름
2020-06-23,non-holiday,100359.0,여름
2020-06-24,non-holiday,78636.0,여름
2020-06-25,non-holiday,88446.0,여름
2020-06-26,non-holiday,0.0,여름
2020-06-27,holiday,107838.0,여름
2020-06-28,holiday,0.0,여름
2020-06-29,non-holiday,0.0,여름
2020-06-30,non-holiday,0.0,여름
2020-07-01,non-holiday,0.0,여름
2020-07-02,non-holiday,0.0,여름
2020-07-03,non-holiday,0.0,여름
2020-07-04,holiday,0.0,여름
2020-07-05,holiday,0.0,여름
2020-07-06,non-holiday,0.0,여름
2020-07-07,non-holiday,84105.0,여름
2020-07-08,non-holiday,0.0,여름
2020-07-09,non-holiday,98105.0,여름
2020-07-10,non-holiday,93656.0,여름
2020-07-11,holiday,0.0,여름
2020-07-12,holiday,0.0,여름
2020-07-13,non-holiday,0.0,여름
2020-07-14,non-holiday,0.0,여름
2020-07-15,non-holiday,0.0,여름
2020-07-16,non-holiday,0.0,여름
2020-07-17,holiday,0.0,여름
2020-07-18,holiday,0.0,여름
2020-07-19,holiday,0.0,여름
2020-07-20,non-holiday,0.0,여름
2020-07-21,non-holiday,0.0,여름
2020-07-22,non-holiday,0.0,여름
2020-07-23,non-holiday,0.0,여름
2020-07-24,non-holiday,98129.0,여름
2020-07-25,holiday,115938.0,여름
2020-07-26,holiday,118624.0,여름
2020-07-27,non-holiday,95329.0,여름
2020-07-28,non-holiday,0.0,여름
2020-07-29,non-holiday,0.0,여름
2020-07-30,non-holiday,107334.0,여름
2020-07-31,non-holiday,0.0,여름
2020-08-01,holiday,0.0,여름
2020-08-02,holiday,0.0,여름
2020-08-03,non-holiday,0.0,여름
2020-08-04,non-holiday,0.0,여름
2020-08-05,non-holiday,0.0,여름
2020-08-06,non-holiday,0.0,여름
2020-08-07,non-holiday,0.0,여름
2020-08-08,holiday,0.0,여름
2020-08-09,holiday,0.0,여름
2020-08-10,non-holiday,0.0,여름
2020-08-11,non-holiday,0.0,여름
2020-08-12,non-holiday,0.0,여름
2020-08-13,non-holiday,0.0,여름
2020-08-14,non-holiday,0.0,여름
2020-08-15,holiday,0.0,여름
2020-08-16,holiday,0.0,여름
2020-08-17,holiday,142900.0,여름
2020-08-18,non-holiday,127660.0,여름
2020-08-19,non-holiday,125398.0,여름
2020-08-20,non-holiday,0.0,여름
2020-08-21,non-holiday,0.0,여름
2020-08-22,holiday,0.0,여름
2020-08-23,holiday,126137.0,여름
2020-08-24,non-holiday,0.0,여름
2020-08-25,non-holiday,95403.0,여름
2020-08-26,non-holiday,59664.0,여름
2020-08-27,non-holiday,94579.0,여름
2020-08-28,non-holiday,0.0,여름
2020-08-29,holiday,0.0,여름
2020-08-30,holiday,0.0,여름
2020-08-31,non-holiday,0.0,여름
2020-09-01,non-holiday,0.0,가을
2020-09-02,non-holiday,0.0,가을
2020-09-03,non-holiday,0.0,가을
2020-09-04,non-holiday,0.0,가을
2020-09-05,holiday,0.0,가을
2020-09-06,holiday,0.0,가을
2020-09-07,non-holiday,0.0,가을
2020-09-08,non-holiday,70427.0,가을
2020-09-09,non-holiday,79165.0,가을
2020-09-10,non-holiday,0.0,가을
2020-09-11,non-holiday,0.0,가을
2020-09-12,holiday,0.0,가을
2020-09-13,holiday,0.0,가을
2020-09-14,non-holiday,81025.0,가을
2020-09-15,non-holiday,0.0,가을
2020-09-16,non-holiday,76436.0,가을
2020-09-17,non-holiday,0.0,가을
2020-09-18,non-holiday,86744.0,가을
2020-09-19,holiday,105286.0,가을
2020-09-20,holiday,0.0,가을
2020-09-21,non-holiday,90121.0,가을
2020-09-22,non-holiday,0.0,가을
2020-09-23,non-holiday,0.0,가을
2020-09-24,non-holiday,0.0,가을
2020-09-25,non-holiday,0.0,가을
2020-09-26,holiday,0.0,가을
2020-09-27,holiday,0.0,가을
2020-09-28,non-holiday,0.0,가을
2020-09-29,non-holiday,0.0,가을
2020-09-30,holiday,0.0,가을
2020-10-01,holiday,0.0,가을
2020-10-02,holiday,0.0,가을
2020-10-03,holiday,0.0,가을
2020-10-04,holiday,87592.0,가을
2020-10-05,non-holiday,71332.0,가을
2020-10-06,non-holiday,75614.0,가을
2020-10-07,non-holiday,0.0,가을
2020-10-08,non-holiday,0.0,가을
2020-10-09,holiday,0.0,가을
2020-10-10,holiday,0.0,가을
2020-10-11,holiday,0.0,가을
2020-10-12,non-holiday,92057.0,가을
2020-10-13,non-holiday,0.0,가을
2020-10-14,non-holiday,101017.0,가을
2020-10-15,non-holiday,101146.0,가을
2020-10-16,non-holiday,104582.0,가을
2020-10-17,holiday,0.0,가을
2020-10-18,holiday,0.0,가을
2020-10-19,non-holiday,90820.0,가을
2020-10-20,non-holiday,101060.0,가을
2020-10-21,non-holiday,93773.0,가을
2020-10-22,non-holiday,0.0,가을
2020-10-23,non-holiday,112705.0,가을
2020-10-24,holiday,0.0,가을
2020-10-25,holiday,0.0,가을
2020-10-26,non-holiday,97510.0,가을
2020-10-27,non-holiday,0.0,가을
2020-10-28,non-holiday,0.0,가을
2020-10-29,non-holiday,0.0,가을
2020-10-30,non-holiday,0.0,가을
2020-10-31,holiday,0.0,가을
2020-11-01,holiday,106425.0,가을
2020-11-02,non-holiday,0.0,가을
