날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,0.0,겨울
2020-01-02,non-holiday,0.0,겨울
2020-01-03,non-holiday,0.0,겨울
2020-01-04,holiday,0.0,겨울
2020-01-05,holiday,0.0,겨울
2020-01-06,non-holiday,0.0,겨울
2020-01-07,non-holiday,0.0,겨울
2020-01-08,non-holiday,0.0,겨울
2020-01-09,non-holiday,0.0,겨울
2020-01-10,non-holiday,0.0,겨울
2020-01-11,holiday,0.0,겨울
2020-01-12,holiday,0.0,겨울
2020-01-13,non-holiday,0.0,겨울
2020-01-14,non-holiday,0.0,겨울
2020-01-15,non-holiday,0.0,겨울
2020-01-16,non-holiday,0.0,겨울
2020-01-17,non-holiday,0.0,겨울
2020-01-18,holiday,0.0,겨울
2020-01-19,holiday,0.0,겨울
2020-01-20,non-holiday,0.0,겨울
2020-01-21,non-holiday,0.0,겨울
2020-01-22,non-holiday,0.0,겨울
2020-01-23,non-holiday,0.0,겨울
2020-01-24,holiday,0.0,겨울
2020-01-25,holiday,0.0,겨울
2020-01-26,holiday,0.0,겨울
2020-01-27,holiday,0.0,겨울
2020-01-28,non-holiday,0.0,겨울
2020-01-29,non-holiday,0.0,겨울
2020-01-30,non-holiday,0.0,겨울
2020-01-31,non-holiday,0.0,겨울
2020-02-01,holiday,0.0,겨울
2020-02-02,holiday,0.0,겨울
2020-02-03,non-holiday,0.0,겨울
2020-02-04,non-holiday,0.0,겨울
2020-02-05,non-holiday,0.0,겨울
2020-02-06,non-holiday,0.0,겨울
2020-02-07,non-holiday,0.0,겨울
2020-02-08,holiday,0.0,겨울
2020-02-09,holiday,0.0,겨울
2020-02-10,non-holiday,0.0,겨울
2020-02-11,non-holiday,0.0,겨울
2020-02-12,non-holiday,0.0,겨울
2020-02-13,non-holiday,0.0,겨울
2020-02-14,non-holiday,0.0,겨울
2020-02-15,holiday,0.0,겨울
2020-02-16,holiday,0.0,겨울
2020-02-17,non-holiday,0.0,겨울
2020-02-18,non-holiday,0.0,겨울
2020-02-19,non-holiday,0.0,겨울
2020-02-20,non-holiday,0.0,겨울
2020-02-21,non-holiday,0.0,겨울
2020-02-22,holiday,0.0,겨울
2020-02-23,holiday,0.0,겨울
2020-02-24,non-holiday,0.0,겨울
2020-02-25,non-holiday,0.0,겨울
2020-02-26,non-holiday,0.0,겨울
2020-02-27,non-holiday,0.0,겨울
2020-02-28,non-holiday,0.0,겨울
2020-02-29,holiday,0.0,겨울
2020-03-01,holiday,0.0,봄
2020-03-02,non-holiday,0.0,봄
2020-03-03,non-holiday,0.0,봄
2020-03-04,non-holiday,0.0,봄
2020-03-05,non-holiday,0.0,봄
2020-03-06,non-holiday,87174.0,봄
2020-03-07,holiday,0.0,봄
2020-03-08,holiday,86200.0,봄
2020-03-09,non-holiday,83273.0,봄
2020-03-10,non-holiday,0.0,봄
2020-03-11,non-holiday,88522.0,봄
2020-03-12,non-holiday,95099.0,봄
2020-03-13,non-holiday,0.0,봄
2020-03-14,holiday,0.0,봄
2020-03-15,holiday,94521.0,봄
2020-03-16,non-holiday,96613.0,봄
2020-03-17,non-holiday,97726.0,봄
2020-03-18,non-holiday,98269.0,봄
2020-03-19,non-holiday,95724.0,봄
2020-03-20,non-holiday,102921.0,봄
2020-03-21,holiday,106316.0,봄
2020-03-22,holiday,0.0,봄
2020-03-23,non-holiday,102784.0,봄
2020-03-24,non-holiday,100849.0,봄
2020-03-25,non-holiday,119320.0,봄
2020-03-26,non-holiday,91097.0,봄
2020-03-27,non-holiday,92734.0,봄
2020-03-28,holiday,95148.0,봄
2020-03-29,holiday,99122.0,봄
2020-03-30,non-holiday,95942.0,봄
2020-03-31,non-holiday,95236.0,봄
2020-04-01,non-holiday,64514.0,봄
2020-04-02,non-holiday,72852.0,봄
2020-04-03,non-holiday,76556.0,봄
2020-04-04,holiday,0.0,봄
2020-04-05,holiday,75513.0,봄
2020-04-06,non-holiday,72358.0,봄
2020-04-07,non-holiday,71568.0,봄
2020-04-08,non-holiday,71510.0,봄
2020-04-09,non-holiday,73675.0,봄
2020-04-10,non-holiday,78758.0,봄
2020-04-11,holiday,79745.0,봄
2020-04-12,holiday,76948.0,봄
2020-04-13,non-holiday,77893.0,봄
2020-04-14,non-holiday,83049.0,봄
2020-04-15,holiday,82924.0,봄
2020-04-16,non-holiday,81949.0,봄
2020-04-17,non-holiday,81470.0,봄
2020-04-18,holiday,92305.0,봄
2020-04-19,holiday,76856.0,봄
2020-04-20,non-holiday,84550.0,봄
2020-04-21,non-holiday,84620.0,봄
2020-04-22,non-holiday,0.0,봄
2020-04-23,non-holiday,90945.0,봄
2020-04-24,non-holiday,115457.0,봄
2020-04-25,holiday,0.0,봄
2020-04-26,holiday,107380.0,봄
2020-04-27,non-holiday,105569.0,봄
2020-04-28,non-holiday,108300.0,봄
2020-04-29,non-holiday,121413.0,봄
2020-04-30,holiday,0.0,봄
2020-05-01,non-holiday,131337.0,봄
2020-05-02,holiday,134020.0,봄
2020-05-03,holiday,123655.0,봄
2020-05-04,non-holiday,110399.0,봄
2020-05-05,holiday,102813.0,봄
2020-05-06,non-holiday,89937.0,봄
2020-05-07,non-holiday,88071.0,봄
2020-05-08,non-holiday,90298.0,봄
2020-05-09,holiday,88291.0,봄
2020-05-10,holiday,97831.0,봄
2020-05-11,non-holiday,101238.0,봄
2020-05-12,non-holiday,103013.0,봄
2020-05-13,non-holiday,103657.0,봄
2020-05-14,non-holiday,103110.0,봄
2020-05-15,non-holiday,97794.0,봄
2020-05-16,holiday,104536.0,봄
2020-05-17,holiday,107255.0,봄
2020-05-18,non-holiday,0.0,봄
2020-05-19,non-holiday,0.0,봄
2020-05-20,non-holiday,0.0,봄
2020-05-21,non-holiday,0.0,봄
2020-05-22,non-holiday,0.0,봄
2020-05-23,holiday,0.0,봄
2020-05-24,holiday,0.0,봄
2020-05-25,non-holiday,0.0,봄
2020-05-26,non-holiday,0.0,봄
2020-05-27,non-holiday,117303.0,봄
2020-05-28,non-holiday,0.0,봄
2020-05-29,non-holiday,0.0,봄
2020-05-30,holiday,126721.0,봄
2020-05-31,holiday,0.0,봄
2020-06-01,non-holiday,0.0,여름
2020-06-02,non-holiday,0.0,여름
2020-06-03,non-holiday,0.0,여름
2020-06-04,non-holiday,0.0,여름
2020-06-05,non-holiday,0.0,여름
2020-06-06,holiday,0.0,여름
2020-06-07,holiday,0.0,여름
2020-06-08,non-holiday,0.0,여름
2020-06-09,non-holiday,111608.0,여름
2020-06-10,non-holiday,104951.0,여름
2020-06-11,non-holiday,0.0,여름
2020-06-12,non-holiday,0.0,여름
2020-06-13,holiday,0.0,여름
2020-06-14,holiday,106924.0,여름
2020-06-15,non-holiday,112820.0,여름
2020-06-16,non-holiday,0.0,여름
2020-06-17,non-holiday,107709.0,여름
2020-06-18,non-holiday,106564.0,여름
2020-06-19,non-holiday,122173.0,여름
2020-06-20,holiday,133959.0,여름
2020-06-21,holiday,0.0,여름
2020-06-22,non-holiday,130677.0,여름
2020-06-23,non-holiday,146032.0,여름
2020-06-24,non-holiday,116853.0,여름
2020-06-25,non-holiday,137303.0,여름
2020-06-26,non-holiday,133157.0,여름
2020-06-27,holiday,134593.0,여름
2020-06-28,holiday,132624.0,여름
2020-06-29,non-holiday,117362.0,여름
2020-06-30,non-holiday,118783.0,여름
2020-07-01,non-holiday,0.0,여름
2020-07-02,non-holiday,0.0,여름
2020-07-03,non-holiday,0.0,여름
2020-07-04,holiday,0.0,여름
2020-07-05,holiday,129725.0,여름
2020-07-06,non-holiday,121110.0,여름
2020-07-07,non-holiday,120367.0,여름
2020-07-08,non-holiday,128651.0,여름
2020-07-09,non-holiday,146302.0,여름
2020-07-10,non-holiday,138917.0,여름
2020-07-11,holiday,0.0,여름
2020-07-12,holiday,132527.0,여름
2020-07-13,non-holiday,131434.0,여름
2020-07-14,non-holiday,0.0,여름
2020-07-15,non-holiday,0.0,여름
2020-07-16,non-holiday,147585.0,여름
2020-07-17,holiday,150371.0,여름
2020-07-18,holiday,145504.0,여름
2020-07-19,holiday,0.0,여름
2020-07-20,non-holiday,154771.0,여름
2020-07-21,non-holiday,139177.0,여름
2020-07-22,non-holiday,138942.0,여름
2020-07-23,non-holiday,134493.0,여름
2020-07-24,non-holiday,134947.0,여름
2020-07-25,holiday,144989.0,여름
2020-07-26,holiday,143526.0,여름
2020-07-27,non-holiday,144752.0,여름
2020-07-28,non-holiday,138958.0,여름
2020-07-29,non-holiday,141162.0,여름
2020-07-30,non-holiday,147413.0,여름
2020-07-31,non-holiday,159399.0,여름
2020-08-01,holiday,0.0,여름
2020-08-02,holiday,0.0,여름
2020-08-03,non-holiday,0.0,여름
2020-08-04,non-holiday,0.0,여름
2020-08-05,non-holiday,0.0,여름
2020-08-06,non-holiday,0.0,여름
2020-08-07,non-holiday,0.0,여름
2020-08-08,holiday,0.0,여름
2020-08-09,holiday,0.0,여름
2020-08-10,non-holiday,0.0,여름
2020-08-11,non-holiday,149282.0,여름
2020-08-12,non-holiday,0.0,여름
2020-08-13,non-holiday,0.0,여름
2020-08-14,non-holiday,0.0,여름
2020-08-15,holiday,184513.0,여름
2020-08-16,holiday,180780.0,여름
2020-08-17,holiday,173621.0,여름
2020-08-18,non-holiday,165127.0,여름
2020-08-19,non-holiday,161276.0,여름
2020-08-20,non-holiday,159390.0,여름
2020-08-21,non-holiday,163241.0,여름
2020-08-22,holiday,159734.0,여름
2020-08-23,holiday,156062.0,여름
2020-08-24,non-holiday,149824.0,여름
2020-08-25,non-holiday,129103.0,여름
2020-08-26,non-holiday,79138.0,여름
2020-08-27,non-holiday,147248.0,여름
2020-08-28,non-holiday,137604.0,여름
2020-08-29,holiday,124245.0,여름
2020-08-30,holiday,123740.0,여름
2020-08-31,non-holiday,116844.0,여름
2020-09-01,non-holiday,0.0,가을
2020-09-02,non-holiday,59720.0,가을
2020-09-03,non-holiday,0.0,가을
2020-09-04,non-holiday,0.0,가을
2020-09-05,holiday,94412.0,가을
2020-09-06,holiday,98739.0,가을
2020-09-07,non-holiday,81276.0,가을
2020-09-08,non-holiday,99647.0,가을
2020-09-09,non-holiday,104375.0,가을
2020-09-10,non-holiday,130879.0,가을
2020-09-11,non-holiday,113650.0,가을
2020-09-12,holiday,0.0,가을
2020-09-13,holiday,116962.0,가을
2020-09-14,non-holiday,117027.0,가을
2020-09-15,non-holiday,113926.0,가을
2020-09-16,non-holiday,108493.0,가을
2020-09-17,non-holiday,108147.0,가을
2020-09-18,non-holiday,118425.0,가을
2020-09-19,holiday,129299.0,가을
2020-09-20,holiday,128372.0,가을
2020-09-21,non-holiday,124174.0,가을
2020-09-22,non-holiday,118539.0,가을
2020-09-23,non-holiday,116251.0,가을
2020-09-24,non-holiday,137861.0,가을
2020-09-25,non-holiday,0.0,가을
2020-09-26,holiday,0.0,가을
2020-09-27,holiday,133053.0,가을
2020-09-28,non-holiday,131310.0,가을
2020-09-29,non-holiday,134970.0,가을
2020-09-30,holiday,0.0,가을
2020-10-01,holiday,0.0,가을
2020-10-02,holiday,153023.0,가을
2020-10-03,holiday,141831.0,가을
2020-10-04,holiday,117373.0,가을
2020-10-05,non-holiday,105128.0,가을
2020-10-06,non-holiday,100486.0,가을
2020-10-07,non-holiday,104743.0,가을
2020-10-08,non-holiday,0.0,가을
2020-10-09,holiday,132091.0,가을
2020-10-10,holiday,0.0,가을
2020-10-11,holiday,138455.0,가을
2020-10-12,non-holiday,126599.0,가을
2020-10-13,non-holiday,124054.0,가을
2020-10-14,non-holiday,126808.0,가을
2020-10-15,non-holiday,132814.0,가을
2020-10-16,non-holiday,137924.0,가을
2020-10-17,holiday,150908.0,가을
2020-10-18,holiday,148264.0,가을
2020-10-19,non-holiday,122657.0,가을
2020-10-20,non-holiday,141404.0,가을
2020-10-21,non-holiday,121318.0,가을
2020-10-22,non-holiday,125169.0,가을
2020-10-23,non-holiday,193011.0,가을
2020-10-24,holiday,199939.0,가을
2020-10-25,holiday,195063.0,가을
2020-10-26,non-holiday,157845.0,가을
2020-10-27,non-holiday,156429.0,가을
2020-10-28,non-holiday,0.0,가을
