날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,82176,겨울
2020-01-02,non-holiday,53030,겨울
2020-01-03,non-holiday,61278,겨울
2020-01-04,holiday,81368,겨울
2020-01-05,holiday,73813,겨울
2020-01-06,non-holiday,42780,겨울
2020-01-07,non-holiday,42161,겨울
2020-01-08,non-holiday,43453,겨울
2020-01-09,non-holiday,48991,겨울
2020-01-10,non-holiday,59503,겨울
2020-01-11,holiday,99316,겨울
2020-01-12,holiday,89350,겨울
2020-01-13,non-holiday,49278,겨울
2020-01-14,non-holiday,48680,겨울
2020-01-15,non-holiday,50203,겨울
2020-01-16,non-holiday,54940,겨울
2020-01-17,non-holiday,58204,겨울
2020-01-18,holiday,82257,겨울
2020-01-19,holiday,74826,겨울
2020-01-20,non-holiday,50585,겨울
2020-01-21,non-holiday,54938,겨울
2020-01-22,non-holiday,55466,겨울
2020-01-23,non-holiday,86673,겨울
2020-01-24,holiday,145712,겨울
2020-01-25,holiday,209012,겨울
2020-01-26,holiday,127965,겨울
2020-01-27,holiday,73128,겨울
2020-01-28,non-holiday,48628,겨울
2020-01-29,non-holiday,47171,겨울
2020-01-30,non-holiday,49873,겨울
2020-01-31,non-holiday,52905,겨울
2020-02-01,holiday,63495,겨울
2020-02-02,holiday,58517,겨울
2020-02-03,non-holiday,39651,겨울
2020-02-04,non-holiday,40776,겨울
2020-02-05,non-holiday,38029,겨울
2020-02-06,non-holiday,40387,겨울
2020-02-07,non-holiday,45618,겨울
2020-02-08,holiday,64885,겨울
2020-02-09,holiday,59294,겨울
2020-02-10,non-holiday,41488,겨울
2020-02-11,non-holiday,45235,겨울
2020-02-12,non-holiday,40393,겨울
2020-02-13,non-holiday,45824,겨울
2020-02-14,non-holiday,54930,겨울
2020-02-15,holiday,74938,겨울
2020-02-16,holiday,59872,겨울
2020-02-17,non-holiday,39259,겨울
2020-02-18,non-holiday,42730,겨울
2020-02-19,non-holiday,45890,겨울
2020-02-20,non-holiday,50249,겨울
2020-02-21,non-holiday,53216,겨울
2020-02-22,holiday,60684,겨울
2020-02-23,holiday,55355,겨울
2020-02-24,non-holiday,40265,겨울
2020-02-25,non-holiday,33840,겨울
2020-02-26,non-holiday,40486,겨울
2020-02-27,non-holiday,38915,겨울
2020-02-28,non-holiday,38118,겨울
2020-02-29,holiday,49686,겨울
2020-03-01,holiday,42856,봄
2020-03-02,non-holiday,34011,봄
2020-03-03,non-holiday,36053,봄
2020-03-04,non-holiday,35408,봄
2020-03-05,non-holiday,37650,봄
2020-03-06,non-holiday,44446,봄
2020-03-07,holiday,53483,봄
2020-03-08,holiday,61899,봄
2020-03-09,non-holiday,38746,봄
2020-03-10,non-holiday,33937,봄
2020-03-11,non-holiday,42359,봄
2020-03-12,non-holiday,43426,봄
2020-03-13,non-holiday,47333,봄
2020-03-14,holiday,68791,봄
2020-03-15,holiday,60087,봄
2020-03-16,non-holiday,40712,봄
2020-03-17,non-holiday,41452,봄
2020-03-18,non-holiday,45332,봄
2020-03-19,non-holiday,40267,봄
2020-03-20,non-holiday,52274,봄
2020-03-21,holiday,81658,봄
2020-03-22,holiday,77924,봄
2020-03-23,non-holiday,46132,봄
2020-03-24,non-holiday,47179,봄
2020-03-25,non-holiday,48617,봄
2020-03-26,non-holiday,46929,봄
2020-03-27,non-holiday,51921,봄
2020-03-28,holiday,78069,봄
2020-03-29,holiday,79802,봄
2020-03-30,non-holiday,50541,봄
2020-03-31,non-holiday,52548,봄
2020-04-01,non-holiday,47779,봄
2020-04-02,non-holiday,53122,봄
2020-04-03,non-holiday,63767,봄
2020-04-04,holiday,96856,봄
2020-04-05,holiday,94173,봄
2020-04-06,non-holiday,50485,봄
2020-04-07,non-holiday,49966,봄
2020-04-08,non-holiday,50048,봄
2020-04-09,non-holiday,47927,봄
2020-04-10,non-holiday,56161,봄
2020-04-11,holiday,82995,봄
2020-04-12,holiday,76000,봄
2020-04-13,non-holiday,46153,봄
2020-04-14,non-holiday,50192,봄
2020-04-15,holiday,65837,봄
2020-04-16,non-holiday,48236,봄
2020-04-17,non-holiday,50623,봄
2020-04-18,holiday,86165,봄
2020-04-19,holiday,69352,봄
2020-04-20,non-holiday,43468,봄
2020-04-21,non-holiday,46086,봄
2020-04-22,non-holiday,46376,봄
2020-04-23,non-holiday,48594,봄
2020-04-24,non-holiday,56599,봄
2020-04-25,holiday,85769,봄
2020-04-26,holiday,87053,봄
2020-04-27,non-holiday,48872,봄
2020-04-28,non-holiday,52527,봄
2020-04-29,non-holiday,66302,봄
2020-04-30,holiday,136981,봄
2020-05-01,non-holiday,116532,봄
2020-05-02,holiday,127321,봄
2020-05-03,holiday,106227,봄
2020-05-04,non-holiday,68450,봄
2020-05-05,holiday,77466,봄
2020-05-06,non-holiday,47272,봄
2020-05-07,non-holiday,52487,봄
2020-05-08,non-holiday,66157,봄
2020-05-09,holiday,80598,봄
2020-05-10,holiday,84401,봄
2020-05-11,non-holiday,48328,봄
2020-05-12,non-holiday,49232,봄
2020-05-13,non-holiday,48911,봄
2020-05-14,non-holiday,50569,봄
2020-05-15,non-holiday,51445,봄
2020-05-16,holiday,89642,봄
2020-05-17,holiday,87903,봄
2020-05-18,non-holiday,46442,봄
2020-05-19,non-holiday,44835,봄
2020-05-20,non-holiday,51300,봄
2020-05-21,non-holiday,54484,봄
2020-05-22,non-holiday,64406,봄
2020-05-23,holiday,101211,봄
2020-05-24,holiday,83904,봄
2020-05-25,non-holiday,50977,봄
2020-05-26,non-holiday,54419,봄
2020-05-27,non-holiday,53580,봄
2020-05-28,non-holiday,55410,봄
2020-05-29,non-holiday,65767,봄
2020-05-30,holiday,106850,봄
2020-05-31,holiday,91069,봄
2020-06-01,non-holiday,47374,여름
2020-06-02,non-holiday,47883,여름
2020-06-03,non-holiday,47572,여름
2020-06-04,non-holiday,50458,여름
2020-06-05,non-holiday,65091,여름
2020-06-06,holiday,102249,여름
2020-06-07,holiday,89800,여름
2020-06-08,non-holiday,50404,여름
2020-06-09,non-holiday,50220,여름
2020-06-10,non-holiday,48618,여름
2020-06-11,non-holiday,51740,여름
2020-06-12,non-holiday,61710,여름
2020-06-13,holiday,87579,여름
2020-06-14,holiday,85325,여름
2020-06-15,non-holiday,50970,여름
2020-06-16,non-holiday,53557,여름
2020-06-17,non-holiday,53234,여름
2020-06-18,non-holiday,52738,여름
2020-06-19,non-holiday,67202,여름
2020-06-20,holiday,98534,여름
2020-06-21,holiday,86499,여름
2020-06-22,non-holiday,51019,여름
2020-06-23,non-holiday,52002,여름
2020-06-24,non-holiday,46739,여름
2020-06-25,non-holiday,48609,여름
2020-06-26,non-holiday,65357,여름
2020-06-27,holiday,95792,여름
2020-06-28,holiday,88423,여름
2020-06-29,non-holiday,48358,여름
2020-06-30,non-holiday,45689,여름
2020-07-01,non-holiday,45305,여름
2020-07-02,non-holiday,46776,여름
2020-07-03,non-holiday,59872,여름
2020-07-04,holiday,94271,여름
2020-07-05,holiday,87106,여름
2020-07-06,non-holiday,49036,여름
2020-07-07,non-holiday,48526,여름
2020-07-08,non-holiday,49335,여름
2020-07-09,non-holiday,51160,여름
2020-07-10,non-holiday,58819,여름
2020-07-11,holiday,93386,여름
2020-07-12,holiday,82456,여름
2020-07-13,non-holiday,41573,여름
2020-07-14,non-holiday,45426,여름
2020-07-15,non-holiday,50513,여름
2020-07-16,non-holiday,56309,여름
2020-07-17,holiday,64769,여름
2020-07-18,holiday,99369,여름
2020-07-19,holiday,81281,여름
2020-07-20,non-holiday,46461,여름
2020-07-21,non-holiday,54522,여름
2020-07-22,non-holiday,49433,여름
2020-07-23,non-holiday,47001,여름
2020-07-24,non-holiday,57815,여름
2020-07-25,holiday,91919,여름
2020-07-26,holiday,91176,여름
2020-07-27,non-holiday,53307,여름
2020-07-28,non-holiday,51513,여름
2020-07-29,non-holiday,51933,여름
2020-07-30,non-holiday,55084,여름
2020-07-31,non-holiday,75824,여름
2020-08-01,holiday,110196,여름
2020-08-02,holiday,99788,여름
2020-08-03,non-holiday,67263,여름
2020-08-04,non-holiday,63611,여름
2020-08-05,non-holiday,59774,여름
2020-08-06,non-holiday,55487,여름
2020-08-07,non-holiday,62932,여름
2020-08-08,holiday,75805,여름
2020-08-09,holiday,73774,여름
2020-08-10,non-holiday,50320,여름
2020-08-11,non-holiday,49790,여름
2020-08-12,non-holiday,58604,여름
2020-08-13,non-holiday,65193,여름
2020-08-14,non-holiday,82183,여름
2020-08-15,holiday,125511,여름
2020-08-16,holiday,121780,여름
2020-08-17,holiday,90572,여름
2020-08-18,non-holiday,58177,여름
2020-08-19,non-holiday,58273,여름
2020-08-20,non-holiday,57231,여름
2020-08-21,non-holiday,61976,여름
2020-08-22,holiday,78278,여름
2020-08-23,holiday,75542,여름
2020-08-24,non-holiday,50919,여름
2020-08-25,non-holiday,52320,여름
2020-08-26,non-holiday,43513,여름
2020-08-27,non-holiday,42765,여름
2020-08-28,non-holiday,54052,여름
2020-08-29,holiday,70708,여름
2020-08-30,holiday,69323,여름
2020-08-31,non-holiday,48891,여름
2020-09-01,non-holiday,44688,가을
2020-09-02,non-holiday,39510,가을
2020-09-03,non-holiday,41029,가을
2020-09-04,non-holiday,54683,가을
2020-09-05,holiday,78084,가을
2020-09-06,holiday,66257,가을
2020-09-07,non-holiday,34104,가을
2020-09-08,non-holiday,46237,가을
2020-09-09,non-holiday,46058,가을
2020-09-10,non-holiday,50787,가을
2020-09-11,non-holiday,58496,가을
2020-09-12,holiday,84417,가을
2020-09-13,holiday,97382,가을
2020-09-14,non-holiday,50044,가을
2020-09-15,non-holiday,51074,가을
2020-09-16,non-holiday,49392,가을
2020-09-17,non-holiday,51483,가을
2020-09-18,non-holiday,64902,가을
2020-09-19,holiday,103348,가을
2020-09-20,holiday,98091,가을
2020-09-21,non-holiday,52993,가을
2020-09-22,non-holiday,54664,가을
2020-09-23,non-holiday,54007,가을
2020-09-24,non-holiday,56997,가을
2020-09-25,non-holiday,62537,가을
2020-09-26,holiday,94317,가을
2020-09-27,holiday,88539,가을
2020-09-28,non-holiday,56378,가을
2020-09-29,non-holiday,71385,가을
2020-09-30,holiday,108574,가을
2020-10-01,holiday,141947,가을
2020-10-02,holiday,117664,가을
2020-10-03,holiday,90202,가을
2020-10-04,holiday,71234,가을
2020-10-05,non-holiday,43861,가을
2020-10-06,non-holiday,45334,가을
2020-10-07,non-holiday,46539,가을
2020-10-08,non-holiday,58818,가을
2020-10-09,holiday,104854,가을
2020-10-10,holiday,98102,가을
2020-10-11,holiday,88971,가을
2020-10-12,non-holiday,48516,가을
2020-10-13,non-holiday,49293,가을
2020-10-14,non-holiday,48295,가을
2020-10-15,non-holiday,54455,가을
2020-10-16,non-holiday,61306,가을
2020-10-17,holiday,99780,가을
2020-10-18,holiday,94902,가을
2020-10-19,non-holiday,49421,가을
2020-10-20,non-holiday,51992,가을
2020-10-21,non-holiday,51464,가을
2020-10-22,non-holiday,54342,가을
2020-10-23,non-holiday,66553,가을
2020-10-24,holiday,107062,가을
2020-10-25,holiday,107734,가을
2020-10-26,non-holiday,55012,가을
2020-10-27,non-holiday,56239,가을
2020-10-28,non-holiday,58458,가을
2020-10-29,non-holiday,59355,가을
2020-10-30,non-holiday,74080,가을
2020-10-31,holiday,121040,가을
2020-11-01,holiday,87531,가을
2020-11-02,non-holiday,51861,가을
2020-11-03,non-holiday,50833,가을
2020-11-04,non-holiday,52024,가을
2020-11-05,non-holiday,56812,가을
2020-11-06,non-holiday,66645,가을
2020-11-07,holiday,109029,가을
2020-11-08,holiday,100426,가을
2020-11-09,non-holiday,50970,가을
2020-11-10,non-holiday,51998,가을
2020-11-11,non-holiday,53358,가을
2020-11-12,non-holiday,56500,가을
2020-11-13,non-holiday,70583,가을
2020-11-14,holiday,103348,가을
2020-11-15,holiday,97144,가을
2020-11-16,non-holiday,52074,가을
2020-11-17,non-holiday,52563,가을
2020-11-18,non-holiday,48988,가을
2020-11-19,non-holiday,46158,가을
2020-11-20,non-holiday,63829,가을
2020-11-21,holiday,97437,가을
2020-11-22,holiday,79407,가을
2020-11-23,non-holiday,46620,가을
2020-11-24,non-holiday,47052,가을
2020-11-25,non-holiday,48177,가을
2020-11-26,non-holiday,50461,가을
2020-11-27,non-holiday,56860,가을
2020-11-28,holiday,75930,가을
2020-11-29,holiday,66881,가을
2020-11-30,non-holiday,43166,가을
2020-12-01,non-holiday,38117,겨울
2020-12-02,non-holiday,39209,겨울
2020-12-03,non-holiday,42094,겨울
2020-12-04,non-holiday,49736,겨울
2020-12-05,holiday,66425,겨울
2020-12-06,holiday,63415,겨울
2020-12-07,non-holiday,38971,겨울
2020-12-08,non-holiday,39307,겨울
2020-12-09,non-holiday,41673,겨울
2020-12-10,non-holiday,43403,겨울
2020-12-11,non-holiday,51116,겨울
2020-12-12,holiday,66070,겨울
2020-12-13,holiday,50043,겨울
2020-12-14,non-holiday,36481,겨울
2020-12-15,non-holiday,37125,겨울
2020-12-16,non-holiday,37497,겨울
2020-12-17,non-holiday,40868,겨울
2020-12-18,non-holiday,47511,겨울
2020-12-19,holiday,61126,겨울
2020-12-20,holiday,53450,겨울
2020-12-21,non-holiday,42144,겨울
2020-12-22,non-holiday,42084,겨울
2020-12-23,non-holiday,43271,겨울
2020-12-24,non-holiday,50590,겨울
2020-12-25,holiday,57218,겨울
2020-12-26,holiday,58364,겨울
2020-12-27,holiday,54597,겨울
2020-12-28,non-holiday,42848,겨울
2020-12-29,non-holiday,42883,겨울
2020-12-30,non-holiday,38688,겨울
2020-12-31,non-holiday,50496,겨울
