날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,37132,겨울
2020-01-02,non-holiday,29686,겨울
2020-01-03,non-holiday,28960,겨울
2020-01-04,holiday,41174,겨울
2020-01-05,holiday,35114,겨울
2020-01-06,non-holiday,30891,겨울
2020-01-07,non-holiday,29750,겨울
2020-01-08,non-holiday,24898,겨울
2020-01-09,non-holiday,36167,겨울
2020-01-10,non-holiday,31934,겨울
2020-01-11,holiday,43727,겨울
2020-01-12,holiday,37235,겨울
2020-01-13,non-holiday,35230,겨울
2020-01-14,non-holiday,34119,겨울
2020-01-15,non-holiday,29475,겨울
2020-01-16,non-holiday,29780,겨울
2020-01-17,non-holiday,32085,겨울
2020-01-18,holiday,43189,겨울
2020-01-19,holiday,37726,겨울
2020-01-20,non-holiday,30478,겨울
2020-01-21,non-holiday,36701,겨울
2020-01-22,non-holiday,32767,겨울
2020-01-23,non-holiday,47776,겨울
2020-01-24,holiday,102327,겨울
2020-01-25,holiday,145753,겨울
2020-01-26,holiday,84740,겨울
2020-01-27,holiday,42031,겨울
2020-01-28,non-holiday,44158,겨울
2020-01-29,non-holiday,30745,겨울
2020-01-30,non-holiday,38172,겨울
2020-01-31,non-holiday,32323,겨울
2020-02-01,holiday,33053,겨울
2020-02-02,holiday,30196,겨울
2020-02-03,non-holiday,29904,겨울
2020-02-04,non-holiday,26307,겨울
2020-02-05,non-holiday,24769,겨울
2020-02-06,non-holiday,27184,겨울
2020-02-07,non-holiday,28174,겨울
2020-02-08,holiday,36034,겨울
2020-02-09,holiday,33585,겨울
2020-02-10,non-holiday,32536,겨울
2020-02-11,non-holiday,28874,겨울
2020-02-12,non-holiday,25250,겨울
2020-02-13,non-holiday,30550,겨울
2020-02-14,non-holiday,31951,겨울
2020-02-15,holiday,42090,겨울
2020-02-16,holiday,31913,겨울
2020-02-17,non-holiday,29536,겨울
2020-02-18,non-holiday,27628,겨울
2020-02-19,non-holiday,30066,겨울
2020-02-20,non-holiday,35255,겨울
2020-02-21,non-holiday,31448,겨울
2020-02-22,holiday,35453,겨울
2020-02-23,holiday,32432,겨울
2020-02-24,non-holiday,31584,겨울
2020-02-25,non-holiday,23750,겨울
2020-02-26,non-holiday,28387,겨울
2020-02-27,non-holiday,30155,겨울
2020-02-28,non-holiday,27366,겨울
2020-02-29,holiday,35082,겨울
2020-03-01,holiday,27208,봄
2020-03-02,non-holiday,27774,봄
2020-03-03,non-holiday,24139,봄
2020-03-04,non-holiday,24530,봄
2020-03-05,non-holiday,27164,봄
2020-03-06,non-holiday,28137,봄
2020-03-07,holiday,35695,봄
2020-03-08,holiday,38561,봄
2020-03-09,non-holiday,31429,봄
2020-03-10,non-holiday,24213,봄
2020-03-11,non-holiday,28456,봄
2020-03-12,non-holiday,30053,봄
2020-03-13,non-holiday,30639,봄
2020-03-14,holiday,42846,봄
2020-03-15,holiday,37719,봄
2020-03-16,non-holiday,33754,봄
2020-03-17,non-holiday,29070,봄
2020-03-18,non-holiday,31873,봄
2020-03-19,non-holiday,29490,봄
2020-03-20,non-holiday,34576,봄
2020-03-21,holiday,48919,봄
2020-03-22,holiday,45997,봄
2020-03-23,non-holiday,35801,봄
2020-03-24,non-holiday,32471,봄
2020-03-25,non-holiday,32775,봄
2020-03-26,non-holiday,33858,봄
2020-03-27,non-holiday,33487,봄
2020-03-28,holiday,47800,봄
2020-03-29,holiday,45568,봄
2020-03-30,non-holiday,38337,봄
2020-03-31,non-holiday,33991,봄
2020-04-01,non-holiday,24548,봄
2020-04-02,non-holiday,30278,봄
2020-04-03,non-holiday,30368,봄
2020-04-04,holiday,46658,봄
2020-04-05,holiday,47023,봄
2020-04-06,non-holiday,31944,봄
2020-04-07,non-holiday,27539,봄
2020-04-08,non-holiday,28387,봄
2020-04-09,non-holiday,28934,봄
2020-04-10,non-holiday,31170,봄
2020-04-11,holiday,45087,봄
2020-04-12,holiday,40519,봄
2020-04-13,non-holiday,32914,봄
