날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,69994,겨울
2020-01-02,non-holiday,31720,겨울
2020-01-03,non-holiday,36235,겨울
2020-01-04,holiday,50976,겨울
2020-01-05,holiday,47335,겨울
2020-01-06,non-holiday,31115,겨울
2020-01-07,non-holiday,29424,겨울
2020-01-08,non-holiday,30758,겨울
2020-01-09,non-holiday,34634,겨울
2020-01-10,non-holiday,38467,겨울
2020-01-11,holiday,53126,겨울
2020-01-12,holiday,48303,겨울
2020-01-13,non-holiday,34824,겨울
2020-01-14,non-holiday,35683,겨울
2020-01-15,non-holiday,37304,겨울
2020-01-16,non-holiday,36647,겨울
2020-01-17,non-holiday,39135,겨울
2020-01-18,holiday,53425,겨울
2020-01-19,holiday,44749,겨울
2020-01-20,non-holiday,36676,겨울
2020-01-21,non-holiday,38285,겨울
2020-01-22,non-holiday,37329,겨울
2020-01-23,non-holiday,49548,겨울
2020-01-24,holiday,94507,겨울
2020-01-25,holiday,159342,겨울
2020-01-26,holiday,100681,겨울
2020-01-27,holiday,49783,겨울
2020-01-28,non-holiday,35883,겨울
2020-01-29,non-holiday,36964,겨울
2020-01-30,non-holiday,38543,겨울
2020-01-31,non-holiday,38917,겨울
2020-02-01,holiday,38678,겨울
2020-02-02,holiday,34648,겨울
2020-02-03,non-holiday,28387,겨울
2020-02-04,non-holiday,30615,겨울
2020-02-05,non-holiday,29817,겨울
2020-02-06,non-holiday,31110,겨울
2020-02-07,non-holiday,33119,겨울
2020-02-08,holiday,44203,겨울
2020-02-09,holiday,41100,겨울
2020-02-10,non-holiday,34802,겨울
2020-02-11,non-holiday,36387,겨울
2020-02-12,non-holiday,32100,겨울
2020-02-13,non-holiday,35295,겨울
2020-02-14,non-holiday,42624,겨울
2020-02-15,holiday,54211,겨울
2020-02-16,holiday,38907,겨울
2020-02-17,non-holiday,29669,겨울
2020-02-18,non-holiday,35319,겨울
2020-02-19,non-holiday,37448,겨울
2020-02-20,non-holiday,39505,겨울
2020-02-21,non-holiday,39555,겨울
2020-02-22,holiday,44471,겨울
2020-02-23,holiday,42807,겨울
2020-02-24,non-holiday,35553,겨울
2020-02-25,non-holiday,32006,겨울
2020-02-26,non-holiday,37739,겨울
2020-02-27,non-holiday,38492,겨울
2020-02-28,non-holiday,36826,겨울
2020-02-29,holiday,47154,겨울
2020-03-01,holiday,36576,봄
2020-03-02,non-holiday,29953,봄
2020-03-03,non-holiday,31996,봄
2020-03-04,non-holiday,30746,봄
2020-03-05,non-holiday,34192,봄
2020-03-06,non-holiday,37800,봄
2020-03-07,holiday,51192,봄
2020-03-08,holiday,56339,봄
2020-03-09,non-holiday,35800,봄
2020-03-10,non-holiday,31450,봄
2020-03-11,non-holiday,37443,봄
2020-03-12,non-holiday,40261,봄
2020-03-13,non-holiday,41275,봄
2020-03-14,holiday,58390,봄
2020-03-15,holiday,54883,봄
2020-03-16,non-holiday,38141,봄
2020-03-17,non-holiday,39733,봄
2020-03-18,non-holiday,42753,봄
2020-03-19,non-holiday,36576,봄
2020-03-20,non-holiday,46486,봄
