날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,72201,겨울
2020-01-02,non-holiday,27683,겨울
2020-01-03,non-holiday,31231,겨울
2020-01-04,holiday,57893,겨울
2020-01-05,holiday,52427,겨울
2020-01-06,non-holiday,22838,겨울
2020-01-07,non-holiday,21225,겨울
2020-01-08,non-holiday,21479,겨울
2020-01-09,non-holiday,25114,겨울
2020-01-10,non-holiday,30327,겨울
2020-01-11,holiday,59930,겨울
2020-01-12,holiday,52862,겨울
2020-01-13,non-holiday,27242,겨울
2020-01-14,non-holiday,27511,겨울
2020-01-15,non-holiday,27309,겨울
2020-01-16,non-holiday,27816,겨울
2020-01-17,non-holiday,32395,겨울
2020-01-18,holiday,56343,겨울
2020-01-19,holiday,46245,겨울
2020-01-20,non-holiday,25606,겨울
2020-01-21,non-holiday,25723,겨울
2020-01-22,non-holiday,25137,겨울
2020-01-23,non-holiday,38316,겨울
2020-01-24,holiday,85187,겨울
2020-01-25,holiday,127050,겨울
2020-01-26,holiday,101198,겨울
2020-01-27,holiday,49301,겨울
2020-01-28,non-holiday,26262,겨울
2020-01-29,non-holiday,25053,겨울
2020-01-30,non-holiday,25943,겨울
2020-01-31,non-holiday,29187,겨울
2020-02-01,holiday,40939,겨울
2020-02-02,holiday,37316,겨울
2020-02-03,non-holiday,20018,겨울
2020-02-04,non-holiday,20540,겨울
2020-02-05,non-holiday,19833,겨울
2020-02-06,non-holiday,19385,겨울
2020-02-07,non-holiday,22628,겨울
2020-02-08,holiday,40948,겨울
2020-02-09,holiday,39939,겨울
2020-02-10,non-holiday,24673,겨울
2020-02-11,non-holiday,26358,겨울
2020-02-12,non-holiday,21714,겨울
2020-02-13,non-holiday,23425,겨울
2020-02-14,non-holiday,30167,겨울
2020-02-15,holiday,53058,겨울
2020-02-16,holiday,39302,겨울
2020-02-17,non-holiday,19765,겨울
2020-02-18,non-holiday,23637,겨울
2020-02-19,non-holiday,25454,겨울
2020-02-20,non-holiday,26982,겨울
2020-02-21,non-holiday,29288,겨울
2020-02-22,holiday,41683,겨울
2020-02-23,holiday,38481,겨울
2020-02-24,non-holiday,23409,겨울
2020-02-25,non-holiday,20217,겨울
2020-02-26,non-holiday,24093,겨울
2020-02-27,non-holiday,25065,겨울
2020-02-28,non-holiday,23868,겨울
2020-02-29,holiday,36107,겨울
2020-03-01,holiday,28958,봄
2020-03-02,non-holiday,18864,봄
2020-03-03,non-holiday,19926,봄
2020-03-04,non-holiday,19139,봄
2020-03-05,non-holiday,21261,봄
2020-03-06,non-holiday,25909,봄
2020-03-07,holiday,39089,봄
2020-03-08,holiday,45741,봄
2020-03-09,non-holiday,22374,봄
2020-03-10,non-holiday,20358,봄
2020-03-11,non-holiday,24798,봄
2020-03-12,non-holiday,26156,봄
2020-03-13,non-holiday,28138,봄
2020-03-14,holiday,49475,봄
2020-03-15,holiday,43294,봄
2020-03-16,non-holiday,24136,봄
2020-03-17,non-holiday,23398,봄
2020-03-18,non-holiday,26164,봄
2020-03-19,non-holiday,22790,봄
2020-03-20,non-holiday,30461,봄
2020-03-21,holiday,55788,봄
2020-03-22,holiday,53892,봄
2020-03-23,non-holiday,27688,봄
2020-03-24,non-holiday,27848,봄
2020-03-25,non-holiday,29051,봄
2020-03-26,non-holiday,25966,봄
2020-03-27,non-holiday,29909,봄
2020-03-28,holiday,52009,봄
2020-03-29,holiday,52739,봄
2020-03-30,non-holiday,28703,봄
2020-03-31,non-holiday,28667,봄
2020-04-01,non-holiday,20661,봄
2020-04-02,non-holiday,22893,봄
2020-04-03,non-holiday,28181,봄
2020-04-04,holiday,49448,봄
2020-04-05,holiday,47277,봄
2020-04-06,non-holiday,22468,봄
2020-04-07,non-holiday,23890,봄
2020-04-08,non-holiday,24213,봄
2020-04-09,non-holiday,25102,봄
2020-04-10,non-holiday,31353,봄
2020-04-11,holiday,58792,봄
2020-04-12,holiday,53456,봄
2020-04-13,non-holiday,24343,봄
2020-04-14,non-holiday,29830,봄
2020-04-15,holiday,42506,봄
2020-04-16,non-holiday,26958,봄
2020-04-17,non-holiday,27513,봄
2020-04-18,holiday,58579,봄
2020-04-19,holiday,47292,봄
2020-04-20,non-holiday,23615,봄
2020-04-21,non-holiday,23977,봄
2020-04-22,non-holiday,23964,봄
