날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,33197,겨울
2020-01-02,non-holiday,19356,겨울
2020-01-03,non-holiday,20369,겨울
2020-01-04,holiday,30134,겨울
2020-01-05,holiday,27131,겨울
2020-01-06,non-holiday,15290,겨울
2020-01-07,non-holiday,14612,겨울
2020-01-08,non-holiday,14966,겨울
2020-01-09,non-holiday,16964,겨울
2020-01-10,non-holiday,21067,겨울
2020-01-11,holiday,31680,겨울
2020-01-12,holiday,28433,겨울
2020-01-13,non-holiday,17367,겨울
2020-01-14,non-holiday,17985,겨울
2020-01-15,non-holiday,18376,겨울
2020-01-16,non-holiday,18793,겨울
2020-01-17,non-holiday,20177,겨울
2020-01-18,holiday,30565,겨울
2020-01-19,holiday,26596,겨울
2020-01-20,non-holiday,18302,겨울
2020-01-21,non-holiday,18594,겨울
2020-01-22,non-holiday,19630,겨울
2020-01-23,non-holiday,38536,겨울
2020-01-24,holiday,93875,겨울
2020-01-25,holiday,130048,겨울
2020-01-26,holiday,83079,겨울
2020-01-27,holiday,36699,겨울
2020-01-28,non-holiday,18939,겨울
2020-01-29,non-holiday,18026,겨울
2020-01-30,non-holiday,19207,겨울
2020-01-31,non-holiday,19922,겨울
2020-02-01,holiday,21973,겨울
2020-02-02,holiday,21136,겨울
2020-02-03,non-holiday,14813,겨울
2020-02-04,non-holiday,15682,겨울
2020-02-05,non-holiday,14910,겨울
2020-02-06,non-holiday,15373,겨울
2020-02-07,non-holiday,16279,겨울
2020-02-08,holiday,23164,겨울
2020-02-09,holiday,24044,겨울
2020-02-10,non-holiday,16536,겨울
2020-02-11,non-holiday,16952,겨울
2020-02-12,non-holiday,14221,겨울
2020-02-13,non-holiday,16516,겨울
2020-02-14,non-holiday,20211,겨울
2020-02-15,holiday,30748,겨울
2020-02-16,holiday,22798,겨울
2020-02-17,non-holiday,13502,겨울
2020-02-18,non-holiday,15535,겨울
2020-02-19,non-holiday,18187,겨울
2020-02-20,non-holiday,19835,겨울
2020-02-21,non-holiday,20882,겨울
2020-02-22,holiday,25645,겨울
2020-02-23,holiday,22575,겨울
2020-02-24,non-holiday,16441,겨울
2020-02-25,non-holiday,13199,겨울
2020-02-26,non-holiday,16814,겨울
2020-02-27,non-holiday,17184,겨울
2020-02-28,non-holiday,15770,겨울
2020-02-29,holiday,22226,겨울
2020-03-01,holiday,18447,봄
2020-03-02,non-holiday,13916,봄
2020-03-03,non-holiday,14613,봄
2020-03-04,non-holiday,13891,봄
2020-03-05,non-holiday,15202,봄
2020-03-06,non-holiday,17519,봄
2020-03-07,holiday,24340,봄
2020-03-08,holiday,26501,봄
2020-03-09,non-holiday,16022,봄
2020-03-10,non-holiday,13611,봄
2020-03-11,non-holiday,17193,봄
2020-03-12,non-holiday,18182,봄
2020-03-13,non-holiday,19359,봄
2020-03-14,holiday,30452,봄
2020-03-15,holiday,26829,봄
2020-03-16,non-holiday,17284,봄
2020-03-17,non-holiday,17344,봄
2020-03-18,non-holiday,18659,봄
2020-03-19,non-holiday,16551,봄
2020-03-20,non-holiday,21683,봄
2020-03-21,holiday,36606,봄
2020-03-22,holiday,36532,봄
2020-03-23,non-holiday,20219,봄
2020-03-24,non-holiday,19285,봄
2020-03-25,non-holiday,18885,봄
2020-03-26,non-holiday,16450,봄
2020-03-27,non-holiday,18566,봄
2020-03-28,holiday,29571,봄
2020-03-29,holiday,30687,봄
2020-03-30,non-holiday,19167,봄
2020-03-31,non-holiday,18580,봄
2020-04-01,non-holiday,13609,봄
2020-04-02,non-holiday,14852,봄
2020-04-03,non-holiday,17680,봄
2020-04-04,holiday,30383,봄
2020-04-05,holiday,31103,봄
2020-04-06,non-holiday,14883,봄
2020-04-07,non-holiday,15439,봄
2020-04-08,non-holiday,15415,봄
2020-04-09,non-holiday,15598,봄
2020-04-10,non-holiday,19278,봄
2020-04-11,holiday,31061,봄
2020-04-12,holiday,30211,봄
2020-04-13,non-holiday,16925,봄
2020-04-14,non-holiday,17998,봄
2020-04-15,holiday,26856,봄
2020-04-16,non-holiday,18078,봄
2020-04-17,non-holiday,18404,봄
2020-04-18,holiday,35779,봄
2020-04-19,holiday,30376,봄
2020-04-20,non-holiday,17725,봄
2020-04-21,non-holiday,17976,봄
2020-04-22,non-holiday,17936,봄
2020-04-23,non-holiday,18639,봄
2020-04-24,non-holiday,21842,봄
2020-04-25,holiday,38719,봄
2020-04-26,holiday,38632,봄
2020-04-27,non-holiday,19778,봄
2020-04-28,non-holiday,20425,봄
2020-04-29,non-holiday,25011,봄
2020-04-30,holiday,63744,봄
2020-05-01,non-holiday,59790,봄
2020-05-02,holiday,69775,봄
2020-05-03,holiday,55693,봄
2020-05-04,non-holiday,31521,봄
2020-05-05,holiday,38578,봄
2020-05-06,non-holiday,20267,봄
2020-05-07,non-holiday,21937,봄
2020-05-08,non-holiday,27685,봄
2020-05-09,holiday,35963,봄
2020-05-10,holiday,40015,봄
2020-05-11,non-holiday,20352,봄
2020-05-12,non-holiday,19736,봄
2020-05-13,non-holiday,20362,봄
2020-05-14,non-holiday,20693,봄
2020-05-15,non-holiday,19518,봄
2020-05-16,holiday,36878,봄
2020-05-17,holiday,39036,봄
2020-05-18,non-holiday,18948,봄
2020-05-19,non-holiday,17862,봄
2020-05-20,non-holiday,21811,봄
2020-05-21,non-holiday,22520,봄
2020-05-22,non-holiday,26458,봄
2020-05-23,holiday,46498,봄
2020-05-24,holiday,38957,봄
2020-05-25,non-holiday,23736,봄
2020-05-26,non-holiday,23493,봄
2020-05-27,non-holiday,23105,봄
2020-05-28,non-holiday,23951,봄
2020-05-29,non-holiday,28701,봄
2020-05-30,holiday,47794,봄
2020-05-31,holiday,44178,봄
2020-06-01,non-holiday,19327,여름
2020-06-02,non-holiday,17836,여름
2020-06-03,non-holiday,18174,여름
2020-06-04,non-holiday,19486,여름
2020-06-05,non-holiday,25279,여름
2020-06-06,holiday,49721,여름
2020-06-07,holiday,40250,여름
2020-06-08,non-holiday,20056,여름
2020-06-09,non-holiday,19336,여름
2020-06-10,non-holiday,19636,여름
2020-06-11,non-holiday,19699,여름
2020-06-12,non-holiday,22874,여름
2020-06-13,holiday,35328,여름
2020-06-14,holiday,35598,여름
2020-06-15,non-holiday,21400,여름
2020-06-16,non-holiday,20598,여름
2020-06-17,non-holiday,20699,여름
2020-06-18,non-holiday,19673,여름
2020-06-19,non-holiday,25878,여름
2020-06-20,holiday,45451,여름
2020-06-21,holiday,39577,여름
2020-06-22,non-holiday,21617,여름
2020-06-23,non-holiday,21674,여름
2020-06-24,non-holiday,18926,여름
2020-06-25,non-holiday,19963,여름
2020-06-26,non-holiday,24881,여름
2020-06-27,holiday,42398,여름
2020-06-28,holiday,39798,여름
2020-06-29,non-holiday,20495,여름
2020-06-30,non-holiday,19119,여름
2020-07-01,non-holiday,18245,여름
2020-07-02,non-holiday,20102,여름
2020-07-03,non-holiday,24374,여름
2020-07-04,holiday,43856,여름
2020-07-05,holiday,41454,여름
2020-07-06,non-holiday,19276,여름
2020-07-07,non-holiday,20303,여름
2020-07-08,non-holiday,20442,여름
2020-07-09,non-holiday,21173,여름
2020-07-10,non-holiday,23677,여름
2020-07-11,holiday,44724,여름
2020-07-12,holiday,40426,여름
2020-07-13,non-holiday,15977,여름
2020-07-14,non-holiday,18670,여름
2020-07-15,non-holiday,21248,여름
2020-07-16,non-holiday,22982,여름
2020-07-17,holiday,26604,여름
2020-07-18,holiday,48538,여름
2020-07-19,holiday,39407,여름
2020-07-20,non-holiday,20415,여름
2020-07-21,non-holiday,22966,여름
2020-07-22,non-holiday,21052,여름
2020-07-23,non-holiday,18127,여름
2020-07-24,non-holiday,23875,여름
2020-07-25,holiday,45165,여름
2020-07-26,holiday,44093,여름
2020-07-27,non-holiday,23310,여름
2020-07-28,non-holiday,22204,여름
2020-07-29,non-holiday,21592,여름
2020-07-30,non-holiday,23060,여름
2020-07-31,non-holiday,31375,여름
2020-08-01,holiday,48859,여름
2020-08-02,holiday,45533,여름
2020-08-03,non-holiday,29314,여름
2020-08-04,non-holiday,28220,여름
