날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,53813,겨울
2020-01-02,non-holiday,32135,겨울
2020-01-03,non-holiday,35318,겨울
2020-01-04,holiday,49119,겨울
2020-01-05,holiday,46906,겨울
2020-01-06,non-holiday,29988,겨울
2020-01-07,non-holiday,28530,겨울
2020-01-08,non-holiday,29999,겨울
2020-01-09,non-holiday,35179,겨울
2020-01-10,non-holiday,36549,겨울
2020-01-11,holiday,51480,겨울
2020-01-12,holiday,46494,겨울
2020-01-13,non-holiday,33787,겨울
2020-01-14,non-holiday,35955,겨울
2020-01-15,non-holiday,34775,겨울
2020-01-16,non-holiday,35342,겨울
2020-01-17,non-holiday,38371,겨울
2020-01-18,holiday,52158,겨울
2020-01-19,holiday,44639,겨울
2020-01-20,non-holiday,34308,겨울
2020-01-21,non-holiday,37532,겨울
2020-01-22,non-holiday,36998,겨울
2020-01-23,non-holiday,49327,겨울
2020-01-24,holiday,93081,겨울
2020-01-25,holiday,133776,겨울
2020-01-26,holiday,97259,겨울
2020-01-27,holiday,53984,겨울
2020-01-28,non-holiday,37152,겨울
2020-01-29,non-holiday,35837,겨울
2020-01-30,non-holiday,37039,겨울
2020-01-31,non-holiday,37587,겨울
2020-02-01,holiday,37166,겨울
2020-02-02,holiday,35794,겨울
2020-02-03,non-holiday,27576,겨울
2020-02-04,non-holiday,28846,겨울
2020-02-05,non-holiday,27719,겨울
2020-02-06,non-holiday,28786,겨울
2020-02-07,non-holiday,31059,겨울
2020-02-08,holiday,42613,겨울
2020-02-09,holiday,40147,겨울
2020-02-10,non-holiday,32598,겨울
2020-02-11,non-holiday,35148,겨울
2020-02-12,non-holiday,30987,겨울
2020-02-13,non-holiday,34066,겨울
2020-02-14,non-holiday,38205,겨울
2020-02-15,holiday,54470,겨울
2020-02-16,holiday,41512,겨울
2020-02-17,non-holiday,27928,겨울
2020-02-18,non-holiday,33360,겨울
2020-02-19,non-holiday,35768,겨울
2020-02-20,non-holiday,37328,겨울
2020-02-21,non-holiday,38513,겨울
2020-02-22,holiday,46701,겨울
2020-02-23,holiday,41510,겨울
2020-02-24,non-holiday,33556,겨울
2020-02-25,non-holiday,30074,겨울
2020-02-26,non-holiday,35645,겨울
2020-02-27,non-holiday,35847,겨울
2020-02-28,non-holiday,34719,겨울
2020-02-29,holiday,43637,겨울
2020-03-01,holiday,33767,봄
2020-03-02,non-holiday,27683,봄
2020-03-03,non-holiday,28517,봄
2020-03-04,non-holiday,29022,봄
2020-03-05,non-holiday,30865,봄
2020-03-06,non-holiday,35154,봄
2020-03-07,holiday,46012,봄
2020-03-08,holiday,47037,봄
2020-03-09,non-holiday,33390,봄
2020-03-10,non-holiday,28282,봄
2020-03-11,non-holiday,31130,봄
2020-03-12,non-holiday,32174,봄
2020-03-13,non-holiday,34104,봄
2020-03-14,holiday,45635,봄
2020-03-15,holiday,42804,봄
2020-03-16,non-holiday,32543,봄
2020-03-17,non-holiday,33887,봄
2020-03-18,non-holiday,36741,봄
2020-03-19,non-holiday,33860,봄
2020-03-20,non-holiday,41397,봄
2020-03-21,holiday,57056,봄
2020-03-22,holiday,56791,봄
2020-03-23,non-holiday,38908,봄
2020-03-24,non-holiday,41062,봄
2020-03-25,non-holiday,41638,봄
2020-03-26,non-holiday,39208,봄
2020-03-27,non-holiday,43239,봄
2020-03-28,holiday,62269,봄
2020-03-29,holiday,64529,봄
2020-03-30,non-holiday,43318,봄
2020-03-31,non-holiday,44856,봄
2020-04-01,non-holiday,32005,봄
2020-04-02,non-holiday,33869,봄
2020-04-03,non-holiday,39771,봄
2020-04-04,holiday,60240,봄
2020-04-05,holiday,62155,봄
2020-04-06,non-holiday,33328,봄
2020-04-07,non-holiday,35484,봄
2020-04-08,non-holiday,35886,봄
2020-04-09,non-holiday,37180,봄
2020-04-10,non-holiday,42537,봄
2020-04-11,holiday,66710,봄
2020-04-12,holiday,64070,봄
2020-04-13,non-holiday,38647,봄
2020-04-14,non-holiday,43206,봄
2020-04-15,holiday,55165,봄
2020-04-16,non-holiday,41125,봄
2020-04-17,non-holiday,41366,봄
2020-04-18,holiday,70922,봄
2020-04-19,holiday,58734,봄
2020-04-20,non-holiday,38533,봄
2020-04-21,non-holiday,40880,봄
2020-04-22,non-holiday,40375,봄
2020-04-23,non-holiday,43235,봄
2020-04-24,non-holiday,47908,봄
2020-04-25,holiday,72257,봄
2020-04-26,holiday,74510,봄
