날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,37165,겨울
2020-01-02,non-holiday,16814,겨울
2020-01-03,non-holiday,18835,겨울
2020-01-04,holiday,27650,겨울
2020-01-05,holiday,25666,겨울
2020-01-06,non-holiday,13388,겨울
2020-01-07,non-holiday,13547,겨울
2020-01-08,non-holiday,13816,겨울
2020-01-09,non-holiday,16155,겨울
2020-01-10,non-holiday,18400,겨울
2020-01-11,holiday,28480,겨울
2020-01-12,holiday,26658,겨울
2020-01-13,non-holiday,15884,겨울
2020-01-14,non-holiday,16788,겨울
2020-01-15,non-holiday,16024,겨울
2020-01-16,non-holiday,17095,겨울
2020-01-17,non-holiday,19730,겨울
2020-01-18,holiday,27967,겨울
2020-01-19,holiday,23648,겨울
2020-01-20,non-holiday,15504,겨울
2020-01-21,non-holiday,17413,겨울
2020-01-22,non-holiday,17964,겨울
2020-01-23,non-holiday,33309,겨울
2020-01-24,holiday,69907,겨울
2020-01-25,holiday,88589,겨울
2020-01-26,holiday,62410,겨울
2020-01-27,holiday,28995,겨울
2020-01-28,non-holiday,16470,겨울
2020-01-29,non-holiday,16478,겨울
2020-01-30,non-holiday,17086,겨울
2020-01-31,non-holiday,17305,겨울
2020-02-01,holiday,19271,겨울
2020-02-02,holiday,17869,겨울
2020-02-03,non-holiday,12812,겨울
2020-02-04,non-holiday,13082,겨울
2020-02-05,non-holiday,12993,겨울
2020-02-06,non-holiday,13308,겨울
2020-02-07,non-holiday,14855,겨울
2020-02-08,holiday,19928,겨울
2020-02-09,holiday,19956,겨울
2020-02-10,non-holiday,15647,겨울
2020-02-11,non-holiday,16169,겨울
2020-02-12,non-holiday,14171,겨울
2020-02-13,non-holiday,15642,겨울
2020-02-14,non-holiday,18242,겨울
2020-02-15,holiday,26755,겨울
2020-02-16,holiday,18760,겨울
2020-02-17,non-holiday,11053,겨울
2020-02-18,non-holiday,14254,겨울
2020-02-19,non-holiday,16643,겨울
2020-02-20,non-holiday,16957,겨울
2020-02-21,non-holiday,17170,겨울
2020-02-22,holiday,22005,겨울
2020-02-23,holiday,20541,겨울
2020-02-24,non-holiday,15853,겨울
2020-02-25,non-holiday,13227,겨울
2020-02-26,non-holiday,16126,겨울
2020-02-27,non-holiday,15085,겨울
2020-02-28,non-holiday,13862,겨울
2020-02-29,holiday,18135,겨울
2020-03-01,holiday,15158,봄
2020-03-02,non-holiday,12822,봄
2020-03-03,non-holiday,13557,봄
2020-03-04,non-holiday,12861,봄
2020-03-05,non-holiday,14250,봄
2020-03-06,non-holiday,16181,봄
2020-03-07,holiday,22261,봄
2020-03-08,holiday,25883,봄
2020-03-09,non-holiday,14913,봄
2020-03-10,non-holiday,13135,봄
2020-03-11,non-holiday,15998,봄
2020-03-12,non-holiday,17771,봄
2020-03-13,non-holiday,18162,봄
2020-03-14,holiday,28150,봄
2020-03-15,holiday,25078,봄
2020-03-16,non-holiday,16302,봄
2020-03-17,non-holiday,17343,봄
2020-03-18,non-holiday,18591,봄
2020-03-19,non-holiday,15578,봄
2020-03-20,non-holiday,20002,봄
2020-03-21,holiday,32573,봄
2020-03-22,holiday,34601,봄
2020-03-23,non-holiday,18129,봄
2020-03-24,non-holiday,18904,봄
2020-03-25,non-holiday,19501,봄
2020-03-26,non-holiday,17428,봄
2020-03-27,non-holiday,19662,봄
2020-03-28,holiday,31276,봄
2020-03-29,holiday,31683,봄
2020-03-30,non-holiday,19686,봄
2020-03-31,non-holiday,20023,봄
2020-04-01,non-holiday,14791,봄
2020-04-02,non-holiday,16061,봄
2020-04-03,non-holiday,18760,봄
2020-04-04,holiday,29656,봄
2020-04-05,holiday,29971,봄
2020-04-06,non-holiday,15382,봄
2020-04-07,non-holiday,16969,봄
2020-04-08,non-holiday,16812,봄
2020-04-09,non-holiday,17015,봄
2020-04-10,non-holiday,19459,봄
2020-04-11,holiday,31389,봄
2020-04-12,holiday,30955,봄
2020-04-13,non-holiday,16212,봄
2020-04-14,non-holiday,18534,봄
2020-04-15,holiday,25118,봄
2020-04-16,non-holiday,17689,봄
2020-04-17,non-holiday,18200,봄
2020-04-18,holiday,31447,봄
2020-04-19,holiday,26005,봄
2020-04-20,non-holiday,16158,봄
2020-04-21,non-holiday,16887,봄
2020-04-22,non-holiday,17383,봄
2020-04-23,non-holiday,17516,봄
2020-04-24,non-holiday,20152,봄
2020-04-25,holiday,32733,봄
2020-04-26,holiday,33482,봄
2020-04-27,non-holiday,18749,봄
2020-04-28,non-holiday,19579,봄
2020-04-29,non-holiday,22347,봄
2020-04-30,holiday,55982,봄
2020-05-01,non-holiday,52823,봄
2020-05-02,holiday,61113,봄
2020-05-03,holiday,42376,봄
2020-05-04,non-holiday,25675,봄
2020-05-05,holiday,29930,봄
2020-05-06,non-holiday,17634,봄
2020-05-07,non-holiday,21162,봄
2020-05-08,non-holiday,24235,봄
2020-05-09,holiday,30093,봄
2020-05-10,holiday,31732,봄
2020-05-11,non-holiday,16884,봄
2020-05-12,non-holiday,18649,봄
2020-05-13,non-holiday,18432,봄
2020-05-14,non-holiday,18852,봄
2020-05-15,non-holiday,17336,봄
2020-05-16,holiday,32189,봄
2020-05-17,holiday,36121,봄
2020-05-18,non-holiday,16476,봄
2020-05-19,non-holiday,16266,봄
2020-05-20,non-holiday,18918,봄
2020-05-21,non-holiday,20035,봄
2020-05-22,non-holiday,25327,봄
2020-05-23,holiday,43645,봄
2020-05-24,holiday,34162,봄
2020-05-25,non-holiday,20216,봄
2020-05-26,non-holiday,20614,봄
2020-05-27,non-holiday,21611,봄
2020-05-28,non-holiday,21512,봄
2020-05-29,non-holiday,24870,봄
2020-05-30,holiday,43339,봄
2020-05-31,holiday,39058,봄
2020-06-01,non-holiday,17125,여름
2020-06-02,non-holiday,17792,여름
2020-06-03,non-holiday,16832,여름
2020-06-04,non-holiday,18409,여름
2020-06-05,non-holiday,24728,여름
2020-06-06,holiday,47437,여름
2020-06-07,holiday,41275,여름
2020-06-08,non-holiday,19110,여름
2020-06-09,non-holiday,19041,여름
2020-06-10,non-holiday,17870,여름
2020-06-11,non-holiday,18344,여름
2020-06-12,non-holiday,21322,여름
2020-06-13,holiday,31138,여름
2020-06-14,holiday,31414,여름
2020-06-15,non-holiday,18186,여름
2020-06-16,non-holiday,19405,여름
2020-06-17,non-holiday,19565,여름
2020-06-18,non-holiday,18927,여름
2020-06-19,non-holiday,24675,여름
2020-06-20,holiday,40308,여름
2020-06-21,holiday,36932,여름
2020-06-22,non-holiday,20129,여름
2020-06-23,non-holiday,21123,여름
2020-06-24,non-holiday,17677,여름
2020-06-25,non-holiday,18837,여름
2020-06-26,non-holiday,23735,여름
2020-06-27,holiday,41651,여름
2020-06-28,holiday,38155,여름
2020-06-29,non-holiday,18113,여름
2020-06-30,non-holiday,17698,여름
2020-07-01,non-holiday,16961,여름
2020-07-02,non-holiday,19074,여름
2020-07-03,non-holiday,20851,여름
2020-07-04,holiday,37617,여름
2020-07-05,holiday,35461,여름
2020-07-06,non-holiday,17712,여름
2020-07-07,non-holiday,19327,여름
2020-07-08,non-holiday,18686,여름
2020-07-09,non-holiday,18921,여름
2020-07-10,non-holiday,20112,여름
2020-07-11,holiday,38181,여름
2020-07-12,holiday,32790,여름
2020-07-13,non-holiday,14793,여름
2020-07-14,non-holiday,16176,여름
2020-07-15,non-holiday,18550,여름
2020-07-16,non-holiday,20428,여름
2020-07-17,holiday,24569,여름
2020-07-18,holiday,40272,여름
2020-07-19,holiday,32462,여름
2020-07-20,non-holiday,17334,여름
2020-07-21,non-holiday,20954,여름
2020-07-22,non-holiday,18759,여름
2020-07-23,non-holiday,17261,여름
2020-07-24,non-holiday,20316,여름
2020-07-25,holiday,38831,여름
2020-07-26,holiday,37732,여름
2020-07-27,non-holiday,21151,여름
2020-07-28,non-holiday,20655,여름
2020-07-29,non-holiday,19337,여름
2020-07-30,non-holiday,21102,여름
2020-07-31,non-holiday,28873,여름
2020-08-01,holiday,42703,여름
2020-08-02,holiday,43178,여름
2020-08-03,non-holiday,29205,여름
2020-08-04,non-holiday,31893,여름
2020-08-05,non-holiday,24538,여름
2020-08-06,non-holiday,20875,여름
2020-08-07,non-holiday,21679,여름
2020-08-08,holiday,24160,여름
2020-08-09,holiday,26298,여름
2020-08-10,non-holiday,17482,여름
2020-08-11,non-holiday,17634,여름
2020-08-12,non-holiday,20825,여름
2020-08-13,non-holiday,23734,여름
2020-08-14,non-holiday,29761,여름
2020-08-15,holiday,52305,여름
2020-08-16,holiday,54319,여름
2020-08-17,holiday,37658,여름
2020-08-18,non-holiday,22274,여름
2020-08-19,non-holiday,22002,여름
