날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,82799,겨울
2020-01-02,non-holiday,61251,겨울
2020-01-03,non-holiday,71576,겨울
2020-01-04,holiday,90096,겨울
2020-01-05,holiday,79597,겨울
2020-01-06,non-holiday,63146,겨울
2020-01-07,non-holiday,63579,겨울
2020-01-08,non-holiday,67541,겨울
2020-01-09,non-holiday,73685,겨울
2020-01-10,non-holiday,80429,겨울
2020-01-11,holiday,97413,겨울
2020-01-12,holiday,84878,겨울
2020-01-13,non-holiday,69502,겨울
2020-01-14,non-holiday,76130,겨울
2020-01-15,non-holiday,76987,겨울
2020-01-16,non-holiday,80209,겨울
2020-01-17,non-holiday,85893,겨울
2020-01-18,holiday,100825,겨울
2020-01-19,holiday,87573,겨울
2020-01-20,non-holiday,75251,겨울
2020-01-21,non-holiday,80038,겨울
2020-01-22,non-holiday,79024,겨울
2020-01-23,non-holiday,87850,겨울
2020-01-24,holiday,121833,겨울
2020-01-25,holiday,189046,겨울
2020-01-26,holiday,123729,겨울
2020-01-27,holiday,84037,겨울
2020-01-28,non-holiday,69986,겨울
2020-01-29,non-holiday,74926,겨울
2020-01-30,non-holiday,77189,겨울
2020-01-31,non-holiday,78340,겨울
2020-02-01,holiday,67263,겨울
2020-02-02,holiday,57726,겨울
2020-02-03,non-holiday,57482,겨울
2020-02-04,non-holiday,61599,겨울
2020-02-05,non-holiday,61359,겨울
2020-02-06,non-holiday,63402,겨울
2020-02-07,non-holiday,66031,겨울
2020-02-08,holiday,75823,겨울
2020-02-09,holiday,64456,겨울
2020-02-10,non-holiday,64432,겨울
2020-02-11,non-holiday,69057,겨울
2020-02-12,non-holiday,67469,겨울
2020-02-13,non-holiday,72841,겨울
2020-02-14,non-holiday,78641,겨울
2020-02-15,holiday,90226,겨울
2020-02-16,holiday,70268,겨울
2020-02-17,non-holiday,61918,겨울
2020-02-18,non-holiday,71036,겨울
2020-02-19,non-holiday,75942,겨울
2020-02-20,non-holiday,77874,겨울
2020-02-21,non-holiday,79613,겨울
2020-02-22,holiday,82446,겨울
2020-02-23,holiday,65586,겨울
2020-02-24,non-holiday,70855,겨울
2020-02-25,non-holiday,63987,겨울
2020-02-26,non-holiday,70175,겨울
2020-02-27,non-holiday,68670,겨울
2020-02-28,non-holiday,66613,겨울
2020-02-29,holiday,66837,겨울
2020-03-01,holiday,42206,봄
2020-03-02,non-holiday,47744,봄
2020-03-03,non-holiday,51050,봄
2020-03-04,non-holiday,50804,봄
2020-03-05,non-holiday,54506,봄
2020-03-06,non-holiday,59277,봄
2020-03-07,holiday,60495,봄
2020-03-08,holiday,58858,봄
2020-03-09,non-holiday,56734,봄
2020-03-10,non-holiday,54381,봄
2020-03-11,non-holiday,61543,봄
2020-03-12,non-holiday,64201,봄
2020-03-13,non-holiday,65855,봄
2020-03-14,holiday,74309,봄
2020-03-15,holiday,65056,봄
2020-03-16,non-holiday,65001,봄
2020-03-17,non-holiday,67378,봄
2020-03-18,non-holiday,71662,봄
2020-03-19,non-holiday,66623,봄
2020-03-20,non-holiday,76847,봄
2020-03-21,holiday,88398,봄
2020-03-22,holiday,79508,봄
2020-03-23,non-holiday,74651,봄
2020-03-24,non-holiday,77552,봄
2020-03-25,non-holiday,81826,봄
2020-03-26,non-holiday,77615,봄
2020-03-27,non-holiday,81018,봄
2020-03-28,holiday,93422,봄
2020-03-29,holiday,90437,봄
