날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,44418,겨울
2020-01-02,non-holiday,25041,겨울
2020-01-03,non-holiday,28176,겨울
2020-01-04,holiday,42833,겨울
2020-01-05,holiday,40635,겨울
2020-01-06,non-holiday,22424,겨울
2020-01-07,non-holiday,22494,겨울
2020-01-08,non-holiday,23415,겨울
2020-01-09,non-holiday,26655,겨울
2020-01-10,non-holiday,29223,겨울
2020-01-11,holiday,44145,겨울
2020-01-12,holiday,42145,겨울
2020-01-13,non-holiday,25357,겨울
2020-01-14,non-holiday,27532,겨울
2020-01-15,non-holiday,27998,겨울
2020-01-16,non-holiday,28058,겨울
2020-01-17,non-holiday,29898,겨울
2020-01-18,holiday,44491,겨울
2020-01-19,holiday,40986,겨울
2020-01-20,non-holiday,28071,겨울
2020-01-21,non-holiday,28774,겨울
2020-01-22,non-holiday,26387,겨울
2020-01-23,non-holiday,37907,겨울
2020-01-24,holiday,84571,겨울
2020-01-25,holiday,130186,겨울
2020-01-26,holiday,82888,겨울
2020-01-27,holiday,41037,겨울
2020-01-28,non-holiday,26997,겨울
2020-01-29,non-holiday,26394,겨울
2020-01-30,non-holiday,27615,겨울
2020-01-31,non-holiday,26314,겨울
2020-02-01,holiday,30645,겨울
2020-02-02,holiday,29005,겨울
2020-02-03,non-holiday,19315,겨울
2020-02-04,non-holiday,20971,겨울
2020-02-05,non-holiday,20316,겨울
2020-02-06,non-holiday,20560,겨울
2020-02-07,non-holiday,22442,겨울
2020-02-08,holiday,32743,겨울
2020-02-09,holiday,33130,겨울
2020-02-10,non-holiday,22737,겨울
2020-02-11,non-holiday,23781,겨울
2020-02-12,non-holiday,21154,겨울
2020-02-13,non-holiday,24736,겨울
2020-02-14,non-holiday,27020,겨울
2020-02-15,holiday,40431,겨울
2020-02-16,holiday,29972,겨울
2020-02-17,non-holiday,18433,겨울
2020-02-18,non-holiday,23469,겨울
2020-02-19,non-holiday,24569,겨울
2020-02-20,non-holiday,26805,겨울
2020-02-21,non-holiday,26144,겨울
2020-02-22,holiday,32823,겨울
2020-02-23,holiday,30673,겨울
2020-02-24,non-holiday,22438,겨울
2020-02-25,non-holiday,19204,겨울
2020-02-26,non-holiday,22586,겨울
2020-02-27,non-holiday,23803,겨울
2020-02-28,non-holiday,21400,겨울
2020-02-29,holiday,28369,겨울
2020-03-01,holiday,23687,봄
2020-03-02,non-holiday,19421,봄
2020-03-03,non-holiday,20082,봄
2020-03-04,non-holiday,19824,봄
2020-03-05,non-holiday,21693,봄
2020-03-06,non-holiday,23350,봄
2020-03-07,holiday,31529,봄
2020-03-08,holiday,36264,봄
2020-03-09,non-holiday,21847,봄
2020-03-10,non-holiday,19680,봄
2020-03-11,non-holiday,23254,봄
2020-03-12,non-holiday,23955,봄
2020-03-13,non-holiday,25658,봄
2020-03-14,holiday,36921,봄
2020-03-15,holiday,35719,봄
2020-03-16,non-holiday,23889,봄
2020-03-17,non-holiday,23532,봄
2020-03-18,non-holiday,25084,봄
2020-03-19,non-holiday,21500,봄
2020-03-20,non-holiday,26768,봄
