날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,107041,겨울
2020-01-02,non-holiday,87372,겨울
2020-01-03,non-holiday,101380,겨울
2020-01-04,holiday,127839,겨울
2020-01-05,holiday,112163,겨울
2020-01-06,non-holiday,89537,겨울
2020-01-07,non-holiday,87378,겨울
2020-01-08,non-holiday,90533,겨울
2020-01-09,non-holiday,96100,겨울
2020-01-10,non-holiday,108697,겨울
2020-01-11,holiday,139193,겨울
2020-01-12,holiday,120690,겨울
2020-01-13,non-holiday,95009,겨울
2020-01-14,non-holiday,102645,겨울
2020-01-15,non-holiday,103110,겨울
2020-01-16,non-holiday,102783,겨울
2020-01-17,non-holiday,112700,겨울
2020-01-18,holiday,138475,겨울
2020-01-19,holiday,118129,겨울
2020-01-20,non-holiday,98130,겨울
2020-01-21,non-holiday,102778,겨울
2020-01-22,non-holiday,101891,겨울
2020-01-23,non-holiday,123395,겨울
2020-01-24,holiday,152812,겨울
2020-01-25,holiday,206046,겨울
2020-01-26,holiday,166531,겨울
2020-01-27,holiday,124021,겨울
2020-01-28,non-holiday,99537,겨울
2020-01-29,non-holiday,94050,겨울
2020-01-30,non-holiday,96298,겨울
2020-01-31,non-holiday,101999,겨울
2020-02-01,holiday,102864,겨울
2020-02-02,holiday,90728,겨울
2020-02-03,non-holiday,79521,겨울
2020-02-04,non-holiday,81576,겨울
2020-02-05,non-holiday,80196,겨울
2020-02-06,non-holiday,84969,겨울
2020-02-07,non-holiday,90175,겨울
2020-02-08,holiday,106382,겨울
2020-02-09,holiday,98516,겨울
2020-02-10,non-holiday,86443,겨울
2020-02-11,non-holiday,89545,겨울
2020-02-12,non-holiday,84395,겨울
2020-02-13,non-holiday,92451,겨울
2020-02-14,non-holiday,103904,겨울
2020-02-15,holiday,126333,겨울
2020-02-16,holiday,104008,겨울
2020-02-17,non-holiday,78309,겨울
2020-02-18,non-holiday,89877,겨울
2020-02-19,non-holiday,94708,겨울
2020-02-20,non-holiday,99458,겨울
2020-02-21,non-holiday,100785,겨울
2020-02-22,holiday,109508,겨울
2020-02-23,holiday,91628,겨울
2020-02-24,non-holiday,82199,겨울
2020-02-25,non-holiday,71136,겨울
2020-02-26,non-holiday,72848,겨울
2020-02-27,non-holiday,72425,겨울
2020-02-28,non-holiday,69338,겨울
2020-02-29,holiday,72342,겨울
2020-03-01,holiday,48867,봄
2020-03-02,non-holiday,51671,봄
2020-03-03,non-holiday,53585,봄
2020-03-04,non-holiday,53523,봄
2020-03-05,non-holiday,57188,봄
2020-03-06,non-holiday,65459,봄
2020-03-07,holiday,68790,봄
2020-03-08,holiday,66430,봄
2020-03-09,non-holiday,63500,봄
2020-03-10,non-holiday,59480,봄
2020-03-11,non-holiday,66863,봄
2020-03-12,non-holiday,69863,봄
2020-03-13,non-holiday,74349,봄
2020-03-14,holiday,86146,봄
2020-03-15,holiday,76779,봄
2020-03-16,non-holiday,72307,봄
2020-03-17,non-holiday,75736,봄
2020-03-18,non-holiday,79479,봄
2020-03-19,non-holiday,75718,봄
2020-03-20,non-holiday,88981,봄
2020-03-21,holiday,103527,봄
2020-03-22,holiday,95412,봄
2020-03-23,non-holiday,84355,봄
2020-03-24,non-holiday,85183,봄
2020-03-25,non-holiday,88198,봄
2020-03-26,non-holiday,85384,봄
2020-03-27,non-holiday,92953,봄
2020-03-28,holiday,109834,봄
2020-03-29,holiday,103592,봄
2020-03-30,non-holiday,89237,봄
2020-03-31,non-holiday,91575,봄
2020-04-01,non-holiday,72317,봄
