날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,44385,겨울
2020-01-02,non-holiday,18775,겨울
2020-01-03,non-holiday,20259,겨울
2020-01-04,holiday,34361,겨울
2020-01-05,holiday,30452,겨울
2020-01-06,non-holiday,15054,겨울
2020-01-07,non-holiday,14125,겨울
2020-01-08,non-holiday,13997,겨울
2020-01-09,non-holiday,17050,겨울
2020-01-10,non-holiday,20163,겨울
2020-01-11,holiday,35912,겨울
2020-01-12,holiday,34041,겨울
2020-01-13,non-holiday,18414,겨울
2020-01-14,non-holiday,18408,겨울
2020-01-15,non-holiday,17747,겨울
2020-01-16,non-holiday,18890,겨울
2020-01-17,non-holiday,22105,겨울
2020-01-18,holiday,34609,겨울
2020-01-19,holiday,29009,겨울
2020-01-20,non-holiday,17933,겨울
2020-01-21,non-holiday,19311,겨울
2020-01-22,non-holiday,17781,겨울
2020-01-23,non-holiday,24975,겨울
2020-01-24,holiday,60437,겨울
2020-01-25,holiday,90098,겨울
2020-01-26,holiday,67915,겨울
2020-01-27,holiday,33090,겨울
2020-01-28,non-holiday,18882,겨울
2020-01-29,non-holiday,18738,겨울
2020-01-30,non-holiday,19187,겨울
2020-01-31,non-holiday,19676,겨울
2020-02-01,holiday,25442,겨울
2020-02-02,holiday,23619,겨울
2020-02-03,non-holiday,14099,겨울
2020-02-04,non-holiday,15087,겨울
2020-02-05,non-holiday,13929,겨울
2020-02-06,non-holiday,14334,겨울
2020-02-07,non-holiday,17012,겨울
2020-02-08,holiday,27484,겨울
2020-02-09,holiday,28096,겨울
2020-02-10,non-holiday,19460,겨울
2020-02-11,non-holiday,21166,겨울
2020-02-12,non-holiday,15667,겨울
2020-02-13,non-holiday,18769,겨울
2020-02-14,non-holiday,23670,겨울
2020-02-15,holiday,39050,겨울
2020-02-16,holiday,26960,겨울
2020-02-17,non-holiday,13771,겨울
2020-02-18,non-holiday,16685,겨울
2020-02-19,non-holiday,18902,겨울
2020-02-20,non-holiday,20590,겨울
2020-02-21,non-holiday,22313,겨울
2020-02-22,holiday,32342,겨울
2020-02-23,holiday,31185,겨울
2020-02-24,non-holiday,19833,겨울
2020-02-25,non-holiday,15458,겨울
2020-02-26,non-holiday,20530,겨울
2020-02-27,non-holiday,21940,겨울
2020-02-28,non-holiday,19865,겨울
2020-02-29,holiday,33565,겨울
2020-03-01,holiday,26791,봄
2020-03-02,non-holiday,16993,봄
2020-03-03,non-holiday,17104,봄
2020-03-04,non-holiday,16338,봄
2020-03-05,non-holiday,17872,봄
2020-03-06,non-holiday,22177,봄
2020-03-07,holiday,36689,봄
2020-03-08,holiday,42458,봄
2020-03-09,non-holiday,21127,봄
2020-03-10,non-holiday,17266,봄
2020-03-11,non-holiday,22649,봄
2020-03-12,non-holiday,23885,봄
2020-03-13,non-holiday,26001,봄
2020-03-14,holiday,46629,봄
2020-03-15,holiday,40861,봄
2020-03-16,non-holiday,22274,봄
2020-03-17,non-holiday,21344,봄
2020-03-18,non-holiday,24604,봄
2020-03-19,non-holiday,20461,봄
2020-03-20,non-holiday,28863,봄
2020-03-21,holiday,52186,봄
2020-03-22,holiday,51306,봄
2020-03-23,non-holiday,26385,봄
2020-03-24,non-holiday,27055,봄
2020-03-25,non-holiday,28307,봄
2020-03-26,non-holiday,24147,봄
2020-03-27,non-holiday,28212,봄
2020-03-28,holiday,54444,봄
2020-03-29,holiday,57760,봄
2020-03-30,non-holiday,28727,봄
2020-03-31,non-holiday,28524,봄
2020-04-01,non-holiday,20208,봄
2020-04-02,non-holiday,22970,봄
2020-04-03,non-holiday,31064,봄
2020-04-04,holiday,52502,봄
2020-04-05,holiday,48731,봄
2020-04-06,non-holiday,22242,봄
2020-04-07,non-holiday,23656,봄
2020-04-08,non-holiday,25811,봄
2020-04-09,non-holiday,26971,봄
2020-04-10,non-holiday,35355,봄
2020-04-11,holiday,69016,봄
2020-04-12,holiday,62755,봄
2020-04-13,non-holiday,26281,봄
2020-04-14,non-holiday,30863,봄
2020-04-15,holiday,46396,봄
2020-04-16,non-holiday,28078,봄
2020-04-17,non-holiday,28274,봄
2020-04-18,holiday,67999,봄
2020-04-19,holiday,55315,봄
2020-04-20,non-holiday,24136,봄
2020-04-21,non-holiday,24684,봄
2020-04-22,non-holiday,24056,봄
2020-04-23,non-holiday,27048,봄
2020-04-24,non-holiday,34982,봄
2020-04-25,holiday,69903,봄
2020-04-26,holiday,74272,봄
2020-04-27,non-holiday,32188,봄
2020-04-28,non-holiday,32002,봄
2020-04-29,non-holiday,41926,봄
2020-04-30,holiday,108138,봄
2020-05-01,non-holiday,132744,봄
2020-05-02,holiday,140352,봄
2020-05-03,holiday,103109,봄
2020-05-04,non-holiday,67857,봄
2020-05-05,holiday,58414,봄
2020-05-06,non-holiday,29963,봄
2020-05-07,non-holiday,31439,봄
2020-05-08,non-holiday,35457,봄
2020-05-09,holiday,48842,봄
2020-05-10,holiday,59335,봄
2020-05-11,non-holiday,30018,봄
2020-05-12,non-holiday,28218,봄
2020-05-13,non-holiday,30388,봄
2020-05-14,non-holiday,30423,봄
2020-05-15,non-holiday,28757,봄
2020-05-16,holiday,66881,봄
2020-05-17,holiday,69482,봄
2020-05-18,non-holiday,25266,봄
2020-05-19,non-holiday,23263,봄
2020-05-20,non-holiday,31292,봄
2020-05-21,non-holiday,33350,봄
2020-05-22,non-holiday,44665,봄
2020-05-23,holiday,94185,봄
2020-05-24,holiday,76037,봄
2020-05-25,non-holiday,33056,봄
2020-05-26,non-holiday,30745,봄
2020-05-27,non-holiday,31453,봄
2020-05-28,non-holiday,33700,봄
2020-05-29,non-holiday,46143,봄
2020-05-30,holiday,95006,봄
2020-05-31,holiday,85620,봄
2020-06-01,non-holiday,29900,여름
2020-06-02,non-holiday,24615,여름
2020-06-03,non-holiday,27050,여름
2020-06-04,non-holiday,29646,여름
2020-06-05,non-holiday,52049,여름
2020-06-06,holiday,114959,여름
2020-06-07,holiday,96260,여름
2020-06-08,non-holiday,34602,여름
2020-06-09,non-holiday,30944,여름
2020-06-10,non-holiday,28047,여름
2020-06-11,non-holiday,28498,여름
2020-06-12,non-holiday,40332,여름
2020-06-13,holiday,73673,여름
2020-06-14,holiday,71851,여름
2020-06-15,non-holiday,31791,여름
2020-06-16,non-holiday,30529,여름
2020-06-17,non-holiday,30894,여름
2020-06-18,non-holiday,30900,여름
2020-06-19,non-holiday,47485,여름
2020-06-20,holiday,100042,여름
2020-06-21,holiday,90179,여름
2020-06-22,non-holiday,34727,여름
2020-06-23,non-holiday,32797,여름
2020-06-24,non-holiday,24350,여름
2020-06-25,non-holiday,26087,여름
2020-06-26,non-holiday,42067,여름
2020-06-27,holiday,91556,여름
2020-06-28,holiday,83949,여름
2020-06-29,non-holiday,30286,여름
2020-06-30,non-holiday,24420,여름
2020-07-01,non-holiday,25221,여름
2020-07-02,non-holiday,28888,여름
2020-07-03,non-holiday,42381,여름
2020-07-04,holiday,93277,여름
2020-07-05,holiday,84712,여름
2020-07-06,non-holiday,33707,여름
2020-07-07,non-holiday,31395,여름
2020-07-08,non-holiday,30623,여름
2020-07-09,non-holiday,31122,여름
2020-07-10,non-holiday,39179,여름
2020-07-11,holiday,87782,여름
2020-07-12,holiday,78286,여름
2020-07-13,non-holiday,27124,여름
2020-07-14,non-holiday,27705,여름
2020-07-15,non-holiday,33561,여름
2020-07-16,non-holiday,37664,여름
2020-07-17,holiday,50972,여름
2020-07-18,holiday,97163,여름
2020-07-19,holiday,71561,여름
2020-07-20,non-holiday,31516,여름
2020-07-21,non-holiday,34370,여름
2020-07-22,non-holiday,32264,여름
2020-07-23,non-holiday,28111,여름
2020-07-24,non-holiday,39839,여름
2020-07-25,holiday,90221,여름
2020-07-26,holiday,87567,여름
2020-07-27,non-holiday,40535,여름
2020-07-28,non-holiday,37374,여름
2020-07-29,non-holiday,36104,여름
2020-07-30,non-holiday,44841,여름
2020-07-31,non-holiday,63818,여름
2020-08-01,holiday,103318,여름
2020-08-02,holiday,101002,여름
2020-08-03,non-holiday,65255,여름
2020-08-04,non-holiday,56671,여름
2020-08-05,non-holiday,51106,여름
2020-08-06,non-holiday,46568,여름
2020-08-07,non-holiday,52992,여름
2020-08-08,holiday,68908,여름
2020-08-09,holiday,55708,여름
2020-08-10,non-holiday,40085,여름
2020-08-11,non-holiday,36352,여름
2020-08-12,non-holiday,41221,여름
2020-08-13,non-holiday,50122,여름
2020-08-14,non-holiday,64847,여름
2020-08-15,holiday,117657,여름
2020-08-16,holiday,145297,여름
2020-08-17,holiday,94399,여름
2020-08-18,non-holiday,53382,여름
2020-08-19,non-holiday,47478,여름
2020-08-20,non-holiday,47304,여름
2020-08-21,non-holiday,55333,여름
2020-08-22,holiday,86483,여름
2020-08-23,holiday,82794,여름
2020-08-24,non-holiday,42883,여름
2020-08-25,non-holiday,39299,여름
2020-08-26,non-holiday,25047,여름
2020-08-27,non-holiday,23146,여름
2020-08-28,non-holiday,35569,여름
2020-08-29,holiday,61086,여름
2020-08-30,holiday,60876,여름
2020-08-31,non-holiday,34500,여름
2020-09-01,non-holiday,31895,가을
2020-09-02,non-holiday,24001,가을
2020-09-03,non-holiday,24150,가을
2020-09-04,non-holiday,43880,가을
2020-09-05,holiday,83350,가을
2020-09-06,holiday,66968,가을
2020-09-07,non-holiday,16767,가을
2020-09-08,non-holiday,28691,가을
2020-09-09,non-holiday,31290,가을
2020-09-10,non-holiday,35387,가을
2020-09-11,non-holiday,46978,가을
2020-09-12,holiday,79266,가을
2020-09-13,holiday,89607,가을
2020-09-14,non-holiday,39394,가을
2020-09-15,non-holiday,36143,가을
2020-09-16,non-holiday,30979,가을
2020-09-17,non-holiday,35347,가을
2020-09-18,non-holiday,51725,가을
2020-09-19,holiday,95462,가을
2020-09-20,holiday,88042,가을
2020-09-21,non-holiday,35188,가을
2020-09-22,non-holiday,32563,가을
2020-09-23,non-holiday,32774,가을
2020-09-24,non-holiday,34358,가을
2020-09-25,non-holiday,43830,가을
2020-09-26,holiday,78595,가을
2020-09-27,holiday,75019,가을
2020-09-28,non-holiday,39393,가을
2020-09-29,non-holiday,42857,가을
2020-09-30,holiday,88141,가을
2020-10-01,holiday,135081,가을
2020-10-02,holiday,154437,가을
2020-10-03,holiday,116676,가을
2020-10-04,holiday,59907,가을
2020-10-05,non-holiday,26190,가을
2020-10-06,non-holiday,27525,가을
2020-10-07,non-holiday,29354,가을
2020-10-08,non-holiday,40354,가을
2020-10-09,holiday,102214,가을
2020-10-10,holiday,116344,가을
2020-10-11,holiday,85429,가을
2020-10-12,non-holiday,34745,가을
2020-10-13,non-holiday,31278,가을
2020-10-14,non-holiday,29426,가을
2020-10-15,non-holiday,32032,가을
2020-10-16,non-holiday,46581,가을
2020-10-17,holiday,95816,가을
2020-10-18,holiday,89138,가을
2020-10-19,non-holiday,35867,가을
2020-10-20,non-holiday,33975,가을
2020-10-21,non-holiday,31519,가을
2020-10-22,non-holiday,31137,가을
2020-10-23,non-holiday,40131,가을
2020-10-24,holiday,82576,가을
2020-10-25,holiday,79350,가을
2020-10-26,non-holiday,36993,가을
2020-10-27,non-holiday,34469,가을
2020-10-28,non-holiday,32954,가을
2020-10-29,non-holiday,33544,가을
2020-10-30,non-holiday,44989,가을
2020-10-31,holiday,84708,가을
2020-11-01,holiday,60637,가을
2020-11-02,non-holiday,27168,가을
2020-11-03,non-holiday,24435,가을
2020-11-04,non-holiday,24174,가을
2020-11-05,non-holiday,27429,가을
2020-11-06,non-holiday,35877,가을
2020-11-07,holiday,74469,가을
2020-11-08,holiday,65055,가을
2020-11-09,non-holiday,27821,가을
2020-11-10,non-holiday,27127,가을
2020-11-11,non-holiday,28469,가을
2020-11-12,non-holiday,30222,가을
2020-11-13,non-holiday,39342,가을
2020-11-14,holiday,73345,가을
2020-11-15,holiday,68200,가을
2020-11-16,non-holiday,31448,가을
2020-11-17,non-holiday,29366,가을
2020-11-18,non-holiday,24285,가을
2020-11-19,non-holiday,19537,가을
2020-11-20,non-holiday,31815,가을
2020-11-21,holiday,62041,가을
2020-11-22,holiday,50472,가을
2020-11-23,non-holiday,24897,가을
