날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,37112,겨울
2020-01-02,non-holiday,23115,겨울
2020-01-03,non-holiday,25317,겨울
2020-01-04,holiday,36802,겨울
2020-01-05,holiday,32389,겨울
2020-01-06,non-holiday,23176,겨울
2020-01-07,non-holiday,22125,겨울
2020-01-08,non-holiday,22435,겨울
2020-01-09,non-holiday,24919,겨울
2020-01-10,non-holiday,25467,겨울
2020-01-11,holiday,38794,겨울
2020-01-12,holiday,33454,겨울
2020-01-13,non-holiday,23240,겨울
2020-01-14,non-holiday,25406,겨울
2020-01-15,non-holiday,24564,겨울
2020-01-16,non-holiday,27249,겨울
2020-01-17,non-holiday,26829,겨울
2020-01-18,holiday,38984,겨울
2020-01-19,holiday,34279,겨울
2020-01-20,non-holiday,25088,겨울
2020-01-21,non-holiday,27908,겨울
2020-01-22,non-holiday,26897,겨울
2020-01-23,non-holiday,37925,겨울
2020-01-24,holiday,75953,겨울
2020-01-25,holiday,110654,겨울
2020-01-26,holiday,73759,겨울
2020-01-27,holiday,37221,겨울
2020-01-28,non-holiday,26340,겨울
2020-01-29,non-holiday,25899,겨울
2020-01-30,non-holiday,26479,겨울
2020-01-31,non-holiday,26911,겨울
2020-02-01,holiday,29923,겨울
2020-02-02,holiday,27222,겨울
2020-02-03,non-holiday,20240,겨울
2020-02-04,non-holiday,21763,겨울
2020-02-05,non-holiday,21426,겨울
2020-02-06,non-holiday,21944,겨울
2020-02-07,non-holiday,22286,겨울
2020-02-08,holiday,30445,겨울
2020-02-09,holiday,29417,겨울
2020-02-10,non-holiday,23044,겨울
2020-02-11,non-holiday,26347,겨울
2020-02-12,non-holiday,23412,겨울
2020-02-13,non-holiday,25323,겨울
2020-02-14,non-holiday,27558,겨울
2020-02-15,holiday,36567,겨울
2020-02-16,holiday,29527,겨울
2020-02-17,non-holiday,20609,겨울
2020-02-18,non-holiday,23928,겨울
2020-02-19,non-holiday,25113,겨울
2020-02-20,non-holiday,25592,겨울
2020-02-21,non-holiday,27662,겨울
2020-02-22,holiday,33680,겨울
2020-02-23,holiday,26850,겨울
2020-02-24,non-holiday,21862,겨울
2020-02-25,non-holiday,19330,겨울
2020-02-26,non-holiday,22205,겨울
2020-02-27,non-holiday,23331,겨울
2020-02-28,non-holiday,22608,겨울
2020-02-29,holiday,27093,겨울
2020-03-01,holiday,20627,봄
2020-03-02,non-holiday,18417,봄
2020-03-03,non-holiday,18750,봄
2020-03-04,non-holiday,18935,봄
2020-03-05,non-holiday,19826,봄
2020-03-06,non-holiday,22958,봄
2020-03-07,holiday,28299,봄
2020-03-08,holiday,27418,봄
2020-03-09,non-holiday,21525,봄
2020-03-10,non-holiday,20159,봄
2020-03-11,non-holiday,22649,봄
2020-03-12,non-holiday,23108,봄
2020-03-13,non-holiday,24003,봄
2020-03-14,holiday,32853,봄
2020-03-15,holiday,28786,봄
2020-03-16,non-holiday,22962,봄
2020-03-17,non-holiday,21719,봄
2020-03-18,non-holiday,21501,봄
2020-03-19,non-holiday,20470,봄
2020-03-20,non-holiday,23992,봄
2020-03-21,holiday,32953,봄
2020-03-22,holiday,30308,봄
2020-03-23,non-holiday,23409,봄
2020-03-24,non-holiday,23789,봄
2020-03-25,non-holiday,23965,봄
2020-03-26,non-holiday,23154,봄
2020-03-27,non-holiday,26170,봄
2020-03-28,holiday,34383,봄
2020-03-29,holiday,33608,봄
2020-03-30,non-holiday,25146,봄
2020-03-31,non-holiday,25104,봄
2020-04-01,non-holiday,19746,봄
2020-04-02,non-holiday,20031,봄
2020-04-03,non-holiday,24428,봄
2020-04-04,holiday,35645,봄
2020-04-05,holiday,33169,봄
2020-04-06,non-holiday,21514,봄
2020-04-07,non-holiday,20799,봄
2020-04-08,non-holiday,21265,봄
2020-04-09,non-holiday,22425,봄
2020-04-10,non-holiday,25346,봄
2020-04-11,holiday,36897,봄
2020-04-12,holiday,31809,봄
2020-04-13,non-holiday,22203,봄
2020-04-14,non-holiday,25430,봄
2020-04-15,holiday,27049,봄
2020-04-16,non-holiday,24853,봄
2020-04-17,non-holiday,24670,봄
2020-04-18,holiday,37049,봄
2020-04-19,holiday,31750,봄
2020-04-20,non-holiday,23344,봄
2020-04-21,non-holiday,24806,봄
2020-04-22,non-holiday,23166,봄
2020-04-23,non-holiday,24304,봄
2020-04-24,non-holiday,28199,봄
2020-04-25,holiday,38259,봄
2020-04-26,holiday,37686,봄
2020-04-27,non-holiday,25181,봄
2020-04-28,non-holiday,27023,봄
2020-04-29,non-holiday,30836,봄
2020-04-30,holiday,47381,봄
2020-05-01,non-holiday,51975,봄
2020-05-02,holiday,55633,봄
2020-05-03,holiday,45128,봄
2020-05-04,non-holiday,32409,봄
2020-05-05,holiday,30605,봄
2020-05-06,non-holiday,24438,봄
2020-05-07,non-holiday,25405,봄
2020-05-08,non-holiday,30862,봄
2020-05-09,holiday,36827,봄
2020-05-10,holiday,36259,봄
2020-05-11,non-holiday,25384,봄
2020-05-12,non-holiday,25799,봄
2020-05-13,non-holiday,25696,봄
2020-05-14,non-holiday,26601,봄
2020-05-15,non-holiday,26000,봄
2020-05-16,holiday,39270,봄
2020-05-17,holiday,36505,봄
2020-05-18,non-holiday,24847,봄
2020-05-19,non-holiday,25561,봄
2020-05-20,non-holiday,28133,봄
2020-05-21,non-holiday,29590,봄
2020-05-22,non-holiday,32025,봄
2020-05-23,holiday,42852,봄
2020-05-24,holiday,37745,봄
2020-05-25,non-holiday,28222,봄
2020-05-26,non-holiday,30501,봄
2020-05-27,non-holiday,29581,봄
2020-05-28,non-holiday,29770,봄
2020-05-29,non-holiday,33405,봄
2020-05-30,holiday,43387,봄
2020-05-31,holiday,39406,봄
2020-06-01,non-holiday,22969,여름
2020-06-02,non-holiday,23849,여름
2020-06-03,non-holiday,24200,여름
2020-06-04,non-holiday,24721,여름
2020-06-05,non-holiday,29457,여름
2020-06-06,holiday,42956,여름
2020-06-07,holiday,35130,여름
2020-06-08,non-holiday,24674,여름
2020-06-09,non-holiday,25701,여름
2020-06-10,non-holiday,24819,여름
2020-06-11,non-holiday,25946,여름
2020-06-12,non-holiday,27587,여름
2020-06-13,holiday,37155,여름
2020-06-14,holiday,34211,여름
2020-06-15,non-holiday,25576,여름
2020-06-16,non-holiday,26725,여름
2020-06-17,non-holiday,26219,여름
2020-06-18,non-holiday,26404,여름
2020-06-19,non-holiday,31444,여름
2020-06-20,holiday,42887,여름
2020-06-21,holiday,38235,여름
2020-06-22,non-holiday,26444,여름
2020-06-23,non-holiday,27424,여름
2020-06-24,non-holiday,26807,여름
2020-06-25,non-holiday,26264,여름
2020-06-26,non-holiday,31468,여름
2020-06-27,holiday,41555,여름
2020-06-28,holiday,36784,여름
2020-06-29,non-holiday,26181,여름
2020-06-30,non-holiday,26183,여름
2020-07-01,non-holiday,22493,여름
