날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,21697,겨울
2020-01-02,non-holiday,12633,겨울
2020-01-03,non-holiday,13107,겨울
2020-01-04,holiday,22401,겨울
2020-01-05,holiday,23507,겨울
2020-01-06,non-holiday,8919,겨울
2020-01-07,non-holiday,8647,겨울
2020-01-08,non-holiday,8627,겨울
2020-01-09,non-holiday,10446,겨울
2020-01-10,non-holiday,12546,겨울
2020-01-11,holiday,23982,겨울
2020-01-12,holiday,27656,겨울
2020-01-13,non-holiday,10774,겨울
2020-01-14,non-holiday,11149,겨울
2020-01-15,non-holiday,10529,겨울
2020-01-16,non-holiday,10805,겨울
2020-01-17,non-holiday,12102,겨울
2020-01-18,holiday,21464,겨울
2020-01-19,holiday,21017,겨울
2020-01-20,non-holiday,9484,겨울
2020-01-21,non-holiday,10393,겨울
2020-01-22,non-holiday,9613,겨울
2020-01-23,non-holiday,22024,겨울
2020-01-24,holiday,54119,겨울
2020-01-25,holiday,66051,겨울
2020-01-26,holiday,57712,겨울
2020-01-27,holiday,27106,겨울
2020-01-28,non-holiday,14212,겨울
2020-01-29,non-holiday,13782,겨울
2020-01-30,non-holiday,12730,겨울
2020-01-31,non-holiday,13447,겨울
2020-02-01,holiday,21097,겨울
2020-02-02,holiday,20273,겨울
2020-02-03,non-holiday,8502,겨울
2020-02-04,non-holiday,9192,겨울
2020-02-05,non-holiday,7997,겨울
2020-02-06,non-holiday,8945,겨울
2020-02-07,non-holiday,10154,겨울
2020-02-08,holiday,17585,겨울
2020-02-09,holiday,17427,겨울
2020-02-10,non-holiday,9368,겨울
2020-02-11,non-holiday,9912,겨울
2020-02-12,non-holiday,7781,겨울
2020-02-13,non-holiday,9907,겨울
2020-02-14,non-holiday,11718,겨울
2020-02-15,holiday,20834,겨울
2020-02-16,holiday,16312,겨울
2020-02-17,non-holiday,7729,겨울
2020-02-18,non-holiday,9119,겨울
2020-02-19,non-holiday,10001,겨울
2020-02-20,non-holiday,10772,겨울
2020-02-21,non-holiday,12113,겨울
2020-02-22,holiday,13969,겨울
2020-02-23,holiday,13403,겨울
2020-02-24,non-holiday,8400,겨울
2020-02-25,non-holiday,6450,겨울
2020-02-26,non-holiday,7736,겨울
2020-02-27,non-holiday,8333,겨울
2020-02-28,non-holiday,7836,겨울
2020-02-29,holiday,11188,겨울
2020-03-01,holiday,9720,봄
2020-03-02,non-holiday,6521,봄
2020-03-03,non-holiday,7122,봄
2020-03-04,non-holiday,6837,봄
2020-03-05,non-holiday,7275,봄
2020-03-06,non-holiday,8328,봄
2020-03-07,holiday,11936,봄
2020-03-08,holiday,12832,봄
2020-03-09,non-holiday,7616,봄
2020-03-10,non-holiday,6248,봄
2020-03-11,non-holiday,8199,봄
2020-03-12,non-holiday,9017,봄
2020-03-13,non-holiday,9486,봄
2020-03-14,holiday,15079,봄
2020-03-15,holiday,12834,봄
2020-03-16,non-holiday,8599,봄
2020-03-17,non-holiday,8290,봄
2020-03-18,non-holiday,9210,봄
2020-03-19,non-holiday,7731,봄
2020-03-20,non-holiday,10495,봄
2020-03-21,holiday,17386,봄
2020-03-22,holiday,17178,봄
2020-03-23,non-holiday,9165,봄
2020-03-24,non-holiday,9719,봄
2020-03-25,non-holiday,10230,봄
2020-03-26,non-holiday,9684,봄
2020-03-27,non-holiday,9705,봄
2020-03-28,holiday,18497,봄
2020-03-29,holiday,17953,봄
2020-03-30,non-holiday,10092,봄
2020-03-31,non-holiday,10275,봄
2020-04-01,non-holiday,8252,봄
2020-04-02,non-holiday,8746,봄
2020-04-03,non-holiday,11208,봄
2020-04-04,holiday,20345,봄
2020-04-05,holiday,21022,봄
2020-04-06,non-holiday,9015,봄
2020-04-07,non-holiday,9706,봄
2020-04-08,non-holiday,9833,봄
