날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,16776,겨울
2020-01-02,non-holiday,8219,겨울
2020-01-03,non-holiday,9878,겨울
2020-01-04,holiday,15105,겨울
2020-01-05,holiday,15433,겨울
2020-01-06,non-holiday,7200,겨울
2020-01-07,non-holiday,7547,겨울
2020-01-08,non-holiday,7451,겨울
2020-01-09,non-holiday,9020,겨울
2020-01-10,non-holiday,13636,겨울
2020-01-11,holiday,18622,겨울
2020-01-12,holiday,15212,겨울
2020-01-13,non-holiday,8376,겨울
2020-01-14,non-holiday,9456,겨울
2020-01-15,non-holiday,9453,겨울
2020-01-16,non-holiday,10023,겨울
2020-01-17,non-holiday,10671,겨울
2020-01-18,holiday,14834,겨울
2020-01-19,holiday,13684,겨울
2020-01-20,non-holiday,8490,겨울
2020-01-21,non-holiday,9782,겨울
2020-01-22,non-holiday,9352,겨울
2020-01-23,non-holiday,12604,겨울
2020-01-24,holiday,37284,겨울
2020-01-25,holiday,62653,겨울
2020-01-26,holiday,36363,겨울
2020-01-27,holiday,15237,겨울
2020-01-28,non-holiday,9214,겨울
2020-01-29,non-holiday,9702,겨울
2020-01-30,non-holiday,10729,겨울
2020-01-31,non-holiday,10475,겨울
2020-02-01,holiday,12191,겨울
2020-02-02,holiday,12801,겨울
2020-02-03,non-holiday,7409,겨울
2020-02-04,non-holiday,8202,겨울
2020-02-05,non-holiday,7162,겨울
2020-02-06,non-holiday,7502,겨울
2020-02-07,non-holiday,8845,겨울
2020-02-08,holiday,12795,겨울
2020-02-09,holiday,12668,겨울
2020-02-10,non-holiday,8440,겨울
2020-02-11,non-holiday,9378,겨울
2020-02-12,non-holiday,7343,겨울
2020-02-13,non-holiday,9200,겨울
2020-02-14,non-holiday,10956,겨울
2020-02-15,holiday,15675,겨울
2020-02-16,holiday,12186,겨울
2020-02-17,non-holiday,6698,겨울
2020-02-18,non-holiday,7618,겨울
2020-02-19,non-holiday,9779,겨울
2020-02-20,non-holiday,10498,겨울
2020-02-21,non-holiday,10346,겨울
2020-02-22,holiday,11369,겨울
2020-02-23,holiday,11988,겨울
2020-02-24,non-holiday,9072,겨울
2020-02-25,non-holiday,6406,겨울
2020-02-26,non-holiday,8863,겨울
2020-02-27,non-holiday,9487,겨울
2020-02-28,non-holiday,8296,겨울
2020-02-29,holiday,12173,겨울
2020-03-01,holiday,11492,봄
2020-03-02,non-holiday,7817,봄
2020-03-03,non-holiday,8382,봄
2020-03-04,non-holiday,7976,봄
2020-03-05,non-holiday,8833,봄
2020-03-06,non-holiday,10004,봄
2020-03-07,holiday,13486,봄
2020-03-08,holiday,17551,봄
2020-03-09,non-holiday,9171,봄
2020-03-10,non-holiday,7184,봄
2020-03-11,non-holiday,10046,봄
2020-03-12,non-holiday,10321,봄
2020-03-13,non-holiday,10746,봄
2020-03-14,holiday,15979,봄
2020-03-15,holiday,15341,봄
2020-03-16,non-holiday,10139,봄
2020-03-17,non-holiday,10136,봄
2020-03-18,non-holiday,11325,봄
2020-03-19,non-holiday,9576,봄
2020-03-20,non-holiday,11996,봄
2020-03-21,holiday,20175,봄
2020-03-22,holiday,21286,봄
2020-03-23,non-holiday,11485,봄
2020-03-24,non-holiday,12139,봄
2020-03-25,non-holiday,12492,봄
2020-03-26,non-holiday,11448,봄
2020-03-27,non-holiday,11102,봄
2020-03-28,holiday,18960,봄
2020-03-29,holiday,21211,봄
2020-03-30,non-holiday,12510,봄
2020-03-31,non-holiday,13240,봄
2020-04-01,non-holiday,10151,봄
2020-04-02,non-holiday,11593,봄
2020-04-03,non-holiday,13343,봄
2020-04-04,holiday,23158,봄
2020-04-05,holiday,26522,봄
2020-04-06,non-holiday,10932,봄
2020-04-07,non-holiday,11440,봄
2020-04-08,non-holiday,11331,봄
2020-04-09,non-holiday,11366,봄
2020-04-10,non-holiday,13125,봄
2020-04-11,holiday,21530,봄
2020-04-12,holiday,20445,봄
2020-04-13,non-holiday,11271,봄
2020-04-14,non-holiday,13093,봄
2020-04-15,holiday,17540,봄
2020-04-16,non-holiday,11905,봄
2020-04-17,non-holiday,10757,봄
2020-04-18,holiday,19962,봄
2020-04-19,holiday,17634,봄
2020-04-20,non-holiday,10305,봄
2020-04-21,non-holiday,11834,봄
2020-04-22,non-holiday,11133,봄
2020-04-23,non-holiday,11991,봄
2020-04-24,non-holiday,12481,봄
2020-04-25,holiday,20475,봄
2020-04-26,holiday,23509,봄
2020-04-27,non-holiday,11893,봄
2020-04-28,non-holiday,12298,봄
2020-04-29,non-holiday,14781,봄
2020-04-30,holiday,30371,봄
2020-05-01,non-holiday,28102,봄
2020-05-02,holiday,31402,봄
2020-05-03,holiday,24580,봄
2020-05-04,non-holiday,15550,봄
2020-05-05,holiday,19062,봄
2020-05-06,non-holiday,10900,봄
2020-05-07,non-holiday,11956,봄
2020-05-08,non-holiday,14544,봄
2020-05-09,holiday,16264,봄
2020-05-10,holiday,20154,봄
2020-05-11,non-holiday,11039,봄
2020-05-12,non-holiday,11733,봄
2020-05-13,non-holiday,11867,봄
2020-05-14,non-holiday,12156,봄
2020-05-15,non-holiday,10713,봄
2020-05-16,holiday,20412,봄
2020-05-17,holiday,22795,봄
2020-05-18,non-holiday,10489,봄
2020-05-19,non-holiday,9501,봄
2020-05-20,non-holiday,11989,봄
2020-05-21,non-holiday,12696,봄
2020-05-22,non-holiday,13772,봄
2020-05-23,holiday,22866,봄
2020-05-24,holiday,20028,봄
2020-05-25,non-holiday,11703,봄
2020-05-26,non-holiday,12894,봄
2020-05-27,non-holiday,12416,봄
2020-05-28,non-holiday,12414,봄
2020-05-29,non-holiday,14168,봄
2020-05-30,holiday,25911,봄
2020-05-31,holiday,23936,봄
2020-06-01,non-holiday,9962,여름
2020-06-02,non-holiday,9889,여름
2020-06-03,non-holiday,10128,여름
2020-06-04,non-holiday,10856,여름
2020-06-05,non-holiday,12944,여름
2020-06-06,holiday,24365,여름
2020-06-07,holiday,22582,여름
2020-06-08,non-holiday,10548,여름
2020-06-09,non-holiday,11473,여름
2020-06-10,non-holiday,11071,여름
2020-06-11,non-holiday,11409,여름
2020-06-12,non-holiday,12739,여름
2020-06-13,holiday,19262,여름
2020-06-14,holiday,19822,여름
2020-06-15,non-holiday,10763,여름
2020-06-16,non-holiday,11340,여름
2020-06-17,non-holiday,11455,여름
2020-06-18,non-holiday,11791,여름
2020-06-19,non-holiday,14002,여름
2020-06-20,holiday,25254,여름
2020-06-21,holiday,26896,여름
2020-06-22,non-holiday,12148,여름
2020-06-23,non-holiday,12014,여름
2020-06-24,non-holiday,10769,여름
2020-06-25,non-holiday,10447,여름
2020-06-26,non-holiday,13884,여름
2020-06-27,holiday,24762,여름
2020-06-28,holiday,25262,여름
2020-06-29,non-holiday,10897,여름
2020-06-30,non-holiday,9495,여름
2020-07-01,non-holiday,10307,여름
2020-07-02,non-holiday,10796,여름
2020-07-03,non-holiday,12437,여름
2020-07-04,holiday,24647,여름
2020-07-05,holiday,25024,여름
2020-07-06,non-holiday,10818,여름
2020-07-07,non-holiday,11340,여름
2020-07-08,non-holiday,11782,여름
2020-07-09,non-holiday,12334,여름
2020-07-10,non-holiday,11857,여름
2020-07-11,holiday,24585,여름
2020-07-12,holiday,23329,여름
2020-07-13,non-holiday,8997,여름
2020-07-14,non-holiday,10639,여름
2020-07-15,non-holiday,12181,여름
2020-07-16,non-holiday,14094,여름
2020-07-17,holiday,15365,여름
2020-07-18,holiday,26822,여름
2020-07-19,holiday,23598,여름
2020-07-20,non-holiday,10237,여름
2020-07-21,non-holiday,13461,여름
2020-07-22,non-holiday,10938,여름
2020-07-23,non-holiday,10693,여름
2020-07-24,non-holiday,12695,여름
2020-07-25,holiday,21784,여름
2020-07-26,holiday,23747,여름
2020-07-27,non-holiday,12664,여름
2020-07-28,non-holiday,11677,여름
2020-07-29,non-holiday,10409,여름
2020-07-30,non-holiday,11340,여름
2020-07-31,non-holiday,16642,여름
2020-08-01,holiday,27277,여름
