날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,34432,겨울
2020-01-02,non-holiday,23188,겨울
2020-01-03,non-holiday,27109,겨울
2020-01-04,holiday,38877,겨울
2020-01-05,holiday,33907,겨울
2020-01-06,non-holiday,21253,겨울
2020-01-07,non-holiday,20045,겨울
2020-01-08,non-holiday,21554,겨울
2020-01-09,non-holiday,23896,겨울
2020-01-10,non-holiday,27059,겨울
2020-01-11,holiday,41622,겨울
2020-01-12,holiday,38153,겨울
2020-01-13,non-holiday,24750,겨울
2020-01-14,non-holiday,25175,겨울
2020-01-15,non-holiday,24485,겨울
2020-01-16,non-holiday,26176,겨울
2020-01-17,non-holiday,29208,겨울
2020-01-18,holiday,42282,겨울
2020-01-19,holiday,34992,겨울
2020-01-20,non-holiday,24543,겨울
2020-01-21,non-holiday,24765,겨울
2020-01-22,non-holiday,24378,겨울
2020-01-23,non-holiday,36225,겨울
2020-01-24,holiday,82177,겨울
2020-01-25,holiday,111482,겨울
2020-01-26,holiday,79287,겨울
2020-01-27,holiday,40341,겨울
2020-01-28,non-holiday,25203,겨울
2020-01-29,non-holiday,24218,겨울
2020-01-30,non-holiday,23785,겨울
2020-01-31,non-holiday,25278,겨울
2020-02-01,holiday,28752,겨울
2020-02-02,holiday,25820,겨울
2020-02-03,non-holiday,19233,겨울
2020-02-04,non-holiday,19491,겨울
2020-02-05,non-holiday,18418,겨울
2020-02-06,non-holiday,18981,겨울
2020-02-07,non-holiday,21988,겨울
2020-02-08,holiday,31884,겨울
2020-02-09,holiday,28335,겨울
2020-02-10,non-holiday,22144,겨울
2020-02-11,non-holiday,22685,겨울
2020-02-12,non-holiday,20261,겨울
2020-02-13,non-holiday,22074,겨울
2020-02-14,non-holiday,26332,겨울
2020-02-15,holiday,36242,겨울
2020-02-16,holiday,28419,겨울
2020-02-17,non-holiday,19645,겨울
2020-02-18,non-holiday,21885,겨울
2020-02-19,non-holiday,22931,겨울
2020-02-20,non-holiday,23513,겨울
2020-02-21,non-holiday,25397,겨울
2020-02-22,holiday,30035,겨울
2020-02-23,holiday,26574,겨울
2020-02-24,non-holiday,21014,겨울
2020-02-25,non-holiday,18559,겨울
2020-02-26,non-holiday,20686,겨울
2020-02-27,non-holiday,21301,겨울
2020-02-28,non-holiday,21224,겨울
2020-02-29,holiday,28087,겨울
2020-03-01,holiday,21119,봄
2020-03-02,non-holiday,18005,봄
2020-03-03,non-holiday,17804,봄
2020-03-04,non-holiday,17846,봄
2020-03-05,non-holiday,18734,봄
2020-03-06,non-holiday,21270,봄
2020-03-07,holiday,28770,봄
2020-03-08,holiday,28044,봄
2020-03-09,non-holiday,20441,봄
2020-03-10,non-holiday,19382,봄
2020-03-11,non-holiday,21804,봄
2020-03-12,non-holiday,22235,봄
2020-03-13,non-holiday,24857,봄
2020-03-14,holiday,34276,봄
2020-03-15,holiday,29206,봄
2020-03-16,non-holiday,22332,봄
2020-03-17,non-holiday,21477,봄
2020-03-18,non-holiday,23677,봄
2020-03-19,non-holiday,21039,봄
2020-03-20,non-holiday,26417,봄
