날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,61490,겨울
2020-01-02,non-holiday,52638,겨울
2020-01-03,non-holiday,60979,겨울
2020-01-04,holiday,75700,겨울
2020-01-05,holiday,62700,겨울
2020-01-06,non-holiday,52410,겨울
2020-01-07,non-holiday,54525,겨울
2020-01-08,non-holiday,56395,겨울
2020-01-09,non-holiday,59976,겨울
2020-01-10,non-holiday,65947,겨울
2020-01-11,holiday,81059,겨울
2020-01-12,holiday,68123,겨울
2020-01-13,non-holiday,57439,겨울
2020-01-14,non-holiday,60388,겨울
2020-01-15,non-holiday,62554,겨울
2020-01-16,non-holiday,64545,겨울
2020-01-17,non-holiday,68414,겨울
2020-01-18,holiday,80827,겨울
2020-01-19,holiday,65832,겨울
2020-01-20,non-holiday,59469,겨울
2020-01-21,non-holiday,60882,겨울
2020-01-22,non-holiday,63162,겨울
2020-01-23,non-holiday,74573,겨울
2020-01-24,holiday,97109,겨울
2020-01-25,holiday,131890,겨울
2020-01-26,holiday,93457,겨울
2020-01-27,holiday,67259,겨울
2020-01-28,non-holiday,59484,겨울
2020-01-29,non-holiday,59986,겨울
2020-01-30,non-holiday,61606,겨울
2020-01-31,non-holiday,64152,겨울
2020-02-01,holiday,65223,겨울
2020-02-02,holiday,55076,겨울
2020-02-03,non-holiday,49035,겨울
2020-02-04,non-holiday,50696,겨울
2020-02-05,non-holiday,50513,겨울
2020-02-06,non-holiday,51838,겨울
2020-02-07,non-holiday,56434,겨울
2020-02-08,holiday,73085,겨울
2020-02-09,holiday,58985,겨울
2020-02-10,non-holiday,55094,겨울
2020-02-11,non-holiday,56508,겨울
2020-02-12,non-holiday,53729,겨울
2020-02-13,non-holiday,59422,겨울
2020-02-14,non-holiday,67495,겨울
2020-02-15,holiday,81525,겨울
2020-02-16,holiday,60734,겨울
2020-02-17,non-holiday,51269,겨울
2020-02-18,non-holiday,57880,겨울
2020-02-19,non-holiday,61055,겨울
2020-02-20,non-holiday,63545,겨울
2020-02-21,non-holiday,65758,겨울
2020-02-22,holiday,61068,겨울
2020-02-23,holiday,45797,겨울
2020-02-24,non-holiday,46746,겨울
2020-02-25,non-holiday,43457,겨울
2020-02-26,non-holiday,48010,겨울
2020-02-27,non-holiday,47339,겨울
2020-02-28,non-holiday,47072,겨울
2020-02-29,holiday,50883,겨울
2020-03-01,holiday,35679,봄
2020-03-02,non-holiday,38376,봄
2020-03-03,non-holiday,40650,봄
2020-03-04,non-holiday,41433,봄
2020-03-05,non-holiday,42623,봄
2020-03-06,non-holiday,48339,봄
2020-03-07,holiday,52260,봄
2020-03-08,holiday,48081,봄
2020-03-09,non-holiday,45196,봄
2020-03-10,non-holiday,43157,봄
2020-03-11,non-holiday,47375,봄
2020-03-12,non-holiday,49897,봄
2020-03-13,non-holiday,54599,봄
2020-03-14,holiday,62683,봄
2020-03-15,holiday,51479,봄
2020-03-16,non-holiday,49604,봄
2020-03-17,non-holiday,50523,봄
2020-03-18,non-holiday,54594,봄
2020-03-19,non-holiday,50820,봄
2020-03-20,non-holiday,60597,봄
2020-03-21,holiday,69955,봄
2020-03-22,holiday,60337,봄
2020-03-23,non-holiday,54857,봄
2020-03-24,non-holiday,55377,봄
2020-03-25,non-holiday,58013,봄
2020-03-26,non-holiday,55064,봄
2020-03-27,non-holiday,59361,봄
2020-03-28,holiday,70565,봄
2020-03-29,holiday,62984,봄
2020-03-30,non-holiday,57887,봄
2020-03-31,non-holiday,58268,봄
2020-04-01,non-holiday,44446,봄
2020-04-02,non-holiday,46084,봄
2020-04-03,non-holiday,52675,봄
2020-04-04,holiday,62548,봄
2020-04-05,holiday,56777,봄
2020-04-06,non-holiday,46465,봄
2020-04-07,non-holiday,47924,봄
2020-04-08,non-holiday,49412,봄
2020-04-09,non-holiday,50073,봄
2020-04-10,non-holiday,56261,봄
2020-04-11,holiday,66709,봄
2020-04-12,holiday,54675,봄
2020-04-13,non-holiday,50760,봄
2020-04-14,non-holiday,56977,봄
2020-04-15,holiday,55986,봄
2020-04-16,non-holiday,54809,봄
2020-04-17,non-holiday,56890,봄
2020-04-18,holiday,73077,봄
2020-04-19,holiday,56632,봄
2020-04-20,non-holiday,52366,봄
2020-04-21,non-holiday,54577,봄
2020-04-22,non-holiday,54747,봄
2020-04-23,non-holiday,57327,봄
2020-04-24,non-holiday,65067,봄
2020-04-25,holiday,76987,봄
2020-04-26,holiday,67111,봄
2020-04-27,non-holiday,57073,봄
2020-04-28,non-holiday,61024,봄
2020-04-29,non-holiday,69515,봄
2020-04-30,holiday,79603,봄
2020-05-01,non-holiday,67195,봄
2020-05-02,holiday,79847,봄
2020-05-03,holiday,68217,봄
2020-05-04,non-holiday,59706,봄
2020-05-05,holiday,59339,봄
2020-05-06,non-holiday,51473,봄
2020-05-07,non-holiday,55668,봄
2020-05-08,non-holiday,64918,봄
2020-05-09,holiday,75680,봄
