날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,79500,겨울
2020-01-02,non-holiday,70587,겨울
2020-01-03,non-holiday,81481,겨울
2020-01-04,holiday,98417,겨울
2020-01-05,holiday,81653,겨울
2020-01-06,non-holiday,71292,겨울
2020-01-07,non-holiday,74355,겨울
2020-01-08,non-holiday,78835,겨울
2020-01-09,non-holiday,82840,겨울
2020-01-10,non-holiday,90570,겨울
2020-01-11,holiday,105662,겨울
2020-01-12,holiday,87916,겨울
2020-01-13,non-holiday,80506,겨울
2020-01-14,non-holiday,84103,겨울
2020-01-15,non-holiday,86560,겨울
2020-01-16,non-holiday,86438,겨울
2020-01-17,non-holiday,92112,겨울
2020-01-18,holiday,104601,겨울
2020-01-19,holiday,86987,겨울
2020-01-20,non-holiday,84459,겨울
2020-01-21,non-holiday,89103,겨울
2020-01-22,non-holiday,90438,겨울
2020-01-23,non-holiday,100910,겨울
2020-01-24,holiday,119209,겨울
2020-01-25,holiday,152360,겨울
2020-01-26,holiday,124393,겨울
2020-01-27,holiday,96807,겨울
2020-01-28,non-holiday,81828,겨울
2020-01-29,non-holiday,83754,겨울
2020-01-30,non-holiday,86196,겨울
2020-01-31,non-holiday,89024,겨울
2020-02-01,holiday,83426,겨울
2020-02-02,holiday,66900,겨울
2020-02-03,non-holiday,66372,겨울
2020-02-04,non-holiday,70053,겨울
2020-02-05,non-holiday,69449,겨울
2020-02-06,non-holiday,71972,겨울
2020-02-07,non-holiday,78715,겨울
2020-02-08,holiday,90935,겨울
2020-02-09,holiday,76155,겨울
2020-02-10,non-holiday,73349,겨울
2020-02-11,non-holiday,80151,겨울
2020-02-12,non-holiday,76685,겨울
2020-02-13,non-holiday,81012,겨울
2020-02-14,non-holiday,91443,겨울
2020-02-15,holiday,102875,겨울
2020-02-16,holiday,81310,겨울
2020-02-17,non-holiday,72048,겨울
2020-02-18,non-holiday,78925,겨울
2020-02-19,non-holiday,83596,겨울
2020-02-20,non-holiday,85193,겨울
2020-02-21,non-holiday,87759,겨울
2020-02-22,holiday,81615,겨울
2020-02-23,holiday,62289,겨울
2020-02-24,non-holiday,66046,겨울
2020-02-25,non-holiday,62754,겨울
2020-02-26,non-holiday,67752,겨울
2020-02-27,non-holiday,68199,겨울
2020-02-28,non-holiday,69584,겨울
2020-02-29,holiday,70110,겨울
2020-03-01,holiday,47278,봄
2020-03-02,non-holiday,54590,봄
2020-03-03,non-holiday,57342,봄
2020-03-04,non-holiday,57914,봄
2020-03-05,non-holiday,60101,봄
2020-03-06,non-holiday,67304,봄
2020-03-07,holiday,70462,봄
2020-03-08,holiday,63180,봄
2020-03-09,non-holiday,63793,봄
2020-03-10,non-holiday,62287,봄
2020-03-11,non-holiday,68686,봄
2020-03-12,non-holiday,71467,봄
2020-03-13,non-holiday,75564,봄
2020-03-14,holiday,83284,봄
2020-03-15,holiday,67477,봄
2020-03-16,non-holiday,69633,봄
2020-03-17,non-holiday,70204,봄
2020-03-18,non-holiday,75221,봄
2020-03-19,non-holiday,71221,봄
2020-03-20,non-holiday,84111,봄
2020-03-21,holiday,88706,봄
2020-03-22,holiday,75393,봄
2020-03-23,non-holiday,73185,봄
2020-03-24,non-holiday,76941,봄
2020-03-25,non-holiday,80124,봄
2020-03-26,non-holiday,77537,봄
2020-03-27,non-holiday,82097,봄
2020-03-28,holiday,90903,봄
2020-03-29,holiday,78356,봄
2020-03-30,non-holiday,78201,봄
2020-03-31,non-holiday,79771,봄
2020-04-01,non-holiday,60501,봄
2020-04-02,non-holiday,63147,봄
2020-04-03,non-holiday,71573,봄
2020-04-04,holiday,80293,봄
2020-04-05,holiday,69178,봄
2020-04-06,non-holiday,64645,봄
2020-04-07,non-holiday,66984,봄
2020-04-08,non-holiday,69233,봄
2020-04-09,non-holiday,70195,봄
2020-04-10,non-holiday,77075,봄
2020-04-11,holiday,87092,봄
2020-04-12,holiday,71790,봄
2020-04-13,non-holiday,69039,봄
2020-04-14,non-holiday,77589,봄
2020-04-15,holiday,74035,봄
2020-04-16,non-holiday,75349,봄
2020-04-17,non-holiday,80678,봄
2020-04-18,holiday,93242,봄
2020-04-19,holiday,76690,봄
2020-04-20,non-holiday,71295,봄
2020-04-21,non-holiday,76539,봄
2020-04-22,non-holiday,76206,봄
2020-04-23,non-holiday,78713,봄
2020-04-24,non-holiday,87366,봄
2020-04-25,holiday,99571,봄
2020-04-26,holiday,85668,봄
2020-04-27,non-holiday,79114,봄
2020-04-28,non-holiday,82973,봄
2020-04-29,non-holiday,93005,봄
2020-04-30,holiday,98699,봄
2020-05-01,non-holiday,86113,봄
2020-05-02,holiday,101064,봄
2020-05-03,holiday,92951,봄
2020-05-04,non-holiday,79391,봄
2020-05-05,holiday,80423,봄
2020-05-06,non-holiday,72414,봄
2020-05-07,non-holiday,79048,봄
2020-05-08,non-holiday,91877,봄
2020-05-09,holiday,91227,봄
2020-05-10,holiday,80494,봄
2020-05-11,non-holiday,73357,봄
2020-05-12,non-holiday,76599,봄
2020-05-13,non-holiday,80371,봄
2020-05-14,non-holiday,81526,봄
2020-05-15,non-holiday,85604,봄
2020-05-16,holiday,101655,봄
2020-05-17,holiday,85375,봄
2020-05-18,non-holiday,78523,봄
2020-05-19,non-holiday,79628,봄
2020-05-20,non-holiday,86300,봄
2020-05-21,non-holiday,87911,봄
2020-05-22,non-holiday,95843,봄
2020-05-23,holiday,107639,봄
2020-05-24,holiday,87771,봄
2020-05-25,non-holiday,86723,봄
2020-05-26,non-holiday,87437,봄
2020-05-27,non-holiday,91069,봄
2020-05-28,non-holiday,91718,봄
2020-05-29,non-holiday,101750,봄
2020-05-30,holiday,109347,봄
2020-05-31,holiday,96087,봄
2020-06-01,non-holiday,68268,여름
2020-06-02,non-holiday,71633,여름
2020-06-03,non-holiday,75542,여름
2020-06-04,non-holiday,77922,여름
2020-06-05,non-holiday,87825,여름
2020-06-06,holiday,96603,여름
2020-06-07,holiday,84493,여름
2020-06-08,non-holiday,77087,여름
2020-06-09,non-holiday,78925,여름
2020-06-10,non-holiday,78695,여름
2020-06-11,non-holiday,82706,여름
2020-06-12,non-holiday,92400,여름
2020-06-13,holiday,109452,여름
2020-06-14,holiday,87220,여름
2020-06-15,non-holiday,81851,여름
2020-06-16,non-holiday,84253,여름
2020-06-17,non-holiday,85040,여름
2020-06-18,non-holiday,85038,여름
2020-06-19,non-holiday,93768,여름
2020-06-20,holiday,106439,여름
2020-06-21,holiday,88296,여름
2020-06-22,non-holiday,83047,여름
2020-06-23,non-holiday,87279,여름
2020-06-24,non-holiday,85010,여름
2020-06-25,non-holiday,86083,여름
2020-06-26,non-holiday,98779,여름
2020-06-27,holiday,110978,여름
2020-06-28,holiday,93548,여름
2020-06-29,non-holiday,84467,여름
2020-06-30,non-holiday,85419,여름
2020-07-01,non-holiday,70230,여름
2020-07-02,non-holiday,72044,여름
2020-07-03,non-holiday,82686,여름
2020-07-04,holiday,100623,여름
2020-07-05,holiday,84697,여름
2020-07-06,non-holiday,71974,여름
2020-07-07,non-holiday,73948,여름
2020-07-08,non-holiday,76520,여름
2020-07-09,non-holiday,77211,여름
2020-07-10,non-holiday,84791,여름
2020-07-11,holiday,104481,여름
2020-07-12,holiday,85280,여름
2020-07-13,non-holiday,68891,여름
2020-07-14,non-holiday,75568,여름
2020-07-15,non-holiday,80657,여름
2020-07-16,non-holiday,82472,여름
2020-07-17,holiday,92709,여름
2020-07-18,holiday,106183,여름
2020-07-19,holiday,88036,여름
2020-07-20,non-holiday,76827,여름
2020-07-21,non-holiday,82111,여름
2020-07-22,non-holiday,79430,여름
2020-07-23,non-holiday,78627,여름
2020-07-24,non-holiday,89672,여름
2020-07-25,holiday,104643,여름
2020-07-26,holiday,91536,여름
2020-07-27,non-holiday,81275,여름
2020-07-28,non-holiday,83696,여름
2020-07-29,non-holiday,82918,여름
2020-07-30,non-holiday,85214,여름
2020-07-31,non-holiday,97020,여름
2020-08-01,holiday,94287,여름
2020-08-02,holiday,80755,여름
2020-08-03,non-holiday,72887,여름
2020-08-04,non-holiday,74951,여름
2020-08-05,non-holiday,73909,여름
2020-08-06,non-holiday,73553,여름
2020-08-07,non-holiday,82416,여름
2020-08-08,holiday,90757,여름
2020-08-09,holiday,77821,여름
2020-08-10,non-holiday,70701,여름
2020-08-11,non-holiday,74313,여름
2020-08-12,non-holiday,79131,여름
2020-08-13,non-holiday,84391,여름
2020-08-14,non-holiday,94589,여름
2020-08-15,holiday,103019,여름
2020-08-16,holiday,93602,여름
2020-08-17,holiday,86782,여름
2020-08-18,non-holiday,80023,여름
2020-08-19,non-holiday,80765,여름
2020-08-20,non-holiday,80772,여름
2020-08-21,non-holiday,87011,여름
2020-08-22,holiday,91865,여름
2020-08-23,holiday,72391,여름
2020-08-24,non-holiday,72679,여름
2020-08-25,non-holiday,75543,여름
2020-08-26,non-holiday,72162,여름
2020-08-27,non-holiday,70576,여름
2020-08-28,non-holiday,79980,여름
2020-08-29,holiday,81649,여름
2020-08-30,holiday,69892,여름
2020-08-31,non-holiday,75287,여름
2020-09-01,non-holiday,67904,가을
2020-09-02,non-holiday,63710,가을
2020-09-03,non-holiday,65958,가을
2020-09-04,non-holiday,79776,가을
2020-09-05,holiday,82669,가을
2020-09-06,holiday,68649,가을
2020-09-07,non-holiday,61476,가을
2020-09-08,non-holiday,75209,가을
2020-09-09,non-holiday,75733,가을
2020-09-10,non-holiday,79923,가을
2020-09-11,non-holiday,87386,가을
2020-09-12,holiday,90841,가을
2020-09-13,holiday,83520,가을
2020-09-14,non-holiday,78099,가을
2020-09-15,non-holiday,80718,가을
2020-09-16,non-holiday,87248,가을
2020-09-17,non-holiday,89582,가을
2020-09-18,non-holiday,102044,가을
2020-09-19,holiday,109136,가을
2020-09-20,holiday,92745,가을
2020-09-21,non-holiday,90274,가을
2020-09-22,non-holiday,93959,가을
2020-09-23,non-holiday,95258,가을
2020-09-24,non-holiday,99225,가을
2020-09-25,non-holiday,105176,가을
2020-09-26,holiday,110813,가을
2020-09-27,holiday,93972,가을
2020-09-28,non-holiday,99108,가을
2020-09-29,non-holiday,105879,가을
2020-09-30,holiday,104389,가을
2020-10-01,holiday,104242,가을
2020-10-02,holiday,98897,가을
