날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,55552,겨울
2020-01-02,non-holiday,37206,겨울
2020-01-03,non-holiday,43045,겨울
2020-01-04,holiday,60790,겨울
2020-01-05,holiday,56104,겨울
2020-01-06,non-holiday,35691,겨울
2020-01-07,non-holiday,35333,겨울
2020-01-08,non-holiday,37336,겨울
2020-01-09,non-holiday,40044,겨울
2020-01-10,non-holiday,45178,겨울
2020-01-11,holiday,71170,겨울
2020-01-12,holiday,62535,겨울
2020-01-13,non-holiday,41482,겨울
2020-01-14,non-holiday,42565,겨울
2020-01-15,non-holiday,45141,겨울
2020-01-16,non-holiday,46170,겨울
2020-01-17,non-holiday,50215,겨울
2020-01-18,holiday,64922,겨울
2020-01-19,holiday,58880,겨울
2020-01-20,non-holiday,46624,겨울
2020-01-21,non-holiday,46032,겨울
2020-01-22,non-holiday,46593,겨울
2020-01-23,non-holiday,70476,겨울
2020-01-24,holiday,130957,겨울
2020-01-25,holiday,180929,겨울
2020-01-26,holiday,129065,겨울
2020-01-27,holiday,73876,겨울
2020-01-28,non-holiday,46857,겨울
2020-01-29,non-holiday,46248,겨울
2020-01-30,non-holiday,48290,겨울
2020-01-31,non-holiday,50377,겨울
2020-02-01,holiday,50126,겨울
2020-02-02,holiday,45427,겨울
2020-02-03,non-holiday,33234,겨울
2020-02-04,non-holiday,34923,겨울
2020-02-05,non-holiday,32429,겨울
2020-02-06,non-holiday,33418,겨울
2020-02-07,non-holiday,38915,겨울
2020-02-08,holiday,54217,겨울
2020-02-09,holiday,49049,겨울
2020-02-10,non-holiday,37244,겨울
2020-02-11,non-holiday,39323,겨울
2020-02-12,non-holiday,36164,겨울
2020-02-13,non-holiday,40158,겨울
2020-02-14,non-holiday,45908,겨울
2020-02-15,holiday,64200,겨울
2020-02-16,holiday,51441,겨울
2020-02-17,non-holiday,34296,겨울
2020-02-18,non-holiday,37851,겨울
2020-02-19,non-holiday,40860,겨울
2020-02-20,non-holiday,43921,겨울
2020-02-21,non-holiday,45422,겨울
2020-02-22,holiday,53332,겨울
2020-02-23,holiday,47494,겨울
2020-02-24,non-holiday,38186,겨울
2020-02-25,non-holiday,32002,겨울
2020-02-26,non-holiday,35701,겨울
2020-02-27,non-holiday,36938,겨울
2020-02-28,non-holiday,36361,겨울
2020-02-29,holiday,44131,겨울
2020-03-01,holiday,33392,봄
2020-03-02,non-holiday,28726,봄
2020-03-03,non-holiday,30647,봄
2020-03-04,non-holiday,30943,봄
2020-03-05,non-holiday,32779,봄
2020-03-06,non-holiday,36699,봄
2020-03-07,holiday,45533,봄
2020-03-08,holiday,46310,봄
2020-03-09,non-holiday,35755,봄
2020-03-10,non-holiday,30386,봄
2020-03-11,non-holiday,37245,봄
2020-03-12,non-holiday,38488,봄
2020-03-13,non-holiday,42474,봄
2020-03-14,holiday,53414,봄
2020-03-15,holiday,48613,봄
2020-03-16,non-holiday,39102,봄
2020-03-17,non-holiday,38733,봄
2020-03-18,non-holiday,41220,봄
2020-03-19,non-holiday,39028,봄
2020-03-20,non-holiday,47573,봄
2020-03-21,holiday,62193,봄
2020-03-22,holiday,58766,봄
2020-03-23,non-holiday,42414,봄
2020-03-24,non-holiday,43242,봄
2020-03-25,non-holiday,45281,봄
2020-03-26,non-holiday,44268,봄
2020-03-27,non-holiday,47575,봄
2020-03-28,holiday,64073,봄
2020-03-29,holiday,61457,봄
2020-03-30,non-holiday,47284,봄
2020-03-31,non-holiday,46622,봄
2020-04-01,non-holiday,31974,봄
2020-04-02,non-holiday,35276,봄
2020-04-03,non-holiday,41285,봄
2020-04-04,holiday,61031,봄
2020-04-05,holiday,59850,봄
2020-04-06,non-holiday,37832,봄
2020-04-07,non-holiday,37893,봄
2020-04-08,non-holiday,38248,봄
2020-04-09,non-holiday,40074,봄
2020-04-10,non-holiday,45846,봄
2020-04-11,holiday,66224,봄
2020-04-12,holiday,59656,봄
2020-04-13,non-holiday,40609,봄
2020-04-14,non-holiday,44307,봄
2020-04-15,holiday,49577,봄
2020-04-16,non-holiday,43826,봄
2020-04-17,non-holiday,44251,봄
2020-04-18,holiday,68631,봄
2020-04-19,holiday,58745,봄
2020-04-20,non-holiday,42672,봄
2020-04-21,non-holiday,44287,봄
2020-04-22,non-holiday,42727,봄
2020-04-23,non-holiday,44258,봄
2020-04-24,non-holiday,52231,봄
2020-04-25,holiday,72137,봄
2020-04-26,holiday,68589,봄
2020-04-27,non-holiday,45894,봄
2020-04-28,non-holiday,48795,봄
2020-04-29,non-holiday,58467,봄
2020-04-30,holiday,98696,봄
2020-05-01,non-holiday,94048,봄
2020-05-02,holiday,107612,봄
2020-05-03,holiday,91964,봄
2020-05-04,non-holiday,59900,봄
2020-05-05,holiday,58377,봄
2020-05-06,non-holiday,42817,봄
2020-05-07,non-holiday,46813,봄
2020-05-08,non-holiday,58601,봄
2020-05-09,holiday,69625,봄
2020-05-10,holiday,69262,봄
2020-05-11,non-holiday,44289,봄
2020-05-12,non-holiday,45715,봄
2020-05-13,non-holiday,46114,봄
2020-05-14,non-holiday,47925,봄
2020-05-15,non-holiday,48674,봄
2020-05-16,holiday,77012,봄
2020-05-17,holiday,73238,봄
2020-05-18,non-holiday,45355,봄
2020-05-19,non-holiday,42470,봄
2020-05-20,non-holiday,48725,봄
2020-05-21,non-holiday,50953,봄
2020-05-22,non-holiday,58995,봄
2020-05-23,holiday,85928,봄
2020-05-24,holiday,73356,봄
2020-05-25,non-holiday,50341,봄
2020-05-26,non-holiday,51081,봄
2020-05-27,non-holiday,51940,봄
2020-05-28,non-holiday,53698,봄
2020-05-29,non-holiday,62718,봄
