서울특별시 종로구,서울특별시 용산구,서울특별시 송파구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 남구,부산광역시 해운대구,부산광역시 사하구,부산광역시 강서구,부산광역시 수영구,부산광역시 기장군,대구광역시 중구,대구광역시 동구,대구광역시 수성구,인천광역시 중구,인천광역시 연수구,인천광역시 강화군,광주광역시 서구,대전광역시 중구,대전광역시 유성구,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,경기도 수원시 팔달구,경기도 안산시 단원구,경기도 용인시 처인구,경기도 파주시,경기도 이천시,경기도 광주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 고성군,강원도 양양군,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 단양군,충청남도 천안시 동남구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 당진시,충청남도 부여군,충청남도 서천군,충청남도 홍성군,충청남도 예산군,충청남도 태안군,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 완주군,전라북도 무주군,전라북도 고창군,전라북도 부안군,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 영광군,전라남도 완도군,전라남도 진도군,전라남도 신안군,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 상주시,경상북도 문경시,경상북도 청송군,경상북도 영덕군,경상북도 울진군,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 창녕군,경상남도 남해군,경상남도 하동군,경상남도 함양군,제주특별자치도 제주시,제주특별자치도 서귀포시
282690,258720,292292,63062,76213,53886,196382,84860,237128,74016,93963,126415,212832,175276,163696,128715,273082,114699,80996,102960,120412,129832,69760,103350,49044,79394,160696,145442,104124,156636,103945,141943,74922,86182,18589,59104,108431,83994,82560,197634,55577,21041,122815,50084,74190,73451,15659,90667,33440,13414,58111,121256,79500,61490,55552,34432,16776,21697,107041,82176,72201,82799,53813,37132,69994,33197,37165,37112,44418,44385,101675,70202,79914,52825,30126,22500,46607,36162,25445,39931,76606,89898,68623,35928,33460,47218,17132,23662,52308,35857,21607,16959,25769,20971,41568,26022,17688,15404,17415,136132,125754,175314,34774,53737,66221,23347,31648,32959,19066,85240,48627,63396,69670,61427,118570,39174,93407,31761,40105,19481,13026,,
336177,230182,258897,49215,76131,36925,184439,73511,162232,54806,80589,78344,78539,177890,122609,111262,173976,82151,24811,102196,96609,118885,62137,106211,26753,53444,140909,110131,78531,86445,79012,86953,45672,49977,12334,33347,54467,57536,62767,87589,25028,12849,60208,24412,32614,28536,10157,39845,22719,9062,25613,31392,70587,52638,37206,23188,8219,12633,87372,53030,27683,61251,32135,29686,31720,19356,16814,23115,25041,18775,85907,74370,43451,44004,21894,16812,31410,21099,15805,16121,55542,57113,45504,29143,24102,23229,8504,9551,12926,21107,9213,9558,16011,18047,27385,12496,10833,10247,10003,68672,62912,90907,25403,38277,56851,15843,24795,23663,9568,21938,18967,50929,39160,32023,89079,21041,53246,17939,16425,10574,9957,,
390649,285133,297710,49892,82580,38701,205631,77965,174118,60428,89012,86637,79101,198960,134386,125085,187028,95619,26290,118728,110526,134844,66507,114943,29506,53228,163460,124515,91903,100010,90799,103822,51864,57260,14387,40523,63945,65500,76987,92251,29034,13464,62983,25951,38836,33565,11025,46278,24125,10697,25437,31394,81481,60979,43045,27109,9878,13107,101380,61278,31231,71576,35318,28960,36235,20369,18835,25317,28176,20259,96220,82535,48465,48747,25084,18219,34973,23472,18059,17405,59125,60929,49279,32084,27010,24561,10437,10634,14430,22460,10131,10220,17120,19449,29384,13749,11496,10597,11166,73759,66983,97793,27738,41408,62775,18240,30798,26591,9546,22129,19262,56065,39429,34464,98280,23522,55507,19136,16524,10779,10436,,
434801,322827,357036,55093,88135,49472,252359,86292,238197,70999,94585,105631,128008,239925,187841,158562,232135,128038,53429,149754,144309,172053,75115,124573,33357,72062,214469,152090,116954,140939,118045,137988,74379,82667,20104,68805,96319,96282,95547,133332,38243,20749,92736,33323,57690,51982,17986,68771,35051,13735,37818,54210,98417,75700,60790,38877,15105,22401,127839,81368,57893,90096,49119,41174,50976,30134,27650,36802,42833,34361,124175,92794,68648,59748,33647,26874,43682,38586,25214,26367,70916,76243,67969,38104,32123,39665,14377,14927,24556,30651,14926,13726,20497,21574,40701,19234,14148,12806,15606,97127,91950,140962,35296,56441,73869,25046,37656,35817,13720,38865,26931,72147,57255,47663,122396,35572,71611,27706,24435,17146,16898,,
304024,281379,286558,53209,80008,44073,194944,75234,210544,63613,94426,89081,137213,182782,180208,131483,228969,107199,48170,110785,120029,137661,74929,105586,31862,68165,171061,132872,105049,130755,101090,122257,72579,81252,18579,57093,93670,80525,93446,111386,32828,25761,77065,31639,51349,53006,17117,68106,34173,13895,33363,47185,81653,62700,56104,33907,15433,23507,112163,73813,52427,79597,46906,35114,47335,27131,25666,32389,40635,30452,101816,76498,60934,51809,29841,24823,44090,38248,25097,24863,60389,65434,57178,35057,28863,44388,14308,14206,20460,32488,12464,13233,18493,19594,34243,19297,14536,12690,14796,91815,84325,132901,33193,57228,66765,23063,33536,34136,13973,40987,27179,65591,52624,46865,113618,37507,68412,28351,25032,17047,17773,,
327019,227660,259223,46523,69156,30620,166844,65599,133891,49873,81037,69720,58360,157370,113705,105015,179492,81224,18312,101315,94970,116428,56505,96790,25022,45277,134922,112711,76061,87842,76670,83931,44111,46805,12318,27961,43843,53728,66387,63475,20778,10332,42479,19528,28416,25055,9665,31790,19942,9958,20444,21353,71292,52410,35691,21253,7200,8919,89537,42780,22838,63146,29988,30891,31115,15290,13388,23176,22424,15054,79810,75003,38369,42464,20532,13987,28880,13606,14147,12219,49048,44121,39835,27750,23870,18330,6401,8175,9425,18806,7560,8011,13124,16073,23090,11066,10054,8655,8321,59860,52949,68844,21055,33657,54840,14279,21463,19680,7348,15353,13504,47631,28252,27098,82199,18061,43818,15672,10135,8300,6704,,
321495,237125,261819,47202,69012,30877,165394,66596,136155,50395,77623,69954,57732,165245,116122,110139,167825,80654,15597,104709,96216,123267,59035,100653,25326,46723,139980,112992,75680,85461,71552,80428,40505,43172,11271,24407,37928,58568,72578,68005,23319,12234,36948,18593,26726,24069,9480,30227,22658,8234,18773,19122,74355,54525,35333,20045,7547,8647,87378,42161,21225,63579,28530,29750,29424,14612,13547,22125,22494,14125,79904,75684,37180,42651,20060,14642,30572,11909,13071,11758,49948,42887,40545,26954,23987,18065,6676,7623,10420,19636,8068,7993,12234,16168,24528,10849,9175,8287,7590,59784,51434,68453,21962,31955,54226,13992,20712,18186,6498,12759,12090,48995,26588,26924,82706,17544,41130,15546,9004,8168,6596,,
368090,254470,287424,51713,75365,34268,184366,70593,147531,56515,87098,78580,65920,182755,120451,117124,181000,86957,17386,105710,100580,126616,61022,108419,28616,48795,153767,123494,81208,90663,76685,85436,44781,46030,13728,26193,41115,62211,73156,67950,24445,12693,35755,18881,27807,23847,9384,31121,20971,10528,16024,18915,78835,56395,37336,21554,7451,8627,90533,43453,21479,67541,29999,24898,30758,14966,13816,22435,23415,13997,81305,77810,38778,43689,20495,14342,32124,11494,13121,11902,49627,42595,42204,29309,25053,18357,7724,8226,10803,19891,8198,8516,12909,17601,26726,11398,8031,7555,7875,64896,55225,71391,23557,35081,57864,14951,21719,19475,7223,13731,12619,50667,27052,28841,88645,20078,44019,17504,9621,8525,6430,,
384873,267262,295955,52492,80406,36976,197044,75466,152963,58226,90958,80073,70881,188437,124718,119809,190664,96037,21811,112674,107906,138823,62680,111844,28785,54534,159941,127323,90926,97221,85168,94410,49067,51100,14192,30369,48563,65477,79489,78015,25408,14431,41619,22356,32537,29921,10869,35530,23093,10015,18132,24828,82840,59976,40044,23896,9020,10446,96100,48991,25114,73685,35179,36167,34634,16964,16155,24919,26655,17050,87982,81884,44252,47372,23680,16994,35188,17216,15673,13567,54051,49158,44987,32698,26596,22419,8230,10439,12508,22364,9153,10120,16039,19924,29450,12954,10969,11236,10771,68565,59162,80569,26224,36995,60459,15848,23206,21897,7982,16127,13565,54117,30709,32887,94052,22875,47812,18803,13387,9898,7944,,
419033,321084,319668,53910,91294,39010,215296,84459,177629,62850,96140,90555,77450,208514,141629,134191,206459,105120,27268,127821,120370,150666,71756,119332,29846,57806,180004,137076,103872,105154,94548,107700,55612,61180,15671,38915,64826,75546,88932,91757,28038,16745,55549,25644,47050,36367,11744,48052,25315,11322,24322,29216,90570,65947,45178,27059,13636,12546,108697,59503,30327,80429,36549,31934,38467,21067,18400,25467,29223,20163,99485,87590,49816,53151,25505,19175,37178,22976,18031,19362,59505,56526,50449,35167,28990,25533,9927,11415,13672,23445,10828,11048,16594,20662,30819,14794,11700,10974,11870,73676,67370,101445,28368,41490,66247,17825,26880,24945,9169,20664,17757,59549,37485,35799,101653,24424,55479,19939,15701,10714,8841,,
