fstvlNm,fstvlStartDate,fstvlEndDate,rdnmadr,lnmadr,addr,latitude,longitude
개화산 해맞이축제,2023-01-01,2023-01-01,,서울특별시 강서구 개화동 산 91-4,서울특별시 강서구 개화동 산,37.5828701,126.8087409
제23회 서귀포 겨울바다 국제펭귄수영대회,2023-01-01,2023-01-01,,제주특별자치도 서귀포시 색달동 3304-1,제주특별자치도 서귀포시 색달동 3304-1,33.2452769,126.4084128
2023 해운대카운트다운&해맞이축제,2023-01-01,2023-01-01,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
해맞이행사,2023-01-01,2023-01-01,,대구광역시 동구 효목동 212-2,대구광역시 동구 효목동 212-2,35.8845456,128.6457326
응봉산 해맞이 축제,2023-01-01,2023-01-01,,서울특별시 성동구 금호동4가 1540,서울특별시 성동구 금호동4가 1540,37.5470795,127.0285853
대왕암 해맞이 축제,2023-01-01,2023-01-01,,울산광역시 동구 일산동 산907,울산광역시 동구 일산동 산907,35.4969464,129.4330583
휴애리 유채꽃 축제,2023-01-01,2023-03-31,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
해맞이 행사,2023-01-01,2023-01-01,,대구광역시 북구 침산동 1643-45,대구광역시 북구 침산동 1643-45,35.8911423,128.5828103
태백산 눈축제,2023-01-01,2023-01-01,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,강원도 태백시 장성1길 171,37.100542,129.0082994
윈 인 윙스,2023-01-06,2023-01-18,서울특별시 종로구 자하문로 53,,서울특별시 종로구 자하문로 53,37.5806563,126.970891
대관령눈꽃축제,2023-01-13,2023-01-22,강원도 평창군 대관령면 사부랑길224-2,강원도 평창군 대관령면 횡계리 661,강원도 평창군 대관령면 사부랑길224-2,37.7047918,128.7018295
한림공원 수선화축제,2023-01-21,2023-02-19,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
전통산사문화재,2023-02-01,2023-12-31,광주광역시 북구 무등로 1514-35,광주광역시 북구 금곡동 846,광주광역시 북구 무등로 1514-35,35.1484635,126.985595
탐라국입춘굿,2023-02-02,2023-02-04,제주특별자치도 제주시 관덕로 19,,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334
탐라국 입춘굿,2023-02-02,2023-02-04,제주특별자치도 제주시 관덕로 19,,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334
Mumbling after Silence,2023-02-03,2023-02-14,서울특별시 종로구 자하문로 53,,서울특별시 종로구 자하문로 53,37.5806563,126.970891
삼척정월대보름제,2023-02-03,2023-02-05,강원도 강원도 삼척시청 엑스포로 45,강원도 강원도 삼척시청 성남동 1-5,강원도 강원도 삼척시청 엑스포로,37.4367707,129.1549656
제38회 해운대 달맞이온천축제,2023-02-03,2023-02-05,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
금호강 정월대보름축제,2023-02-05,2023-02-05,,대구광역시 북구 산격동 1477-1,대구광역시 북구 산격동 1477-1,35.9087206,128.6015099
제20회 사상전통달집놀이,2023-02-05,2023-02-05,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,부산광역시 사상구 낙동대로 1310번길,35.176769,128.9782282
